tid,total_duration(s),min_slock_hold,med,max,min_swait_acq,med,max,min_swait_rel,med,max,min_slwait_acq,med,max,min_slwait_rel,med,max,min_sgwait_acq,med,max,min_sgwait_rel,med,max,min_sdata_read,med,max,min_sdata_write,med,max,min_sglock_tries,med,max,array_size(B),client_id
000,10.0, 0.000231667, 0.000245000, 0.006393333, 0.041881666, 0.044676665, 1.760365009, 0.004511666, 0.006216667, 0.016009999, 0.035324998, 0.038346667, 1.753473282, 0.000058333, 0.000066667, 0.003120000, 0.006023333, 0.006168333, 0.015658334, 0.004313333, 0.006021667, 0.015513333, 0.000035000, 0.000038333, 0.022178333, 0.000021667, 0.000023333, 0.000040000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
001,10.0, 0.000233333, 0.000243333, 0.006428333, 0.040578332, 0.044543333, 1.760689974, 0.006126666, 0.006306667, 0.015845001, 0.034189999, 0.038100000, 1.754003286, 0.000053333, 0.000061667, 0.004891667, 0.006091667, 0.006278333, 0.072235003, 0.005943333, 0.006118333, 0.015629999, 0.000035000, 0.000036667, 0.002528333, 0.000021667, 0.000023333, 0.000036667, 1.000000000, 1.000000000, 1.000000000,       100663296,000
002,10.0, 0.000205000, 0.000243333, 0.009440000, 0.042703334, 0.044638332, 1.761546612, 0.006083333, 0.006211667, 0.015460000, 0.036306668, 0.038268335, 1.755066633, 0.000053333, 0.000066667, 0.006865000, 0.006088333, 0.006215000, 0.015696667, 0.005891667, 0.006018333, 0.015268333, 0.000035000, 0.000038333, 0.009200000, 0.000021667, 0.000023333, 0.000041667, 1.000000000, 1.000000000, 1.000000000,       100663296,000
003,10.0, 0.000231667, 0.000246667, 0.004066667, 0.040001668, 0.045049999, 1.761838317, 0.004651667, 0.005760000, 0.014548333, 0.033964999, 0.039106667, 1.755351663, 0.000056667, 0.000066667, 0.003598333, 0.004743333, 0.005775000, 0.013225000, 0.004456667, 0.005563333, 0.014181667, 0.000035000, 0.000036667, 0.002886667, 0.000021667, 0.000023333, 0.004280000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
004,10.0, 0.000215000, 0.000251667, 0.009370000, 0.049503334, 0.056690000, 1.905590057, 0.005410000, 0.007785000, 0.017338334, 0.041359998, 0.048591666, 1.888488293, 0.000056667, 0.000068333, 0.003435000, 0.007253333, 0.007913333, 0.082369998, 0.005226667, 0.007581667, 0.017141666, 0.000035000, 0.000040000, 0.007463333, 0.000021667, 0.000025000, 0.000046667, 1.000000000, 1.000000000, 1.000000000,       100663296,000
005,10.0, 0.000210000, 0.000255000, 0.004565000, 0.049389999, 0.056681667, 1.870271683, 0.005081667, 0.007741667, 0.017313333, 0.041361667, 0.048664998, 1.849498391, 0.000060000, 0.000071667, 0.002948333, 0.005528333, 0.007816667, 0.016710000, 0.004888333, 0.007536666, 0.017109999, 0.000035000, 0.000040000, 0.006468333, 0.000021667, 0.000025000, 0.000051667, 1.000000000, 1.000000000, 1.000000000,       100663296,000
006,10.0, 0.000230000, 0.000251667, 0.009421667, 0.048686668, 0.056681667, 1.849448323, 0.007306667, 0.007798333, 0.018738333, 0.040181667, 0.048633333, 1.827080011, 0.000053333, 0.000065000, 0.003443333, 0.007291667, 0.007840000, 0.016733333, 0.007121667, 0.007601667, 0.016996667, 0.000035000, 0.000038333, 0.008016666, 0.000021667, 0.000025000, 0.000041667, 1.000000000, 1.000000000, 1.000000000,       100663296,000
007,10.0, 0.000216667, 0.000251667, 0.008353333, 0.049710002, 0.056761667, 1.888283372, 0.007261666, 0.007661667, 0.017419999, 0.041891668, 0.048840001, 1.870836616, 0.000058333, 0.000065000, 0.003296667, 0.007276667, 0.007725000, 0.017226666, 0.007076667, 0.007461667, 0.017226666, 0.000036667, 0.000040000, 0.007983333, 0.000021667, 0.000025000, 0.000055000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
000,10.0, 0.000205000, 0.000243333, 0.007835000, 0.042846669, 0.044700000, 1.820034981, 0.006088333, 0.006235000, 0.015878333, 0.036556665, 0.038331665, 1.813206673, 0.000058333, 0.000065000, 0.002901667, 0.006051667, 0.006210000, 0.015670000, 0.005895000, 0.006043334, 0.015644999, 0.000035000, 0.000038333, 0.001550000, 0.000021667, 0.000023333, 0.002720000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
001,10.0, 0.000205000, 0.000243333, 0.009518334, 0.042900000, 0.044590000, 1.818706632, 0.006156667, 0.006306667, 0.015985001, 0.036424998, 0.038164999, 1.811461687, 0.000053333, 0.000061667, 0.009210000, 0.006070000, 0.006271667, 0.015553334, 0.005971667, 0.006118333, 0.015463334, 0.000035000, 0.000036667, 0.002801667, 0.000021667, 0.000023333, 0.000035000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
