tid,total_duration(s),min_slock_hold,med,max,min_swait_acq,med,max,min_swait_rel,med,max,min_slwait_acq,med,max,min_slwait_rel,med,max,min_sgwait_acq,med,max,min_sgwait_rel,med,max,min_sdata_read,med,max,min_sdata_write,med,max,min_sglock_tries,med,max,array_size(B),client_id
000,10.0, 0.000013333, 0.000015000, 0.003226667, 0.006598333, 0.266836673, 1.371921659, 0.006216667, 0.006681667, 0.034028333, 0.000110000, 0.241537496, 1.350666642, 0.000090000, 0.000158333, 0.006260000, 0.006198333, 0.025696667, 0.141920000, 0.005983333, 0.006388333, 0.033651665, 0.000035000, 0.000041667, 0.003008333, 0.000021667, 0.000023333, 0.000371667, 1.000000000, 4.000000000,23.000000000,               0,001
001,10.0, 0.000013333, 0.000015000, 0.001636667, 0.006490000, 0.290218323, 2.458151579, 0.006190000, 0.006470000, 0.016013334, 0.000118333, 0.262671679, 2.393769979, 0.000086667, 0.000153333, 0.006288333, 0.006096667, 0.024978334, 0.135366663, 0.005938333, 0.006176667, 0.015710000, 0.000035000, 0.000040000, 0.011041666, 0.000021667, 0.000023333, 0.002826667, 1.000000000, 4.000000000,22.000000000,               0,001
002,10.0, 0.000013333, 0.000015000, 0.001726667, 0.006525000, 0.295599997, 1.382931709, 0.005626667, 0.006775000, 0.037843332, 0.000085000, 0.268279999, 1.338971615, 0.000068333, 0.000165000, 0.006246667, 0.006096667, 0.026170000, 0.155318335, 0.005288333, 0.006485000, 0.037291668, 0.000035000, 0.000040000, 0.002248333, 0.000021667, 0.000023333, 0.000295000, 1.000000000, 4.000000000,25.000000000,               0,001
003,10.0, 0.000013333, 0.000015000, 0.001710000, 0.006473333, 0.297893345, 1.361103296, 0.006248333, 0.006893334, 0.016883334, 0.000111667, 0.271470010, 1.340158343, 0.000086667, 0.000155000, 0.006471667, 0.006161666, 0.026471667, 0.132210001, 0.005998333, 0.006600000, 0.016591666, 0.000035000, 0.000045000, 0.003200000, 0.000021667, 0.000023333, 0.002390000, 1.000000000, 4.000000000,20.000000000,               0,001
004,10.0, 0.000013333, 0.000015000, 0.010835000, 0.006545000, 0.298880011, 1.377971649, 0.005401667, 0.006696667, 0.017899999, 0.000123333, 0.272069991, 1.359236717, 0.000091667, 0.000160000, 0.005516666, 0.006151667, 0.025895000, 0.686741650, 0.005071667, 0.006398333, 0.017611668, 0.000035000, 0.000040000, 0.001961667, 0.000021667, 0.000023333, 0.009388333, 1.000000000, 4.000000000,23.000000000,               0,001
005,10.0, 0.000013333, 0.000015000, 0.001621667, 0.006138333, 0.303091675, 1.356994987, 0.005741667, 0.006065000, 0.017011667, 0.000118333, 0.273806661, 1.089546680, 0.000090000, 0.000158333, 0.005718333, 0.005773333, 0.026045000, 1.073189974, 0.005513333, 0.005770000, 0.016566666, 0.000035000, 0.000043333, 0.003266667, 0.000021667, 0.000023333, 0.000296667, 1.000000000, 4.000000000,31.000000000,               0,001
006,10.0, 0.000013333, 0.000015000, 0.001568333, 0.006513333, 0.280181676, 1.354745030, 0.004815000, 0.006625000, 0.107348330, 0.000126667, 0.253814161, 1.336056709, 0.000091667, 0.000161667, 0.006485000, 0.006121667, 0.025764167, 0.189598337, 0.004551667, 0.006325000, 0.106804997, 0.000035000, 0.000040000, 0.003531667, 0.000021667, 0.000023333, 0.000323333, 1.000000000, 4.000000000,30.000000000,               0,001
007,10.0, 0.000013333, 0.000015000, 0.002638333, 0.006473333, 0.294295847, 1.435449958, 0.006170000, 0.006575000, 0.016203333, 0.000093333, 0.267159164, 1.365674973, 0.000066667, 0.000156667, 0.006456667, 0.006123333, 0.025641667, 0.197891667, 0.005926667, 0.006270000, 0.015880000, 0.000035000, 0.000040000, 0.005195000, 0.000021667, 0.000023333, 0.006020000, 1.000000000, 4.000000000,32.000000000,               0,001
008,10.0, 0.000170000, 0.003586667, 0.007003333, 0.379883319,5000.538085938,10000.696289062, 0.015076667, 0.024811666, 0.034546666, 0.357723325,5000.332031250,10000.306640625, 0.000510000, 0.000661667, 0.000813333, 0.021143334, 0.190129995, 0.359116673, 0.013966667, 0.016311666, 0.018656667, 0.000236667, 0.005045000, 0.009853333, 0.000076667, 0.000098333, 0.000120000, 1.000000000,15.000000000,29.000000000,               0,001
009,10.0, 0.000110000, 0.003888333, 0.007666667, 0.347680002,5000.326660156,10000.305664062, 0.013306667, 0.025083333, 0.036860000, 0.291526675,5000.194335938,10000.096679688, 0.000533333, 0.000606667, 0.000680000, 0.055133332, 0.108180001, 0.161226660, 0.012220000, 0.016190000, 0.020160001, 0.000266667, 0.008906667, 0.017546667, 0.000080000, 0.000081667, 0.000083333, 4.000000000, 7.000000000,10.000000000,               0,001
