tid,total_duration(s),min_slock_hold,med,max,min_swait_acq,med,max,min_swait_rel,med,max,min_slwait_acq,med,max,min_slwait_rel,med,max,min_sgwait_acq,med,max,min_sgwait_rel,med,max,min_sdata_read,med,max,min_sdata_write,med,max,min_sglock_tries,med,max,array_size(B),client_id
000,10.0, 0.000013333, 0.000018333, 0.002556667, 0.024166251, 0.061329585,506.396362305, 0.007180000, 0.009658750, 0.031110000, 0.012178750, 0.032856248,506.360473633, 0.000750000, 0.001431667, 0.021029999, 0.006588333, 0.017741667, 0.375236660, 0.006143333, 0.008256666, 0.020184999, 0.000036667, 0.000048333, 0.004873333, 0.000021667, 0.000027500, 0.000290417, 1.000000000, 2.000000000,41.000000000,               0,000
001,10.0, 0.000013333, 0.000018333, 0.001840000, 0.022375001, 0.061799999,464.907623291, 0.007180000, 0.009549583, 0.118650414, 0.000986667, 0.033495001,464.893768311, 0.000426667, 0.001429583, 0.011276667, 0.006695000, 0.020865001, 0.561959982, 0.006216667, 0.008138333, 0.116608337, 0.000036667, 0.000048333, 0.003536667, 0.000021667, 0.000027500, 0.000109583, 1.000000000, 3.000000000,57.000000000,               0,000
002,10.0, 0.000013333, 0.000018333, 0.002426667, 0.023894999, 0.061187085,537.971069336, 0.007618333, 0.009692917, 0.025852500, 0.011882083, 0.032489583,537.841918945, 0.000731667, 0.001431667, 0.010827500, 0.006931667, 0.017620834, 0.389496654, 0.006511667, 0.008309583, 0.024219166, 0.000035000, 0.000048750, 0.002271667, 0.000021667, 0.000027500, 0.000307500, 1.000000000, 2.000000000,39.000000000,               0,000
003,10.0, 0.000013333, 0.000018333, 0.002466667, 0.023463333, 0.061951667,462.569763184, 0.007203334, 0.009530417, 0.024226667, 0.011888334, 0.033353332,462.502410889, 0.000761667, 0.001433750, 0.013139167, 0.006558334, 0.020785000, 0.559333324, 0.006225000, 0.008092500, 0.021763334, 0.000036667, 0.000046667, 0.002895000, 0.000021667, 0.000028333, 0.000305417, 1.000000000, 3.000000000,57.000000000,               0,000
004,10.0, 0.000013333, 0.000018333, 0.002293333, 0.023236666, 0.060933333,540.048278809, 0.007531667, 0.009576667, 0.059936665, 0.011968333, 0.032430418,539.973999023, 0.000783333, 0.001425000, 0.010987917, 0.006870000, 0.017937917, 0.266016662, 0.006360000, 0.008242084, 0.021602083, 0.000036667, 0.000048333, 0.003580000, 0.000021667, 0.000027500, 0.009498334, 1.000000000, 2.000000000,33.000000000,               0,000
005,10.0, 0.000013333, 0.000018333, 0.001789583, 0.024166666, 0.060873333,464.245605469, 0.007510000, 0.009597917, 0.026227500, 0.012606666, 0.032859582,464.219451904, 0.000788333, 0.001433750, 0.012823333, 0.006813333, 0.017104167, 0.360113323, 0.006438334, 0.008231667, 0.024585417, 0.000040000, 0.000050417, 0.003616667, 0.000021667, 0.000027500, 0.000310000, 1.000000000, 2.000000000,36.000000000,               0,000
006,10.0, 0.000013333, 0.000016667, 0.002207500, 0.021668334, 0.062728330,497.637115479, 0.006735000, 0.007948333, 0.021495000, 0.009923333, 0.034770001,497.599792480, 0.000751667, 0.001331667, 0.009195000, 0.005855000, 0.023450000, 0.313270003, 0.005823333, 0.006460000, 0.019035000, 0.000036667, 0.000053333, 0.003955000, 0.000021667, 0.000031667, 0.000286667, 1.000000000, 3.000000000,48.000000000,               0,000
007,10.0, 0.000013333, 0.000018333, 0.003017083, 0.023417084, 0.061252918,492.503906250, 0.007406667, 0.009513750, 0.021012917, 0.011772500, 0.033330001,492.468475342, 0.000798333, 0.001422917, 0.011027500, 0.006771666, 0.018387500, 0.468386680, 0.006285000, 0.008143334, 0.019351667, 0.000040000, 0.000050417, 0.003604167, 0.000021667, 0.000027500, 0.005088334, 1.000000000, 2.000000000,47.000000000,               0,000
000,10.0, 0.000013333, 0.000018333, 0.002543333, 0.023030000, 0.061914999,821.453369141, 0.006326250, 0.009591250, 0.026377916, 0.012236667, 0.032680001,821.385803223, 0.000791667, 0.001412500, 0.013186667, 0.006700000, 0.021052917, 0.392223328, 0.005195833, 0.008183333, 0.024732500, 0.000036667, 0.000048333, 0.005596667, 0.000021667, 0.000027500, 0.000343333, 1.000000000, 3.000000000,48.000000000,               0,002
001,10.0, 0.000013333, 0.000018333, 0.002540000, 0.020245001, 0.061703332,628.114685059, 0.007473333, 0.009710000, 0.024066666, 0.009730000, 0.032707084,628.089538574, 0.000776667, 0.001425417, 0.012972083, 0.006745000, 0.020935001, 0.451009989, 0.006396667, 0.008317917, 0.021811666, 0.000040000, 0.000048333, 0.003556667, 0.000021667, 0.000027500, 0.000083333, 1.000000000, 3.000000000,45.000000000,               0,002
002,10.0, 0.000013333, 0.000018333, 0.002456667, 0.024246249, 0.061825834,724.233520508, 0.007300000, 0.009659166, 0.025200000, 0.004891667, 0.032607082,724.210693359, 0.000751667, 0.001408750, 0.011095000, 0.006638333, 0.021015417, 0.296363324, 0.006266667, 0.008315833, 0.022879999, 0.000035000, 0.000048333, 0.003943333, 0.000021667, 0.000027500, 0.003508333, 1.000000000, 3.000000000,37.000000000,               0,002
003,10.0, 0.000013333, 0.000018333, 0.003237500, 0.022702917, 0.062118333,678.646118164, 0.007381666, 0.009536667, 0.022144999, 0.011973334, 0.032893334,678.632873535, 0.000766667, 0.001406667, 0.010964166, 0.006695000, 0.021016667, 0.372415006, 0.006328333, 0.008124167, 0.020555001, 0.000036667, 0.000049583, 0.007750000, 0.000021667, 0.000027500, 0.009380833, 1.000000000, 3.000000000,51.000000000,               0,002
004,10.0, 0.000013333, 0.000018333, 0.002720000, 0.022751667, 0.061217085,652.732299805, 0.007278333, 0.009574584, 0.024473334, 0.011671667, 0.032886665,652.688049316, 0.000347083, 0.001415000, 0.011700833, 0.006690000, 0.020907501, 0.760766685, 0.005965417, 0.008141667, 0.019891666, 0.000038333, 0.000048333, 0.011167083, 0.000021667, 0.000027500, 0.000299167, 1.000000000, 3.000000000,77.000000000,               0,002
