tid,total_duration(s),min_slock_hold,med,max,min_swait_acq,med,max,min_swait_rel,med,max,min_slwait_acq,med,max,min_slwait_rel,med,max,min_sgwait_acq,med,max,min_sgwait_rel,med,max,min_sdata_read,med,max,min_sdata_write,med,max,min_sglock_tries,med,max,array_size(B),client_id
000,10.0, 0.000223333, 0.000265417, 0.005788333, 0.023890000, 0.063046664,542.529357910, 0.007255000, 0.009528333, 0.022694999, 0.006593334, 0.033753332,542.504882812, 0.000768333, 0.001404167, 0.013155000, 0.006666667, 0.021446250, 0.465323329, 0.006283334, 0.008094584, 0.019538334, 0.000038333, 0.000050417, 0.009730834, 0.000021667, 0.000029583, 0.000070000, 1.000000000, 3.000000000,46.000000000,       100663296,001
001,10.0, 0.000213333, 0.000248333, 0.009495000, 0.020315001, 0.064517498,610.302734375, 0.006508333, 0.007671667, 0.021049166, 0.013345000, 0.035861667,610.272644043, 0.000736667, 0.001335000, 0.013138333, 0.005680000, 0.022908334, 0.228709996, 0.005613334, 0.006198333, 0.019452499, 0.000035000, 0.000050000, 0.002930000, 0.000021667, 0.000028333, 0.000072500, 1.000000000, 3.000000000,36.000000000,       100663296,001
002,10.0, 0.000223333, 0.000265417, 0.009738334, 0.021562083, 0.062343333,581.564697266, 0.007320000, 0.009652500, 0.022917917, 0.011869583, 0.032882083,581.533569336, 0.000416667, 0.001414583, 0.013664584, 0.006630000, 0.020020001, 0.391943336, 0.006223334, 0.008265000, 0.021351667, 0.000040000, 0.000048750, 0.009436250, 0.000021667, 0.000033750, 0.000080000, 1.000000000, 2.000000000,39.000000000,       100663296,001
003,10.0, 0.000230000, 0.000263333, 0.009999583, 0.023858333, 0.061932918,441.624328613, 0.007443334, 0.009644167, 0.028663334, 0.012420000, 0.033052500,441.611877441, 0.000788333, 0.001428333, 0.011037083, 0.006800000, 0.017715834, 0.290269583, 0.006378334, 0.008277916, 0.026253333, 0.000040000, 0.000048333, 0.004143334, 0.000021667, 0.000029583, 0.003271667, 1.000000000, 2.000000000,37.000000000,       100663296,001
004,10.0, 0.000225000, 0.000269583, 0.011828333, 0.022735834, 0.063138336,444.652893066, 0.007301667, 0.009587083, 0.021005001, 0.012077916, 0.032981668,444.588623047, 0.000791667, 0.001420000, 0.011206250, 0.006700000, 0.022062084, 0.366536677, 0.006253333, 0.008140833, 0.019505000, 0.000038333, 0.000048333, 0.002325000, 0.000021667, 0.000029583, 0.000080000, 1.000000000, 3.000000000,37.000000000,       100663296,001
005,10.0, 0.000230000, 0.000265417, 0.005467083, 0.023151666, 0.062833332,414.068511963, 0.007400000, 0.009547500, 0.021942083, 0.012080000, 0.033799168,414.033355713, 0.000800000, 0.001427083, 0.010883750, 0.006700000, 0.020780416, 0.397975832, 0.006360000, 0.008115834, 0.019633749, 0.000040000, 0.000054583, 0.011495833, 0.000021667, 0.000029583, 0.000063333, 1.000000000, 3.000000000,49.000000000,       100663296,001
006,10.0, 0.000228333, 0.000263333, 0.009761250, 0.022454584, 0.062517919,458.328430176, 0.007406667, 0.009484166, 0.023141250, 0.012452500, 0.033690415,458.277221680, 0.000801667, 0.001408333, 0.010310833, 0.006645000, 0.020816667, 0.306476653, 0.006310000, 0.008082083, 0.021540834, 0.000040000, 0.000048333, 0.003957917, 0.000021667, 0.000033750, 0.000073333, 1.000000000, 3.000000000,38.000000000,       100663296,001
007,10.0, 0.000230000, 0.000263333, 0.006363333, 0.023957917, 0.064117916,458.493011475, 0.007595000, 0.009528333, 0.022726666, 0.012113334, 0.033978749,458.445220947, 0.000790000, 0.001423333, 0.009413334, 0.006821667, 0.022362083, 0.796756685, 0.006455000, 0.008101250, 0.021188334, 0.000040000, 0.000048333, 0.006013333, 0.000021667, 0.000031667, 0.004180000, 1.000000000, 3.000000000,112.000000000,       100663296,001
000,10.0, 0.000221667, 0.000265417, 0.004568333, 0.021760000, 0.064252913,429.553771973, 0.007225000, 0.009515833, 0.024195001, 0.012503333, 0.034152500,429.422149658, 0.000773333, 0.001416667, 0.013372083, 0.006650000, 0.021630418, 0.444422930, 0.006255000, 0.008071667, 0.022531666, 0.000040000, 0.000048333, 0.004033333, 0.000021667, 0.000029583, 0.004193750, 1.000000000, 3.000000000,56.000000000,       100663296,002
001,10.0, 0.000223333, 0.000277917, 0.009811250, 0.023290833, 0.063419163,439.701995850, 0.007313333, 0.009560000, 0.023660000, 0.012160000, 0.034035832,439.676879883, 0.000753333, 0.001418750, 0.013081667, 0.006625000, 0.021162083, 0.329497069, 0.006288333, 0.008162083, 0.019768333, 0.000038333, 0.000048333, 0.009547916, 0.000021667, 0.000029583, 0.004770417, 1.000000000, 3.000000000,46.000000000,       100663296,002
