tid,total_duration(s),min_slock_hold,med,max,min_swait_acq,med,max,min_swait_rel,med,max,min_slwait_acq,med,max,min_slwait_rel,med,max,min_sgwait_acq,med,max,min_sgwait_rel,med,max,min_sdata_read,med,max,min_sdata_write,med,max,min_sglock_tries,med,max,array_size(B),client_id
000,10.0, 0.000347500, 0.000377500, 0.005795000, 0.179987505, 0.194185004, 1.422884941, 0.010037500, 0.011770000, 0.035780001, 0.169949993, 0.183890000, 1.393657446, 0.001572500, 0.001695000, 0.014402500, 0.007437500, 0.010237500, 0.091729999, 0.008082500, 0.009877500, 0.033682499, 0.000055000, 0.000080000, 0.004240000, 0.000032500, 0.000037500, 0.000057500, 1.000000000, 1.000000000, 1.000000000,       100663296,000
001,10.0, 0.000340000, 0.000375000, 0.010540000, 0.179725006, 0.195077494, 1.299494982, 0.008612500, 0.010672500, 0.068405002, 0.170527503, 0.185505003, 1.268932462, 0.001492500, 0.001632500, 0.021460000, 0.008392500, 0.009262500, 0.019800000, 0.006720000, 0.008802500, 0.046462499, 0.000055000, 0.000062500, 0.007520000, 0.000032500, 0.000037500, 0.004402500, 1.000000000, 1.000000000, 1.000000000,       100663296,000
002,10.0, 0.000340000, 0.000377500, 0.004757500, 0.178965002, 0.193982497, 1.331539989, 0.008970000, 0.011757500, 0.023340000, 0.167987496, 0.184060007, 1.305395007, 0.001560000, 0.001677500, 0.013045000, 0.008242500, 0.009567500, 0.019287501, 0.007105000, 0.009857500, 0.020734999, 0.000055000, 0.000065000, 0.007065000, 0.000032500, 0.000037500, 0.004345000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
003,10.0, 0.000345000, 0.000377500, 0.002535000, 0.179395005, 0.194350004, 1.362172484, 0.010097500, 0.011412500, 0.021357501, 0.169917494, 0.184217498, 1.336177468, 0.001525000, 0.001670000, 0.011745000, 0.006932500, 0.009880000, 0.016052499, 0.008225000, 0.009532500, 0.019472500, 0.000055000, 0.000082500, 0.005015000, 0.000032500, 0.000037500, 0.003607500, 1.000000000, 1.000000000, 1.000000000,       100663296,000
004,10.0, 0.000327500, 0.000380000, 0.011420000, 0.174887493, 0.194340006, 1.453245044, 0.010072500, 0.011300000, 0.038024999, 0.164557502, 0.184232503, 1.428259969, 0.001537500, 0.001675000, 0.028832501, 0.008280000, 0.009780000, 0.019974999, 0.008227500, 0.009407500, 0.020952500, 0.000055000, 0.000062500, 0.004687500, 0.000032500, 0.000037500, 0.000060000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
005,10.0, 0.000342500, 0.000380000, 1.005329967, 0.179605007, 0.194040000, 0.414209992, 0.010107500, 0.011760000, 0.068427503, 0.170097500, 0.183582500, 0.394427508, 0.001407500, 0.001715000, 0.011887500, 0.006717500, 0.010202500, 0.019817499, 0.008342500, 0.009867500, 0.066699997, 0.000055000, 0.000077500, 0.004565000, 0.000032500, 0.000037500, 0.008562500, 1.000000000, 1.000000000, 1.000000000,       100663296,000
006,10.0, 0.000327500, 0.000362500, 0.010655000, 0.179357499, 0.193985000, 1.267767549, 0.008210000, 0.011875000, 0.023257500, 0.171017498, 0.183550000, 1.242475033, 0.000335000, 0.001730000, 0.006817500, 0.006975000, 0.010117500, 0.020732500, 0.006392500, 0.009885000, 0.021150000, 0.000052500, 0.000152500, 0.006560000, 0.000032500, 0.000035000, 0.004842500, 1.000000000, 1.000000000, 1.000000000,       100663296,000
007,10.0, 0.000340000, 0.000377500, 0.004727500, 0.178945005, 0.194022506, 1.392544985, 0.010102500, 0.011765000, 0.021572500, 0.168724999, 0.183660001, 1.366425037, 0.001507500, 0.001690000, 0.012350000, 0.008800000, 0.010197500, 0.015567500, 0.008237500, 0.009882500, 0.017364999, 0.000055000, 0.000085000, 0.007457500, 0.000032500, 0.000037500, 0.000067500, 1.000000000, 1.000000000, 1.000000000,       100663296,000
000,10.0, 0.000340000, 0.000377500, 0.005465000, 0.180232495, 0.194137499, 0.825047493, 0.008052500, 0.011802500, 0.079305001, 0.169589996, 0.183789998, 0.803215027, 0.001567500, 0.001710000, 0.019917499, 0.006800000, 0.010255000, 0.029405000, 0.006172500, 0.009900000, 0.058872499, 0.000055000, 0.000080000, 0.002862500, 0.000032500, 0.000037500, 0.000135000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
001,10.0, 0.000340000, 0.000377500, 0.004862500, 0.181237504, 0.194077507, 0.870850027, 0.008352500, 0.011685000, 0.023382500, 0.172399998, 0.184318751, 0.836872518, 0.001517500, 0.001675000, 0.012787500, 0.008335000, 0.009352500, 0.021507500, 0.006505000, 0.009767500, 0.016777501, 0.000055000, 0.000065000, 0.004372500, 0.000032500, 0.000037500, 0.003817500, 1.000000000, 1.000000000, 1.000000000,       100663296,000
002,10.0, 0.000342500, 0.000377500, 0.004935000, 0.181347504, 0.193917498, 0.823142529, 0.010235000, 0.011875000, 0.053682499, 0.171314999, 0.183417499, 0.799530029, 0.000215000, 0.001680000, 0.006332500, 0.006627500, 0.010265000, 0.029602500, 0.008405000, 0.009987500, 0.051322501, 0.000055000, 0.000085000, 0.004910000, 0.000032500, 0.000037500, 0.000135000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
003,10.0, 0.000347500, 0.000380000, 0.004815000, 0.181427494, 0.194374993, 0.829460025, 0.010132500, 0.011400000, 0.022100000, 0.172047496, 0.184232503, 0.806217492, 0.001527500, 0.001680000, 0.006782500, 0.006955000, 0.009877500, 0.073097497, 0.008277500, 0.009512500, 0.020107500, 0.000057500, 0.000082500, 0.004797500, 0.000032500, 0.000037500, 0.000135000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
004,10.0, 0.000347500, 0.000380000, 0.012015000, 0.181384996, 0.193975002, 0.836300015, 0.010045000, 0.011870000, 0.022037501, 0.171784997, 0.183618754, 0.813042521, 0.001577500, 0.001707500, 0.012325000, 0.008545000, 0.010257500, 0.019060001, 0.008082500, 0.009957500, 0.017167499, 0.000055000, 0.000080000, 0.004842500, 0.000032500, 0.000037500, 0.000135000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
005,10.0, 0.000360000, 0.000380000, 0.418624997, 0.180525005, 0.194205001, 0.846752524, 0.010267500, 0.011580000, 0.057365000, 0.171004996, 0.183958754, 0.823260009, 0.001455000, 0.001720000, 0.011887500, 0.008942500, 0.009995000, 0.025965000, 0.008372500, 0.009655000, 0.032639999, 0.000055000, 0.000077500, 0.004910000, 0.000032500, 0.000037500, 0.008487500, 1.000000000, 1.000000000, 1.000000000,       100663296,000
006,10.0, 0.000312500, 0.000360000, 0.009450000, 0.179822505, 0.194045007, 0.855445027, 0.007992500, 0.011867500, 0.019409999, 0.169420004, 0.183620006, 0.836772501, 0.001500000, 0.001720000, 0.006887500, 0.006892500, 0.010112500, 0.020150000, 0.006197500, 0.009890000, 0.017547499, 0.000052500, 0.000152500, 0.005267500, 0.000032500, 0.000035000, 0.004802500, 1.000000000, 1.000000000, 1.000000000,       100663296,000
007,10.0, 0.000342500, 0.000377500, 0.006472500, 0.181212500, 0.195264995, 0.865612507, 0.009752500, 0.010600000, 0.022600001, 0.171324998, 0.185812503, 0.845475018, 0.001230000, 0.001657500, 0.013615000, 0.008367500, 0.009205000, 0.017212501, 0.007877500, 0.008717500, 0.019942500, 0.000055000, 0.000062500, 0.004672500, 0.000032500, 0.000037500, 0.000132500, 1.000000000, 1.000000000, 1.000000000,       100663296,000
000,10.0, 0.000340000, 0.000377500, 0.004217500, 0.180050001, 0.193615004, 0.824417472, 0.007805000, 0.011347500, 0.052997500, 0.169565007, 0.183359995, 0.804712474, 0.001525000, 0.001680000, 0.042555001, 0.006355000, 0.010042500, 0.044247501, 0.005947500, 0.009452500, 0.045164999, 0.000055000, 0.000080000, 0.004520000, 0.000032500, 0.000037500, 0.000050000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
