tid,total_duration(s),min_slock_hold,med,max,min_swait_acq,med,max,min_swait_rel,med,max,min_slwait_acq,med,max,min_slwait_rel,med,max,min_sgwait_acq,med,max,min_sgwait_rel,med,max,min_sdata_read,med,max,min_sdata_write,med,max,min_sglock_tries,med,max,array_size(B),client_id
000,10.0, 0.000233333, 0.000245000, 0.002191667, 0.300286680, 0.587814987,15.009411812, 0.005788333, 0.006308333, 0.031133333, 0.293706656, 0.560766637,14.978743553, 0.000070000, 0.000080000, 0.000383333, 0.006310000, 0.018730000, 0.174128339, 0.005583333, 0.006093333, 0.030818334, 0.000035000, 0.000038333, 0.003123333, 0.000021667, 0.000023333, 0.000090000, 1.000000000, 3.000000000,29.000000000,       100663296,001
001,10.0, 0.000205000, 0.000296667, 0.005635000, 0.050003335, 0.588163316,14.862068176, 0.005771667, 0.006343334, 0.013925000, 0.004691666, 0.562026680,14.837162018, 0.000060000, 0.000083333, 0.003720000, 0.006303333, 0.018773334, 0.405110002, 0.005553334, 0.006128334, 0.013693334, 0.000035000, 0.000038333, 0.003196667, 0.000021667, 0.000023333, 0.000061667, 1.000000000, 3.000000000,33.000000000,       100663296,001
002,10.0, 0.000236667, 0.000243333, 0.001738333, 0.145323336, 0.588063359,14.873698235, 0.006133333, 0.006335000, 0.011516667, 0.060059998, 0.561011672,14.849036217, 0.000063333, 0.000140000, 0.000523333, 0.006301667, 0.018743332, 0.199949995, 0.005920000, 0.006071667, 0.010526666, 0.000035000, 0.000038333, 0.004021666, 0.000021667, 0.000023333, 0.000080000, 1.000000000, 3.000000000,26.000000000,       100663296,001
003,10.0, 0.000278333, 0.000298333, 0.003741667, 0.223496661, 0.588379979,14.973396301, 0.006135000, 0.006345000, 0.015477916, 0.192279994, 0.564000010,14.954424858, 0.000063333, 0.000135000, 0.000546667, 0.006265000, 0.018549999, 0.215379998, 0.005933333, 0.006096667, 0.015132500, 0.000036667, 0.000041667, 0.003630000, 0.000021667, 0.000023333, 0.000056667, 1.000000000, 3.000000000,33.000000000,       100663296,001
004,10.0, 0.000276667, 0.000300000, 0.003185000, 0.363085002, 0.587864995,15.002918243, 0.005171667, 0.006350000, 0.093566664, 0.344286680, 0.562858343,14.984241486, 0.000060000, 0.000080000, 0.003103333, 0.006248333, 0.018798333, 0.175909996, 0.004956667, 0.006130000, 0.092820004, 0.000035000, 0.000038333, 0.014850000, 0.000021667, 0.000023333, 0.000060000, 1.000000000, 3.000000000,29.000000000,       100663296,001
005,10.0, 0.000216667, 0.000246667, 0.001858333, 0.287600011, 0.587287486,15.064609528, 0.005521667, 0.006311667, 0.062369999, 0.280953348, 0.560101688,15.045916557, 0.000056667, 0.000130000, 0.000523333, 0.006288333, 0.018740000, 0.240040004, 0.005316667, 0.006061667, 0.061848335, 0.000035000, 0.000040000, 0.002985000, 0.000021667, 0.000023333, 0.000056667, 1.000000000, 3.000000000,40.000000000,       100663296,001
006,10.0, 0.000221667, 0.000246667, 0.006556666, 0.305954993, 0.587880850,14.991589546, 0.006123333, 0.006280000, 0.015140000, 0.299470007, 0.560647488,14.973001480, 0.000061667, 0.000088333, 0.003443333, 0.006285000, 0.018634999, 0.239771664, 0.005910000, 0.006058333, 0.014260000, 0.000035000, 0.000038333, 0.003416667, 0.000021667, 0.000023333, 0.000063333, 1.000000000, 3.000000000,40.000000000,       100663296,001
007,10.0, 0.000223333, 0.000246667, 0.005186667, 0.288123339, 0.587440848,15.064373016, 0.005375000, 0.005963333, 0.015258334, 0.281896681, 0.560526669,14.997936249, 0.000075000, 0.000098333, 0.000406667, 0.005963333, 0.022793334, 0.187930003, 0.005138333, 0.005716667, 0.015005000, 0.000116667, 0.000120000, 0.003365000, 0.000021667, 0.000026667, 0.003581667, 1.000000000, 4.000000000,32.000000000,       100663296,001
008,10.0, 0.000216667, 0.000245000, 0.006340000, 0.361140013, 0.586183310,15.013879776, 0.007348333, 0.007821667, 0.041511666, 0.338028342, 0.553856671,14.966348648, 0.000055000, 0.000133333, 0.031259999, 0.006125000, 0.030500000, 0.176294997, 0.007123333, 0.007551667, 0.016045000, 0.000035000, 0.000040000, 0.010355000, 0.000021667, 0.000023333, 0.004300000, 1.000000000, 4.000000000,23.000000000,       100663296,001
009,10.0, 0.000220000, 0.000245000, 0.009931667, 0.264213324, 0.586837471,14.816756248, 0.005883333, 0.007596666, 0.021245001, 0.255828321, 0.554378331,14.786849976, 0.000066667, 0.000133333, 0.006301667, 0.007535000, 0.029738333, 0.157388330, 0.005638334, 0.007343333, 0.018688334, 0.000035000, 0.000038333, 0.011485000, 0.000021667, 0.000023333, 0.000076667, 1.000000000, 4.000000000,21.000000000,       100663296,001
010,10.0, 0.000235000, 0.000243333, 0.009883333, 0.360578328, 0.586665809,14.848536491, 0.007265000, 0.007643333, 0.024575001, 0.342501670, 0.554334998,14.816710472, 0.000055000, 0.000128333, 0.008015000, 0.007493333, 0.029890001, 1.177729964, 0.006990000, 0.007400000, 0.016126666, 0.000035000, 0.000038333, 0.006370000, 0.000021667, 0.000023333, 0.000060000, 1.000000000, 4.000000000,157.000000000,       100663296,001
011,10.0, 0.000285000, 0.000298333, 0.004830000, 0.278890014, 0.586369157,15.078273773, 0.007270000, 0.007835000, 0.021354999, 0.270864993, 0.551329195,15.047329903, 0.000063333, 0.000125000, 0.003933333, 0.007511667, 0.030243333, 0.609236658, 0.007025000, 0.007591667, 0.016201667, 0.000035000, 0.000038333, 0.010600000, 0.000021667, 0.000023333, 0.000086667, 1.000000000, 4.000000000,79.000000000,       100663296,001
012,10.0, 0.000278333, 0.000296667, 0.007138333, 0.368666679, 0.586553335,14.973988533, 0.005846667, 0.007775000, 0.021578332, 0.231783330, 0.550711691,14.942279816, 0.000053333, 0.000083333, 0.000710000, 0.007526667, 0.030415000, 0.186880007, 0.005655000, 0.007541667, 0.014755000, 0.000035000, 0.000038333, 0.006411667, 0.000021667, 0.000023333, 0.000086667, 1.000000000, 4.000000000,23.000000000,       100663296,001
013,10.0, 0.000223333, 0.000245000, 0.013053333, 0.256526679, 0.586418331,14.830922127, 0.007321666, 0.007715833, 0.022246666, 0.248608336, 0.554128349,14.794288635, 0.000058333, 0.000078333, 0.004093333, 0.007471667, 0.030099999, 0.217505410, 0.007110000, 0.007493333, 0.016805001, 0.000035000, 0.000038333, 0.010115000, 0.000021667, 0.000023333, 0.004008333, 1.000000000, 4.000000000,25.000000000,       100663296,001
014,10.0, 0.000273333, 0.000298333, 0.006361667, 0.175200000, 0.585948348,14.965553284, 0.007231667, 0.007821667, 0.546946645, 0.153746665, 0.550608337,14.857098579, 0.000055000, 0.000081667, 0.005611666, 0.007456667, 0.030348333, 0.367805004, 0.007013333, 0.007590000, 0.546270013, 0.000035000, 0.000035000, 0.016946666, 0.000021667, 0.000023333, 0.000056667, 1.000000000, 4.000000000,48.000000000,       100663296,001
015,10.0, 0.000230000, 0.000245000, 0.012511667, 0.271201670, 0.586409986,14.838273048, 0.007268333, 0.007690000, 0.063883334, 0.263365000, 0.553900838,10.766403198, 0.000055000, 0.000081667, 0.010418333, 0.007456667, 0.029914999,14.425818443, 0.007065000, 0.007473333, 0.052196667, 0.000035000, 0.000038333, 0.014781667, 0.000021667, 0.000023333, 0.000080000, 1.000000000, 4.000000000,1878.000000000,       100663296,001
000,10.0, 0.000276667, 0.000298333, 0.004298334, 0.157195002, 0.589760840,18.731733322, 0.006165000, 0.006358333, 0.029758334, 0.127911672, 0.564311683,18.682315826, 0.000063333, 0.000133333, 0.004836667, 0.006416667, 0.018861666, 0.223886669, 0.005955000, 0.006105000, 0.029416667, 0.000035000, 0.000038333, 0.003835000, 0.000021667, 0.000023333, 0.000110000, 1.000000000, 3.000000000,37.000000000,       100663296,002
001,10.0, 0.000218333, 0.000245000, 0.001708333, 0.367508322, 0.589821696,18.766500473, 0.006171667, 0.006351667, 0.013900000, 0.287731677, 0.562810004,18.735637665, 0.000061667, 0.000088333, 0.000421667, 0.006345000, 0.018776666, 0.207966670, 0.005948334, 0.006131667, 0.013383334, 0.000035000, 0.000038333, 0.003568333, 0.000021667, 0.000023333, 0.000086667, 1.000000000, 3.000000000,34.000000000,       100663296,002
002,10.0, 0.000236667, 0.000245000, 0.004661667, 0.359443337, 0.589444160,18.772632599, 0.006153333, 0.006298333, 0.017689999, 0.342556655, 0.562239170,18.753808975, 0.000060000, 0.000080000, 0.004123333, 0.006400000, 0.018782500, 0.164660007, 0.005955000, 0.006088333, 0.016663333, 0.000035000, 0.000035000, 0.003298333, 0.000021667, 0.000023333, 0.000083333, 1.000000000, 3.000000000,27.000000000,       100663296,002
003,10.0, 0.000220000, 0.000248333, 0.001693333, 0.307069987, 0.590215862,18.761087418, 0.005720000, 0.005831667, 0.101709999, 0.300763339, 0.562203348,18.749050140, 0.000078333, 0.000098333, 0.018165000, 0.006006666, 0.022668334, 0.352225006, 0.005505000, 0.005586667, 0.101281665, 0.000035000, 0.000048333, 0.002695000, 0.000021667, 0.000023333, 0.000067500, 1.000000000, 4.000000000,62.000000000,       100663296,002
004,10.0, 0.000276667, 0.000300000, 0.003680000, 0.312998325, 0.589302480,18.754322052, 0.006193333, 0.006355000, 0.013353333, 0.306233346, 0.563989162,18.735120773, 0.000061667, 0.000081667, 0.000536667, 0.006466667, 0.018926667, 0.188526660, 0.005988333, 0.006135000, 0.012998333, 0.000035000, 0.000046667, 0.003445000, 0.000021667, 0.000023333, 0.000080000, 1.000000000, 3.000000000,31.000000000,       100663296,002
005,10.0, 0.000233333, 0.000246667, 0.006375000, 0.361301661, 0.589446664,18.784437180, 0.006101666, 0.006315000, 0.034293335, 0.354768336, 0.561943352,18.735626221, 0.000058333, 0.000130000, 0.013821667, 0.006330000, 0.019540833, 0.175438330, 0.005890000, 0.006073333, 0.017203333, 0.000035000, 0.000038333, 0.003763333, 0.000021667, 0.000023333, 0.000060000, 1.000000000, 3.000000000,29.000000000,       100663296,002
006,10.0, 0.000221667, 0.000246667, 0.058366667, 0.346403331, 0.589380860,18.773027420, 0.006130000, 0.006296667, 0.014850000, 0.339969993, 0.562298357,18.753890991, 0.000073333, 0.000085000, 0.003271667, 0.006248333, 0.019299166, 0.158226669, 0.005921667, 0.006058333, 0.013150000, 0.000036667, 0.000038333, 0.003705000, 0.000021667, 0.000023333, 0.000075000, 1.000000000, 3.000000000,26.000000000,       100663296,002
007,10.0, 0.000216667, 0.000243333, 0.004411667, 0.306899995, 0.589584172,18.767185211, 0.006178333, 0.006328333, 0.014201666, 0.300063342, 0.562498331,18.735746384, 0.000053333, 0.000081667, 0.003351667, 0.006363333, 0.018833334, 0.217948332, 0.005965000, 0.006101666, 0.011711666, 0.000121667, 0.000125000, 0.002896667, 0.000021667, 0.000023333, 0.000063333, 1.000000000, 3.000000000,36.000000000,       100663296,002
008,10.0, 0.000285000, 0.000298333, 0.004871667, 0.205013335, 0.587541640,18.806537628, 0.007191667, 0.007788333, 0.021983333, 0.160909995, 0.550989151,18.692489624, 0.000060000, 0.000126667, 0.003158333, 0.007658334, 0.031029167, 0.170773327, 0.006995000, 0.007518333, 0.019590000, 0.000035000, 0.000035000, 0.086931668, 0.000021667, 0.000023333, 0.000080000, 1.000000000, 4.000000000,22.000000000,       100663296,002
009,10.0, 0.000223333, 0.000245000, 0.009843334, 0.330593348, 0.588379979,18.752656937, 0.007330000, 0.007666667, 0.384301662, 0.300805002, 0.555836678,18.744436264, 0.000053333, 0.000126667, 0.000405000, 0.007530000, 0.029992500, 0.196140006, 0.007090000, 0.007421667, 0.383716673, 0.000035000, 0.000038333, 0.009286666, 0.000021667, 0.000023333, 0.000080000, 1.000000000, 4.000000000,26.000000000,       100663296,002
010,10.0, 0.000285000, 0.000298333, 0.004693334, 0.262523323, 0.587580025,18.733860016, 0.006031667, 0.007728333, 0.026270000, 0.254611671, 0.552389145,18.710264206, 0.000056667, 0.000131667, 0.012860000, 0.007570000, 0.030069999, 0.808406651, 0.005766666, 0.007476666, 0.017710000, 0.000035000, 0.000038333, 0.010150000, 0.000021667, 0.000023333, 0.000085000, 1.000000000, 4.000000000,107.000000000,       100663296,002
