tid,total_duration(s),min_slock_hold,med,max,min_swait_acq,med,max,min_swait_rel,med,max,min_slwait_acq,med,max,min_slwait_rel,med,max,min_sgwait_acq,med,max,min_sgwait_rel,med,max,min_sdata_read,med,max,min_sdata_write,med,max,min_sglock_tries,med,max,array_size(B),client_id
000,10.0, 0.000015000, 0.000016667, 0.002703333, 0.007338333, 0.008135000,4580.664550781, 0.007908333, 0.009721667, 0.023316666, 0.000056667, 0.000076667,4580.617187500, 0.000078333, 0.001791667, 0.005636666, 0.007098333, 0.007891667, 0.029510001, 0.007041667, 0.007748333, 0.016816666, 0.000040000, 0.000043333, 0.006576667, 0.000025000, 0.000026667, 0.000308333, 1.000000000, 1.000000000, 1.000000000,               0,000
001,10.0, 0.002626667, 0.002626667, 0.002626667,10000.248046875,10000.248046875,10000.248046875, 0.022520000, 0.022520000, 0.022520000,10000.206054688,10000.206054688,10000.206054688, 0.003216667, 0.003216667, 0.003216667, 0.028330000, 0.028330000, 0.028330000, 0.013630000, 0.013630000, 0.013630000, 0.002846667, 0.002846667, 0.002846667, 0.000083333, 0.000083333, 0.000083333, 1.000000000, 1.000000000, 1.000000000,               0,000
002,10.0, 0.000013333, 0.000016667, 0.002623333, 0.007213333, 0.008183333,6270.027832031, 0.007860000, 0.009718333, 0.062413335, 0.000055000, 0.000076667,6269.993164062, 0.000078333, 0.001777500, 0.006106667, 0.006983333, 0.007930000, 0.032186668, 0.007080000, 0.007745000, 0.060048334, 0.000041667, 0.000050000, 0.005126667, 0.000021667, 0.000026667, 0.000306667, 1.000000000, 1.000000000, 1.000000000,               0,000
003,10.0, 0.002040000, 0.002177500, 0.002315000,4578.678710938,5000.308593750,5421.938964844, 0.017852500, 0.018836251, 0.019819999,4578.645507812,5000.281250000,5421.916992188, 0.002495000, 0.002660000, 0.002825000, 0.011895000, 0.016117500, 0.020339999, 0.010807500, 0.011317500, 0.011827500, 0.002902500, 0.002957500, 0.003012500, 0.000047500, 0.000050000, 0.000052500, 1.000000000, 1.000000000, 1.000000000,               0,000
004,10.0, 0.000015000, 0.000016667, 0.002330000, 0.007320000, 0.008121666,4265.670898438, 0.007920000, 0.009711667, 0.024483332, 0.000055000, 0.000076667,4265.642578125, 0.000081667, 0.001795000, 0.010556667, 0.007085000, 0.007886667, 0.017139999, 0.007033333, 0.007733333, 0.019351667, 0.000040000, 0.000041667, 0.003186667, 0.000025000, 0.000026667, 0.000243333, 1.000000000, 1.000000000, 1.000000000,               0,000
005,10.0, 0.000015000, 0.000016667, 0.002756667, 0.007320000, 0.008096667, 0.013821667, 0.007833334, 0.009603334, 0.018066667, 0.000055000, 0.000076667, 0.000353333, 0.000080000, 0.001766667, 0.005910000, 0.007080000, 0.007860000, 0.013550000, 0.006975000, 0.007670000, 0.016085001, 0.000040000, 0.000045000, 0.004710000, 0.000025000, 0.000026667, 0.000126667, 1.000000000, 1.000000000, 1.000000000,               0,000
006,10.0, 0.002336667, 0.002485000, 0.002633333,3639.849853516,5000.375976562,6360.901367188, 0.020330001, 0.021648332, 0.022966666,3639.828125000,5000.350097656,6360.872070312, 0.001873333, 0.002533333, 0.003193333, 0.011316666, 0.014280000, 0.017243333, 0.013290000, 0.013685000, 0.014080000, 0.003060000, 0.003253333, 0.003446667, 0.000056667, 0.000061667, 0.000066667, 1.000000000, 1.000000000, 1.000000000,               0,000
007,10.0, 0.000015000, 0.000016667, 0.002613333, 0.007371667, 0.008140000,4578.736816406, 0.007841666, 0.009666666, 0.022826666, 0.000055000, 0.000078333,4578.699707031, 0.000073333, 0.001754167, 0.008220834, 0.007135000, 0.007890000, 0.021823334, 0.007098333, 0.007713333, 0.013310000, 0.000041667, 0.000046667, 0.003743333, 0.000025000, 0.000026667, 0.000326667, 1.000000000, 1.000000000, 1.000000000,               0,000
008,10.0, 0.002713333, 0.005105000, 0.007496667,4578.138183594,5000.156738281,5422.175781250, 0.023736667, 0.032696668, 0.041656666,4578.065429688,5000.106445312,5422.147949219, 0.003236667, 0.003276667, 0.003316667, 0.013566666, 0.020326667, 0.027086666, 0.014593333, 0.016921667, 0.019250000, 0.003003333, 0.009276667, 0.015550000, 0.000076667, 0.000091667, 0.000106667, 1.000000000, 1.000000000, 1.000000000,               0,000
009,10.0, 0.000020000, 0.000026667, 0.007093333, 0.010255000, 0.011698334,4578.512207031, 0.012080000, 0.013801667, 0.039293334, 0.000100000, 0.000130000,4578.449218750, 0.001927500, 0.002421667, 0.003673333, 0.009935000, 0.011296666, 0.044063333, 0.009945000, 0.011080000, 0.020605000, 0.000060000, 0.000083333, 0.008510000, 0.000035000, 0.000043333, 0.000093333, 1.000000000, 1.000000000, 1.000000000,               0,000
