tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run,nlocks
000, 322961408,    2463,  215.339813,   20.000000,19778.005859,    1.332870,19777.068359,    0.529467,    0.451593,    0.445290,    0.136517,    0.134132,        21,          524288,000,000,000001
001, 322568192,    2460,  225.470901,   20.000000,19766.162109,    1.135367,19765.648438,    0.505915,    0.119138,    0.302085,    0.000000,    0.000000,         0,          524288,000,000,000001
002, 322699264,    2461,  225.386719,   20.000000,19769.462891,    1.084052,19769.019531,    0.493362,    0.034563,    0.240503,    0.000000,    0.000000,         0,          524288,000,000,000001
003, 322568192,    2460,  223.173996,   20.000000,19768.279297,    1.113430,19767.859375,    0.544445,    0.042992,    0.247305,    0.000000,    0.000000,         0,          524288,000,000,000001
004, 322699264,    2461,  222.554016,   20.000000,19769.824219,    1.011502,19769.414062,    0.439218,    0.032447,    0.243215,    0.000000,    0.000000,         0,          524288,000,000,000001
005, 322699264,    2461,  222.277206,   20.000000,19770.392578,    1.012272,19769.976562,    0.437320,    0.054412,    0.257068,    0.000000,    0.000000,         0,          524288,000,000,000001
006, 322699264,    2461,  223.041153,   20.000000,19771.582031,    1.172403, 3737.978027,    0.573398,16033.362305,    0.211471,  301.979370,    0.000000,   1769832,          524288,000,000,000001
007, 322830336,    2462,  226.180801,   20.000000,19766.396484,    1.261402,19765.884766,    0.634870,    0.090829,    0.309400,    0.000000,    0.000000,         0,          524288,000,000,000001
008, 322699264,    2461,  222.357651,   20.000000,19769.550781,    1.260243,19769.130859,    0.687857,    0.031675,    0.246087,    0.000000,    0.000000,         0,          524288,000,000,000001
009, 322699264,    2461,  224.111740,   20.000000,19768.275391,    1.066257,19767.828125,    0.476698,    0.034055,    0.257975,    0.000000,    0.000000,         0,          524288,000,000,000001
010, 322699264,    2461,  230.041092,   20.000000,19762.525391,    1.074713,19762.097656,    0.496758,    0.032763,    0.282150,    0.000000,    0.000000,         0,          524288,000,000,000001
011, 322830336,    2462,  230.304794,   20.000000,19761.751953,    1.115080,19764.685547,    0.509352,    0.033913,    0.284090,    0.000000,    0.000000,         0,          524288,000,000,000001
012, 322699264,    2461,  229.289917,   20.000000,19762.720703,    1.125115,19762.320312,    0.410942,    0.032995,    0.262480,    0.000000,    0.000000,         0,          524288,000,000,000001
013, 322699264,    2461,  222.375626,   20.000000,19440.378906,  331.231964,19440.005859,    0.342502,    0.031840,  330.633331,    0.000000,  310.287659,         0,          524288,000,000,000001
014, 322699264,    2461,  222.129700,   20.000000,19770.101562,    1.008328,19769.693359,    0.441092,    0.035035,    0.236083,    0.000000,    0.000000,         0,          524288,000,000,000001
015, 322699264,    2461,  229.910400,   20.000000,19762.458984,    1.075273,19762.048828,    0.463288,    0.032697,    0.282022,    0.000000,    0.000000,         0,          524288,000,000,000001
000, 539623424,    4116,  371.695312,   20.000000,19619.523438,    1.777660,19618.740234,    0.807072,    0.070893,    0.412550,    0.000000,    0.000000,         0,          524288,000,001,000001
001, 539754496,    4117,  375.586365,   20.000000,19615.789062,    1.842557,19614.966797,    0.928355,    0.220883,    0.457808,    0.000000,    0.000000,         0,          524288,000,001,000001
002, 539754496,    4117,  373.728271,   20.000000,19616.941406,    1.760125,19616.126953,    0.760397,    0.221107,    0.517723,    0.000000,    0.000000,         0,          524288,000,001,000001
003, 539754496,    4117,  374.984680,   20.000000,19615.703125,    1.780012,19614.916016,    0.853923,    0.193692,    0.519230,    0.000000,    0.000000,         0,          524288,000,001,000001
004, 539492352,    4115,  372.360565,   20.000000,19618.136719,    1.688866,19617.402344,    0.690137,    0.158643,    0.479236,    0.000000,    0.000000,         0,          524288,000,001,000001
005, 539754496,    4117,  373.806671,   20.000000,19617.423828,    1.816338,19616.746094,    0.889933,    0.114993,    0.428825,    0.000000,    0.000000,         0,          524288,000,001,000001
006, 539623424,    4116,  371.197693,   20.000000,19620.259766,    1.543357,19619.623047,    0.658493,    0.056583,    0.361190,    0.000000,    0.000000,         0,          524288,000,001,000001
007, 539885568,    4118,  377.357269,   20.000000,19614.175781,    1.734815,19612.962891,    0.754567,    0.611253,    0.506105,    0.156985,    0.000000,        24,          524288,000,001,000001
008, 539492352,    4115,  378.690216,   20.000000,19610.937500,    2.042087,19610.287109,    1.158460,    0.055178,    0.372122,    0.000000,    0.000000,         0,          524288,000,001,000001
009, 539492352,    4115,  375.418182,   20.000000,19614.933594,    1.596062,19614.261719,    0.703798,    0.054782,    0.373318,    0.000000,    0.000000,         0,          524288,000,001,000001
010, 539492352,    4115,  375.737823,   20.000000,19614.107422,    1.780678,19613.490234,    0.862902,    0.053645,    0.409470,    0.000000,    0.000000,         0,          524288,000,001,000001
011, 539623424,    4116,  380.153595,   20.000000,19610.517578,    1.879252,19609.914062,    0.932032,    0.055732,    0.444883,    0.000000,    0.000000,         0,          524288,000,001,000001
012, 539492352,    4115,  386.278259,   20.000000,19603.597656,    1.614066, 9098.682617,    0.824829,10504.542969,    0.190578,  509.691772,    0.000000,   1227503,          524288,000,001,000001
013, 539492352,    4115,  375.701508,   20.000000,19614.640625,    1.560477,19613.937500,    0.673955,    0.054488,    0.385017,    0.000000,    0.000000,         0,          524288,000,001,000001
014, 539623424,    4116,  379.344574,   20.000000,19611.699219,    1.666342,19611.087891,    0.750012,    0.054367,    0.447355,    0.000000,    0.000000,         0,          524288,000,001,000001
015, 539623424,    4116,  388.187042,   20.000000,16199.328125, 3405.345215,16198.724609,    0.643788,    0.056903, 3404.287842,    0.000000, 3369.727783,         0,          524288,000,001,000001
000, 315621376,    2407,  212.901306,   20.000000,19770.445312,    1.109290,19769.914062,    0.502800,    0.083985,    0.263220,    0.000000,    0.000000,         0,          524288,000,002,000001
001, 315752448,    2408,  221.078796,   20.000000,19762.138672,    1.162278,19761.630859,    0.520793,    0.122245,    0.325863,    0.000000,    0.000000,         0,          524288,000,002,000001
002, 315752448,    2408,  219.225006,   20.000000,19764.320312,    1.111812,19763.861328,    0.495263,    0.080265,    0.266527,    0.000000,    0.000000,         0,          524288,000,002,000001
003, 315621376,    2407,  217.746887,   20.000000,19765.818359,    1.063491,19765.427734,    0.498648,    0.034954,    0.252319,    0.000000,    0.000000,         0,          524288,000,002,000001
004, 315490304,    2406,  218.720871,   20.000000,19763.871094,    1.032723,19763.425781,    0.436935,    0.078603,    0.274697,    0.000000,    0.000000,         0,          524288,000,002,000001
005, 315621376,    2407,  219.372559,   20.000000,19763.740234,    1.165245,19763.310547,    0.548410,    0.078012,    0.280735,    0.000000,    0.000000,         0,          524288,000,002,000001
006, 315621376,    2407,  218.521973,   20.000000,19765.195312,    0.985760,19764.794922,    0.445187,    0.038575,    0.210420,    0.000000,    0.000000,         0,          524288,000,002,000001
007, 315883520,    2409,  220.600647,   20.000000,19763.603516,    1.094455,19762.792969,    0.503885,    0.422660,    0.284260,    0.123095,    0.000000,        19,          524288,000,002,000001
008, 315621376,    2407,  223.537537,   20.000000,19759.732422,    1.280168,19759.333984,    0.707085,    0.031708,    0.255878,    0.000000,    0.000000,         0,          524288,000,002,000001
009, 315490304,    2406,  228.447632,   20.000000,19753.812500,    0.988180, 3656.881104,    0.506610,16096.705078,    0.120528,  297.909668,    0.000000,   1612636,          524288,000,002,000001
010, 315490304,    2406,  224.505630,   20.000000,19758.015625,    1.056254,19757.576172,    0.480373,    0.032709,    0.255264,    0.000000,    0.000000,         0,          524288,000,002,000001
011, 315621376,    2407,  218.053146,   20.000000,19443.703125,  323.110931,19443.349609,    0.374153,    0.031543,  322.468018,    0.000000,  302.743652,         0,          524288,000,002,000001
012, 315621376,    2407,  218.997192,   20.000000,19764.593750,    1.085122,19764.193359,    0.522967,    0.031858,    0.228413,    0.000000,    0.000000,         0,          524288,000,002,000001
013, 315490304,    2406,  220.414505,   20.000000,19761.904297,    0.981983,19761.517578,    0.440205,    0.031098,    0.219288,    0.000000,    0.000000,         0,          524288,000,002,000001
014, 315621376,    2407,  224.729385,   20.000000,19758.294922,    1.060585,19757.923828,    0.472468,    0.032403,    0.255293,    0.000000,    0.000000,         0,          524288,000,002,000001
015, 315621376,    2407,  224.502213,   20.000000,19758.515625,    1.150133,19758.134766,    0.546113,    0.031732,    0.275586,    0.000000,    0.000000,         0,          524288,000,002,000001
000, 455868416,    3477,  315.168091,   20.000000,19665.693359,    1.523730,19665.076172,    0.717903,    0.053342,    0.322053,    0.000000,    0.000000,         0,          524288,001,000,000001
001, 456523776,    3482,  315.916290,   20.000000,19665.798828,    2.199488,19665.044922,    0.835037,    0.202340,    0.883687,    0.125143,    0.519853,         1,          524288,001,000,000001
002, 455868416,    3477,  296.017334,   20.000000,19683.753906,    1.737670,10552.534180,    0.835722, 9130.780273,    0.374733,  327.933472,    0.000000,   1413733,          524288,001,000,000001
003, 455999488,    3478,  315.889160,   20.000000,19665.242188,    1.596668,19664.560547,    0.770125,    0.094657,    0.348120,    0.000000,    0.000000,         0,          524288,001,000,000001
004, 455999488,    3478,  317.327454,   20.000000,19663.716797,    1.566365,19663.066406,    0.681932,    0.156988,    0.414752,    0.000000,    0.000000,         0,          524288,001,000,000001
005, 455868416,    3477,  315.708679,   20.000000,19664.847656,    1.487017,19664.212891,    0.647503,    0.114317,    0.380845,    0.000000,    0.000000,         0,          524288,001,000,000001
006, 455868416,    3477,  315.420593,   20.000000,19665.142578,    1.607792,19664.611328,    0.804137,    0.053232,    0.309247,    0.000000,    0.000000,         0,          524288,001,000,000001
007, 455868416,    3477,  316.692291,   20.000000,19663.642578,    1.557982,19662.923828,    0.665163,    0.190583,    0.431975,    0.000000,    0.000000,         0,          524288,001,000,000001
008, 455999488,    3478,  317.120911,   20.000000,19191.433594,  474.500427,19190.919922,    0.752592,    0.046390,  473.260742,    0.000000,  442.465851,         0,          524288,001,000,000001
009, 456130560,    3479,  322.979156,   20.000000,19657.943359,    1.886617,19657.404297,    1.039517,    0.046880,    0.385528,    0.000000,    0.000000,         0,          524288,001,000,000001
010, 455999488,    3478,  327.057800,   20.000000,19653.476562,    1.627875,14384.346680,    0.812545, 5268.651855,    0.335780,   99.122345,    0.000000,    633837,          524288,001,000,000001
011, 455999488,    3478,  324.721222,   20.000000,19656.339844,    1.594662,19655.783203,    0.691088,    0.049142,    0.408630,    0.000000,    0.000000,         0,          524288,001,000,000001
012, 455999488,    3478,  315.652740,   20.000000,19665.634766,    1.613492,19665.042969,    0.808925,    0.054518,    0.330177,    0.000000,    0.000000,         0,          524288,001,000,000001
013, 455999488,    3478,  316.284027,   20.000000,19664.945312,    1.553477,19664.345703,    0.762680,    0.046547,    0.341190,    0.000000,    0.000000,         0,          524288,001,000,000001
014, 455999488,    3478,  315.014130,   20.000000,19666.386719,    1.540315,19665.791016,    0.731697,    0.054603,    0.324558,    0.000000,    0.000000,         0,          524288,001,000,000001
015, 455999488,    3478,  315.353149,   20.000000,19666.197266,    1.528322,19665.636719,    0.741963,    0.050158,    0.310270,    0.000000,    0.000000,         0,          524288,001,000,000001
000, 174587904,    1331,  120.608841,   20.000000,19875.488281,    0.630922,19875.238281,    0.310453,    0.024822,    0.133190,    0.000000,    0.000000,         0,          524288,001,001,000001
001, 174850048,    1333,  121.490456,   20.000000,19875.171875,    0.667372,19874.890625,    0.320168,    0.074407,    0.158283,    0.000000,    0.000000,         0,          524288,001,001,000001
002, 175374336,    1337,  118.469772,   20.000000,19878.412109,    1.137790,19877.945312,    0.278508,    0.236162,    0.675613,    0.121655,    0.410680,         1,          524288,001,001,000001
003, 174718976,    1332,  121.686386,   20.000000,19874.197266,    0.634795,19873.902344,    0.263147,    0.089187,    0.185953,    0.000000,    0.000000,         0,          524288,001,001,000001
004, 174718976,    1332,  120.594269,   20.000000,19871.066406,    0.620652,19875.966797,    0.310758,    0.026920,    0.129603,    0.000000,    0.000000,         0,          524288,001,001,000001
005, 174850048,    1333,  123.084068,   20.000000, 9620.118164,10249.680664, 9619.925781,    0.223184,    0.019643,10249.312500,    0.000000, 7307.339844,         0,          524288,001,001,000001
006, 174587904,    1331,  120.663895,   20.000000,19871.070312,    0.560083,19870.873047,    0.262155,    0.017623,    0.123952,    0.000000,    0.000000,         0,          524288,001,001,000001
007, 174587904,    1331,  121.200050,   20.000000,19870.312500,    0.639600,19870.056641,    0.304962,    0.057687,    0.157643,    0.000000,    0.000000,         0,          524288,001,001,000001
008, 174587904,    1331,  120.722107,   20.000000,19874.726562,    0.695398,19874.509766,    0.393825,    0.018780,    0.123275,    0.000000,    0.000000,         0,          524288,001,001,000001
009, 174587904,    1331,  122.153946,   20.000000,19873.460938,    0.696547,19873.242188,    0.382945,    0.018528,    0.137905,    0.000000,    0.000000,         0,          524288,001,001,000001
010, 174456832,    1330,  123.035957,   20.000000,19867.976562,    0.653465,19867.785156,    0.347704,    0.019418,    0.129482,    0.000000,    0.000000,         0,          524288,001,001,000001
011, 174587904,    1331,  123.150719,   20.000000,19872.242188,    0.625565,19872.015625,    0.293267,    0.019030,    0.147927,    0.000000,    0.000000,         0,          524288,001,001,000001
012, 174587904,    1331,  120.909309,   20.000000,19874.837891,    0.685532,19874.632812,    0.298188,    0.018223,    0.134127,    0.000000,    0.000000,         0,          524288,001,001,000001
013, 174587904,    1331,  124.927269,   20.000000,19870.248047,    0.601478,12084.828125,    0.306797, 7785.304688,    0.108238,  166.597260,    0.000000,    425645,          524288,001,001,000001
014, 174587904,    1331,  120.248756,   20.000000,19875.335938,    0.573170,19875.082031,    0.273368,    0.017825,    0.113675,    0.000000,    0.000000,         0,          524288,001,001,000001
015, 174587904,    1331,  120.883255,   20.000000,19874.652344,    0.622822,19874.447266,    0.312632,    0.019203,    0.114735,    0.000000,    0.000000,         0,          524288,001,001,000001
000, 469762048,    3583,  324.988159,   20.000000,19669.371094,    1.659298,19668.742188,    0.825923,    0.049739,    0.339372,    0.000000,    0.000000,         0,          524288,001,002,000001
001, 469630976,    3582,  328.265198,   20.000000,19665.136719,    1.831769,19664.335938,    0.831166,    0.269269,    0.499716,    0.000000,    0.000000,         0,          524288,001,002,000001
002, 469893120,    3584,  324.441681,   20.000000,19670.025391,    1.518203,19669.380859,    0.704348,    0.055405,    0.337463,    0.000000,    0.000000,         0,          524288,001,002,000001
003, 469630976,    3582,  329.355042,   20.000000,19663.537109,    1.673886,19662.761719,    0.666781,    0.248981,    0.526318,    0.000000,    0.000000,         0,          524288,001,002,000001
004, 469630976,    3582,  325.545532,   20.000000,19668.240234,    1.682787,19667.699219,    0.820728,    0.047962,    0.358689,    0.000000,    0.000000,         0,          524288,001,002,000001
005, 469762048,    3583,  327.551025,   20.000000,19665.892578,    1.744403,19665.160156,    0.781767,    0.237945,    0.485560,    0.000000,    0.000000,         0,          524288,001,002,000001
