tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run,nlocks
000, 626917376,    4782,  431.996033,   20.000000,19560.812500,    2.322408,19559.906250,    0.923427,    0.211497,    0.746492,    0.124530,    0.249643,         1,          524288,000,000,000001
001, 626262016,    4777,  429.671082,   20.000000,19561.681641,    2.044999,16906.468750,    0.957988, 2654.598633,    0.411912,  140.654480,    0.000000,    383014,          524288,000,000,000001
002, 626393088,    4778,  428.814575,   20.000000,19562.980469,    2.039808,16893.107422,    0.981946, 2669.250000,    0.419522,  140.317444,    0.000000,    385783,          524288,000,000,000001
003, 626393088,    4778,  429.311371,   20.000000,19562.482422,    2.010723,19561.785156,    0.894418,    0.062083,    0.430385,    0.000000,    0.000000,         0,          524288,000,000,000001
004, 626393088,    4778,  431.124908,   20.000000,19408.054688,  154.819794,19407.398438,    0.870507,    0.062042,  153.330170,    0.000000,  144.777206,         0,          524288,000,000,000001
005, 626393088,    4778,  431.383057,   20.000000,19409.074219,  153.765594,19408.419922,    0.967605,    0.062097,  152.150406,    0.000000,  143.640503,         0,          524288,000,000,000001
006, 626393088,    4778,  429.056549,   20.000000,19563.177734,    2.028063,19562.509766,    0.901475,    0.062890,    0.488250,    0.000000,    0.000000,         0,          524288,000,000,000001
007, 626393088,    4778,  431.385376,   20.000000,19560.423828,    2.011862,19559.753906,    0.890470,    0.062200,    0.477907,    0.000000,    0.000000,         0,          524288,000,000,000001
008, 627572736,    4787,  439.978729,   20.000000,19547.458984,    2.093666,16342.577148,    1.031808, 3204.243408,    0.398097,  131.664459,    0.000000,    368485,          524288,000,000,000001
009, 627703808,    4788,  432.648407,   20.000000,19518.476562,   39.112469,19517.753906,    0.882843,    0.063252,   37.630390,    0.000000,   34.801640,         0,          524288,000,000,000001
010, 627572736,    4787,  433.300598,   20.000000,19411.238281,  144.978302,19006.091797,    0.842373,  404.552032,  143.495499,   34.421432,  134.061127,     45556,          524288,000,000,000001
011, 627441664,    4786,  434.656738,   20.000000,19516.597656,   38.191414,19153.003906,    0.896585,  362.975372,   36.614212,   53.525959,   34.163239,     38394,          524288,000,000,000001
012, 627703808,    4788,  437.938385,   20.000000,19550.207031,    2.037196,16831.730469,    0.947130, 2717.874023,    0.457473,   59.477821,    0.000000,    326243,          524288,000,000,000001
013, 627572736,    4787,  431.870178,   20.000000,19555.685547,    1.985450,19554.998047,    0.907212,    0.061988,    0.471837,    0.000000,    0.000000,         0,          524288,000,000,000001
