tid,total_duration(s),min_slock_hold,med,max,min_swait_acq,med,max,min_swait_rel,med,max,min_slwait_acq,med,max,min_slwait_rel,med,max,min_sgwait_acq,med,max,min_sgwait_rel,med,max,min_sdata_read,med,max,min_sdata_write,med,max,min_sglock_tries,med,max,array_size(B),client_id,nlocks
000,20.0, 0.090340003, 0.090879165, 0.096531667, 1.596709967, 1.621321678, 1.645683289, 0.000378333, 0.000452500, 0.000476667, 1.596551657, 1.621150017, 1.645521641, 0.000168333, 0.000223333, 0.000235000, 0.000000000, 0.000000000, 0.019430000, 0.000000000, 0.000000000, 0.008046667, 0.000000000, 0.000000000, 0.124336667, 0.000000000, 0.000000000, 0.123646669, 0.000000000, 0.000000000, 1.000000000,          524288,000,000001
001,20.0, 0.085698336, 0.091062501, 0.093369998, 1.596853375, 1.619873285, 1.647636652, 0.000361667, 0.000451667, 0.000560000, 1.596736670, 1.619713306, 1.647513390, 0.000190000, 0.000205833, 0.000228333, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,          524288,000,000001
002,20.0, 0.086015001, 0.088762499, 0.097098336, 1.597040057, 1.621678352, 1.640789986, 0.000343333, 0.000457500, 0.000528333, 1.596925020, 1.621437550, 1.640676618, 0.000166667, 0.000210833, 0.000230000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,          524288,000,000001
003,20.0, 0.088803336, 0.089864165, 0.091475002, 1.597195029, 1.622418284, 1.650626659, 0.000418333, 0.000433333, 0.000446667, 1.597068310, 1.622285008, 1.650461674, 0.000176667, 0.000190833, 0.000211667, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,          524288,000,000001
004,20.0, 0.085983336, 0.088433333, 0.093403332, 1.599453330, 1.626284122, 1.639956713, 0.000358333, 0.000443333, 0.000871667, 1.599329948, 1.626051664, 1.639836669, 0.000191667, 0.000215000, 0.000238333, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,          524288,000,000001
005,20.0, 0.092641667, 0.094485000, 0.095941670, 1.460481644, 1.485697508, 1.515533328, 0.129871666, 0.130682498, 0.131235003, 1.460165024, 1.485347509, 1.515205026, 0.000146667, 0.000150833, 0.000180000, 0.000000000, 0.000000000, 0.000000000, 0.006205000, 0.006949167, 0.007035000, 0.000000000, 0.000000000, 0.000000000, 0.123026669, 0.123180836, 0.123806670, 0.000000000, 0.000000000, 0.000000000,          524288,000,000001
006,20.0, 0.080918334, 0.081061669, 0.081301667, 1.604478359, 1.629907489, 1.661571622, 0.000348333, 0.000380000, 0.000430000, 1.475090027, 1.499996662, 1.531730056, 0.000173333, 0.000190000, 0.000218333, 0.006855000, 0.007174167, 0.007925000, 0.000000000, 0.000000000, 0.000000000, 0.121861666, 0.121908337, 0.122336663, 0.000000000, 0.000000000, 0.000000000, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
007,20.0, 0.088940002, 0.089780830, 0.091333330, 1.597156644, 1.625547528, 1.638928294, 0.000401667, 0.000430000, 0.000461667, 1.597041726, 1.625399113, 1.638743281, 0.000196667, 0.000205833, 0.000228333, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,          524288,000,000001
008,20.0, 0.084466666, 0.089727499, 0.094021663, 1.599378347, 1.621180892, 1.645326614, 0.000368333, 0.000470000, 0.000518333, 1.599280000, 1.621069193, 1.645215034, 0.000200000, 0.000219167, 0.000286667, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,          524288,000,000001
009,20.0, 0.087703332, 0.090458333, 0.095109999, 1.598804951, 1.615962505, 1.639723301, 0.000430000, 0.000480000, 0.000625000, 1.598678350, 1.615840793, 1.639580011, 0.000175000, 0.000265833, 0.000295000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,          524288,000,000001
