tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run,nlocks
000,  26345472,     200,   20.947016,   20.000000,12019.343750,   26.905056,11992.809570,    0.047310,   26.509819,   26.946507,   24.562815,   24.964888,       200,          524288,000,000,000001
001, 169476096,    1292,  147.740234,   20.000000,17440.919922,  170.898941,17271.541016,    0.276255,  169.242615,  170.573135,  158.799759,  159.913040,      1292,          524288,000,000,000001
002, 349569024,    2666,  304.480408,   20.000000,19256.953125,  353.302734,18907.289062,    0.568201,  349.387115,  352.422546,  327.940063,  330.507629,      2666,          524288,000,000,000001
003, 340918272,    2600,  296.086334,   20.000000,17503.384766,  344.514069,17162.359375,    0.596580,  340.765198,  343.608093,  319.633301,  322.189636,      2600,          524288,000,000,000001
004, 616431616,    4702,  540.850098,   20.000000, 6470.202148,  622.281006, 5853.577637,    0.989605,  616.149109,  620.766663,  578.813538,  582.782349,      4702,          524288,000,000,000001
005, 419561472,    3200,  367.825928,   20.000000,16251.139648,  424.124573,15831.239258,    0.695225,  419.576965,  423.025665,  393.535645,  396.562225,      3200,          524288,000,000,000001
006, 372375552,    2840,  324.992798,   20.000000,17413.687500,  376.493164,17041.216797,    0.608453,  372.165833,  375.518707,  349.154114,  351.921356,      2840,          524288,000,000,000001
007, 536477696,    4092,  468.928528,   20.000000,18984.275391,  542.254456,18447.808594,    0.952329,  536.170959,  540.865784,  503.104797,  507.205872,      4093,          524288,000,000,000001
008,  49676288,     378,   43.616756,   20.000000,14927.342773,   51.697941,14876.332031,    0.085711,   50.963085,   51.669106,   47.126781,   47.744202,       378,          524288,000,000,000001
009, 406585344,    3101,  371.944427,   20.000000,13989.352539,  420.131165,13574.121094,    0.593994,  414.909485,  419.260071,  385.078308,  389.142334,      3101,          524288,000,000,000001
010, 935329792,    7135,  857.034912,   20.000000,18105.458984,  964.533630,17151.464844,    1.458199,  953.325134,  962.109863,  886.487366,  894.442444,      7135,          524288,000,000,000001
011,  42860544,     326,   37.909908,   20.000000,14505.338867,   44.077446,14461.794922,    0.060470,   43.514957,   44.101803,   40.440212,   40.878033,       326,          524288,000,000,000001
012,  91881472,     700,   82.933189,   20.000000,18200.482422,   94.965263,18106.763672,    0.145170,   93.654137,   94.847710,   86.954201,   87.910057,       700,          524288,000,000,000001
013,1533673472,   11700, 1406.757812,   20.000000,16593.923828, 1583.825806,15027.020508,    2.278962, 1565.830566, 1579.964722, 1454.090820, 1467.669922,     11700,          524288,000,000,000001
014, 144310272,    1100,  132.063339,   20.000000, 7782.624512,  148.958847, 7635.386719,    0.217564,  147.129074,  148.716339,  136.587906,  137.966827,      1100,          524288,000,000,000001
015, 773718016,    5902,  711.341919,   20.000000,10338.661133,  798.009521, 9550.571289,    1.128163,  787.549500,  796.241638,  732.111206,  740.105957,      5902,          524288,000,000,000001
000, 308281344,    2351,  262.017639,   20.000000,18606.287109,  318.207214,18292.800781,    0.526720,  313.192108,  317.291779,  289.617401,  294.473602,      2351,          524288,000,001,000001
001, 524419072,    4000,  460.820740,   20.000000, 6751.729980,  529.264160, 6227.151855,    0.893739,  524.153015,  527.896790,  491.574982,  495.017914,      4000,          524288,000,001,000001
002, 104988672,     800,   89.024986,   20.000000,19689.519531,  105.976013,19584.664062,    0.173564,  104.774323,  105.792641,   98.324234,   99.193375,       800,          524288,000,001,000001
003, 314703872,    2400,  275.921936,   20.000000,18051.914062,  318.164612,17736.970703,    0.580515,  314.706573,  317.302338,  295.072784,  297.501831,      2400,          524288,000,001,000001
004, 655491072,    5000,  574.327271,   20.000000,18303.179688,  661.452881,17648.615234,    1.138674,  654.062744,  659.637451,  614.435425,  619.624451,      5000,          524288,000,001,000001
005, 393347072,    3000,  342.243195,   20.000000,19227.593750,  396.806519,18834.394531,    0.654661,  392.900909,  395.780853,  368.640930,  371.501953,      3000,          524288,000,001,000001
006, 144310272,    1100,  124.908051,   20.000000,18453.607422,  145.660507,18309.419922,    0.226413,  144.082520,  145.383987,  135.115875,  136.250900,      1100,          524288,000,001,000001
007, 593362944,    4526,  518.882690,   20.000000,17523.824219,  598.956665,16930.625000,    1.079850,  592.727966,  597.349121,  556.181335,  560.542236,      4526,          524288,000,001,000001
008, 157417472,    1200,  141.006271,   20.000000,19247.371094,  164.421860,19085.208984,    0.284313,  162.018555,  164.012634,  149.789047,  151.657501,      1200,          524288,000,001,000001
009, 854065152,    6515,  784.531189,   20.000000,18327.945312,  881.739868,17455.853516,    1.297662,  871.566284,  879.685303,  809.107544,  816.934265,      6516,          524288,000,001,000001
010,  78774272,     600,   70.731743,   20.000000,17339.775391,   81.672997,17259.628906,    0.130645,   80.090714,   81.583572,   74.458504,   75.770470,       600,          524288,000,001,000001
011, 407896064,    3111,  371.096039,   20.000000,17895.074219,  421.492279,17478.812500,    0.643748,  415.968811,  420.522156,  386.225616,  390.517578,      3111,          524288,000,001,000001
012, 771883008,    5888,  706.169617,   20.000000,17305.310547,  799.107544,16516.173828,    1.565560,  788.599915,  796.759155,  731.990845,  739.662476,      5888,          524288,000,001,000001
013, 413532160,    3154,  376.453949,   20.000000,18629.039062,  428.492493,18206.669922,    0.619110,  422.072632,  427.553589,  391.923645,  397.354401,      3154,          524288,000,001,000001
014,  13238272,     100,   11.481443,   20.000000,15375.413086,   13.516678,15362.045898,    0.021248,   13.357476,   13.614103,   12.407568,   12.531558,       100,          524288,000,001,000001
015,1078722560,    8229,  992.212463,   20.000000,12044.594727, 1111.213135,10946.600586,    1.673320, 1097.250366, 1108.583984, 1020.255981, 1030.553955,      8229,          524288,000,001,000001
000, 331218944,    2526,  282.052521,   20.000000,13644.134766,  342.730591,13307.255859,    0.598554,  336.570190,  341.695190,  311.173370,  316.347443,      2526,          524288,000,002,000001
001, 996278272,    7600,  872.050903,   20.000000,16809.189453, 1005.015869,15812.481445,    1.623620,  995.907715, 1002.395203,  934.025513,  940.333435,      7600,          524288,000,002,000001
002, 196739072,    1500,  171.056168,   20.000000,18716.710938,  198.866180,18519.939453,    0.307310,  196.615356,  198.442703,  184.379913,  186.058182,      1500,          524288,000,002,000001
003, 157417472,    1200,  134.934845,   20.000000,16885.136719,  158.712021,16727.736328,    0.277635,  157.285233,  158.358139,  147.508789,  148.575470,      1200,          524288,000,002,000001
004, 469106688,    3578,  410.030396,   20.000000,19112.453125,  473.021545,18643.996094,    0.840739,  468.228210,  471.725281,  439.736664,  443.238831,      3579,          524288,000,002,000001
005, 485097472,    3700,  425.914948,   20.000000,16582.511719,  490.077271,16097.121094,    0.732582,  485.023254,  488.847351,  454.942291,  458.777588,      3700,          524288,000,002,000001
006, 288489472,    2200,  249.569199,   20.000000,11039.235352,  291.402130,10750.698242,    0.485467,  288.326019,  290.645935,  270.493317,  272.480652,      2200,          524288,000,002,000001
007, 104988672,     800,   90.388535,   20.000000,15397.918945,  105.789658,15293.127930,    0.168898,  104.708786,  105.623177,   98.299469,   99.052383,       800,          524288,000,002,000001
008, 867434496,    6617,  787.975159,   20.000000,17891.373047,  907.217834,16995.681641,    1.647340,  894.915955,  904.277954,  827.312378,  837.095337,      6617,          524288,000,002,000001
009, 452198400,    3449,  414.499878,   20.000000,17863.650391,  466.764038,17402.042969,    0.695091,  461.260437,  465.731049,  428.176605,  432.496948,      3449,          524288,000,002,000001
010, 529268736,    4037,  483.545929,   20.000000,18238.396484,  544.768188,17698.820312,    0.906748,  539.199402,  543.401978,  501.398621,  505.172119,      4037,          524288,000,002,000001
011,   5767168,      43,    4.569711,   20.000000,18694.550781,    5.795800,18688.812500,    0.008217,    5.735277,    5.916435,    5.329296,    5.384284,        43,          524288,000,002,000001
012, 104988672,     800,   95.369553,   20.000000,16792.609375,  108.246536,16685.597656,    0.157461,  106.939987,  108.096115,   99.293121,  100.314148,       800,          524288,000,002,000001
013, 180879360,    1379,  164.328644,   20.000000,17908.359375,  186.458374,17723.724609,    0.272752,  184.498367,  186.117126,  171.285126,  172.874466,      1379,          524288,000,002,000001
014,1077411840,    8219,  990.739075,   20.000000,11312.827148, 1112.315918,10213.275391,    1.787046, 1098.755493, 1109.447754, 1020.418213, 1030.637695,      8219,          524288,000,002,000001
015, 563740672,    4300,  516.921753,   20.000000,15624.934570,  580.405518,15051.115234,    0.887598,  573.421570,  579.077026,  533.062744,  538.294006,      4300,          524288,000,002,000001
000,  54919168,     418,   56.768028,   20.000000,12887.383789, 3537.041016,12549.069336,    0.311808,  338.239655, 3536.754395,  325.160126, 3523.210938,       418,          524288,000,000,000512
001,  10485760,      79,   10.973042,   20.000000, 7774.725098, 4364.450195, 4301.435547,    0.085878, 3473.270996, 4364.482910, 3466.048584, 4357.928711,        79,          524288,000,000,000512
002,  80478208,     613,   80.005814,   20.000000, 8874.476562, 3559.315186, 8493.769531,    0.375595,  380.637146, 3558.962891,  366.677551, 3544.890381,       613,          524288,000,000,000512
003,  56360960,     429,   56.906975,   20.000000, 4639.395020, 7842.157227, 4318.220703,    0.290466,  321.120178, 7842.014648,  308.823517, 7830.198730,       429,          524288,000,000,000512
004,   4325376,      32,    4.565853,   20.000000,   61.688686,16358.526367,    4.920280,    0.082808,   56.763859,16358.569336,   53.222473,16354.454102,        32,          524288,000,000,000512
005,  40894464,     311,   42.543808,   20.000000,16299.591797,  139.923019,16006.384766,    0.189596,  293.168488,  139.807785,  282.417969,  129.127731,       311,          524288,000,000,000512
006,  22544384,     171,   24.030493,   20.000000,  224.678696,12091.692383,   11.968513,    0.149285,  213.692902,20497.875000,  205.787689,12082.991211,       172,          524288,000,000,000512
007,  59375616,     452,   60.557175,   20.000000,16260.918945,  173.903778,15926.126953,    0.267140,  334.728119,  173.686600,  321.994934,  160.182343,       452,          524288,000,000,000512
008,  35520512,     270,   41.558578,   20.000000,12011.519531,   90.552063,11832.040039,    0.163793,  181.316391, 8692.159180,  170.438034,   80.992096,       271,          524288,000,000,000512
009,   6553600,      49,    8.828772,   20.000000,12105.531250,   29.404976,    1.441780,    0.074986,12105.653320, 8631.383789,12099.397461,   22.643377,        50,          524288,000,000,000512
010,  13762560,     104,   16.644535,   20.000000,12087.124023,   39.498768,11975.160156,    0.082123,  113.504585, 8641.491211,  107.301010,   32.681282,       105,          524288,000,000,000512
011,  27525120,     209,   32.282852,   20.000000,  250.979782,12108.090820,    2.261095,    0.142548,  248.692932,12108.046875,  239.582565,12099.062500,       209,          524288,000,000,000512
012,  45744128,     348,   54.442867,   20.000000, 4537.787109, 7838.479980, 4221.619141,    0.205104,  316.123962, 7838.358398,  305.068115, 7826.855469,       348,          524288,000,000,000512
013,   9306112,      70,   11.688211,   20.000000,12137.387695,   37.391788,    5.971303,    0.060433,12131.406250,   37.456936,12124.784180,   29.543814,        70,          524288,000,000,000512
014,  74711040,     569,   72.782616,   20.000000, 4446.131836,12133.970703, 4224.713379,    0.309163,  221.354797,12133.714844,  208.367981,12121.946289,       569,          524288,000,000,000512
015,  31850496,     242,   37.889870,   20.000000,12049.992188,   84.799187, 4183.461914,    0.163404, 7866.502930,   84.848839, 7857.133301,   75.936951,       242,          524288,000,000,000512
000,  64618496,     492,   69.541534,   20.000000,17296.765625,  207.827850,16731.296875,    0.363315,  565.388428,  207.464233,  536.572266,  177.285721,       492,          524288,000,001,000512
001,  55705600,     424,   59.768833,   20.000000, 8673.705078, 8715.357422, 8035.183594,    0.303801,  638.461792, 8715.117188,  610.099060, 8680.990234,       424,          524288,000,001,000512
