tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run
000,   7708736,  120449,   30.818193,   10.000000, 9947.411133,   19.215307, 9480.573242,    8.536980,  458.667999,    3.932788,    0.579443,    0.000000,     73038,        33554432,000,000
001,   7708736,  120449,   31.631567,   10.000000, 9946.036133,   19.618013, 9808.520508,    8.114413,  130.381622,    3.814454,    0.178317,    0.000000,     22156,        33554432,000,000
002,   7708992,  120453,   30.463726,   10.000000, 9948.774414,   18.144114, 9702.960938,    7.352395,  237.546326,    3.998817,    0.294315,    0.000000,     37925,        33554432,000,000
003,   7708800,  120450,   31.908216,   10.000000, 9946.373047,   19.199963, 9404.108398,    8.309561,  534.109436,    3.904553,    0.537965,    0.000000,     84390,        33554432,000,000
004,   7708736,  120449,   31.523676,   10.000000, 9946.837891,   18.876558, 9631.534180,    8.067554,  307.026978,    3.965366,    0.314827,    0.000000,     48992,        33554432,000,000
005,   7708928,  120452,   31.366920,   10.000000, 9946.858398,   19.106810, 9802.977539,    8.617389,  135.773987,    3.849691,    0.165270,    0.000000,     22017,        33554432,000,000
006,   7708864,  120451,   30.093769,   10.000000, 9948.470703,   18.762108, 9574.916016,    8.003181,  365.376160,    4.004027,    0.514495,    0.000000,     59053,        33554432,000,000
007,   7708800,  120450,   30.278976,   10.000000, 9873.778320,   93.405479, 9666.868164,    8.359838,  198.624115,   78.105049,    0.237512,    0.645391,     32338,        33554432,000,000
008,   7708800,  120450,   32.093479,   10.000000, 9849.405273,  115.311691, 8830.960938,    9.285439, 1009.936218,   98.617538,    1.132697,    0.703407,    129069,        33554432,000,000
009,   7708736,  120449,   31.490070,   10.000000, 9896.988281,   68.356133, 8784.397461,    8.540838, 1104.078735,   52.537071,    1.302253,    0.349070,    138597,        33554432,000,000
010,   7708736,  120449,   31.253160,   10.000000, 9886.351562,   79.277580, 9587.604492,    8.435773,  290.290222,   63.809292,    0.393098,    0.434138,     36824,        33554432,000,000
011,   7708672,  120448,   32.974758,   10.000000, 9326.501953,  637.094971, 9317.789062,   10.263433,    0.000000,  619.187195,    0.000000,    4.584360,         0,        33554432,000,000
012,   7708800,  120450,   31.008570,   10.000000, 9947.532227,   18.347034, 9223.282227,    7.350586,  715.909180,    3.870002,    0.850752,    0.000000,     94168,        33554432,000,000
013,   7708736,  120449,   30.406204,   10.000000, 9947.849609,   18.634184, 9393.119141,    7.707304,  546.335999,    3.899157,    0.729982,    0.000000,     70277,        33554432,000,000
014,   7708736,  120449,   31.178591,   10.000000, 9921.355469,   44.316360, 8625.310547,    9.067130, 1287.704590,   27.900135,    1.370023,    0.170670,    163475,        33554432,000,000
015,   7708736,  120449,   30.772377,   10.000000, 9947.277344,   18.841829, 9550.769531,    8.017353,  388.191345,    3.807578,    0.640012,    0.000000,     49627,        33554432,000,000
000,   7497984,  117156,   31.410673,   10.000000, 9947.808594,   18.422691, 9701.348633,    8.126355,  238.415222,    3.888685,    0.347682,    0.000078,     37944,        33554432,000,001
001,   7497920,  117155,   31.169701,   10.000000, 9947.358398,   18.904301, 9629.067383,    7.795043,  311.421173,    3.689770,    0.336508,    0.000000,     53213,        33554432,000,001
002,   7497920,  117155,   31.004511,   10.000000, 9948.583008,   17.925409, 9511.757812,    7.637080,  428.670227,    3.723193,    0.609957,    0.000000,     68287,        33554432,000,001
003,   7497920,  117155,   30.586260,   10.000000, 9948.628906,   18.454453, 9683.887695,    8.329318,  256.709106,    3.745162,    0.272425,    0.000000,     40660,        33554432,000,001
004,   7497920,  117155,   30.207747,   10.000000, 9949.051758,   18.242174, 9165.281250,    7.779277,  775.615662,    3.746898,    0.847257,    0.000000,    122360,        33554432,000,001
005,   7497920,  117155,   29.391273,   10.000000, 9949.394531,   18.896786, 9810.647461,    8.411005,  130.626450,    4.122438,    0.158005,    0.000000,     21030,        33554432,000,001
006,   7497984,  117156,   29.323580,   10.000000, 9949.595703,   18.592882, 8637.612305,    8.035407, 1303.933228,    3.798137,    1.316247,    0.000083,    206311,        33554432,000,001
007,   7497920,  117155,   31.660460,   10.000000, 9611.755859,  354.037323, 9603.252930,    8.201663,    0.000000,  338.952728,    0.000000,    2.963603,         0,        33554432,000,001
008,   7497920,  117155,   29.932680,   10.000000, 9949.368164,   18.355309, 9506.935547,    8.156647,  434.397125,    3.723970,    0.367562,    0.000000,     55589,        33554432,000,001
009,   7497920,  117155,   29.638094,   10.000000, 9950.051758,   17.967390, 9430.378906,    7.840368,  511.697540,    3.700492,    0.403308,    0.000000,     64742,        33554432,000,001
010,   7497920,  117155,   29.360287,   10.000000, 9949.785156,   18.519581, 9585.417969,    8.361702,  356.342712,    3.774318,    0.367867,    0.000000,     45287,        33554432,000,001
011,   7497984,  117156,   30.957560,   10.000000, 9947.944336,   18.759075, 9497.330078,    8.569430,  442.859344,    3.758787,    0.353590,    0.000000,     56899,        33554432,000,001
012,   7497792,  117153,   32.385860,   10.000000, 9462.358398,  502.794922, 9453.974609,   10.725575,    0.000000,  485.042023,    0.000000,    3.486838,         0,        33554432,000,001
013,   7497984,  117156,   30.852274,   10.000000, 9947.665039,   19.021456, 7963.920410,    8.418150, 1975.834473,    3.802007,    1.431625,    0.000000,    251897,        33554432,000,001
014,   7497984,  117156,   30.653013,   10.000000, 9948.263672,   18.758341, 9551.855469,    8.507367,  388.409637,    3.729188,    0.368717,    0.000000,     50109,        33554432,000,001
015,   7497984,  117156,   30.111397,   10.000000, 9949.980469,   17.557178, 9668.161133,    7.392487,  273.721588,    3.767653,    0.239542,    0.000193,     35176,        33554432,000,001
000,   8412160,  131440,   36.887463,   10.000000, 9940.385742,   20.273603, 9285.503906,    8.934695,  646.326050,    4.140128,    0.856747,    0.000000,    102455,        33554432,000,002
001,   8412160,  131440,   35.972195,   10.000000, 9940.473633,   20.932209, 9807.918945,    8.676383,  124.986214,    4.149083,    0.119585,    0.000000,     21101,        33554432,000,002
002,   8412160,  131440,   32.153698,   10.000000, 9945.750000,   19.559563, 9546.795898,    8.184600,  390.252502,    4.133790,    0.532945,    0.000000,     61987,        33554432,000,002
003,   8412160,  131440,   34.839973,   10.000000, 9938.500000,   23.863543, 4790.997559,   10.594315, 5139.133301,    4.524585,    4.937227,    0.000000,    791606,        33554432,000,002
004,   8412160,  131440,   36.958626,   10.000000, 9939.647461,   20.901127, 9574.471680,    9.523165,  356.400818,    4.123418,    0.364060,    0.000000,     57289,        33554432,000,002
005,   8412224,  131441,   35.021378,   10.000000, 9943.414062,   19.214226, 9817.904297,    7.947130,  116.859108,    4.260317,    0.135142,    0.000073,     19021,        33554432,000,002
006,   8412160,  131440,   36.349106,   10.000000, 9941.221680,   20.029173, 9613.665039,    8.735554,  318.902893,    4.168160,    0.331422,    0.000000,     51803,        33554432,000,002
007,   8412096,  131439,   35.464226,   10.000000, 9124.856445,  836.960205, 9115.266602,    9.559049,    0.000000,  819.239319,    0.000000,    7.184397,         0,        33554432,000,002
008,   8412160,  131440,   37.108257,   10.000000, 9936.260742,   24.257429, 9838.744141,   13.104406,   88.918190,    4.131837,    0.099388,    0.000000,     11481,        33554432,000,002
009,   8412160,  131440,   37.210258,   10.000000, 9940.751953,   19.653151, 9649.278320,    8.427220,  282.909363,    4.189605,    0.218290,    0.000000,     35033,        33554432,000,002
010,   8412160,  131440,   36.479820,   10.000000, 9942.274414,   18.874344, 9867.557617,    7.651865,   66.126381,    4.227073,    0.055598,    0.000000,      8399,        33554432,000,002
011,   8412160,  131440,   34.879673,   10.000000, 9941.483398,   21.266970, 9908.485352,    9.909298,   24.662514,    4.374814,    0.041263,    0.000000,      3237,        33554432,000,002
012,   8412160,  131440,   32.188652,   10.000000, 9945.068359,   20.372646, 9936.439453,    9.199123,    0.000000,    4.182577,    0.000000,    0.000000,         0,        33554432,000,002
013,   8412160,  131440,   31.856827,   10.000000, 9946.762695,   18.985399, 9903.943359,    7.888253,   34.232639,    4.113332,    0.032228,    0.000000,      4412,        33554432,000,002
014,   8412160,  131440,   34.208683,   10.000000, 9944.209961,   19.195959, 9913.906250,    8.055790,   21.695917,    4.153052,    0.019492,    0.000000,      2820,        33554432,000,002
015,   8412160,  131440,   34.642567,   10.000000, 9942.720703,   20.252335, 9933.997070,    9.043148,    0.000000,    4.211813,    0.000000,    0.000000,         0,        33554432,000,002
000,   7925440,  123835,   31.720476,   10.000000, 9947.828125,   17.859394, 9650.708008,    6.951153,  288.843018,    4.054451,    0.304133,    0.000000,     46141,        33554432,001,000
001,   7925440,  123835,   32.105694,   10.000000, 9884.986328,   80.070114, 9657.633789,    7.025478,  220.272537,   65.054565,    0.288017,    0.614553,     37700,        33554432,001,000
002,   7925440,  123835,   32.307018,   10.000000, 9866.330078,   98.599930, 9608.782227,    6.328304,  249.084610,   85.136017,    0.271467,    0.729142,     40019,        33554432,001,000
003,   7925440,  123835,   32.383183,   10.000000, 9947.035156,   17.905413, 8852.183594,    6.476440, 1086.633667,    3.992525,    1.153478,    0.000000,    171002,        33554432,001,000
004,   7925440,  123835,   31.575371,   10.000000, 9947.598633,   18.120033, 9872.958008,    6.545543,   66.240669,    4.591065,    0.073605,    0.000000,     10580,        33554432,001,000
005,   7925440,  123835,   31.496111,   10.000000, 9948.561523,   17.320429, 9244.458984,    6.317291,  695.881958,    3.964416,    0.771500,    0.000000,    109081,        33554432,001,000
006,   7925440,  123835,   32.222725,   10.000000, 9947.813477,   17.342937, 9465.052734,    6.363690,  474.436432,    4.020948,    0.532883,    0.000000,     77118,        33554432,001,000
007,   7925440,  123835,   30.445589,   10.000000, 9950.033203,   16.947226, 9701.166992,    6.115103,  240.658188,    3.933381,    0.288797,    0.000000,     38592,        33554432,001,000
008,   7925440,  123835,   35.102058,   10.000000, 9341.350586,  620.288147, 9331.199219,    7.224248,    0.917738,  605.192078,    0.006028,    4.390588,       113,        33554432,001,000
009,   7925440,  123835,   32.216068,   10.000000, 9771.546875,  192.949142, 8913.342773,    6.638202,  849.508789,  178.693756,    0.983910,    1.264067,    108821,        33554432,001,000
010,   7925440,  123835,   32.561455,   10.000000, 9945.979492,   18.183191, 8609.671875,    6.660551, 1328.074707,    3.990371,    1.361330,    0.000000,    168781,        33554432,001,000
