tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run
000,   2422400,   37850,    9.820360,   10.000000, 9746.342773,  242.947281, 8768.811523,    5.482978,  975.255371,  234.906342,    1.935730,    0.870030,    157661,        33554432,000,000
001,   2422400,   37850,    9.730231,   10.000000, 9762.805664,  226.639954, 8672.882812,    6.292445, 1087.444580,  217.265839,    2.087424,    0.838753,    188499,        33554432,000,000
002,   2422336,   37849,    9.872835,   10.000000, 9747.676758,  241.508087, 8772.396484,    5.194965,  972.978760,  233.781143,    1.939211,    0.871896,    157483,        33554432,000,000
003,   2422400,   37850,    9.789925,   10.000000, 9745.412109,  244.069809, 8813.828125,    5.683681,  929.337708,  235.863388,    1.950132,    0.866958,    148470,        33554432,000,000
004,   2422400,   37850,    9.795881,   10.000000, 9745.849609,  243.524719, 8782.355469,    5.369556,  961.207336,  235.588181,    1.925461,    0.870692,    155124,        33554432,000,000
005,   2422400,   37850,    9.858672,   10.000000, 9749.057617,  241.590271, 8689.592773,    5.737734, 1057.193237,  233.278671,    1.936314,    0.878474,    170746,        33554432,000,000
006,   2422400,   37850,    9.731255,   10.000000, 9746.688477,  242.850769, 8796.777344,    5.087131,  947.622192,  235.157944,    1.996009,    0.866691,    152320,        33554432,000,000
007,   2422336,   37849,    9.814200,   10.000000, 9746.598633,  242.703766, 8780.134766,    5.490856,  964.210999,  234.729141,    1.963904,    0.873964,    155210,        33554432,000,000
008,       128,       2,    0.006402,   10.000000,10001.274414,    0.037015,10001.086914,    0.001015,    0.180698,    0.027935,    0.013367,    0.000078,        15,        33554432,000,000
009,       128,       2,    0.005867,   10.000000,10001.415039,    0.038278,10001.252930,    0.000980,    0.156800,    0.031923,    0.013522,    0.000067,        13,        33554432,000,000
010,        64,       1,    0.004657,   10.000000,10000.422852,    0.022687,10000.345703,    0.000392,    0.072563,    0.017768,    0.009877,    0.000037,         4,        33554432,000,000
011,        64,       1,    0.004730,   10.000000,10000.310547,    0.027448,10000.263672,    0.000638,    0.042127,    0.020178,    0.009925,    0.000042,         1,        33554432,000,000
012,        64,       1,    0.004493,   10.000000,10001.048828,    0.025487,10000.943359,    0.000365,    0.100027,    0.020573,    0.010642,    0.000055,         7,        33554432,000,000
013,        64,       1,    0.004480,   10.000000,10000.909180,    0.021943,10000.455078,    0.000357,    0.449607,    0.017200,    0.009955,    0.000040,        52,        33554432,000,000
014,       128,       2,    0.005885,   10.000000,10001.350586,    0.035168,10001.241211,    0.000912,    0.104220,    0.028372,    0.012170,    0.000092,         7,        33554432,000,000
015,       128,       2,    0.006212,   10.000000,10001.227539,    0.035817,10000.814453,    0.001262,    0.407775,    0.028275,    0.014502,    0.000077,        41,        33554432,000,000
000,   2400832,   37513,    9.684484,   10.000000, 9749.399414,  240.774612, 8801.270508,    5.510065,  945.868347,  232.766830,    1.936108,    0.865550,    152694,        33554432,000,001
001,   2400832,   37513,    9.632618,   10.000000, 9764.302734,  225.036026, 8683.298828,    5.752092, 1078.554077,  216.349228,    2.033247,    0.834977,    186142,        33554432,000,001
002,   2400768,   37512,    9.763550,   10.000000, 9748.820312,  240.380219, 8720.927734,    5.298767, 1025.593750,  232.529099,    1.943738,    0.878303,    163417,        33554432,000,001
003,   2400832,   37513,    9.709980,   10.000000, 9748.277344,  241.313385, 8827.524414,    5.526037,  918.519043,  233.305008,    1.959180,    0.870258,    147165,        33554432,000,001
004,   2400832,   37513,    9.743985,   10.000000, 9732.606445,  256.844177, 8751.956055,    5.415033,  978.376648,  248.832077,    1.917220,    0.871718,    154069,        33554432,000,001
005,   2400832,   37513,    9.779738,   10.000000, 9750.567383,  238.697388, 8748.490234,    5.506403,  999.842163,  230.679306,    1.902427,    0.867168,    155036,        33554432,000,001
006,   2400832,   37513,    9.692757,   10.000000, 9748.083984,  241.424210, 8791.475586,    5.606832,  954.331421,  233.258881,    2.003788,    0.866437,    153670,        33554432,000,001
007,   2400832,   37513,    9.737003,   10.000000, 9749.894531,  239.641251, 8792.460938,    5.399698,  955.198181,  231.768188,    1.937102,    0.865288,    152644,        33554432,000,001
008,        64,       1,    0.001527,   10.000000,10000.471680,    0.014877,10000.402344,    0.000375,    0.068412,    0.013078,    0.003472,    0.000030,         6,        33554432,000,001
009,       128,       2,    0.001928,   10.000000,10000.834961,    0.020698,10000.753906,    0.000860,    0.079597,    0.019590,    0.002992,    0.000053,         7,        33554432,000,001
010,       128,       2,    0.003277,   10.000000, 9989.701172,   10.991404, 9988.984375,    0.001090,    0.714250,   10.987450,    0.006748,    0.000063,         6,        33554432,000,001
011,       128,       2,    0.003027,   10.000000,10000.774414,    0.024895,10000.547852,    0.000742,    0.224268,    0.021445,    0.006455,    0.000052,        25,        33554432,000,001
012,        64,       1,    0.001483,   10.000000,10000.606445,    0.012805,10000.581055,    0.000408,    0.023387,    0.012228,    0.002948,    0.000040,         1,        33554432,000,001
013,        64,       1,    0.001445,   10.000000,10000.386719,    0.013343,10000.354492,    0.000333,    0.030853,    0.011595,    0.003218,    0.000030,         2,        33554432,000,001
014,        64,       1,    0.001513,   10.000000,10000.564453,    0.013860,10000.488281,    0.000298,    0.075500,    0.012117,    0.003328,    0.000032,         7,        33554432,000,001
015,        64,       1,    0.001533,   10.000000,10000.341797,    0.013113,10000.234375,    0.000368,    0.105590,    0.011365,    0.003315,    0.000045,         9,        33554432,000,001
000,   2444352,   38193,    9.828772,   10.000000, 9743.460938,  245.892059, 8763.069336,    5.781480,  978.184448,  237.609390,    1.879335,    0.883225,    158105,        33554432,000,002
001,   2444416,   38194,    9.760795,   10.000000, 9761.153320,  228.310989, 8660.542969,    5.845580, 1098.188232,  219.431442,    1.865720,    0.846788,    189997,        33554432,000,002
002,   2444352,   38193,    9.817654,   10.000000, 9744.648438,  244.672501, 8788.612305,    5.060932,  953.818665,  237.048447,    1.871642,    0.878342,    153186,        33554432,000,002
003,   2444352,   38193,    9.827873,   10.000000, 9743.084961,  246.278076, 8803.756836,    5.858839,  937.128296,  238.003784,    1.888520,    0.879763,    149712,        33554432,000,002
004,   2444416,   38194,    9.801515,   10.000000, 9743.083984,  246.886429, 8742.021484,    5.327173,  998.720093,  238.996323,    1.867847,    0.887310,    159743,        33554432,000,002
005,   2444416,   38194,    9.896486,   10.000000, 9747.333984,  242.021149, 8758.724609,    5.702160,  986.418457,  233.855148,    1.859953,    0.882697,    160433,        33554432,000,002
006,   2444416,   38194,    9.798433,   10.000000, 9744.743164,  244.741806, 8771.803711,    5.347641,  970.705933,  236.879654,    1.958360,    0.883747,    156414,        33554432,000,002
007,   2444352,   38193,    9.829180,   10.000000, 9745.939453,  243.468903, 8788.743164,    5.496777,  955.005737,  235.540405,    1.900258,    0.882393,    154374,        33554432,000,002
008,        64,       1,    0.001710,   10.000000,10000.237305,    0.014843,10000.204102,    0.000402,    0.031523,    0.012597,    0.003560,    0.000033,         2,        33554432,000,002
009,        64,       1,    0.001665,   10.000000,10000.383789,    0.012028,10000.333984,    0.000293,    0.048662,    0.011570,    0.003283,    0.000032,         4,        33554432,000,002
010,       128,       2,    0.002098,   10.000000,10000.590820,    0.021920,10000.421875,    0.000920,    0.167235,    0.019018,    0.003702,    0.000050,        19,        33554432,000,002
011,       128,       2,    0.002268,   10.000000,10000.422852,    0.022807,10000.381836,    0.000705,    0.040188,    0.020347,    0.003607,    0.000047,         3,        33554432,000,002
012,        64,       1,    0.001638,   10.000000,10000.317383,    0.012932,10000.291992,    0.000390,    0.023753,    0.012277,    0.003415,    0.000033,         1,        33554432,000,002
013,        64,       1,    0.001550,   10.000000,10000.186523,    0.013960,10000.161133,    0.000510,    0.024018,    0.012042,    0.003507,    0.000027,         1,        33554432,000,002
014,        64,       1,    0.001615,   10.000000,10000.275391,    0.013368,10000.253906,    0.000310,    0.020787,    0.011433,    0.003378,    0.000032,         1,        33554432,000,002
015,       128,       2,    0.002138,   10.000000,10000.532227,    0.023313,10000.434570,    0.000680,    0.095830,    0.020893,    0.003918,    0.000067,         9,        33554432,000,002
000,   2408512,   37633,    9.834215,   10.000000, 9751.458984,  238.092987, 8754.264648,    4.291840,  994.886414,  231.291809,    2.017262,    0.871287,    161184,        33554432,001,000
001,   2408512,   37633,    9.673411,   10.000000, 9765.223633,  224.407303, 8677.987305,    3.737020, 1084.723145,  217.697968,    2.143572,    0.863192,    187138,        33554432,001,000
002,   2408512,   37633,    9.870584,   10.000000, 9752.591797,  237.722580, 8756.756836,    3.393530,  993.552002,  231.796768,    1.987228,    1.029078,    160796,        33554432,001,000
003,   2408512,   37633,    9.877193,   10.000000, 9747.868164,  241.665329, 8774.397461,    3.083942,  971.179077,  235.987686,    2.057278,    0.875933,    154307,        33554432,001,000
004,   2408448,   37632,    9.850768,   10.000000, 9750.305664,  239.051727, 8762.843750,    3.175518,  985.202576,  233.289413,    2.055899,    0.869672,    158911,        33554432,001,000
005,   2408448,   37632,    9.834865,   10.000000, 9750.463867,  238.985901, 8783.492188,    3.216360,  964.705627,  233.264587,    2.034115,    0.868222,    155651,        33554432,001,000
006,   2408448,   37632,    9.803748,   10.000000, 9748.809570,  240.600159, 8778.163086,    4.365254,  968.271484,  233.669006,    1.967371,    0.868397,    155829,        33554432,001,000
007,   2408448,   37632,    9.801007,   10.000000, 9750.003906,  239.504135, 8784.808594,    3.621350,  962.943604,  233.349411,    1.938627,    0.870755,    155180,        33554432,001,000
008,       128,       2,    0.004950,   10.000000,10001.210938,    0.030648,10000.896484,    0.001215,    0.309565,    0.024335,    0.010917,    0.000062,        32,        33554432,001,000
009,        64,       1,    0.004747,   10.000000,10000.547852,    0.026708,10000.438477,    0.000827,    0.104507,    0.019257,    0.010937,    0.000070,         7,        33554432,001,000
010,        64,       1,    0.004803,   10.000000,10000.634766,    0.027323,10000.588867,    0.000512,    0.041352,    0.022133,    0.009995,    0.000050,         1,        33554432,001,000
011,       128,       2,    0.006197,   10.000000,10000.936523,    0.037727,10000.706055,    0.001363,    0.225063,    0.029648,    0.013853,    0.000098,        22,        33554432,001,000
012,        64,       1,    0.004673,   10.000000,10000.718750,    0.027410,10000.672852,    0.000402,    0.040895,    0.022290,    0.010352,    0.000050,         1,        33554432,001,000
013,        64,       1,    0.004590,   10.000000,10000.808594,    0.025032,10000.757812,    0.000435,    0.046318,    0.019715,    0.010028,    0.000032,         1,        33554432,001,000
