tid,total_duration(s),min_slock_hold,med,max,min_swait_acq,med,max,min_swait_rel,med,max,min_slwait_acq,med,max,min_slwait_rel,med,max,min_sgwait_acq,med,max,min_sgwait_rel,med,max,min_sdata_read,med,max,min_sdata_write,med,max,min_sglock_tries,med,max,array_size(B),client_id
000,10.0, 0.000205000, 0.000248333, 0.006361667, 0.094628334, 0.098321669, 0.707613349, 0.004908334, 0.006253333, 0.033193335, 0.088121668, 0.091856666, 0.688449979, 0.000056667, 0.000065000, 0.000425000, 0.005478333, 0.006296667, 0.021398334, 0.004708333, 0.006050000, 0.032753333, 0.000041667, 0.000046667, 0.009211667, 0.000021667, 0.000023333, 0.000040000, 1.000000000, 1.000000000, 1.000000000,        33554432,000
001,10.0, 0.000230000, 0.000246667, 0.003625000, 0.096019998, 0.098791666, 0.668918312, 0.005018333, 0.005738333, 0.027416667, 0.090070002, 0.092765003, 0.653110027, 0.000055000, 0.000083333, 0.005788333, 0.005103333, 0.005830000, 0.012823333, 0.004756667, 0.005520000, 0.027061667, 0.000041667, 0.000046667, 0.002543333, 0.000021667, 0.000021667, 0.003175000, 1.000000000, 1.000000000, 1.000000000,        33554432,000
002,10.0, 0.000215000, 0.000253333, 0.002996667, 0.095464997, 0.098255001, 0.743496656, 0.006078333, 0.006328333, 0.014536667, 0.088883333, 0.091683336, 0.723371685, 0.000053333, 0.000063333, 0.005363334, 0.006113333, 0.006396667, 0.015665000, 0.005888334, 0.006123333, 0.014340000, 0.000041667, 0.000046667, 0.002771667, 0.000021667, 0.000023333, 0.000030000, 1.000000000, 1.000000000, 1.000000000,        33554432,000
003,10.0, 0.000230000, 0.000256667, 0.003335000, 0.095996663, 0.098338336, 0.764786661, 0.006018333, 0.006246667, 0.015446667, 0.089561664, 0.091843337, 0.741464972, 0.000053333, 0.000063333, 0.005415000, 0.006075000, 0.006320000, 0.016446667, 0.005826666, 0.006038333, 0.015241667, 0.000043333, 0.000048333, 0.002800000, 0.000021667, 0.000023333, 0.002855000, 1.000000000, 1.000000000, 1.000000000,        33554432,000
004,10.0, 0.000233333, 0.000253333, 0.003168333, 0.095486663, 0.098238334, 0.651636660, 0.006083333, 0.006336667, 0.015498334, 0.089149997, 0.091660000, 0.629024982, 0.000053333, 0.000066667, 0.002940000, 0.004448333, 0.006400000, 0.015673334, 0.005891667, 0.006116667, 0.015268333, 0.000041667, 0.000046667, 0.002740000, 0.000021667, 0.000023333, 0.000030000, 1.000000000, 1.000000000, 1.000000000,        33554432,000
005,10.0, 0.000226667, 0.000248333, 0.009206667, 0.095286667, 0.098410003, 0.481068343, 0.006021667, 0.006161666, 0.540676653, 0.088961668, 0.092016667, 0.474458337, 0.000051667, 0.000063333, 0.005461667, 0.006031667, 0.006218333, 0.015475000, 0.005821667, 0.005965000, 0.527541637, 0.000041667, 0.000045000, 0.003248333, 0.000021667, 0.000023333, 0.000058333, 1.000000000, 1.000000000, 1.000000000,        33554432,000
006,10.0, 0.000215000, 0.000243333, 0.007965000, 0.095838331, 0.098386668, 0.685806692, 0.006063333, 0.006195000, 0.017311666, 0.089436665, 0.091925003, 0.669974983, 0.000053333, 0.000061667, 0.009343334, 0.006105000, 0.006280000, 0.015523333, 0.005873333, 0.005996667, 0.015236666, 0.000041667, 0.000046667, 0.002523333, 0.000021667, 0.000023333, 0.000056667, 1.000000000, 1.000000000, 1.000000000,        33554432,000
007,10.0, 0.000215000, 0.000250000, 0.009448334, 0.095610000, 0.098373331, 0.725988328, 0.006015000, 0.006216667, 0.015985001, 0.089338332, 0.091958337, 0.708238304, 0.000053333, 0.000061667, 0.009330000, 0.006011667, 0.006235000, 0.015701666, 0.005820000, 0.006003333, 0.015781667, 0.000045000, 0.000050000, 0.002945000, 0.000025000, 0.000025000, 0.000031667, 1.000000000, 1.000000000, 1.000000000,        33554432,000
008,10.0, 0.004411667, 0.004411667, 0.004411667,10000.196289062,10000.196289062,10000.196289062, 0.027023334, 0.027023334, 0.027023334,10000.152343750,10000.152343750,10000.152343750, 0.000300000, 0.000300000, 0.000300000, 0.020221667, 0.020221667, 0.020221667, 0.010483333, 0.010483333, 0.010483333, 0.009513333, 0.009513333, 0.009513333, 0.000051667, 0.000051667, 0.000051667, 1.000000000, 1.000000000, 1.000000000,        33554432,000
009,10.0, 0.001528333, 0.002990000, 0.004451666,1179.040039062,5000.154785156,8821.269531250, 0.013805000, 0.020109167, 0.026413333,1178.994506836,5000.121582031,8821.248046875, 0.000221667, 0.000440833, 0.000660000, 0.013828333, 0.018116666, 0.022405000, 0.009346667, 0.009893334, 0.010440000, 0.003335000, 0.006350000, 0.009365000, 0.000026667, 0.000039167, 0.000051667, 1.000000000, 1.000000000, 1.000000000,        33554432,000
