tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run,nlocks
000, 468058112,    3570,  287.493164,   20.000000,19239.802734,  469.183197,18774.212891,    0.628725,  465.237274,  468.081238,  434.626373,  440.394562,      3570,          524288,000,000,000001
001, 467402752,    3565,  286.644043,   20.000000,19243.345703,  463.740051,18779.681641,    0.523965,  463.368744,  462.986237,  435.021027,  437.679810,      3565,          524288,000,000,000001
002, 467402752,    3565,  286.697388,   20.000000,19242.546875,  464.736328,18778.650391,    0.555113,  463.645020,  463.949219,  435.107147,  437.963654,      3565,          524288,000,000,000001
003, 467402752,    3565,  286.551270,   20.000000,19244.431641,  463.331940,18780.898438,    0.535993,  463.245026,  462.547089,  434.935303,  437.348236,      3565,          524288,000,000,000001
004, 467533824,    3566,  286.829712,   20.000000,19244.800781,  463.518677,18781.570312,    0.550392,  462.986725,  462.748383,  434.919373,  437.572571,      3566,          524288,000,000,000001
005, 467402752,    3565,  286.634583,   20.000000,19242.783203,  463.992065,18779.119141,    0.525352,  463.389923,  463.221069,  435.089172,  437.728394,      3565,          524288,000,000,000001
006, 467402752,    3565,  286.651154,   20.000000,19243.685547,  462.786713,18781.044922,    0.533090,  462.384796,  462.024963,  434.528625,  437.113068,      3565,          524288,000,000,000001
007, 467533824,    3566,  286.802429,   20.000000,19244.568359,  464.143799,18781.255859,    0.576882,  463.032867,  463.354065,  435.216766,  437.629089,      3566,          524288,000,000,000001
008, 467009536,    3562,  337.705811,   20.000000,19169.361328,  477.536469,18694.498047,    0.634337,  474.537292,  476.449280,  440.384369,  444.747803,      3562,          524288,000,000,000001
009, 467009536,    3562,  337.740906,   20.000000,19175.144531,  472.297668,18704.359375,    0.509960,  470.520386,  471.582458,  438.356537,  441.641602,      3562,          524288,000,000,000001
