tid,total_duration(s),min_slock_hold,med,max,min_swait_acq,med,max,min_swait_rel,med,max,min_slwait_acq,med,max,min_slwait_rel,med,max,min_sgwait_acq,med,max,min_sgwait_rel,med,max,min_sdata_read,med,max,min_sdata_write,med,max,min_sglock_tries,med,max,array_size(B),client_id,nlocks
000,20.0, 0.080849998, 0.080951668, 0.081155002, 2.512680054, 2.515037537, 2.519488335, 0.130901664, 0.130960003, 0.134601668, 2.382455111, 2.385081768, 2.389616728, 0.000175000, 0.000180833, 0.000373333, 0.008010000, 0.008299166, 0.008568333, 0.007338333, 0.007484167, 0.007803333, 0.121469997, 0.121501669, 0.121806666, 0.122981668, 0.123057500, 0.126515001, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
001,20.0, 0.079934999, 0.080967501, 0.081141666, 2.512963295, 2.519319057, 2.523159981, 0.129398331, 0.129573330, 0.129804999, 2.383638382, 2.388528347, 2.393988371, 0.000135000, 0.000142500, 0.000188333, 0.007418334, 0.007501666, 0.011171667, 0.006746667, 0.006856667, 0.007035000, 0.121546663, 0.121696666, 0.122101665, 0.122288331, 0.122327499, 0.122455001, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
002,20.0, 0.080353335, 0.081116669, 0.081189997, 2.512685061, 2.516165733, 2.520356655, 0.129723340, 0.130188331, 0.130476668, 2.383295059, 2.386550903, 2.390356779, 0.000146667, 0.000150833, 0.000208333, 0.007073333, 0.007719167, 0.009136667, 0.006828333, 0.007120833, 0.007226666, 0.121646665, 0.122038335, 0.122216664, 0.122406669, 0.122691669, 0.123003334, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
003,20.0, 0.080991663, 0.081118330, 0.081225000, 2.514943361, 2.516203403, 2.520391703, 0.129403338, 0.129586667, 0.130456671, 2.384788275, 2.386728287, 2.391498327, 0.000135000, 0.000139167, 0.000196667, 0.007098333, 0.007385833, 0.009076667, 0.006810000, 0.006971667, 0.007351667, 0.121538334, 0.121595003, 0.122383334, 0.122166663, 0.122335002, 0.122783333, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
004,20.0, 0.080334999, 0.081059165, 0.081278332, 2.514273405, 2.516804218, 2.520625114, 0.129281670, 0.129649162, 0.130221665, 2.384768248, 2.387125015, 2.391856670, 0.000143333, 0.000155000, 0.000243333, 0.006748333, 0.007551667, 0.008206666, 0.006688333, 0.006768333, 0.007148333, 0.121441670, 0.121652499, 0.122206666, 0.122173332, 0.122503333, 0.122830003, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
005,20.0, 0.080854997, 0.081022501, 0.081198335, 2.512736559, 2.517758369, 2.520605087, 0.130068332, 0.130243331, 0.130898327, 2.382808447, 2.386734962, 2.390723228, 0.000138333, 0.000144167, 0.000175000, 0.007213333, 0.007845833, 0.008258333, 0.007018333, 0.007164167, 0.007621667, 0.121893331, 0.122009166, 0.125296667, 0.122623332, 0.122699164, 0.122946665, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
006,20.0, 0.080894999, 0.081055835, 0.084631667, 2.514034986, 2.516148329, 2.522291660, 0.129316673, 0.129519999, 0.129956663, 2.382688284, 2.387073278, 2.393465042, 0.000140000, 0.000145833, 0.000200000, 0.007016667, 0.007185834, 0.009076667, 0.006751667, 0.006848333, 0.006951666, 0.121561669, 0.121692501, 0.122103333, 0.122201666, 0.122266665, 0.122759998, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
007,20.0, 0.079828337, 0.081028335, 0.081191666, 2.511681557, 2.517767429, 2.524668217, 0.129351661, 0.129571661, 0.130678326, 2.382778406, 2.388801575, 2.394211769, 0.000133333, 0.000138333, 0.000140000, 0.007091667, 0.007282500, 0.008236666, 0.006766667, 0.006864167, 0.007281667, 0.121523336, 0.121655002, 0.122443333, 0.122233331, 0.122335836, 0.123075001, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
008,20.0, 0.093565002, 0.093565002, 0.093565002,11104.602539062,11104.602539062,11104.602539062, 0.137351662, 0.137351662, 0.137351662,11104.436523438,11104.436523438,11104.436523438, 0.000403333, 0.000403333, 0.000403333, 0.026793333, 0.026793333, 0.026793333, 0.010301666, 0.010301666, 0.010301666, 0.123906665, 0.123906665, 0.123906665, 0.126321673, 0.126321673, 0.126321673, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
009,20.0, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000530000, 0.000530000, 0.000530000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,          524288,000,000001
