tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),array_size(B),lat_lock_hold(ms),lat_wait_acq(ms),lat_wait_rel(ms)
RUN 0
000,  61156480,  955570,  586.978271,   20.000000,39382.925781,  104.354729,          262144,    0.000000,    0.000000,    0.000000
000,  60853248,  950832,  617.157715,   20.000000,39346.921875,  111.640411,        16777216,    0.000000,    0.000000,    0.000000
000,  61685824,  963841,  662.397644,   20.000000,39301.074219,  111.891724,       134217728,    0.000000,    0.000000,    0.000000
001,  61156480,  955570,  626.476501,   20.000000,39189.355469,  110.684616,          262144,    0.000000,    0.000000,    0.000000
001,  60853184,  950831,  621.161133,   20.000000,39193.976562,  120.715385,        16777216,    0.000000,    0.000000,    0.000000
001,  61685888,  963842,  635.104553,   20.000000,39187.300781,  116.742264,       134217728,    0.000000,    0.000000,    0.000000
002,  61156544,  955571,  571.034973,   20.000000,39398.839844,  100.580421,          262144,    0.000000,    0.000000,    0.000000
002,  60853184,  950831,  608.148438,   20.000000,39356.074219,  108.295082,        16777216,    0.000000,    0.000000,    0.000000
002,  61685888,  963842,  631.037109,   20.000000,39332.468750,  117.827316,       134217728,    0.000000,    0.000000,    0.000000
003,  61156480,  955570,  613.303711,   20.000000,39356.609375,  105.055771,          262144,    0.000000,    0.000000,    0.000000
003,  60853120,  950830,  638.202087,   20.000000,39325.796875,  110.551163,        16777216,    0.000000,    0.000000,    0.000000
003,  61685888,  963842,  650.845398,   20.000000,39312.785156,  109.461319,       134217728,    0.000000,    0.000000,    0.000000
004,  61156352,  955568,  648.802979,   20.000000,39319.398438,  106.089371,          262144,    0.000000,    0.000000,    0.000000
004,  60852992,  950828,  628.403748,   20.000000,39334.046875,  107.150742,        16777216,    0.000000,    0.000000,    0.000000
004,  61685760,  963840,  621.741516,   20.000000,39340.113281,  108.531303,       134217728,    0.000000,    0.000000,    0.000000
005,  61156544,  955571,  657.291382,   20.000000,39311.046875,  102.905228,          262144,    0.000000,    0.000000,    0.000000
005,  60853120,  950830,  623.450745,   20.000000,39339.175781,  104.969788,        16777216,    0.000000,    0.000000,    0.000000
005,  61685952,  963843,  639.652832,   20.000000,39322.242188,  109.281441,       134217728,    0.000000,    0.000000,    0.000000
006,  61156480,  955570,  617.089417,   20.000000,39350.839844,  115.598625,          262144,    0.000000,    0.000000,    0.000000
006,  60853184,  950831,  602.606812,   20.000000,39359.628906,  109.517036,        16777216,    0.000000,    0.000000,    0.000000
006,  61685824,  963841,  598.790405,   20.000000,39362.835938,  111.831543,       134217728,    0.000000,    0.000000,    0.000000
007,  61156480,  955570,  610.207764,   20.000000,39357.953125,  109.845924,          262144,    0.000000,    0.000000,    0.000000
007,  60852864,  950826,  618.037292,   20.000000,39344.089844,  107.546585,        16777216,    0.000000,    0.000000,    0.000000
007,  61685824,  963841,  612.264771,   20.000000,39349.500000,  104.366974,       134217728,    0.000000,    0.000000,    0.000000
008,  61156480,  955570,  625.195435,   20.000000,39344.332031,  103.211578,          262144,    0.000000,    0.000000,    0.000000
008,  60853120,  950830,  610.486816,   20.000000,39353.175781,  103.814026,        16777216,    0.000000,    0.000000,    0.000000
008,  61685888,  963842,  631.495850,   20.000000,39331.617188,  110.946754,       134217728,    0.000000,    0.000000,    0.000000
009,  61156480,  955570,  631.176941,   20.000000,39338.246094,  114.418350,          262144,    0.000000,    0.000000,    0.000000
009,  60853120,  950830,  602.848755,   20.000000,39360.718750,  110.988426,        16777216,    0.000000,    0.000000,    0.000000
009,  61685824,  963841,  601.469299,   20.000000,39361.601562,  105.045555,       134217728,    0.000000,    0.000000,    0.000000
010,  61156480,  955570,  633.077576,   20.000000,39336.429688,  106.366470,          262144,    0.000000,    0.000000,    0.000000
010,  60853120,  950830,  609.243286,   20.000000,39354.496094,   99.728508,        16777216,    0.000000,    0.000000,    0.000000
010,  61685888,  963842,  603.551758,   20.000000,39359.527344,  107.869896,       134217728,    0.000000,    0.000000,    0.000000
011,  61156416,  955569,  600.065735,   20.000000,39369.453125,  108.099304,          262144,    0.000000,    0.000000,    0.000000
011,  60853184,  950831,  640.376770,   20.000000,39323.289062,  103.011452,        16777216,    0.000000,    0.000000,    0.000000
011,  61685888,  963842,  599.577209,   20.000000,39363.492188,  107.339462,       134217728,    0.000000,    0.000000,    0.000000
012,  61156416,  955569,  621.711365,   20.000000,39346.308594,  115.025787,          262144,    0.000000,    0.000000,    0.000000
012,  60852992,  950828,  615.155212,   20.000000,39347.000000,  107.721077,        16777216,    0.000000,    0.000000,    0.000000
012,  61685760,  963840,  628.911499,   20.000000,39332.656250,  114.616638,       134217728,    0.000000,    0.000000,    0.000000
013,  61156416,  955569,  596.027771,   20.000000,39372.167969,  102.366440,          262144,    0.000000,    0.000000,    0.000000
013,  60853056,  950829,  600.404663,   20.000000,39361.933594,  100.854523,        16777216,    0.000000,    0.000000,    0.000000
013,  61685888,  963842,  643.433228,   20.000000,39318.464844,  109.669174,       134217728,    0.000000,    0.000000,    0.000000
014,  61156416,  955569,  630.300781,   20.000000,39337.621094,  107.902077,          262144,    0.000000,    0.000000,    0.000000
014,  60853056,  950829,  629.380005,   20.000000,39332.734375,  104.644890,        16777216,    0.000000,    0.000000,    0.000000
014,  61685888,  963842,  612.029663,   20.000000,39349.578125,  114.075424,       134217728,    0.000000,    0.000000,    0.000000
015,  61156480,  955570,  610.746277,   20.000000,39357.312500,  104.009453,          262144,    0.000000,    0.000000,    0.000000
015,  60853120,  950830,  588.679810,   20.000000,39373.546875,  100.656189,        16777216,    0.000000,    0.000000,    0.000000
015,  61685888,  963842,  627.680359,   20.000000,39333.960938,  107.750214,       134217728,    0.000000,    0.000000,    0.000000
