tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,glock_tries,array_size(B),client_id,run
000,    401408,    6272,    0.897292,   30.000000,22490.482422,    8.565641,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
000,     28096,     439,    0.093377,   30.000000,22499.087891,    0.871080,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
000,     23488,     367,    0.072984,   30.000000,22499.232422,    0.732907,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
001,   3175488,   49617,    6.853652,   30.000000,22428.218750,   64.460175,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
001,     35392,     553,    0.095314,   30.000000,22499.212891,    0.745446,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
001,     32960,     515,    0.088825,   30.000000,22499.273438,    0.679251,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
002,   7355136,  114924,   15.871910,   30.000000,22333.443359,  149.591110,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
002,     40320,     630,    0.107452,   30.000000,22499.062500,    0.879644,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
002,     26880,     420,    0.076465,   30.000000,22499.353516,    0.625172,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
003,   4930048,   77032,   10.639040,   30.000000,22387.501953,  101.159683,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
003,     36480,     570,    0.097865,   30.000000,22499.169922,    0.778530,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
003,     35968,     562,    0.096210,   30.000000,22499.210938,    0.750107,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
004,   3152128,   49252,    6.803234,   30.000000,22428.746094,   63.995895,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
004,     33472,     523,    0.090914,   30.000000,22499.212891,    0.754500,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
004,     35264,     551,    0.095062,   30.000000,22499.230469,    0.722338,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
005,   7238912,  113108,   15.608232,   30.000000,22336.552734,  146.769745,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
005,     38336,     599,    0.103404,   30.000000,22499.103516,    0.839582,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
005,     31616,     494,    0.085673,   30.000000,22499.296875,    0.657508,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
006,   3622528,   56602,    7.807202,   30.000000,22418.527344,   73.157005,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
006,     41280,     645,    0.111037,   30.000000,22499.017578,    0.924488,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
006,     33344,     521,    0.087728,   30.000000,22499.273438,    0.689562,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
