tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,glock_tries,array_size(B),client_id,run
000, 640936512,10014633, 1472.185303,   30.000000,20197.296875,  732.125977,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
000, 680779712,10637183, 1564.075317,   30.000000,20053.298828,  778.145264,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
000, 620230912, 9691108, 1427.604370,   30.000000,20259.253906,  717.904297,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
001, 450854912, 7044608, 1047.216553,   30.000000,20861.849609,  519.988281,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
001, 428248448, 6691382,  994.532776,   30.000000,20943.191406,  494.777191,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
001, 435829184, 6809831, 1012.360779,   30.000000,20912.513672,  506.452515,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
002, 517119488, 8079992, 1190.642700,   30.000000,20616.410156,  612.551819,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
002, 506514176, 7914284, 1166.202026,   30.000000,20650.798828,  604.354187,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
002, 509558208, 7961847, 1172.764404,   30.000000,20645.910156,  602.131653,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
003, 340258304, 5316536,  792.127441,   30.000000,21251.648438,  403.048645,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
003, 335969856, 5249529,  781.869812,   30.000000,21270.207031,  395.370636,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
003, 347516416, 5429944,  808.820496,   30.000000,21224.960938,  411.862152,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
004, 493684992, 7713828, 1135.229980,   30.000000,20691.953125,  595.840576,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
004, 521581824, 8149716, 1195.561279,   30.000000,20605.173828,  617.911377,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
004, 534569216, 8352644, 1226.783936,   30.000000,20543.490234,  646.406982,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
005, 491050368, 7672662, 1142.720215,   30.000000,20694.363281,  586.046570,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
005, 467146944, 7299171, 1086.628662,   30.000000,20777.308594,  562.982605,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
005, 489527744, 7648871, 1138.977051,   30.000000,20697.130859,  587.240417,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
006, 475378176, 7427784, 1098.345459,   30.000000,20758.818359,  568.804626,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
006, 482237312, 7534958, 1110.793091,   30.000000,20737.503906,  576.500732,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
006, 491155456, 7674304, 1132.271851,   30.000000,20704.451172,  586.736389,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
007, 549580544, 8587196, 1280.079956,   30.000000,20513.345703,  605.349182,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
007, 564019264, 8812801, 1313.586914,   30.000000,20465.701172,  616.641724,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
007, 539313344, 8426771, 1256.497070,   30.000000,20553.650391,  590.468506,    0.000000,    0.000000,    0.000000,    0.000000,         0,       134217728,000,000
008,      6272,      98,    0.030368,   30.000000,22500.035156,    0.029048,    0.000000,    0.000000,    0.000000,    0.000000,         0,          262144,000,000
008,      5696,      89,    0.031049,   30.000000,22499.978516,    0.028227,    0.000000,    0.000000,    0.000000,    0.000000,         0,        16777216,000,000
