tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,glock_tries,array_size(B),client_id,run
000,  10403328,  162552,  825.134888,   30.000000,21675.964844,  801.023132,20870.300781,    5.696490,  798.794250,  788.748474,    162552,          262144,000,000
000,  10479104,  163736,  840.115112,   30.000000,21660.308594,  815.512024,20839.927734,    6.050144,  813.166809,  802.703979,    163736,        16777216,000,000
000,   8313344,  129896,  656.491089,   30.000000,21845.302734,  637.065369,21204.466797,    4.462794,  635.431763,  627.407959,    129896,       134217728,000,000
001,   5482432,   85663,  442.891235,   30.000000,22057.201172,  430.388763,21624.082031,    3.176450,  429.668213,  423.692932,     85663,          262144,000,000
001,  10039168,  156862,  802.207825,   30.000000,21698.193359,  779.288086,20914.810547,    5.312323,  777.153137,  767.868713,    156862,        16777216,000,000
001,  10201344,  159396,  796.374573,   30.000000,21704.443359,  773.405457,20926.392578,    5.103379,  772.057068,  762.329651,    159396,       134217728,000,000
002,   9411840,  147060,  745.232422,   30.000000,21753.210938,  723.600647,21025.599609,    5.066097,  722.155518,  713.114990,    147060,          262144,000,000
002,   6559808,  102497,  534.846863,   30.000000,21963.576172,  519.121826,21441.335938,    3.864731,  518.200439,  511.196594,    102497,        16777216,000,000
002,  13277696,  207464, 1026.083252,   30.000000,21471.101562,  995.825989,20469.830078,    6.638846,  993.608826,  981.581909,    207464,       134217728,000,000
003,   7331136,  114549,  594.496338,   30.000000,21904.751953,  577.267822,21323.845703,    3.997838,  576.475769,  568.947998,    114549,          262144,000,000
003,   9578368,  149662,  761.278076,   30.000000,21739.623047,  739.300293,20996.351562,    4.907540,  737.653870,  728.832642,    149662,        16777216,000,000
003,  10984128,  171627,  868.034058,   30.000000,21632.513672,  842.704773,20784.492188,    5.592090,  841.600647,  830.887024,    171627,       134217728,000,000
004,   5145984,   80406,  437.520172,   30.000000,22063.445312,  425.268433,21636.171875,    4.186948,  420.712769,  414.546875,     80406,          262144,000,000
004,   4382208,   68472,  363.965546,   30.000000,22138.568359,  353.612854,21787.882812,    3.335867,  345.200226,  344.804474,     68472,        16777216,000,000
004,   2915328,   45552,  236.635895,   30.000000,22262.876953,  229.765854,22035.681641,    2.185015,  223.492035,  223.960999,     45552,       134217728,000,000
005,  12010368,  187662,  936.218506,   30.000000,21563.685547,  908.844299,20649.966797,    6.485221,  906.238342,  895.173828,    187662,          262144,000,000
005,   5121472,   80023,  398.598267,   30.000000,22103.791016,  386.952240,21714.791016,    2.787363,  385.919769,  381.105804,     80023,        16777216,000,000
005,  13053824,  203966, 1011.561096,   30.000000,21486.968750,  981.801208,20500.720703,    6.773560,  978.200562,  966.692383,    203966,       134217728,000,000
006,   9960256,  155629,  767.959229,   30.000000,21733.609375,  744.878235,20984.281250,    4.862607,  743.746338,  734.372559,    155629,          262144,000,000
006,   8481472,  132523,  657.313293,   30.000000,21843.888672,  637.611816,21202.371094,    4.320877,  636.635437,  628.433105,    132523,        16777216,000,000
