tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,array_size(B),client_id,run
000,     94394,   94394,    0.980485,   30.000000,21922.595703,  574.752869,21394.375000,   78.661789,  521.148254,  491.011108,     94394,               0,000,000
001,     94394,   94394,    0.963372,   30.000000,21922.490234,  574.860779,21362.230469,   78.085670,  551.595764,  492.680786,     94394,               0,000,000
002,     94394,   94394,    0.983922,   30.000000,21936.017578,  561.630066,21418.089844,   77.226105,  509.254517,  480.110809,     94394,               0,000,000
003,     94394,   94394,    0.985147,   30.000000,21889.666016,  607.777100,21322.583984,   89.100548,  558.090393,  514.328857,     94394,               0,000,000
004,     94394,   94394,    1.009108,   30.000000,21936.150391,  561.668030,21423.373047,   75.178558,  508.123108,  482.258667,     94394,               0,000,000
005,     94394,   94394,    0.980237,   30.000000,21882.000000,  615.644775,21343.414062,  107.955299,  532.840698,  503.264465,     94394,               0,000,000
006,     94394,   94394,    1.113098,   30.000000,21886.490234,  610.808655,21305.962891,   79.246742,  575.260864,  527.274902,     94394,               0,000,000
007,     94393,   94393,    0.959939,   30.000000,21905.234375,  592.497070,21367.988281,  104.616440,  532.702881,  483.683411,     94393,               0,000,000
008,     94393,   94393,    0.905745,   30.000000,21784.783203,  713.265137,21146.691406,  107.607193,  630.379639,  599.313293,     94393,               0,000,000
009,     94394,   94394,    0.959049,   30.000000,21844.087891,  654.144348,21240.564453,   79.245308,  599.609070,  571.000061,     94394,               0,000,000
010,     94394,   94394,    0.904354,   30.000000,21847.128906,  651.250061,21251.367188,   76.081741,  592.012939,  571.419373,     94394,               0,000,000
011,     94394,   94394,    0.922234,   30.000000,21848.748047,  649.373291,21254.853516,   77.119232,  590.035095,  568.452515,     94394,               0,000,000
012,     94394,   94394,    0.944121,   30.000000,21849.687500,  648.185486,21259.699219,   77.527962,  585.875610,  566.761780,     94394,               0,000,000
013,     94394,   94394,    0.909023,   30.000000,21853.617188,  644.600647,21260.335938,   75.467438,  589.140625,  565.095764,     94394,               0,000,000
014,     94393,   94393,    0.902908,   30.000000,21812.867188,  685.347412,21206.972656,  109.136383,  602.116577,  572.380737,     94393,               0,000,000
015,     94394,   94394,    0.950540,   30.000000,21847.103516,  651.124268,21216.189453,   77.602257,  626.974731,  569.664978,     94394,               0,000,000
000,     91636,   91636,    1.005830,   30.000000,21900.257812,  597.298523,21353.056641,  107.000664,  540.242004,  485.030670,     91636,               0,000,001
001,     91635,   91635,    0.919648,   30.000000,21945.933594,  551.959839,21416.648438,   71.926529,  522.979309,  476.295166,     91635,               0,000,001
002,     91636,   91636,    1.051630,   30.000000,21948.722656,  548.936707,21445.513672,   76.204208,  496.613922,  468.449432,     91636,               0,000,001
003,     91635,   91635,    0.926893,   30.000000,21900.333984,  597.133545,21349.669922,  109.309288,  543.456970,  483.668152,     91635,               0,000,001
004,     91635,   91635,    1.122738,   30.000000,21896.691406,  600.887329,21342.519531,  108.243240,  549.020752,  488.517914,     91635,               0,000,001
005,     91636,   91636,    0.900880,   30.000000,21912.076172,  585.867310,21375.902344,  104.288902,  531.163452,  477.602692,     91636,               0,000,001
006,     91636,   91636,    1.027656,   30.000000,21866.074219,  631.437134,21290.095703,  106.927116,  571.217834,  520.269714,     91636,               0,000,001
007,     91635,   91635,    0.914386,   30.000000,21928.271484,  569.659729,21415.191406,  101.068588,  508.714386,  464.582794,     91635,               0,000,001
008,     91636,   91636,    0.863973,   30.000000,21841.648438,  656.589539,21202.716797,   74.934959,  631.470825,  575.576416,     91636,               0,000,001
009,     91635,   91635,    0.857214,   30.000000,21849.724609,  648.573669,21260.142578,   97.783150,  585.997009,  547.204956,     91635,               0,000,001
010,     91636,   91636,    0.860974,   30.000000,21850.572266,  647.926147,21263.357422,   97.197159,  583.676819,  547.126404,     91636,               0,000,001
011,     91636,   91636,    0.858218,   30.000000,21852.291016,  646.009338,21268.054688,  100.371536,  580.637390,  542.035095,     91636,               0,000,001
012,     91635,   91635,    0.863982,   30.000000,21857.197266,  640.726501,21284.154297,  100.334221,  569.279297,  536.764587,     91635,               0,000,001
013,     91636,   91636,    0.859767,   30.000000,21844.957031,  653.304382,21208.357422,   71.948586,  632.536255,  577.466614,     91636,               0,000,001
014,     91636,   91636,    0.855009,   30.000000,21843.441406,  654.877136,21270.898438,  105.059799,  568.912109,  546.191772,     91636,               0,000,001
015,     91636,   91636,    0.859051,   30.000000,21855.214844,  643.217834,21287.103516,   99.325470,  564.493042,  540.324890,     91636,               0,000,001
