tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,glock_tries,array_size(B),client_id,run
000,   3161344,   49396,  337.783051,   30.000000,22160.941406,  328.562134,21789.455078,    4.021382,  365.420166,  320.996948,     49396,          262144,000,000
000,   3156160,   49315,  347.890472,   30.000000,22150.888672,  337.596039,21769.933594,    4.551255,  374.330566,  329.223846,     49315,        16777216,000,000
000,   3173312,   49583,  323.884674,   30.000000,22175.177734,  314.850891,21813.423828,    3.334749,  356.737549,  308.873352,     49583,       134217728,000,000
001,   3161536,   49399,  311.831482,   30.000000,22187.220703,  303.307953,21851.931641,    2.903346,  331.291412,  297.774841,     49399,          262144,000,000
001,   3156352,   49318,  322.924408,   30.000000,22175.878906,  313.924133,21826.769531,    3.178502,  344.254395,  307.789642,     49318,        16777216,000,000
001,   3173440,   49585,  318.429535,   30.000000,22180.929688,  309.585907,21832.169922,    2.913639,  344.294067,  303.973511,     49585,       134217728,000,000
002,   3161472,   49398,  325.551605,   30.000000,22173.378906,  316.723175,21829.064453,    3.226660,  339.757446,  310.803314,     49398,          262144,000,000
002,   3156416,   49319,  308.310608,   30.000000,22190.962891,  299.793915,21862.572266,    2.823527,  323.998169,  294.343567,     49319,        16777216,000,000
002,   3173376,   49584,  308.448669,   30.000000,22190.986328,  299.970551,21864.082031,    2.585717,  322.614899,  294.956970,     49584,       134217728,000,000
003,   3161536,   49399,  314.808685,   30.000000,22184.566406,  306.303070,21850.654297,    2.615319,  330.309174,  301.097595,     49399,          262144,000,000
003,   3156352,   49318,  308.271027,   30.000000,22190.996094,  299.849213,21861.181641,    2.345918,  325.791473,  294.909546,     49318,        16777216,000,000
003,   3173440,   49585,  317.406219,   30.000000,22181.876953,  308.668884,21839.275391,    2.810852,  338.838806,  303.306427,     49585,       134217728,000,000
004,   3161344,   49396,  367.444305,   30.000000,22131.484375,  358.128510,21800.810547,    4.953424,  324.209839,  348.369568,     49396,          262144,000,000
004,   3156224,   49316,  382.717316,   30.000000,22116.291016,  373.831604,21804.652344,    4.032320,  306.015106,  365.271606,     49316,        16777216,000,000
004,   3173440,   49585,  358.915192,   30.000000,22140.681641,  350.221191,21859.773438,    3.471798,  276.775085,  342.590332,     49585,       134217728,000,000
005,   3161536,   49399,  306.503082,   30.000000,22192.552734,  297.920013,21865.921875,    3.036985,  323.503448,  292.422821,     49399,          262144,000,000
005,   3156352,   49318,  305.081268,   30.000000,22193.855469,  296.510437,21860.544922,    3.073767,  330.041687,  290.964630,     49318,        16777216,000,000
005,   3173440,   49585,  321.666046,   30.000000,22177.230469,  312.834167,21838.318359,    3.201995,  335.752014,  307.147766,     49585,       134217728,000,000
006,   3161536,   49399,  308.469513,   30.000000,22190.828125,  299.915283,21862.914062,    2.624635,  324.747253,  294.800812,     49399,          262144,000,000
006,   3156416,   49319,  305.048706,   30.000000,22194.345703,  296.542450,21870.691406,    2.422601,  320.368652,  291.561249,     49319,        16777216,000,000
006,   3173440,   49585,  305.896179,   30.000000,22193.738281,  298.379089,21878.015625,    2.425133,  312.689972,  293.505981,     49585,       134217728,000,000
007,   3161472,   49398,  306.925201,   30.000000,22192.318359,  298.272858,21863.861328,    2.897457,  325.383850,  292.960266,     49398,          262144,000,000
007,   3156352,   49318,  311.109131,   30.000000,22188.080078,  302.465790,21856.427734,    2.916789,  328.324310,  297.000671,     49318,        16777216,000,000
007,   3173376,   49584,  311.053741,   30.000000,22188.373047,  302.191528,21855.109375,    2.993232,  330.071838,  296.624603,     49584,       134217728,000,000
008,   3161472,   49398,  330.219757,   30.000000,22168.507812,  321.443787,21810.716797,    3.624394,  353.121613,  314.459869,     49398,          262144,000,000
008,   3156288,   49317,  325.548889,   30.000000,22173.085938,  316.156586,21815.134766,    3.873919,  352.855286,  308.335358,     49317,        16777216,000,000
008,   3173376,   49584,  319.881958,   30.000000,22179.205078,  311.082703,21826.460938,    3.074270,  348.920197,  305.292114,     49584,       134217728,000,000
009,   3161536,   49399,  313.712891,   30.000000,22185.417969,  305.090302,21851.990234,    3.048738,  330.384735,  299.470886,     49399,          262144,000,000
009,   3156416,   49319,  320.040710,   30.000000,22178.955078,  311.227173,21836.470703,    3.279674,  339.133362,  305.231659,     49319,        16777216,000,000
009,   3173440,   49585,  308.741974,   30.000000,22190.695312,  300.057800,21854.177734,    2.891258,  333.476135,  294.669373,     49585,       134217728,000,000
010,   3161472,   49398,  319.267914,   30.000000,22179.789062,  310.439148,21839.310547,    3.150429,  336.813965,  304.522888,     49398,          262144,000,000
010,   3156352,   49318,  317.372253,   30.000000,22181.824219,  308.628296,21833.378906,    2.945360,  344.623627,  302.861969,     49318,        16777216,000,000
010,   3173440,   49585,  305.810486,   30.000000,22193.732422,  297.266327,21870.791016,    2.417979,  319.905853,  292.352600,     49585,       134217728,000,000
011,   3161536,   49399,  312.156891,   30.000000,22187.171875,  303.677094,21856.916016,    2.690344,  327.238495,  298.509827,     49399,          262144,000,000
011,   3156416,   49319,  305.627838,   30.000000,22193.810547,  297.184052,21867.960938,    2.493906,  322.840576,  292.244904,     49319,        16777216,000,000
011,   3173440,   49585,  305.064148,   30.000000,22194.421875,  296.524872,21867.689453,    2.753319,  323.820770,  291.372528,     49585,       134217728,000,000
