tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,glock_tries,array_size(B),client_id,run
000,   3169088,   49517,  341.803650,   30.000000,22157.373047,  332.656006,21797.224609,    4.558227,  355.164673,  324.695129,     49517,          262144,000,000
000,   3148160,   49190,  343.208008,   30.000000,22155.279297,  333.630524,21782.617188,    5.316741,  366.667480,  324.545898,     49190,        16777216,000,000
000,   3165120,   49455,  344.353516,   30.000000,22154.248047,  335.257507,21787.425781,    5.342165,  361.410034,  326.210968,     49455,       134217728,000,000
001,   3169280,   49520,  322.717468,   30.000000,22176.744141,  313.747467,21832.392578,    3.950986,  340.750366,  307.155334,     49520,          262144,000,000
001,   3148352,   49193,  331.286957,   30.000000,22167.693359,  322.228210,21816.521484,    4.134224,  347.397522,  315.270874,     49193,        16777216,000,000
001,   3165312,   49458,  329.825012,   30.000000,22169.000000,  320.940033,21821.814453,    4.150771,  343.599335,  313.862274,     49458,       134217728,000,000
002,   3169344,   49521,  305.857422,   30.000000,22193.839844,  297.267731,21867.634766,    3.244239,  323.431732,  291.746460,     49521,          262144,000,000
002,   3148352,   49193,  326.956299,   30.000000,22172.320312,  319.318298,21828.359375,    3.396671,  340.500244,  313.144928,     49193,        16777216,000,000
002,   3165376,   49459,  333.808746,   30.000000,22165.357422,  324.981873,21814.408203,    4.305107,  346.901031,  317.759308,     49459,       134217728,000,000
003,   3169280,   49520,  331.443085,   30.000000,22168.107422,  322.619049,21817.488281,    3.919042,  346.857086,  315.731781,     49520,          262144,000,000
003,   3148160,   49190,  328.155701,   30.000000,22170.802734,  318.340393,21816.658203,    4.350974,  349.182892,  310.363953,     49190,        16777216,000,000
003,   3165376,   49459,  328.144836,   30.000000,22171.021484,  319.281708,21819.583984,    3.968914,  347.364960,  312.248627,     49459,       134217728,000,000
004,   3169344,   49521,  372.570312,   30.000000,22126.890625,  363.760284,21834.312500,    5.358541,  287.239807,  354.489563,     49521,          262144,000,000
004,   3148352,   49193,  362.771606,   30.000000,22136.281250,  354.251709,21857.525391,    3.962222,  273.913391,  346.664825,     49193,        16777216,000,000
004,   3165440,   49460,  374.519348,   30.000000,22124.515625,  365.882812,21833.687500,    4.175443,  285.322845,  357.913483,     49460,       134217728,000,000
005,   3169216,   49519,  327.430817,   30.000000,22171.468750,  318.372131,21816.871094,    3.996712,  349.968475,  311.322632,     49519,          262144,000,000
005,   3148416,   49194,  313.944305,   30.000000,22185.062500,  305.523102,21858.158203,    3.194906,  323.031616,  299.438080,     49194,        16777216,000,000
005,   3165440,   49460,  315.518066,   30.000000,22183.521484,  307.027008,21855.685547,    2.511281,  324.668365,  301.955078,     49460,       134217728,000,000
006,   3169280,   49520,  317.431152,   30.000000,22182.169922,  308.657715,21847.796875,    3.478899,  331.198914,  302.741455,     49520,          262144,000,000
006,   3148416,   49194,  312.935760,   30.000000,22186.423828,  304.427185,21859.156250,    2.471522,  323.712067,  299.087891,     49194,        16777216,000,000
006,   3165440,   49460,  306.545319,   30.000000,22192.906250,  298.427429,21875.685547,    3.279579,  314.279999,  292.737610,     49460,       134217728,000,000
007,   3169344,   49521,  309.632782,   30.000000,22190.003906,  301.029388,21859.419922,    3.661445,  327.296387,  294.880890,     49521,          262144,000,000
007,   3148352,   49193,  316.159241,   30.000000,22183.160156,  307.394196,21844.507812,    3.720101,  334.576630,  300.765533,     49193,        16777216,000,000
007,   3165440,   49460,  312.153351,   30.000000,22187.279297,  303.643860,21858.636719,    3.509296,  325.852753,  297.790955,     49460,       134217728,000,000
008,   3169152,   49518,  340.047272,   30.000000,22159.132812,  331.205261,21796.912109,    4.715228,  357.101746,  323.267487,     49518,          262144,000,000
008,   3148224,   49191,  344.784149,   30.000000,22153.722656,  335.296509,21775.689453,    5.293565,  371.544281,  326.400330,     49191,        16777216,000,000
008,   3165056,   49454,  349.657166,   30.000000,22148.851562,  340.040192,21772.867188,    5.136563,  369.831573,  331.243835,     49454,       134217728,000,000
009,   3169216,   49519,  323.673767,   30.000000,22175.310547,  314.656891,21828.886719,    4.088590,  342.396912,  307.623932,     49519,          262144,000,000
009,   3148416,   49194,  323.933960,   30.000000,22174.863281,  315.216339,21825.765625,    4.149494,  344.862091,  308.095490,     49194,        16777216,000,000
009,   3165376,   49459,  326.757080,   30.000000,22171.923828,  317.928406,21824.273438,    4.022878,  343.701721,  311.180145,     49459,       134217728,000,000
010,   3169344,   49521,  304.982208,   30.000000,22194.724609,  296.492889,21875.708984,    3.462257,  316.294006,  290.681091,     49521,          262144,000,000
