tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,array_size(B),client_id,run
000,    118837,  118837,    1.131738,   30.000000,21824.703125,  672.888062,21113.980469,   12.477972,  705.172974,  655.153320,    118837,               0,000,000
001,    106666,  106666,    1.032553,   30.000000,21889.367188,  608.284546,21252.392578,   10.599763,  632.383972,  593.137939,    106666,               0,000,000
002,    119559,  119559,    1.135711,   30.000000,21826.523438,  671.116333,21122.460938,   11.512438,  699.143494,  654.869141,    119559,               0,000,000
003,    116525,  116525,    1.122209,   30.000000,21829.447266,  668.302063,21130.798828,   11.541294,  693.538635,  651.898865,    116525,               0,000,000
004,     98641,   98641,    0.924132,   30.000000,21947.882812,  550.376648,21372.951172,    9.204966,  571.005493,  537.159241,     98641,               0,000,000
005,    102949,  102949,    0.987012,   30.000000,21916.349609,  581.539978,21309.734375,   10.355200,  602.248596,  566.824890,    102949,               0,000,000
006,    109331,  109331,    1.095773,   30.000000,21863.226562,  634.389221,21186.820312,   10.813248,  671.440796,  619.173828,    109331,               0,000,000
007,    109238,  109238,    1.043483,   30.000000,21889.492188,  608.286987,21250.589844,   10.486902,  634.295776,  593.247620,    109238,               0,000,000
008,    116445,  116445,    1.084100,   30.000000,21682.521484,  815.288940,20825.105469,   15.745502,  847.917908,  792.258179,    116445,               0,000,000
009,     98925,   98925,    0.919147,   30.000000,21848.833984,  649.315735,21175.271484,    9.504691,  669.752747,  636.021973,     98925,               0,000,000
010,    121436,  121436,    1.130694,   30.000000,21703.923828,  793.914612,20873.294922,   11.697128,  825.952087,  777.556030,    121436,               0,000,000
011,    117533,  117533,    1.087794,   30.000000,21725.876953,  772.078613,20927.982422,   10.797318,  793.379333,  756.800171,    117533,               0,000,000
012,    109088,  109088,    1.013827,   30.000000,21783.982422,  713.769226,21042.441406,   10.534428,  737.285217,  699.011353,    109088,               0,000,000
013,    101925,  101925,    0.947491,   30.000000,21827.683594,  670.289062,21132.160156,    9.983864,  691.217590,  656.383850,    101925,               0,000,000
014,    107670,  107670,    1.003544,   30.000000,21787.757812,  710.224243,21049.482422,   10.628098,  734.157837,  695.493469,    107670,               0,000,000
015,    111349,  111349,    1.039373,   30.000000,21765.917969,  732.177856,21006.787109,   10.646270,  754.858215,  717.281921,    111349,               0,000,000
000,    112299,  112299,    1.057383,   30.000000,21872.609375,  625.244812,21217.093750,   10.738952,  650.448425,  609.783142,    112299,               0,000,001
001,    107465,  107465,    1.038721,   30.000000,21886.261719,  611.336609,21248.220703,   10.318297,  633.432068,  596.214050,    107465,               0,000,001
002,    101414,  101414,    0.961807,   30.000000,21931.939453,  566.075500,21335.748047,    9.681470,  591.899902,  552.356689,    101414,               0,000,001
003,    101014,  101014,    1.020082,   30.000000,21905.941406,  591.876526,21281.402344,   10.765955,  619.709473,  576.615784,    101014,               0,000,001
004,    118531,  118531,    1.156050,   30.000000,21825.951172,  671.774414,21123.634766,   11.174890,  697.461975,  655.522217,    118531,               0,000,001
005,    112180,  112180,    1.056937,   30.000000,21879.144531,  618.825012,21229.658203,   10.839940,  644.976990,  603.600952,    112180,               0,000,001
006,    107786,  107786,    1.080973,   30.000000,21869.642578,  627.971558,21200.925781,   10.452685,  663.788147,  613.185791,    107786,               0,000,001
007,    132047,  132047,    1.248916,   30.000000,21762.675781,  734.713867,20991.845703,   12.386417,  765.325500,  716.931213,    132047,               0,000,001
008,    113867,  113867,    1.057732,   30.000000,21706.242188,  791.670898,20869.849609,   14.937829,  827.002869,  769.505371,    113867,               0,000,001
009,    103849,  103849,    0.964494,   30.000000,21817.416016,  680.832947,21105.150391,   10.137030,  708.206726,  666.710938,    103849,               0,000,001
010,    126185,  126185,    1.179843,   30.000000,21676.810547,  821.029541,20815.300781,   11.965535,  856.662781,  804.238647,    126185,               0,000,001
011,    101112,  101112,    0.938287,   30.000000,21836.341797,  661.754333,21149.181641,    9.133605,  683.261902,  648.764221,    101112,               0,000,001
012,    104491,  104491,    0.967424,   30.000000,21820.666016,  677.298218,21113.925781,    9.826509,  702.643372,  663.411865,    104491,               0,000,001
013,    113290,  113290,    1.049824,   30.000000,21756.580078,  741.062866,20982.410156,   11.077108,  769.374573,  725.627441,    113290,               0,000,001
014,    112745,  112745,    1.048045,   30.000000,21763.384766,  734.465332,20999.396484,   10.181059,  759.658813,  719.969055,    112745,               0,000,001
015,    103880,  103880,    0.968245,   30.000000,21816.386719,  681.766907,21103.341797,   10.384385,  709.049622,  667.410217,    103880,               0,000,001
