tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,glock_tries,array_size(B),client_id,run
000,         0,       0,    0.000010,    0.000000,    0.014576,    0.006598,    0.001005,    0.000267,    0.013269,    0.006167,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.115839,    0.005676,    0.109200,    0.000138,    0.006592,    0.005486,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.052580,    0.006051,    0.046916,    0.000124,    0.005613,    0.005884,         1,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.018607,    0.007981,    0.012892,    0.000127,    0.005671,    0.007812,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.020549,    0.005450,    0.014693,    0.000110,    0.005801,    0.005302,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.019175,    0.005482,    0.013434,    0.000111,    0.005699,    0.005335,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.019551,    0.005683,    0.013539,    0.000112,    0.005906,    0.005470,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.019394,    0.005479,    0.013705,    0.000112,    0.005646,    0.005329,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.027768,    0.005177,    0.020379,    0.000110,    0.007343,    0.005032,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.019255,    0.005488,    0.013467,    0.000116,    0.005744,    0.005333,         1,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.019464,    0.005519,    0.013547,    0.000110,    0.005873,    0.005367,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.019416,    0.005471,    0.013629,    0.000112,    0.005743,    0.005313,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.019591,    0.005547,    0.013719,    0.000195,    0.005827,    0.005311,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.019589,    0.013460,    0.013754,    0.000109,    0.005791,    0.013312,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.020451,    0.005564,    0.014865,    0.000114,    0.005478,    0.005348,         1,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.022251,    0.005564,    0.015663,    0.000110,    0.006545,    0.005412,         1,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.019271,    0.005577,    0.013315,    0.000109,    0.005911,    0.005425,         1,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.019545,    0.005516,    0.013718,    0.000109,    0.005783,    0.005366,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.019428,    0.005476,    0.013439,    0.000112,    0.005948,    0.005327,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.024151,    0.005891,    0.013434,    0.000113,    0.010673,    0.005737,         1,               0,000,000
001,         0,       0,    0.000010,    0.000000,    0.043836,    0.006860,    0.035081,    0.000271,    0.008557,    0.006467,         1,               0,000,000
001,         0,       0,    0.000007,    0.000000,    0.099160,    0.005207,    0.091179,    0.000207,    0.007865,    0.004941,         1,               0,000,000
001,         0,       0,    0.000010,    0.000000,    0.547565,    0.005832,    0.539640,    0.000136,    0.007777,    0.005636,         1,               0,000,000
001,         0,       0,    0.000010,    0.000000,    0.018753,    0.005663,    0.010995,    0.000078,    0.007692,    0.005536,         1,               0,000,000
001,         0,       0,    0.000010,    0.000000,    0.016786,    0.005522,    0.011031,    0.000076,    0.005714,    0.005409,         1,               0,000,000
001,         0,       0,    0.000007,    0.000000,    0.016466,    0.005657,    0.010867,    0.000073,    0.005495,    0.005476,         1,               0,000,000
001,         0,       0,    0.000008,    0.000000,    0.023783,    0.006287,    0.016874,    0.000106,    0.006813,    0.006127,         1,               0,000,000
001,         0,       0,    0.000011,    0.000000,    0.018668,    0.006952,    0.010733,    0.000103,    0.007879,    0.006796,         1,               0,000,000
001,         0,       0,    0.000007,    0.000000,    0.017033,    0.005624,    0.011036,    0.000095,    0.005944,    0.005490,         1,               0,000,000
001,         0,       0,    0.000010,    0.000000,    0.016559,    0.005533,    0.010738,    0.000078,    0.005781,    0.005415,         1,               0,000,000
001,         0,       0,    0.000007,    0.000000,    0.016402,    0.005423,    0.010803,    0.000078,    0.005535,    0.005303,         1,               0,000,000
001,         0,       0,    0.000010,    0.000000,    0.016164,    0.013359,    0.010695,    0.000075,    0.005426,    0.013244,         1,               0,000,000
001,         0,       0,    0.000010,    0.000000,    0.016950,    0.005287,    0.010936,    0.000105,    0.005945,    0.005143,         1,               0,000,000
001,         0,       0,    0.000011,    0.000000,    0.019474,    0.006396,    0.010823,    0.000109,    0.008520,    0.006179,         1,               0,000,000
001,         0,       0,    0.000010,    0.000000,    0.016204,    0.005431,    0.010689,    0.000073,    0.005475,    0.005319,         1,               0,000,000
001,         0,       0,    0.000010,    0.000000,    0.016293,    0.005395,    0.010821,    0.000072,    0.005432,    0.005286,         1,               0,000,000
001,         0,       0,    0.000007,    0.000000,    0.016345,    0.005408,    0.010741,    0.000077,    0.005555,    0.005292,         1,               0,000,000
001,         0,       0,    0.000007,    0.000000,    0.016521,    0.005467,    0.011037,    0.000078,    0.005443,    0.005349,         1,               0,000,000
