tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,glock_tries,array_size(B),client_id,run
000,   8015936,  125249,  658.009705,   30.000000,21840.343750,  639.924683,21133.996094,   21.022785,  690.933655,  609.439026,    125249,          262144,000,000
000,   7284928,  113827,  599.701416,   30.000000,21898.857422,  583.339722,21248.570312,   19.975010,  636.849121,  554.801941,    113827,        16777216,000,000
000,   7332160,  114565,  603.946167,   30.000000,21894.615234,  587.477844,21243.791016,   19.907190,  637.040527,  558.912842,    114565,       134217728,000,000
001,   7548736,  117949,  607.982422,   30.000000,21890.783203,  590.987427,21276.277344,   14.374804,  608.141418,  571.653137,    117949,          262144,000,000
001,   7883136,  123174,  635.226624,   30.000000,21863.333984,  617.412964,21223.398438,   14.820662,  633.510376,  597.434692,    123174,        16777216,000,000
001,   8750784,  136731,  707.476013,   30.000000,21791.003906,  687.733704,21076.318359,   16.786428,  707.487732,  665.175171,    136731,       134217728,000,000
002,   8894912,  138983,  706.718079,   30.000000,21791.679688,  686.825012,21075.697266,   17.137951,  708.997437,  663.836853,    138983,          262144,000,000
002,   8392576,  131134,  667.238892,   30.000000,21831.318359,  648.264893,21157.855469,   15.796126,  666.845886,  626.913757,    131134,        16777216,000,000
002,   8609152,  134518,  688.556152,   30.000000,21810.009766,  669.087891,21113.308594,   16.716688,  690.010376,  646.760376,    134518,       134217728,000,000
003,   7558848,  118107,  611.575500,   30.000000,21886.593750,  594.355408,21271.183594,   13.891143,  609.352661,  575.486145,    118107,          262144,000,000
003,   7352192,  114878,  596.349060,   30.000000,21901.873047,  579.620178,21300.822266,   13.830190,  595.079590,  560.965149,    114878,        16777216,000,000
003,   7800896,  121889,  632.280884,   30.000000,21865.789062,  614.383057,21229.166016,   14.671238,  630.281738,  594.614807,    121889,       134217728,000,000
004,   8159936,  127499,  656.198975,   30.000000,21842.308594,  637.672546,21180.339844,   15.346081,  655.442139,  616.998230,    127499,          262144,000,000
004,   7872320,  123005,  631.329773,   30.000000,21867.080078,  613.535095,21230.445312,   14.516173,  629.393555,  593.922424,    123005,        16777216,000,000
004,   8393664,  131151,  668.996948,   30.000000,21829.337891,  650.094238,21153.535156,   15.983596,  668.513428,  628.654541,    131151,       134217728,000,000
005,   7811136,  122049,  621.677063,   30.000000,21876.984375,  604.125610,21254.093750,   14.344226,  616.560852,  584.690247,    122049,          262144,000,000
005,   8035712,  125558,  642.719727,   30.000000,21855.927734,  624.659607,21209.517578,   15.704975,  639.881104,  603.742371,    125558,        16777216,000,000
005,   8558720,  133730,  687.703125,   30.000000,21810.751953,  668.490173,21119.671875,   16.711294,  684.122314,  646.267639,    133730,       134217728,000,000
006,   6766912,  105733,  541.355835,   30.000000,21957.230469,  526.123535,21408.033203,   13.139554,  543.631226,  508.566559,    105733,          262144,000,000
006,   7219072,  112798,  581.262878,   30.000000,21917.050781,  564.979004,21330.244141,   13.386912,  581.188293,  546.905640,    112798,        16777216,000,000
006,   7261824,  113466,  582.826111,   30.000000,21915.593750,  566.402588,21328.164062,   13.503586,  581.603210,  548.151001,    113466,       134217728,000,000
007,   7145600,  111650,  568.840820,   30.000000,21929.744141,  552.607971,21353.093750,   13.704344,  569.439026,  533.875427,    111650,          262144,000,000
007,   7479744,  116871,  597.194824,   30.000000,21901.253906,  580.276184,21299.255859,   14.307382,  595.531250,  560.690063,    116871,        16777216,000,000
007,   7318208,  114347,  581.752869,   30.000000,21916.851562,  565.280518,21331.548828,   13.920575,  579.087402,  546.180237,    114347,       134217728,000,000
008,   9032064,  141126,  936.722656,   30.000000,21561.796875,  916.418457,20609.740234,   23.633997,  936.586853,  883.509338,    141126,          262144,000,000
008,   7610304,  118911,  787.683777,   30.000000,21710.988281,  770.731750,20905.365234,   20.442116,  792.652100,  742.477295,    118911,        16777216,000,000
008,   7373952,  115218,  764.347412,   30.000000,21734.335938,  747.807373,20955.111328,   19.607281,  766.665039,  720.651733,    115218,       134217728,000,000
009,   7001856,  109404,  692.767578,   30.000000,21806.048828,  676.922668,21109.175781,   13.212692,  691.987061,  659.027344,    109404,          262144,000,000
009,   7503104,  117236,  742.448303,   30.000000,21756.332031,  725.404541,21010.363281,   13.839723,  741.007812,  706.513977,    117236,        16777216,000,000
009,   8816896,  137764,  873.086975,   30.000000,21625.439453,  853.045898,20748.513672,   16.641935,  871.034241,  830.498291,    137764,       134217728,000,000
010,   7731456,  120804,  735.840698,   30.000000,21762.509766,  718.295227,21021.673828,   14.462532,  734.469788,  698.676025,    120804,          262144,000,000
010,   7111104,  111111,  676.168030,   30.000000,21822.378906,  660.112793,21143.375000,   13.298900,  673.147278,  642.053162,    111111,        16777216,000,000
010,   7667968,  119812,  729.527710,   30.000000,21768.957031,  712.216064,21035.611328,   14.912465,  727.021667,  692.205933,    119812,       134217728,000,000
011,   6744384,  105381,  652.001770,   30.000000,21846.673828,  636.792419,21192.587891,   12.457994,  649.214294,  619.812195,    105381,          262144,000,000
011,   8146112,  127283,  785.589172,   30.000000,21712.904297,  767.195679,20924.267578,   15.667151,  783.196716,  746.059998,    127283,        16777216,000,000
011,   6835968,  106812,  663.138062,   30.000000,21835.632812,  647.715820,21169.544922,   13.481548,  661.514709,  629.635254,    106812,       134217728,000,000
012,   8363776,  130684,  792.385681,   30.000000,21705.572266,  773.508972,20906.714844,   16.508743,  793.154541,  751.411743,    130684,          262144,000,000
012,   8573504,  133961,  815.159119,   30.000000,21682.785156,  795.790710,20864.380859,   16.048788,  812.540588,  774.016724,    133961,        16777216,000,000
012,   6930432,  108288,  659.146301,   30.000000,21839.240234,  643.524658,21176.964844,   13.407927,  657.544128,  625.502014,    108288,       134217728,000,000
013,   7547904,  117936,  724.469849,   30.000000,21774.203125,  707.452393,21042.708984,   14.317070,  725.997925,  688.087769,    117936,          262144,000,000
013,   7069888,  110467,  685.194214,   30.000000,21813.701172,  669.267639,21125.689453,   13.487855,  683.236633,  651.061096,    110467,        16777216,000,000
013,   6945344,  108521,  670.627991,   30.000000,21828.195312,  654.961731,21152.433594,   13.452035,  671.148254,  636.867920,    108521,       134217728,000,000
