tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,array_size(B),client_id,run
000,    112648,  112648,    1.134815,   30.000000,21871.289062,  625.871887,21192.398438,    6.120138,  670.986145,  613.759277,    112648,               0,000,000
001,    112648,  112648,    1.163292,   30.000000,21858.501953,  638.596558,21124.005859,    6.306687,  726.421936,  626.502686,    112648,               0,000,000
002,    112648,  112648,    1.091510,   30.000000,21895.292969,  602.031982,21219.400391,    4.844714,  669.096619,  592.410828,    112648,               0,000,000
003,    112648,  112648,    1.075180,   30.000000,21887.076172,  610.086243,21223.771484,    5.267934,  656.426270,  600.021118,    112648,               0,000,000
004,    112647,  112647,    1.077241,   30.000000,21886.376953,  610.933411,21189.628906,    5.179315,  689.977356,  600.876099,    112647,               0,000,000
005,    112648,  112648,    1.244486,   30.000000,21874.980469,  621.410095,21200.896484,    6.012771,  668.206299,  610.367371,    112648,               0,000,000
006,    112647,  112647,    1.134202,   30.000000,21841.138672,  655.330261,21111.755859,    6.427906,  721.773682,  642.625732,    112647,               0,000,000
007,    112647,  112647,    1.074746,   30.000000,21891.667969,  605.813782,21247.425781,    4.445893,  637.793152,  596.405029,    112647,               0,000,000
008,    112648,  112648,    1.049757,   30.000000,21759.546875,  737.925354,20984.382812,    5.301006,  765.616821,  723.828308,    112648,               0,000,000
009,    112648,  112648,    1.041244,   30.000000,21791.603516,  706.316345,21059.304688,    4.053860,  727.293945,  697.688293,    112648,               0,000,000
010,    112648,  112648,    1.051023,   30.000000,21801.664062,  696.192505,21078.851562,    3.834729,  717.607544,  687.883545,    112648,               0,000,000
011,    112648,  112648,    1.046756,   30.000000,21796.566406,  699.137817,21069.974609,    3.912161,  720.495850,  690.791016,    112648,               0,000,000
012,    112648,  112648,    1.059133,   30.000000,21794.923828,  700.845093,21047.048828,    6.204004,  742.466614,  689.746155,    112648,               0,000,000
013,    112648,  112648,    1.054505,   30.000000,21788.591797,  706.717041,21051.203125,    4.045691,  730.641846,  698.129700,    112648,               0,000,000
014,    112647,  112647,    1.056014,   30.000000,21786.505859,  711.390320,21022.455078,    4.100931,  758.201660,  702.932373,    112647,               0,000,000
015,    112648,  112648,    1.053037,   30.000000,21796.976562,  700.786743,21035.839844,    4.452304,  755.273193,  691.962219,    112648,               0,000,000
000,    111176,  111176,    1.110005,   30.000000,21862.996094,  633.546021,21131.916016,    6.062953,  722.132263,  621.452576,    111176,               0,000,001
001,    111175,  111175,    1.126795,   30.000000,21880.878906,  615.952271,21178.849609,    5.404825,  693.546631,  605.518127,    111175,               0,000,001
002,    111175,  111175,    1.081239,   30.000000,21896.941406,  600.335938,21225.101562,    4.553740,  664.676270,  591.195251,    111175,               0,000,001
003,    111176,  111176,    1.118717,   30.000000,21864.013672,  632.833008,21118.646484,    6.810441,  736.448792,  619.755859,    111176,               0,000,001
004,    111176,  111176,    1.039550,   30.000000,21906.939453,  590.683716,21273.490234,    4.608305,  627.146790,  581.474976,    111176,               0,000,001
005,    111175,  111175,    1.042073,   30.000000,21910.187500,  587.668335,21276.244141,    3.911720,  629.256165,  579.380310,    111175,               0,000,001
006,    111176,  111176,    1.125043,   30.000000,21857.892578,  639.094421,21125.261719,    5.344772,  726.142212,  627.805054,    111176,               0,000,001
007,    111176,  111176,    1.170901,   30.000000,21878.203125,  618.814941,21176.144531,    5.510908,  690.443298,  606.114136,    111176,               0,000,001
008,    111176,  111176,    1.038454,   30.000000,21764.447266,  730.550232,20974.279297,    5.161261,  780.670166,  716.616455,    111176,               0,000,001
009,    111175,  111175,    1.032115,   30.000000,21792.736328,  703.104370,21042.775391,    3.808679,  745.375854,  694.903137,    111175,               0,000,001
010,    111175,  111175,    1.069573,   30.000000,21808.324219,  687.763550,21068.970703,    3.822722,  734.541260,  679.524414,    111175,               0,000,001
011,    111175,  111175,    1.038144,   30.000000,21805.966797,  689.989441,21067.794922,    3.817214,  733.229858,  681.771362,    111175,               0,000,001
012,    111176,  111176,    1.047769,   30.000000,21801.835938,  693.852478,21072.154297,    4.184247,  724.385010,  684.946533,    111176,               0,000,001
013,    111175,  111175,    1.039911,   30.000000,21797.724609,  697.489868,21068.281250,    4.131133,  723.054077,  688.904724,    111175,               0,000,001
014,    111176,  111176,    1.043950,   30.000000,21800.867188,  697.138977,21054.574219,    4.130475,  741.718628,  688.729126,    111176,               0,000,001
015,    111176,  111176,    1.047924,   30.000000,21802.742188,  695.192322,21046.103516,    3.930584,  752.056824,  686.916504,    111176,               0,000,001
