tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,glock_tries,array_size(B),client_id,run
000,      2451,    2451,    0.022869,   30.000000,22484.470703,   15.725675,22471.566406,    3.149437,   12.769906,   12.465185,      2451,               0,000,000
001,     74037,   74037,    0.698500,   30.000000,22035.335938,  463.408295,21653.042969,   87.037048,  373.872833,  367.762329,     74037,               0,000,000
002,    220266,  220266,    2.048460,   30.000000,21136.271484, 1359.588501,19991.201172,  240.934280, 1132.856323, 1108.619873,    220266,               0,000,000
003,     18629,   18629,    0.175922,   30.000000,22381.988281,  117.929329,22284.080078,   22.488424,   96.891541,   94.601433,     18629,               0,000,000
004,     78762,   78762,    0.730115,   30.000000,22010.671875,  487.854767,21601.080078,   86.855782,  405.338135,  397.398804,     78762,               0,000,000
005,    262149,  262149,    2.450579,   30.000000,20873.304688, 1621.484619,19510.267578,  287.919128, 1349.365967, 1321.558838,    262149,               0,000,000
006,    541544,  541544,    5.091856,   30.000000,19131.017578, 3358.879883,16289.832031,  582.878723, 2812.060547, 2751.296631,    541544,               0,000,000
007,    262625,  262625,    2.451451,   30.000000,20879.351562, 1615.931030,19514.123047,  282.706299, 1351.341431, 1321.307739,    262625,               0,000,000
008,     47779,   47779,    0.456946,   30.000000,22110.441406,  388.775452,21772.736328,   56.228470,  332.233521,  327.080353,     47779,               0,000,000
009,     75920,   75920,    0.718376,   30.000000,21914.482422,  584.088318,21414.576172,   89.037537,  496.478638,  491.528107,     75920,               0,000,000
010,     78812,   78812,    0.739542,   30.000000,21888.867188,  609.709900,21364.664062,   90.372276,  520.704651,  515.724426,     78812,               0,000,000
011,     34059,   34059,    0.318582,   30.000000,22232.099609,  267.376770,22000.736328,   39.082802,  229.861542,  226.738541,     34059,               0,000,000
012,     46178,   46178,    0.453216,   30.000000,22143.044922,  356.105835,21837.884766,   53.702744,  303.073914,  299.788269,     46178,               0,000,000
013,     27390,   27390,    0.267153,   30.000000,22285.996094,  213.579453,22103.957031,   34.004429,  180.778763,  178.281998,     27390,               0,000,000
014,     27378,   27378,    0.257901,   30.000000,22289.947266,  209.576675,22109.265625,   31.598665,  179.445114,  176.712814,     27378,               0,000,000
015,     57920,   57920,    0.541208,   30.000000,22052.095703,  446.989655,21669.443359,   67.144836,  380.039429,  377.140686,     57920,               0,000,000
000,     67216,   67216,    0.626512,   30.000000,22080.777344,  418.171478,21728.890625,   73.457108,  348.239471,  341.651367,     67216,               0,000,001
001,     18734,   18734,    0.178883,   30.000000,22384.128906,  115.592552,22288.156250,   20.649168,   93.862259,   92.786469,     18734,               0,000,001
002,    335155,  335155,    3.137334,   30.000000,20411.804688, 2081.891113,18651.464844,  360.277649, 1742.318115, 1706.323730,    335155,               0,000,001
003,    362405,  362405,    3.439270,   30.000000,20245.080078, 2248.234619,18347.861328,  390.585602, 1878.075806, 1841.220337,    362405,               0,000,001
004,     59083,   59083,    0.550672,   30.000000,22136.216797,  362.756042,21830.839844,   64.509811,  302.172485,  295.548187,     59083,               0,000,001
005,     46976,   46976,    0.436599,   30.000000,22207.210938,  291.830109,21962.638672,   52.063015,  242.120117,  237.619095,     46976,               0,000,001
006,    572145,  572145,    5.360107,   30.000000,18963.921875, 3525.393799,15989.519531,  609.202820, 2943.385498, 2890.082031,    572145,               0,000,001
007,    214736,  214736,    2.034125,   30.000000,21181.109375, 1315.038696,20074.570312,  229.706146, 1095.185181, 1075.598022,    214736,               0,000,001
008,     49877,   49877,    0.468281,   30.000000,22099.904297,  399.167114,21753.830078,   59.128830,  340.413483,  334.386200,     49877,               0,000,001
009,     45928,   45928,    0.429523,   30.000000,22144.945312,  354.306030,21841.587891,   54.121578,  301.307373,  298.065826,     45928,               0,000,001
010,     18393,   18393,    0.170375,   30.000000,22358.003906,  141.823257,22237.298828,   21.699047,  119.881393,  119.276680,     18393,               0,000,001
011,     29286,   29286,    0.279091,   30.000000,22273.845703,  225.658539,22081.205078,   34.008957,  191.340683,  190.296234,     29286,               0,000,001
012,      2476,    2476,    0.022937,   30.000000,22480.914062,   19.246389,22464.312500,    2.799386,   16.485012,   16.330145,      2476,               0,000,001
013,     67457,   67457,    0.637436,   30.000000,21975.392578,  523.568176,21530.787109,   83.094604,  441.634827,  437.389557,     67457,               0,000,001
014,      2413,    2413,    0.022826,   30.000000,22481.798828,   18.313158,22465.912109,    2.771645,   15.776492,   15.420623,      2413,               0,000,001
015,     10874,   10874,    0.100276,   30.000000,22414.810547,   85.016937,22341.539062,   12.415657,   72.786118,   72.104073,     10874,               0,000,001
000,     87316,   87316,    0.823696,   30.000000,21956.785156,  541.615173,21499.285156,   93.301300,  452.731598,  444.324646,     87316,               0,000,002
001,     26313,   26313,    0.248074,   30.000000,22337.121094,  162.488876,22202.156250,   29.062777,  131.949661,  130.345428,     26313,               0,000,002
002,    337068,  337068,    3.169321,   30.000000,20410.132812, 2083.516602,18649.005859,  358.799530, 1742.980835, 1709.379639,    337068,               0,000,002
003,    153645,  153645,    1.442738,   30.000000,21545.859375,  951.229187,20745.513672,  164.240204,  791.846802,  780.043701,    153645,               0,000,002
004,     97643,   97643,    0.907185,   30.000000,21899.904297,  598.322144,21397.599609,  104.241623,  496.469757,  489.610809,     97643,               0,000,002
005,    293859,  293859,    2.758169,   30.000000,20660.507812, 1833.678101,19111.976562,  313.427155, 1533.205444, 1506.807739,    293859,               0,000,002
006,    104942,  104942,    0.982104,   30.000000,21855.250000,  642.950867,21313.863281,  111.993179,  535.735413,  526.174011,    104942,               0,000,002
007,    217799,  217799,    2.044383,   30.000000,21157.609375, 1338.531738,20029.781250,  232.597305, 1116.303223, 1095.993408,    217799,               0,000,002
008,     77893,   77893,    0.723310,   30.000000,21873.597656,  625.045105,21334.794922,   92.314270,  530.000427,  523.910706,     77893,               0,000,002
009,     54605,   54605,    0.510278,   30.000000,22076.185547,  422.809113,21713.587891,   63.093670,  360.165039,  357.213135,     54605,               0,000,002
010,     31062,   31062,    0.294513,   30.000000,22258.798828,  240.826294,22051.679688,   35.777458,  205.749542,  203.638077,     31062,               0,000,002
011,     69304,   69304,    0.651078,   30.000000,21967.455078,  531.375305,21512.740234,   80.589478,  451.653107,  447.590973,     69304,               0,000,002
012,     99229,   99229,    0.928523,   30.000000,21726.478516,  771.557190,21061.904297,  113.320084,  660.000732,  653.492249,     99229,               0,000,002
