tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,glock_tries,array_size(B),client_id,run
000,    125450,  125450,    1.207118,   30.000000,21883.650391,  613.796021,21201.636719,    4.941974,  673.908691,  603.182251,    125450,               0,000,000
001,    125450,  125450,    1.173612,   30.000000,21838.337891,  658.730469,21117.466797,    6.490731,  701.674561,  636.265869,    125450,               0,000,000
002,    125450,  125450,    1.170449,   30.000000,21895.722656,  602.000183,21266.242188,    4.334008,  621.951172,  592.096313,    125450,               0,000,000
003,    125450,  125450,    1.210421,   30.000000,21887.779297,  609.928894,21249.568359,    4.626494,  631.596619,  599.595337,    125450,               0,000,000
004,    125449,  125449,    1.179272,   30.000000,21882.412109,  615.126343,21207.462891,    4.993130,  669.168457,  604.457764,    125449,               0,000,000
005,    125450,  125450,    1.168270,   30.000000,21891.392578,  606.198425,21251.470703,    5.202663,  633.848206,  595.278015,    125450,               0,000,000
006,    125450,  125450,    1.185136,   30.000000,21894.761719,  602.809814,21270.003906,    4.676496,  618.982300,  592.483887,    125450,               0,000,000
007,    125450,  125450,    1.176253,   30.000000,21894.095703,  603.696899,21264.781250,    4.597632,  622.890869,  593.379578,    125450,               0,000,000
008,    125449,  125449,    1.179276,   30.000000,21730.890625,  766.716370,20902.095703,    6.626504,  813.368164,  745.957031,    125449,               0,000,000
009,    125449,  125449,    1.166200,   30.000000,21783.554688,  713.955444,21030.689453,    5.034490,  747.189941,  703.132080,    125449,               0,000,000
010,    125449,  125449,    1.172112,   30.000000,21777.687500,  719.431274,21002.169922,    7.179366,  769.755188,  706.322693,    125449,               0,000,000
011,    125449,  125449,    1.192598,   30.000000,21781.707031,  715.941284,21034.371094,    4.640720,  741.633972,  705.680420,    125449,               0,000,000
012,    125449,  125449,    1.229679,   30.000000,21782.328125,  715.289368,21034.060547,    4.883831,  742.642456,  704.667847,    125449,               0,000,000
013,    125449,  125449,    1.196148,   30.000000,21786.255859,  711.102478,21032.294922,    5.152653,  748.361816,  700.314331,    125449,               0,000,000
014,    125449,  125449,    1.196021,   30.000000,21789.296875,  708.056641,21046.976562,    4.751834,  736.447998,  697.367371,    125449,               0,000,000
015,    125449,  125449,    1.165229,   30.000000,21776.656250,  721.049683,21028.191406,    4.639966,  742.821594,  710.794067,    125449,               0,000,000
000,    124625,  124625,    1.200609,   30.000000,21889.328125,  608.267456,21256.617188,    4.556271,  625.215332,  598.101257,    124625,               0,000,001
001,    124624,  124624,    1.168103,   30.000000,21835.486328,  661.441223,21052.281250,    6.505165,  764.370544,  638.988770,    124624,               0,000,001
002,    124625,  124625,    1.153635,   30.000000,21898.148438,  599.429688,21236.986328,    4.899634,  653.630005,  588.960876,    124625,               0,000,001
003,    124625,  124625,    1.194508,   30.000000,21890.283203,  607.432739,21221.970703,    4.433185,  661.522461,  597.227173,    124625,               0,000,001
004,    124624,  124624,    1.167856,   30.000000,21887.662109,  609.876831,21214.306641,    4.893296,  667.646423,  599.394226,    124624,               0,000,001
005,    124625,  124625,    1.165514,   30.000000,21892.761719,  604.847412,21268.464844,    4.656865,  618.099182,  594.559875,    124625,               0,000,001
006,    124625,  124625,    1.185164,   30.000000,21891.804688,  605.656555,21259.509766,    4.851223,  626.444580,  595.170532,    124625,               0,000,001
007,    124625,  124625,    1.157357,   30.000000,21900.212891,  597.537659,21268.833984,    4.501799,  624.667114,  587.334534,    124625,               0,000,001
008,    124625,  124625,    1.171779,   30.000000,21737.638672,  760.091858,20940.509766,    6.611869,  782.438538,  739.674133,    124625,               0,000,001
009,    124625,  124625,    1.164594,   30.000000,21787.664062,  710.152954,21017.478516,    4.794166,  764.529419,  699.398132,    124625,               0,000,001
010,    124624,  124624,    1.171868,   30.000000,21793.386719,  703.938110,21034.201172,    4.351796,  753.571045,  693.936340,    124624,               0,000,001
011,    124625,  124625,    1.171940,   30.000000,21791.800781,  705.886169,21022.050781,    4.506080,  764.137390,  695.764160,    124625,               0,000,001
012,    124625,  124625,    1.213325,   30.000000,21785.492188,  712.173096,21011.064453,    6.842456,  768.825989,  699.749390,    124625,               0,000,001
013,    124625,  124625,    1.190648,   30.000000,21793.505859,  703.912170,21055.302734,    4.837861,  732.638000,  693.462952,    124625,               0,000,001
014,    124624,  124624,    1.167817,   30.000000,21794.367188,  703.041931,21055.294922,    4.576298,  733.171204,  692.600098,    124624,               0,000,001
015,    124625,  124625,    1.160649,   30.000000,21793.427734,  704.354736,21053.382812,    4.595927,  734.404480,  694.129700,    124625,               0,000,001
000,    124502,  124502,    1.222773,   30.000000,21892.039062,  605.473328,21226.566406,    4.785474,  657.696533,  595.091370,    124502,               0,000,002
001,    124502,  124502,    1.170211,   30.000000,21836.281250,  660.819214,21048.191406,    6.289988,  769.426697,  638.736816,    124502,               0,000,002
002,    124502,  124502,    1.150195,   30.000000,21898.990234,  598.504150,21241.548828,    4.837638,  649.753052,  588.054993,    124502,               0,000,002
003,    124502,  124502,    1.222477,   30.000000,21890.400391,  607.198181,21224.849609,    4.727954,  659.223816,  596.909180,    124502,               0,000,002
004,    124502,  124502,    1.164143,   30.000000,21890.683594,  607.017761,21256.062500,    4.646323,  628.839050,  596.788696,    124502,               0,000,002
005,    124502,  124502,    1.167906,   30.000000,21894.341797,  603.157349,21270.035156,    4.665903,  618.172424,  592.786011,    124502,               0,000,002
006,    124503,  124503,    1.205804,   30.000000,21892.814453,  604.727356,21259.091797,    4.910027,  627.872009,  594.202576,    124503,               0,000,002
007,    124502,  124502,    1.154284,   30.000000,21896.730469,  601.023010,21275.404297,    4.515418,  614.395081,  590.572754,    124502,               0,000,002
008,    124502,  124502,    1.159988,   30.000000,21733.949219,  763.651978,20900.886719,    6.442226,  818.834961,  743.120789,    124502,               0,000,002
009,    124502,  124502,    1.187278,   30.000000,21776.857422,  719.199280,21009.189453,    7.127416,  761.867126,  706.149353,    124502,               0,000,002
010,    124502,  124502,    1.151566,   30.000000,21787.644531,  709.660950,21027.097656,    4.411768,  754.950012,  699.609863,    124502,               0,000,002
011,    124502,  124502,    1.178806,   30.000000,21790.837891,  706.779358,21046.123047,    4.680576,  739.132935,  696.513306,    124502,               0,000,002
012,    124502,  124502,    1.189244,   30.000000,21789.453125,  708.153687,21045.437500,    5.031201,  738.434143,  697.566406,    124502,               0,000,002
013,    124502,  124502,    1.158567,   30.000000,21793.453125,  703.989197,21055.501953,    4.802933,  732.393738,  693.552979,    124502,               0,000,002
014,    124502,  124502,    1.168538,   30.000000,21795.384766,  702.104248,21038.388672,    4.570539,  751.201538,  691.648499,    124502,               0,000,002
015,    124502,  124502,    1.144968,   30.000000,21788.875000,  708.837036,21037.226562,    4.611121,  746.039917,  698.644775,    124502,               0,000,002
