tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,glock_tries,array_size(B),client_id,run
000,     29421,   29421,    0.273415,   30.000000,22310.287109,  189.384872,22019.746094,   37.053219,  287.057800,  148.671494,     56887,               0,000,000
001,     24873,   24873,    0.234317,   30.000000,22342.683594,  156.906616,22102.935547,   29.593597,  238.469177,  126.166389,     46960,               0,000,000
002,     93716,   93716,    0.870015,   30.000000,21914.349609,  583.950806,20864.765625,  101.082901, 1044.376587,  478.439514,    203365,               0,000,000
003,     27458,   27458,    0.259581,   30.000000,22324.423828,  175.268402,22051.158203,   31.300079,  271.827393,  142.625427,     52169,               0,000,000
004,    245780,  245780,    2.292968,   30.000000,20962.441406, 1532.993896,18339.263672,  275.184967, 2609.438965, 1246.349976,    512764,               0,000,000
005,    121701,  121701,    1.136482,   30.000000,21725.964844,  771.819946,20407.732422,  140.745346, 1311.566284,  625.397705,    254633,               0,000,000
006,    162803,  162803,    1.508993,   30.000000,21493.978516, 1003.052429,19680.351562,  176.527206, 1804.570435,  818.984375,    356919,               0,000,000
007,     52869,   52869,    0.494548,   30.000000,22166.474609,  332.718964,21613.152344,   61.294384,  550.423279,  268.985382,    107841,               0,000,000
008,     12741,   12741,    0.121086,   30.000000,22394.685547,  105.056412,22223.845703,   15.212988,  169.341187,   88.357399,     24191,               0,000,000
009,    104219,  104219,    0.984072,   30.000000,21700.052734,  798.087585,20499.712891,  118.204536, 1195.568237,  674.989746,    182282,               0,000,000
010,     36256,   36256,    0.334935,   30.000000,22223.974609,  275.434174,21773.962891,   41.257442,  448.366669,  232.461197,     69177,               0,000,000
011,     94243,   94243,    0.895445,   30.000000,21783.933594,  714.294373,20656.626953,  106.124939, 1122.971313,  603.659973,    173301,               0,000,000
012,    116414,  116414,    1.107098,   30.000000,21607.916016,  889.820740,20241.181641,  131.747757, 1361.337769,  752.610107,    207987,               0,000,000
013,     67819,   67819,    0.645977,   30.000000,21989.882812,  508.935333,21231.517578,   75.190727,  754.725769,  430.070770,    117147,               0,000,000
014,       899,     899,    0.008862,   30.000000,22493.478516,    6.762524,22482.982422,    1.020558,   10.450723,    5.701069,      1631,               0,000,000
015,     58761,   58761,    0.556542,   30.000000,22050.667969,  448.499786,21372.845703,   66.259033,  675.106812,  379.440094,    103290,               0,000,000
000,      2687,    2687,    0.024885,   30.000000,22483.013672,   17.156771,22461.152344,    3.358608,   21.543150,   13.464453,      4280,               0,000,001
001,     55892,   55892,    0.523623,   30.000000,22141.187500,  358.077850,21571.873047,   66.529922,  566.358704,  288.938812,    109464,               0,000,001
002,     96782,   96782,    0.900506,   30.000000,21889.376953,  608.829712,20939.576172,  115.374832,  944.445251,  489.052948,    186884,               0,000,001
003,     97207,   97207,    0.920520,   30.000000,21870.390625,  627.898010,20873.673828,  115.176033,  991.470703,  507.970795,    189419,               0,000,001
004,     91200,   91200,    0.853488,   30.000000,21915.837891,  582.476440,20979.554688,  107.943542,  931.218018,  470.265442,    180472,               0,000,001
005,    208653,  208653,    1.952403,   30.000000,21176.240234, 1319.794922,18968.392578,  238.668793, 2196.529053, 1071.383179,    426761,               0,000,001
006,    171007,  171007,    1.591295,   30.000000,21424.181641, 1072.866821,19824.599609,  191.721207, 1590.353394,  873.249390,    310104,               0,000,001
007,    317328,  317328,    2.948368,   30.000000,20532.093750, 1961.916626,17177.308594,  350.865082, 3337.277100, 1596.370239,    660506,               0,000,001
008,     10750,   10750,    0.099640,   30.000000,22412.414062,   87.406929,22261.234375,   12.663382,  149.907974,   73.491608,     21896,               0,000,001
009,     38094,   38094,    0.358965,   30.000000,22214.205078,  285.175354,21764.533203,   42.769234,  447.920288,  240.627686,     69858,               0,000,001
010,     12865,   12865,    0.118742,   30.000000,22402.621094,   97.181679,22258.955078,   14.717872,  143.090500,   81.854630,     22114,               0,000,001
011,     27807,   27807,    0.265746,   30.000000,22287.796875,  211.947876,21985.015625,   31.495058,  301.513794,  179.138474,     46143,               0,000,001
012,      9136,    9136,    0.087075,   30.000000,22430.468750,   69.540726,22320.343750,   10.367756,  109.708282,   58.752510,     16884,               0,000,001
013,         1,       1,    0.000017,   30.000000,22500.341797,    0.006860,22500.333984,    0.000673,    0.007226,    0.006114,         1,               0,000,001
014,     70029,   70029,    0.654219,   30.000000,21961.992188,  536.805359,21165.097656,   79.257736,  793.726868,  454.228027,    120646,               0,000,001
015,    100982,  100982,    0.969372,   30.000000,21708.572266,  789.704773,20512.740234,  114.621170, 1191.184692,  670.187744,    177407,               0,000,001
000,     26552,   26552,    0.248732,   30.000000,22329.378906,  170.114120,22034.869141,   32.539761,  291.353210,  134.273804,     57304,               0,000,002
001,    163622,  163622,    1.567762,   30.000000,21467.630859, 1029.363525,19820.306641,  187.943878, 1638.737427,  833.726868,    320375,               0,000,002
002,    113830,  113830,    1.057758,   30.000000,21789.650391,  708.387024,20517.078125,  129.555725, 1266.153320,  573.568054,    251413,               0,000,002
003,     41320,   41320,    0.387330,   30.000000,22235.759766,  263.625732,21771.812500,   47.890579,  461.618042,  213.683716,     89043,               0,000,002
004,    141880,  141880,    1.334058,   30.000000,21609.234375,  888.115906,20083.939453,  167.255997, 1517.306519,  714.305298,    301861,               0,000,002
005,    128638,  128638,    1.216024,   30.000000,21710.849609,  786.677307,20438.300781,  138.700867, 1265.631470,  642.067505,    251702,               0,000,002
006,    301751,  301751,    2.812497,   30.000000,20625.609375, 1868.301636,17466.837891,  329.609650, 3142.235596, 1524.664917,    619037,               0,000,002
007,    154849,  154849,    1.435504,   30.000000,21538.539062,  958.508789,19838.394531,  170.683441, 1691.614868,  780.605530,    334109,               0,000,002
