tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,glock_tries,array_size(B),client_id,run
000,   7242176,  113159,  637.273010,   30.000000,21861.603516,  618.203430,21204.345703,   11.637965,  651.593750,  601.481750,    118483,          262144,000,000
000,   7220224,  112816,  635.446106,   30.000000,21863.269531,  616.416382,21233.035156,   11.505456,  624.292725,  599.855286,    113105,        16777216,000,000
000,   7206592,  112603,  633.889954,   30.000000,21864.923828,  614.911499,21237.679688,   11.302226,  621.640625,  598.537354,    112865,       134217728,000,000
001,   7242176,  113159,  627.653076,   30.000000,21871.148438,  608.498169,21223.382812,    9.839268,  642.277100,  593.495544,    118470,          262144,000,000
001,   7220224,  112816,  627.981262,   30.000000,21870.761719,  608.938904,21250.414062,   10.817077,  614.861328,  593.030212,    113115,        16777216,000,000
001,   7206592,  112603,  628.083313,   30.000000,21870.796875,  609.019104,21249.451172,   10.414228,  615.890747,  593.513672,    112865,       134217728,000,000
002,   7242176,  113159,  634.531982,   30.000000,21864.001953,  615.534912,21230.257812,   11.399158,  628.197876,  599.261658,    113457,          262144,000,000
002,   7220224,  112816,  631.380371,   30.000000,21867.000000,  612.336060,21233.140625,   10.978617,  628.377563,  596.526001,    114765,        16777216,000,000
002,   7206592,  112603,  631.455994,   30.000000,21867.046875,  612.442505,21202.962891,   11.140717,  658.603455,  596.409058,    120114,       134217728,000,000
003,   7242176,  113159,  665.408508,   30.000000,21833.134766,  646.143494,21145.898438,   10.934981,  678.003418,  629.753967,    113463,          262144,000,000
003,   7220288,  112817,  662.900208,   30.000000,21835.705078,  643.657837,21121.388672,   10.497728,  705.098633,  627.681824,    118511,        16777216,000,000
003,   7206592,  112603,  662.002869,   30.000000,21836.550781,  642.810547,21154.181641,   10.739294,  673.330811,  626.626953,    112866,       134217728,000,000
004,   7242176,  113159,  624.788818,   30.000000,21874.042969,  605.701416,21255.478516,   10.778560,  613.009338,  590.077515,    113450,          262144,000,000
004,   7220288,  112817,  625.203308,   30.000000,21873.531250,  606.053162,21244.998047,   10.943648,  623.036682,  590.190735,    114781,        16777216,000,000
004,   7206592,  112603,  621.984619,   30.000000,21876.861328,  602.971680,21241.478516,   11.365047,  629.901001,  586.773071,    116661,       134217728,000,000
005,   7242176,  113159,  629.193909,   30.000000,21869.568359,  610.135376,21246.732422,   10.516517,  617.366150,  594.713806,    113444,          262144,000,000
005,   7220288,  112817,  624.630066,   30.000000,21874.181641,  605.565613,21256.402344,   10.809918,  612.316895,  589.857544,    113084,        16777216,000,000
005,   7206656,  112604,  624.226624,   30.000000,21874.576172,  605.135620,21254.156250,   10.452497,  614.870422,  589.679138,    112864,       134217728,000,000
006,   7242176,  113159,  622.763855,   30.000000,21875.750000,  603.711792,21241.746094,   11.155038,  628.420410,  587.728516,    116957,          262144,000,000
006,   7220288,  112817,  616.492615,   30.000000,21882.000000,  597.594971,21267.052734,   11.038235,  609.363708,  581.718018,    113121,        16777216,000,000
006,   7206592,  112603,  616.881104,   30.000000,21881.515625,  598.037842,21265.777344,   10.981335,  610.048218,  582.190002,    112841,       134217728,000,000
