tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,glock_tries,array_size(B),client_id,run
000,    111614,  111614,    1.327676,   30.000000,21815.878906,  681.174377,21081.382812,   14.082321,  720.943176,  658.473389,    111614,               0,000,000
001,    110854,  110854,    1.504956,   30.000000,21706.000000,  790.578064,21097.017578,   17.867769,  592.010498,  762.758545,    110854,               0,000,000
002,    115076,  115076,    1.423583,   30.000000,21803.285156,  693.699524,21064.929688,   12.423655,  729.083496,  673.909790,    115076,               0,000,000
003,    112231,  112231,    1.311179,   30.000000,21811.214844,  686.135254,21081.316406,   13.681050,  718.430054,  664.165100,    112231,               0,000,000
004,    112923,  112923,    1.309211,   30.000000,21823.878906,  673.412720,21103.250000,   14.995711,  709.851257,  649.957825,    112923,               0,000,000
005,    111460,  111460,    1.298275,   30.000000,21820.968750,  676.391602,21105.880859,   14.336185,  704.932312,  654.186890,    111460,               0,000,000
006,    111356,  111356,    1.295768,   30.000000,21836.660156,  660.540283,21142.802734,   14.028037,  683.649414,  638.930786,    111356,               0,000,000
007,    112621,  112621,    1.353032,   30.000000,21826.800781,  670.282776,21119.451172,   14.004816,  698.177673,  648.533691,    112621,               0,000,000
008,    111139,  111139,    1.915390,   30.000000,21827.722656,  668.806458,21105.505859,   14.224110,  711.491455,  646.356262,    111139,               0,000,000
009,    110966,  110966,    1.320345,   30.000000,21812.615234,  683.367188,21058.701172,   14.936990,  743.842957,  661.156189,    110966,               0,000,000
010,    111056,  111056,    1.314340,   30.000000,21836.591797,  660.657715,21143.281250,   14.151455,  685.026611,  639.256836,    111056,               0,000,000
011,    112032,  112032,    1.303980,   30.000000,21818.509766,  678.698547,21094.455078,   14.031793,  713.908081,  656.236816,    112032,               0,000,000
012,    111136,  111136,    1.288292,   30.000000,21826.433594,  670.704529,21112.785156,   14.080810,  704.478638,  648.336792,    111136,               0,000,000
013,    111215,  111215,    1.460251,   30.000000,21827.468750,  669.649536,21115.373047,   13.675074,  702.690857,  648.452576,    111215,               0,000,000
014,    110845,  110845,    1.327927,   30.000000,21864.583984,  632.047852,21179.158203,   13.300311,  676.766174,  611.703674,    110845,               0,000,000
015,    111469,  111469,    1.290656,   30.000000,21822.812500,  674.377686,21103.830078,   14.841428,  709.119690,  651.857422,    111469,               0,000,000
016,         2,       2,    0.000038,   30.000000,22500.259766,    0.016693,22500.240234,    0.000582,    0.017750,    0.015757,         2,               0,000,000
017,         2,       2,    0.000025,   30.000000,22500.326172,    0.013200,22500.310547,    0.000425,    0.014467,    0.012440,         2,               0,000,000
018,         2,       2,    0.000024,   30.000000,22500.455078,    0.014524,22500.435547,    0.000320,    0.017118,    0.013944,         2,               0,000,000
019,         3,       3,    0.000028,   30.000000,22500.482422,    0.021472,22500.449219,    0.000745,    0.033200,    0.020433,         3,               0,000,000
020,         2,       2,    0.000029,   30.000000,22500.314453,    0.012510,22500.298828,    0.000331,    0.014568,    0.012001,         2,               0,000,000
021,         2,       2,    0.000021,   30.000000,22500.240234,    0.016942,22500.212891,    0.000536,    0.017788,    0.016160,         2,               0,000,000
022,         2,       2,    0.000019,   30.000000,22500.294922,    0.013637,22500.281250,    0.000336,    0.015559,    0.013089,         2,               0,000,000
023,         2,       2,    0.000028,   30.000000,22500.281250,    0.016296,22500.259766,    0.000399,    0.018014,    0.015612,         2,               0,000,000
024,         2,       2,    0.000023,   30.000000,22500.208984,    0.015272,22500.177734,    0.000796,    0.019334,    0.014170,         2,               0,000,000
025,         2,       2,    0.000106,   30.000000,22500.435547,    0.012505,22500.423828,    0.000281,    0.014406,    0.012020,         2,               0,000,000
026,         2,       2,    0.000024,   30.000000,22500.341797,    0.014484,22500.324219,    0.000422,    0.017629,    0.013783,         2,               0,000,000
027,         2,       2,    0.000029,   30.000000,22500.388672,    0.012554,22500.369141,    0.000307,    0.015837,    0.012071,         2,               0,000,000
028,         2,       2,    0.000106,   30.000000,22500.367188,    0.015582,22500.341797,    0.000605,    0.016580,    0.014764,         2,               0,000,000
029,         2,       2,    0.000111,   30.000000,22500.380859,    0.013533,22500.365234,    0.000374,    0.014579,    0.012967,         2,               0,000,000
030,         2,       2,    0.000105,   30.000000,22500.439453,    0.013533,22500.423828,    0.000358,    0.014535,    0.012977,         2,               0,000,000
031,         2,       2,    0.000114,   30.000000,22500.421875,    0.014869,22500.392578,    0.000444,    0.016908,    0.014167,         2,               0,000,000
000,    111858,  111858,    1.313523,   30.000000,21814.687500,  682.408020,21086.115234,   14.330197,  716.498779,  659.415100,    111858,               0,000,001
001,    110996,  110996,    1.542038,   30.000000,21696.867188,  799.390564,21085.591797,   17.882456,  593.975464,  772.135681,    110996,               0,000,001
002,    112756,  112756,    1.324150,   30.000000,21816.886719,  680.405762,21091.939453,   14.709722,  714.075195,  657.648499,    112756,               0,000,001
003,    114995,  114995,    1.341276,   30.000000,21795.041016,  702.543091,21041.816406,   14.410060,  741.601440,  679.525330,    114995,               0,000,001
004,    112184,  112184,    1.301000,   30.000000,21828.923828,  668.460266,21113.568359,   14.120210,  704.454224,  645.879578,    112184,               0,000,001
005,    111190,  111190,    1.293729,   30.000000,21829.263672,  667.658875,21136.685547,   13.201029,  683.930786,  647.274719,    111190,               0,000,001
006,    112716,  112716,    1.307108,   30.000000,21826.093750,  671.158020,21134.853516,   14.181196,  680.196350,  648.863464,    112716,               0,000,001
007,    111112,  111112,    1.314306,   30.000000,21838.041016,  659.182007,21147.658203,   13.326294,  680.109253,  638.034790,    111112,               0,000,001
008,    111848,  111848,    1.926952,   30.000000,21823.150391,  673.426086,21095.570312,   14.190996,  716.776184,  651.143433,    111848,               0,000,001
009,    110947,  110947,    1.297010,   30.000000,21816.582031,  679.542664,21052.738281,   13.937404,  753.535461,  658.315552,    110947,               0,000,001
010,    111444,  111444,    1.299767,   30.000000,21832.312500,  665.048218,21132.363281,   14.344740,  689.828430,  642.379883,    111444,               0,000,001
011,    117506,  117506,    1.377958,   30.000000,21791.738281,  705.329834,21044.619141,   14.457988,  736.628052,  682.007141,    117506,               0,000,001
012,    111001,  111001,    1.286263,   30.000000,21829.037109,  668.164978,21118.375000,   15.405477,  700.241760,  644.397705,    111001,               0,000,001
013,    111173,  111173,    1.405027,   30.000000,21830.765625,  666.352844,21131.666016,   13.568741,  688.885742,  644.900574,    111173,               0,000,001
014,    110939,  110939,    1.319254,   30.000000,21867.525391,  629.197693,21188.644531,   13.412295,  669.836670,  608.703064,    110939,               0,000,001
015,    112002,  112002,    1.297351,   30.000000,21822.064453,  675.143250,21113.830078,   14.964334,  699.730164,  653.036621,    112002,               0,000,001
016,         1,       1,    0.000078,   30.000000,22500.251953,    0.014980,22500.244141,    0.000580,    0.007965,    0.014100,         1,               0,000,001
