tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,glock_tries,array_size(B),client_id,run
000,    125289,  125289,    1.255682,   30.000000,21828.990234,  668.605103,21107.185547,   18.148443,  706.659058,  641.927856,    126882,               0,000,000
001,    125288,  125288,    1.181287,   30.000000,21879.816406,  617.918640,21228.792969,   10.542565,  645.024902,  601.917908,    128083,               0,000,000
002,    125289,  125289,    1.195237,   30.000000,21900.103516,  597.586670,21257.558594,    9.229948,  635.822754,  582.923157,    130022,               0,000,000
003,    125289,  125289,    1.197352,   30.000000,21878.482422,  619.092712,21237.839844,    9.088943,  634.577820,  604.598083,    125531,               0,000,000
004,    125289,  125289,    1.187845,   30.000000,21885.996094,  611.632263,21230.917969,    9.285099,  649.006531,  596.958496,    130504,               0,000,000
005,    125288,  125288,    1.174944,   30.000000,21893.501953,  604.226929,21240.072266,    8.762945,  647.610168,  589.998108,    131699,               0,000,000
006,    125288,  125288,    1.156234,   30.000000,21899.779297,  597.948425,21216.271484,    9.748645,  677.468018,  582.732910,    139411,               0,000,000
007,    125288,  125288,    1.183499,   30.000000,21892.652344,  605.015869,21233.566406,   10.100668,  652.878052,  589.177246,    132209,               0,000,000
008,    125278,  125278,    1.225268,   30.000000,21720.033203,  777.582336,20896.611328,   17.105621,  809.012451,  751.964966,    128963,               0,000,000
009,    125277,  125277,    1.162453,   30.000000,21766.593750,  731.031860,21005.941406,   10.575220,  755.022156,  714.971741,    127057,               0,000,000
010,    125278,  125278,    1.206247,   30.000000,21769.677734,  727.936829,21010.605469,    9.377213,  753.401917,  712.987671,    127075,               0,000,000
011,    125277,  125277,    1.168205,   30.000000,21765.562500,  732.079224,20970.285156,    9.488634,  789.710022,  717.093201,    132618,               0,000,000
012,    125277,  125277,    1.182060,   30.000000,21774.197266,  722.903259,21019.535156,    9.578913,  749.075134,  707.814880,    127076,               0,000,000
013,    125277,  125277,    1.191808,   30.000000,21754.578125,  743.070557,20991.738281,    9.259292,  757.280151,  728.273987,    125539,               0,000,000
014,    125277,  125277,    1.191130,   30.000000,21765.486328,  732.145508,21009.951172,    9.896785,  749.924377,  716.781067,    125548,               0,000,000
015,    125278,  125278,    1.198276,   30.000000,21759.375000,  738.257507,20987.218750,    9.155599,  766.594299,  723.519348,    127063,               0,000,000
000,    124613,  124613,    1.274239,   30.000000,21834.802734,  662.718811,21114.107422,   17.199566,  705.660217,  637.050171,    126059,               0,000,001
001,    124613,  124613,    1.174349,   30.000000,21882.142578,  615.618652,21247.742188,   11.069930,  628.561890,  599.156250,    124846,               0,000,001
002,    124614,  124614,    1.181611,   30.000000,21900.455078,  597.272888,21227.691406,    9.360793,  666.040894,  582.519897,    136281,               0,000,001
003,    124613,  124613,    1.194476,   30.000000,21881.771484,  615.764832,21230.978516,    9.593234,  644.690186,  600.802490,    127312,               0,000,001
004,    124614,  124614,    1.168508,   30.000000,21889.257812,  608.466064,21220.306641,    9.181498,  663.071289,  593.815857,    133103,               0,000,001
005,    124614,  124614,    1.163485,   30.000000,21893.992188,  603.804382,21247.244141,    9.121469,  640.963196,  589.287109,    129895,               0,000,001
006,    124613,  124613,    1.163549,   30.000000,21900.517578,  597.228577,21282.867188,    9.755278,  611.648865,  582.042419,    124871,               0,000,001
007,    124614,  124614,    1.172384,   30.000000,21896.371094,  601.393738,21241.716797,    9.883205,  648.518188,  585.728943,    131105,               0,000,001
008,    124610,  124610,    1.197069,   30.000000,21723.037109,  774.587219,20904.437500,   17.547493,  804.308533,  748.570312,    127731,               0,000,001
009,    124611,  124611,    1.156073,   30.000000,21769.958984,  727.735107,21002.652344,    9.913585,  761.700806,  712.409180,    127930,               0,000,001
010,    124610,  124610,    1.184992,   30.000000,21774.945312,  722.684814,21009.011719,    9.211071,  760.273499,  707.917908,    128422,               0,000,001
011,    124611,  124611,    1.159223,   30.000000,21771.132812,  726.588623,20985.306641,    9.639944,  780.249939,  711.482178,    131446,               0,000,001
012,    124611,  124611,    1.169258,   30.000000,21774.761719,  722.380737,20981.398438,    9.291476,  787.799438,  707.681763,    132992,               0,000,001
013,    124610,  124610,    1.185668,   30.000000,21765.542969,  732.091492,20991.908203,    9.847198,  768.135376,  716.772827,    128425,               0,000,001
014,    124610,  124610,    1.182432,   30.000000,21767.441406,  730.199829,20981.527344,    8.644472,  780.387390,  716.048218,    130323,               0,000,001
015,    124610,  124610,    1.188210,   30.000000,21765.525391,  732.088562,20977.636719,    8.766302,  782.348450,  717.697021,    130010,               0,000,001
000,    125473,  125473,    1.248830,   30.000000,21829.373047,  668.187744,21098.695312,   17.570110,  715.621277,  642.083984,    128216,               0,000,002
001,    125473,  125473,    1.196222,   30.000000,21876.718750,  620.985901,21225.414062,    9.973022,  645.391174,  605.535095,    127612,               0,000,002
002,    125473,  125473,    1.203937,   30.000000,21896.923828,  600.761780,21269.197266,    9.355074,  621.061890,  585.957458,    127357,               0,000,002
003,    125473,  125473,    1.193658,   30.000000,21877.818359,  619.694092,21223.728516,   10.231146,  647.940796,  603.964661,    128167,               0,000,002
004,    125474,  125474,    1.169571,   30.000000,21891.427734,  606.290649,21235.185547,    9.380147,  650.282776,  591.449463,    131473,               0,000,002
005,    125473,  125473,    1.170352,   30.000000,21889.955078,  607.437012,21230.812500,    9.653979,  653.375427,  592.388306,    132689,               0,000,002
006,    125473,  125473,    1.171117,   30.000000,21897.876953,  599.829346,21267.042969,    9.592178,  624.901733,  584.814697,    127617,               0,000,002
007,    125473,  125473,    1.197159,   30.000000,21896.480469,  601.170105,21242.617188,   10.049571,  647.928162,  585.378601,    132672,               0,000,002
008,    125478,  125478,    1.210494,   30.000000,21718.054688,  779.556030,20891.125000,   17.967300,  812.651306,  753.084717,    129140,               0,000,002
009,    125479,  125479,    1.158277,   30.000000,21767.144531,  730.542297,20994.328125,   10.169461,  767.211731,  714.799011,    129311,               0,000,002
010,    125478,  125478,    1.190628,   30.000000,21768.626953,  728.949890,21008.312500,    9.842526,  754.638794,  713.641785,    127806,               0,000,002
011,    125479,  125479,    1.175982,   30.000000,21761.392578,  736.285828,20993.433594,    9.645238,  762.353943,  721.177917,    127226,               0,000,002
012,    125478,  125478,    1.177206,   30.000000,21773.187500,  723.924316,21006.240234,    9.262071,  761.253113,  709.223694,    129298,               0,000,002
013,    125479,  125479,    1.201484,   30.000000,21762.134766,  735.209412,20996.648438,    9.406738,  759.950867,  720.186584,    127223,               0,000,002
014,    125478,  125478,    1.188614,   30.000000,21763.523438,  734.059509,20963.273438,    8.857214,  794.646729,  719.711426,    132846,               0,000,002
015,    125478,  125478,    1.178955,   30.000000,21763.013672,  734.591736,21002.230469,    9.085345,  755.179749,  719.943787,    125744,               0,000,002
000,       288,     288,    0.002897,   30.000000,22561.419922,    1.434769,22558.037109,    0.032793,    3.350170,    1.387062,       654,               0,001,000
001,       289,     289,    0.003370,   30.000000,22564.425781,    1.441501,22560.931641,    0.043099,    3.458280,    1.380647,       671,               0,001,000
002,       289,     289,    0.003335,   30.000000,22564.339844,    1.536426,22152.511719,    0.036043,  411.805450,    1.487393,       510,               0,001,000
003,       288,     288,    0.002787,   30.000000,22552.662109,    1.182777,22352.199219,    0.028940,  200.441254,    1.142217,       535,               0,001,000
004,       288,     288,    0.002750,   30.000000,22552.335938,    1.524141,22412.044922,    0.035602,  140.274414,    1.476394,       476,               0,001,000
005,       288,     288,    0.002711,   30.000000,22561.328125,    1.524193,22450.595703,    0.029005,  110.717041,    1.482388,       483,               0,001,000
006,       289,     289,    0.003023,   30.000000,22564.328125,    1.524562,22528.765625,    0.025032,   35.549454,    1.487054,       484,               0,001,000
007,       289,     289,    0.002885,   30.000000,22561.343750,    1.534997,22489.566406,    0.026606,   71.748627,    1.496532,       493,               0,001,000
008,       282,     282,    0.002904,   30.000000,22501.048828,    1.822493,22496.964844,    0.049507,    4.044056,    1.751657,       634,               0,001,000
009,       282,     282,    0.002712,   30.000000,22534.177734,    1.675361,22510.173828,    0.067466,   23.971016,    1.596682,       494,               0,001,000
010,       282,     282,    0.002661,   30.000000,22516.246094,    1.606783,22361.398438,    0.027573,  154.835648,    1.567458,       490,               0,001,000
011,       281,     281,    0.002675,   30.000000,22501.234375,    1.615523,22489.597656,    0.026616,   11.624415,    1.576643,       454,               0,001,000
012,       282,     282,    0.002679,   30.000000,22507.246094,    1.610069,22399.539062,    0.025910,  107.692383,    1.572914,       504,               0,001,000
013,       282,     282,    0.002624,   30.000000,22543.203125,    1.645927,22507.603516,    0.040043,   35.572689,    1.592731,       464,               0,001,000
014,       282,     282,    0.002693,   30.000000,22504.240234,    1.611486,22457.011719,    0.027632,   47.211384,    1.570656,       484,               0,001,000
015,       282,     282,    0.002828,   30.000000,22525.232422,    1.619146,22421.017578,    0.026672,  104.200523,    1.579884,       480,               0,001,000
000,       247,     247,    0.002508,   30.000000,22525.476562,    1.256302,22522.976562,    0.031626,    2.473911,    1.211825,       479,               0,001,001
001,       247,     247,    0.003003,   30.000000,22525.464844,    1.253550,22522.535156,    0.040045,    2.896854,    1.197916,       555,               0,001,001
002,       247,     247,    0.002945,   30.000000,22519.380859,    1.325772,22069.472656,    0.029503,  449.885590,    1.284951,       464,               0,001,001
