tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,glock_tries,array_size(B),client_id,run
000,   2860224,   44691,  285.337708,   30.000000,22214.599609,  278.720825,21984.742188,   55.697800,  224.540833,  217.516602,     44691,          262144,000,000
000,   3146688,   49167,  315.054413,   30.000000,22184.832031,  307.802063,21931.271484,   61.023144,  247.654099,  240.741287,     49167,        16777216,000,000
000,   4271168,   66737,  427.805786,   30.000000,22071.507812,  417.988373,21726.921875,   83.505432,  336.562164,  326.228577,     66737,       134217728,000,000
001,   5573376,   87084,  560.705444,   30.000000,21938.562500,  548.156494,21480.814453,  106.186623,  452.478363,  437.434631,     87084,          262144,000,000
001,   5929152,   92643,  594.669922,   30.000000,21904.554688,  581.310669,21418.802734,  110.703308,  480.302155,  465.744965,     92643,        16777216,000,000
001,   2072896,   32389,  211.121567,   30.000000,22288.468750,  206.471207,22116.261719,   39.878971,  170.261505,  165.118103,     32389,       134217728,000,000
002,   3326592,   51978,  333.347595,   30.000000,22166.242188,  325.749207,21894.023438,   62.938919,  269.438904,  260.473511,     51978,          262144,000,000
002,   1736960,   27140,  170.665054,   30.000000,22329.175781,  166.718445,22189.550781,   31.629965,  138.089066,  133.889496,     27140,        16777216,000,000
002,   8224960,  128515,  823.146973,   30.000000,21675.330078,  804.407349,21005.527344,  156.736435,  662.935547,  641.921631,    128515,       134217728,000,000
003,   2904128,   45377,  293.640686,   30.000000,22205.863281,  287.043213,21966.285156,   55.363411,  236.997803,  229.282074,     45377,          262144,000,000
003,   2787904,   43561,  281.082977,   30.000000,22218.634766,  274.804047,21988.902344,   52.196823,  227.197144,  220.516342,     43561,        16777216,000,000
003,    756160,   11815,   77.118858,   30.000000,22422.962891,   75.401253,22360.410156,   15.014278,   61.849739,   59.788399,     11815,       134217728,000,000
004,   3012736,   47074,  301.780548,   30.000000,22197.916016,  295.004608,21951.490234,   56.817291,  243.864456,  236.054474,     47074,          262144,000,000
004,   3926080,   61345,  394.381683,   30.000000,22105.175781,  385.543152,21781.947266,   72.747086,  318.900330,  310.005493,     61345,        16777216,000,000
004,   7008192,  109503,  696.863525,   30.000000,21802.130859,  681.025208,21233.794922,  131.697311,  561.801575,  544.434509,    109503,       134217728,000,000
005,  11917952,  186218, 1182.011719,   30.000000,21315.507812, 1155.045654,20351.107422,  222.647507,  953.660339,  922.843018,    186218,          262144,000,000
005,   5869568,   91712,  583.213135,   30.000000,21915.712891,  569.963745,21440.382812,  110.288193,  470.158600,  454.955505,     91712,        16777216,000,000
005,   3456960,   54015,  343.065491,   30.000000,22156.589844,  335.251587,21876.994141,   65.454536,  276.512268,  267.039886,     54015,       134217728,000,000
006,   3753856,   58654,  374.699799,   30.000000,22124.722656,  366.216248,21819.199219,   70.744453,  302.182190,  292.438171,     58654,          262144,000,000
006,   2957248,   46207,  292.625305,   30.000000,22207.080078,  285.965210,21968.128906,   54.776226,  236.393585,  228.827057,     46207,        16777216,000,000
006,   4168896,   65139,  416.101990,   30.000000,22083.203125,  406.665436,21742.359375,   78.066757,  337.348785,  325.260193,     65139,       134217728,000,000
007,   6027520,   94180,  598.040955,   30.000000,21901.058594,  584.421143,21412.812500,  113.106270,  482.924286,  467.087769,     94180,          262144,000,000
007,   1652416,   25819,  164.925964,   30.000000,22334.837891,  161.164917,22199.890625,   30.300184,  133.448776,  129.677292,     25819,        16777216,000,000
007,   2446656,   38229,  243.537979,   30.000000,22256.439453,  238.014297,22058.193359,   46.311146,  196.152145,  189.998444,     38229,       134217728,000,000
008,    444544,    6946,   48.877754,   30.000000,22451.402344,   47.855663,22411.623047,    8.947352,   39.374989,   38.553837,      6946,          262144,000,000
008,    915264,   14301,   99.801491,   30.000000,22400.437500,   97.704872,22318.701172,   17.728109,   80.915314,   79.253662,     14301,        16777216,000,000
008,    846848,   13232,   93.121529,   30.000000,22407.017578,   91.181007,22331.501953,   17.089727,   74.765244,   73.426270,     13232,       134217728,000,000
009,   6039040,   94360,  605.750610,   30.000000,21893.476562,  592.093384,21399.337891,  114.978706,  488.993164,  472.134430,     94360,          262144,000,000
009,   2899520,   45305,  286.636292,   30.000000,22213.193359,  280.074036,21979.138672,   53.484257,  231.501175,  224.198807,     45305,        16777216,000,000
009,   2070976,   32359,  206.159744,   30.000000,22293.552734,  201.473801,22125.751953,   39.630627,  165.980209,  160.216995,     32359,       134217728,000,000
010,   4450560,   69540,  447.771027,   30.000000,22051.593750,  437.679810,21686.525391,   84.284943,  361.398193,  350.291412,     69540,          262144,000,000
010,   6834368,  106787,  688.199097,   30.000000,21810.843750,  672.745178,21250.664062,  130.366684,  554.550354,  537.592285,    106787,        16777216,000,000
010,   5647104,   88236,  561.087646,   30.000000,21938.117188,  548.313110,21481.320312,  106.045952,  452.149933,  438.337067,     88236,       134217728,000,000
011,  10953920,  171155, 1089.882080,   30.000000,21408.121094, 1065.115234,20522.203125,  208.991837,  876.656799,  847.231201,    171155,          262144,000,000
011,   5578944,   87171,  554.277649,   30.000000,21945.205078,  541.641663,21492.841797,  104.758530,  447.577545,  432.327972,     87171,        16777216,000,000
011,   2931200,   45800,  291.071564,   30.000000,22208.949219,  284.430084,21971.318359,   55.459011,  235.127579,  226.679657,     45800,       134217728,000,000
012,   3862080,   60345,  383.316589,   30.000000,22116.060547,  374.566559,21803.732422,   72.766487,  309.166229,  299.069977,     60345,          262144,000,000
012,   7456576,  116509,  740.529419,   30.000000,21758.300781,  723.676575,21156.203125,  140.053497,  595.897095,  578.369080,    116509,        16777216,000,000
012,  11012224,  172066, 1089.072510,   30.000000,21409.023438, 1064.146851,20522.378906,  206.815002,  877.547119,  849.685303,    172066,       134217728,000,000
013,   3490560,   54540,  348.052490,   30.000000,22151.521484,  340.114441,21867.564453,   66.086922,  280.998779,  271.228607,     54540,          262144,000,000
013,   8829184,  137956,  876.583740,   30.000000,21621.917969,  856.417847,20906.369141,  164.595657,  708.113892,  684.653503,    137956,        16777216,000,000
013,   8582208,  134097,  857.332153,   30.000000,21641.449219,  837.795044,20943.701172,  163.875854,  690.473511,  666.978699,    134097,       134217728,000,000
014,  10272192,  160503, 1014.592896,   30.000000,21483.322266,  991.343445,20659.574219,  192.378021,  815.080811,  790.632263,    160503,          262144,000,000
014,  12285312,  191958, 1213.163818,   30.000000,21284.160156, 1185.389404,20295.552734,  226.640778,  978.412292,  948.728088,    191958,        16777216,000,000
014,  14060480,  219695, 1388.047729,   30.000000,21109.341797, 1356.266235,19982.853516,  264.630829, 1114.859497, 1080.200439,    219695,       134217728,000,000
015,   5981056,   93454,  605.323303,   30.000000,21893.654297,  591.706299,21400.574219,  115.633728,  488.046112,  471.890320,     93454,          262144,000,000
015,   3303104,   51611,  326.987885,   30.000000,22172.498047,  319.525726,21905.794922,   61.876835,  263.916992,  255.369461,     51611,        16777216,000,000
015,   4733440,   73960,  473.743073,   30.000000,22025.566406,  463.004425,21639.296875,   89.773628,  382.311707,  369.930573,     73960,       134217728,000,000
016,   1511360,   23615,  192.494324,   30.000000,22307.408203,  188.943039,22142.048828,   27.540220,  162.572830,  158.458511,     23615,          262144,000,000
016,    441472,    6898,   56.336754,   30.000000,22443.970703,   55.326721,22395.726562,    8.026474,   47.416683,   46.461491,      6898,        16777216,000,000
016,    478336,    7474,   60.623245,   30.000000,22439.726562,   59.525913,22387.652344,    8.600900,   51.193375,   50.018246,      7474,       134217728,000,000
017,   2550016,   39844,  333.728851,   30.000000,22166.248047,  327.843018,21880.625000,   47.385006,  280.985809,  275.631073,     39844,          262144,000,000
017,    602560,    9415,   76.262512,   30.000000,22423.851562,   74.867638,22358.246094,   10.795458,   64.544594,   62.984852,      9415,        16777216,000,000
017,   1530752,   23918,  193.952393,   30.000000,22306.164062,  190.452225,22138.859375,   27.446915,  164.608078,  160.219147,     23918,       134217728,000,000
018,   1618048,   25282,  196.221619,   30.000000,22303.646484,  192.466599,22137.507812,   29.271797,  164.947372,  161.856125,     25282,          262144,000,000
018,   2575936,   40249,  312.272247,   30.000000,22187.482422,  306.313110,21922.902344,   46.395115,  262.684509,  257.771393,     40249,        16777216,000,000
018,   6567296,  102614,  794.958801,   30.000000,21703.826172,  779.812317,21030.519531,  118.520271,  668.481750,  655.795105,    102614,       134217728,000,000
019,   1045760,   16340,  127.141388,   30.000000,22373.083984,  124.729103,22265.216797,   18.771860,  107.094673,  105.083420,     16340,          262144,000,000
019,   2565120,   40080,  311.723785,   30.000000,22187.980469,  305.807037,21921.937500,   45.427799,  264.205292,  258.179840,     40080,        16777216,000,000
019,    610048,    9532,   74.043304,   30.000000,22426.056641,   72.614365,22362.734375,   10.958070,   62.889374,   61.177593,      9532,       134217728,000,000
020,    945152,   14768,  116.637047,   30.000000,22383.644531,  114.481644,22284.109375,   16.761496,   98.825417,   97.033371,     14768,          262144,000,000
020,   5322304,   83161,  652.355469,   30.000000,21846.816406,  640.138184,21293.992188,   93.221184,  548.841614,  542.979065,     83161,        16777216,000,000
020,   2031232,   31738,  250.481934,   30.000000,22249.630859,  245.808136,22037.740234,   36.006409,  210.381485,  208.313187,     31738,       134217728,000,000
021,    154496,    2414,   18.955046,   30.000000,22481.154297,   18.592163,22465.150391,    2.774417,   15.895860,   15.705797,      2414,          262144,000,000
021,   7902656,  123479,  970.492188,   30.000000,21528.339844,  952.257935,20700.402344,  139.590820,  822.403198,  806.914307,    123479,        16777216,000,000
021,        64,       1,    0.007430,   30.000000,22500.175781,    0.007239,22500.167969,    0.001309,    0.007172,    0.005829,         1,       134217728,000,000
022,   6114496,   95539,  749.224487,   30.000000,21749.876953,  735.112793,21108.548828,  108.727188,  636.490845,  621.720093,     95539,          262144,000,000
022,   2530368,   39537,  310.084351,   30.000000,22189.916016,  304.298370,21924.210938,   44.967155,  263.879730,  257.422089,     39537,        16777216,000,000
022,   2067072,   32298,  250.211258,   30.000000,22249.435547,  245.385361,22035.683594,   36.833260,  212.210587,  206.973618,     32298,       134217728,000,000
023,   4812800,   75200,  581.515686,   30.000000,21917.904297,  570.450928,21423.539062,   84.924316,  491.020966,  482.086395,     75200,          262144,000,000
023,    286912,    4483,   34.806156,   30.000000,22465.666016,   34.152794,22436.070312,    5.196470,   29.396465,   28.741352,      4483,        16777216,000,000
023,   4008768,   62637,  485.768921,   30.000000,22013.978516,  476.495239,21600.585938,   70.933922,  410.604034,  402.663757,     62637,       134217728,000,000
024,    308032,    4813,   37.983265,   30.000000,22462.037109,   37.285919,22429.658203,    5.448456,   32.132576,   31.615061,      4813,          262144,000,000
024,   1515456,   23679,  191.106583,   30.000000,22308.695312,  187.625641,22145.466797,   27.338203,  162.084503,  159.195953,     23679,        16777216,000,000
024,        64,       1,    0.007971,   30.000000,22500.027344,    0.007786,22500.019531,    0.001558,    0.008002,    0.006130,         1,       134217728,000,000
025,   3975488,   62117,  483.007446,   30.000000,22016.312500,  473.855774,21605.519531,   70.122498,  407.995361,  400.837921,     62117,          262144,000,000
025,    237696,    3714,   29.102964,   30.000000,22471.398438,   28.541607,22446.695312,    4.305239,   24.521660,   24.054720,      3714,        16777216,000,000
025,   2828352,   44193,  345.864716,   30.000000,22153.720703,  339.390808,21859.564453,   49.930737,  292.184570,  287.379364,     44193,       134217728,000,000
026,        64,       1,    0.007761,   30.000000,22500.525391,    0.007537,22500.517578,    0.001300,    0.007403,    0.006118,         1,          262144,000,000
026,    410944,    6421,   49.757977,   30.000000,22450.578125,   48.796242,22408.013672,    7.285162,   42.247952,   41.202541,      6421,        16777216,000,000
026,    584832,    9138,   70.402634,   30.000000,22429.740234,   69.063477,22369.464844,   10.399613,   59.837795,   58.238640,      9138,       134217728,000,000
027,   2151424,   33616,  261.361908,   30.000000,22238.708984,  256.361115,22016.437500,   37.974136,  220.703842,  216.834854,     33616,          262144,000,000
027,   2114752,   33043,  257.386810,   30.000000,22242.193359,  252.425934,22024.224609,   37.314522,  216.445908,  213.578003,     33043,        16777216,000,000
027,   4688448,   73257,  573.450012,   30.000000,21925.798828,  562.647339,21438.750000,   83.127167,  483.712494,  476.106201,     73257,       134217728,000,000
028,   1188800,   18575,  144.156326,   30.000000,22356.119141,  141.425583,22233.392578,   21.040438,  121.777199,  119.329521,     18575,          262144,000,000
028,   1555264,   24301,  191.296387,   30.000000,22308.673828,  187.678345,22145.390625,   27.678011,  162.047684,  158.631897,     24301,        16777216,000,000
028,   1778176,   27784,  216.886856,   30.000000,22282.933594,  212.797974,22098.300781,   31.685162,  183.275375,  179.556122,     27784,       134217728,000,000
029,   2555008,   39922,  310.139862,   30.000000,22189.769531,  304.144531,21925.998047,   45.533009,  261.896423,  256.382965,     39922,          262144,000,000
029,   1886208,   29472,  228.681702,   30.000000,22271.093750,  224.313736,22076.662109,   33.527493,  193.079880,  189.182617,     29472,        16777216,000,000
029,   2746496,   42914,  332.939789,   30.000000,22167.042969,  326.592194,21884.193359,   49.419189,  280.881348,  274.822266,     42914,       134217728,000,000
030,    912128,   14252,  111.326950,   30.000000,22388.912109,  109.226646,22294.226562,   16.271656,   93.993942,   92.187302,     14252,          262144,000,000
030,    252352,    3943,   30.685013,   30.000000,22469.621094,   30.113293,22443.527344,    4.590778,   25.883183,   25.305695,      3943,        16777216,000,000
030,    756160,   11815,   91.499313,   30.000000,22408.669922,   89.762688,22330.908203,   13.528515,   77.194702,   75.597290,     11815,       134217728,000,000
031,   1061888,   16592,  129.182785,   30.000000,22370.876953,  126.742592,22261.570312,   19.274908,  108.558960,  106.589622,     16592,          262144,000,000
031,   7864704,  122886,  962.285034,   30.000000,21536.083984,  944.094299,20717.203125,  139.045227,  813.377014,  798.481201,    122886,        16777216,000,000
031,   2672128,   41752,  328.654663,   30.000000,22171.181641,  322.538544,21891.388672,   47.285053,  277.914612,  273.056732,     41752,       134217728,000,000
000,   8169984,  127656,  814.983704,   30.000000,21683.550781,  796.171997,21028.687500,  157.801849,  639.410950,  622.673584,    127656,          262144,000,001
000,   3884480,   60695,  386.604889,   30.000000,22112.923828,  377.662964,21802.251953,   75.782410,  303.368713,  294.455933,     60695,        16777216,000,001
000,   3753984,   58656,  375.020569,   30.000000,22124.652344,  366.366150,21823.935547,   74.049950,  293.644409,  285.124237,     58656,       134217728,000,001
001,   4023936,   62874,  401.428406,   30.000000,22097.943359,  392.375488,21770.503906,   76.014534,  323.680389,  313.557007,     62874,          262144,000,001
001,   5571968,   87062,  565.391785,   30.000000,21933.462891,  552.900269,21471.314453,  106.420670,  456.827728,  442.533447,     87062,        16777216,000,001
001,   6614720,  103355,  670.948853,   30.000000,21827.773438,  656.078247,21280.087891,  126.267090,  541.702881,  525.114868,    103355,       134217728,000,001
002,    662464,   10351,   65.598763,   30.000000,22434.726562,   64.098038,22381.226562,   12.413830,   52.948864,   51.218735,     10351,          262144,000,001
002,   1586560,   24790,  160.926666,   30.000000,22338.935547,  157.322372,22207.693359,   29.823555,  129.907898,  126.375801,     24790,        16777216,000,001
002,   5973824,   93341,  597.943787,   30.000000,21901.242188,  584.351135,21414.039062,  113.732643,  482.163483,  466.442230,     93341,       134217728,000,001
003,  12050688,  188292, 1217.865845,   30.000000,21280.019531, 1190.566284,20283.101562,  227.707138,  985.665894,  954.283020,    188292,          262144,000,001
003,   4496576,   70259,  456.280151,   30.000000,22043.345703,  446.137115,21671.689453,   86.553528,  367.477356,  356.417480,     70259,        16777216,000,001
003,   1712448,   26757,  173.432556,   30.000000,22326.490234,  169.553757,22185.109375,   33.028679,  139.849686,  135.315765,     26757,       134217728,000,001
004,   5044480,   78820,  510.659607,   30.000000,21988.662109,  499.278076,21569.894531,   94.680511,  414.416534,  401.005432,     78820,          262144,000,001
004,   3112576,   48634,  315.582245,   30.000000,22184.404297,  308.579346,21926.771484,   59.786835,  254.579086,  246.572159,     48634,        16777216,000,001
004,  10155712,  158683, 1020.113342,   30.000000,21478.472656,  997.236267,20645.865234,  193.305481,  823.141418,  796.783386,    158683,       134217728,000,001
005,   5311296,   82989,  530.912720,   30.000000,21968.376953,  518.948303,21535.109375,   99.783073,  428.528351,  415.011230,     82989,          262144,000,001
005,   1393088,   21767,  138.466446,   30.000000,22361.705078,  135.327209,22248.710938,   26.267092,  111.688911,  107.947151,     21767,        16777216,000,001
005,   7030144,  109846,  710.541199,   30.000000,21788.070312,  694.580811,21209.859375,  135.158875,  572.054871,  553.706238,    109846,       134217728,000,001
006,   7180864,  112201,  713.111389,   30.000000,21785.597656,  696.911865,21203.736328,  133.219833,  575.675110,  557.917847,    112201,          262144,000,001
006,   4203456,   65679,  417.738159,   30.000000,22081.892578,  408.273438,21741.484375,   78.633667,  336.821564,  326.630157,     65679,        16777216,000,001
006,   6675008,  104297,  662.295410,   30.000000,21836.671875,  647.218018,21296.103516,  124.912918,  534.813721,  517.660522,    104297,       134217728,000,001
007,   7124608,  111322,  709.201843,   30.000000,21789.785156,  693.025269,21210.283203,  133.360565,  573.153748,  554.641785,    111322,          262144,000,001
007,  10569792,  165153, 1046.086548,   30.000000,21452.541016, 1022.161621,20597.955078,  195.862000,  845.154663,  818.962402,    165153,        16777216,000,001
007,   6593920,  103030,  656.737671,   30.000000,21842.248047,  641.756531,21306.865234,  124.788002,  529.534546,  512.373291,    103030,       134217728,000,001
008,    311872,    4873,   33.866459,   30.000000,22466.494141,   33.150951,22438.568359,    5.913193,   27.652349,   26.994947,      4873,          262144,000,001
008,   3276480,   51195,  355.897186,   30.000000,22143.800781,  348.355804,21851.386719,   61.718342,  289.563538,  284.094452,     51195,        16777216,000,001
008,   4131840,   64560,  457.020294,   30.000000,22042.480469,  447.529388,21672.691406,   84.658173,  366.118408,  359.603119,     64560,       134217728,000,001
009,   1515648,   23682,  150.628143,   30.000000,22349.222656,  147.197845,22225.000000,   27.067144,  122.909081,  119.007233,     23682,          262144,000,001
009,  12794432,  199913, 1269.371704,   30.000000,21228.546875, 1240.444214,20192.341797,  240.205658, 1024.985962,  990.690063,    199913,        16777216,000,001
009,   1573824,   24591,  155.969696,   30.000000,22343.771484,  152.414719,22216.537109,   29.800726,  125.849716,  121.460907,     24591,       134217728,000,001
010,   4148736,   64824,  414.471893,   30.000000,22084.974609,  405.104156,21746.375000,   77.726906,  335.181580,  324.464294,     64824,          262144,000,001
010,   3403136,   53174,  342.770477,   30.000000,22156.871094,  335.072235,21878.873047,   64.197189,  275.200592,  268.497528,     53174,        16777216,000,001
010,   8196352,  128068,  818.416748,   30.000000,21679.958984,  799.934937,21015.808594,  156.503265,  657.373352,  637.567505,    128068,       134217728,000,001
011,  14251264,  222676, 1415.937012,   30.000000,21081.759766, 1383.495850,19926.197266,  266.559387, 1143.266235, 1106.787842,    222676,          262144,000,001
011,   5889472,   92023,  584.948975,   30.000000,21914.103516,  571.580200,21437.542969,  111.998497,  471.572449,  455.382935,     92023,        16777216,000,001
011,   6355392,   99303,  627.683777,   30.000000,21871.478516,  613.300293,21357.869141,  117.853653,  508.227905,  490.979401,     99303,       134217728,000,001
012,   9157760,  143090,  910.563782,   30.000000,21587.921875,  889.781067,20844.250000,  170.055023,  736.177429,  713.291443,    143090,          262144,000,001
012,   5632448,   88007,  555.908630,   30.000000,21943.126953,  543.197937,21490.332031,  105.755913,  448.034973,  433.538147,     88007,        16777216,000,001
012,   5883136,   91924,  583.167480,   30.000000,21915.927734,  569.874390,21441.875000,  110.964592,  469.202393,  454.790375,     91924,       134217728,000,001
013,   9137088,  142767,  910.442627,   30.000000,21587.871094,  889.844421,20844.703125,  172.143265,  735.467773,  710.298828,    142767,          262144,000,001
013,   7255936,  113374,  727.626404,   30.000000,21771.031250,  711.229736,21177.910156,  138.129959,  586.990906,  567.233154,    113374,        16777216,000,001
013,   8368512,  130758,  831.993530,   30.000000,21666.583984,  813.082214,20987.841797,  157.879272,  671.668396,  648.419617,    130758,       134217728,000,001
014,   4914752,   76793,  485.801361,   30.000000,22013.330078,  474.732483,21618.216797,   92.337929,  390.993530,  378.417236,     76793,          262144,000,001
014,  12923712,  201933, 1276.934570,   30.000000,21220.580078, 1247.757568,20181.011719,  241.812195, 1028.792236,  996.642334,    201933,        16777216,000,001
014,   7692032,  120188,  758.953674,   30.000000,21739.890625,  741.614746,21121.236328,  143.229996,  612.054932,  592.990845,    120188,       134217728,000,001
015,   8125376,  126959,  804.874939,   30.000000,21693.904297,  786.502869,21037.851562,  152.513535,  649.189148,  628.387756,    126959,          262144,000,001
015,   4312896,   67389,  425.977386,   30.000000,22073.423828,  416.233948,21724.994141,   80.265862,  344.808472,  333.000671,     67389,        16777216,000,001
015,   8055232,  125863,  797.508789,   30.000000,21701.324219,  779.266785,21050.009766,  149.412125,  644.525146,  624.257874,    125863,       134217728,000,001
016,   1160192,   18128,  151.066940,   30.000000,22349.158203,  148.397964,22220.476562,   21.315590,  126.545998,  124.874153,     18128,          262144,000,001
016,    527680,    8245,   67.196342,   30.000000,22433.080078,   65.976067,22375.816406,    9.638916,   56.320068,   55.339321,      8245,        16777216,000,001
016,    754048,   11782,   95.785110,   30.000000,22404.121094,   94.051193,22322.345703,   13.788570,   80.411392,   78.824623,     11782,       134217728,000,001
017,    845952,   13218,  109.277573,   30.000000,22391.058594,  107.346092,22297.011719,   15.467303,   92.551918,   90.346039,     13218,          262144,000,001
017,   1103168,   17237,  139.930405,   30.000000,22360.175781,  137.384735,22239.384766,   19.738459,  118.826874,  115.625328,     17237,        16777216,000,001
017,   1892864,   29576,  239.851761,   30.000000,22260.207031,  235.471741,22053.626953,   34.187126,  203.210693,  197.843994,     29576,       134217728,000,001
018,   4300992,   67203,  520.717529,   30.000000,21978.314453,  510.759186,21537.599609,   77.796806,  437.556030,  429.403229,     67203,          262144,000,001
018,   2043968,   31937,  247.353607,   30.000000,22252.343750,  242.625397,22042.652344,   36.774097,  208.141083,  204.333679,     31937,        16777216,000,001
018,   1488128,   23252,  180.454742,   30.000000,22319.705078,  177.015457,22166.675781,   26.716608,  151.927933,  149.074799,     23252,       134217728,000,001
019,    200768,    3137,   24.183624,   30.000000,22475.931641,   23.720058,22455.265625,    3.574162,   20.516907,   19.974163,      3137,          262144,000,001
019,   2136448,   33382,  261.127167,   30.000000,22238.511719,  256.209229,22015.791016,   38.044056,  221.193741,  216.425797,     33382,        16777216,000,001
019,    813120,   12705,   99.314796,   30.000000,22400.699219,   97.455658,22316.021484,   14.468626,   84.108414,   82.289841,     12705,       134217728,000,001
020,     13760,     215,    1.705745,   30.000000,22498.523438,    1.674249,22497.054688,    0.255394,    1.455951,    1.408714,       215,          262144,000,001
020,   2231616,   34869,  277.992310,   30.000000,22221.634766,  272.896729,21986.230469,   39.584099,  233.746826,  231.660065,     34869,        16777216,000,001
020,   1350144,   21096,  164.252625,   30.000000,22335.972656,  161.161087,22196.976562,   24.045271,  137.949387,  136.148224,     21096,       134217728,000,001
