tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,array_size(B),client_id,run
000,    716096,   11189,  541.087585,   30.000000,21959.166016,  538.792236,21114.746094,    3.881801,  842.201538,  533.111694,          262144,000,000
000,    722880,   11295,  566.925049,   30.000000,21932.763672,  564.598633,21072.929688,    3.829807,  857.553528,  558.935608,        16777216,000,000
000,    720832,   11263,  553.419312,   30.000000,21946.488281,  550.964233,21085.353516,    4.012166,  858.699036,  545.167175,       134217728,000,000
001,    716096,   11189,  532.578979,   30.000000,21967.892578,  530.212219,21122.927734,    3.604181,  842.607056,  524.964905,          262144,000,000
001,    722944,   11296,  525.977478,   30.000000,21974.259766,  523.757141,21136.232422,    3.621207,  835.605103,  518.389648,        16777216,000,000
001,    720832,   11263,  533.700378,   30.000000,21965.888672,  531.528748,21136.546875,    3.537477,  827.072815,  526.401306,       134217728,000,000
002,    716096,   11189,  586.809265,   30.000000,21913.541016,  584.341858,21018.363281,    3.955485,  892.619507,  578.458557,          262144,000,000
002,    722944,   11296,  586.427002,   30.000000,21913.574219,  584.013733,20996.398438,    3.940638,  914.530151,  577.807617,        16777216,000,000
002,    720832,   11263,  599.634766,   30.000000,21899.603516,  597.294128,20998.099609,    4.026843,  898.765747,  591.095093,       134217728,000,000
003,    716096,   11189,  534.684753,   30.000000,21965.996094,  532.146973,21095.292969,    3.973545,  868.129272,  526.305664,          262144,000,000
003,    722944,   11296,  522.473267,   30.000000,21977.853516,  520.077454,21149.179688,    3.854922,  826.333496,  514.509094,        16777216,000,000
003,    720896,   11264,  521.221191,   30.000000,21979.416016,  518.854309,21153.000000,    3.561207,  824.202148,  513.608704,       134217728,000,000
004,    716096,   11189,  537.579712,   30.000000,21962.634766,  535.241028,21118.052734,    3.671319,  842.532776,  529.647156,          262144,000,000
004,    722944,   11296,  528.795227,   30.000000,21970.992188,  526.478088,21145.339844,    3.636142,  823.614807,  520.942688,        16777216,000,000
004,    720896,   11264,  537.174072,   30.000000,21962.957031,  534.825073,21130.671875,    3.780135,  830.151062,  529.089539,       134217728,000,000
005,    716096,   11189,  523.802185,   30.000000,21976.519531,  521.601379,21148.343750,    3.670355,  826.011658,  516.261841,          262144,000,000
005,    722944,   11296,  533.339355,   30.000000,21966.681641,  531.100769,21138.794922,    3.590362,  825.660156,  525.828918,        16777216,000,000
005,    720896,   11264,  540.701294,   30.000000,21959.486328,  538.336548,21097.382812,    3.869396,  859.755188,  532.562866,       134217728,000,000
006,    716096,   11189,  530.280823,   30.000000,21970.189453,  527.831177,21134.773438,    3.700483,  833.075867,  522.424377,          262144,000,000
006,    722944,   11296,  556.083069,   30.000000,21943.984375,  553.712036,21076.949219,    4.163332,  864.512573,  547.768372,        16777216,000,000
006,    720896,   11264,  535.235718,   30.000000,21965.052734,  532.798828,21126.349609,    3.876045,  836.433655,  527.163513,       134217728,000,000
007,    716096,   11189,  562.582336,   30.000000,21937.947266,  560.162170,21073.748047,    4.228166,  861.767090,  554.130920,          262144,000,000
007,    722944,   11296,  538.234680,   30.000000,21961.656250,  535.964478,21112.558594,    3.907756,  846.730652,  530.298950,        16777216,000,000
007,    720896,   11264,  538.499878,   30.000000,21961.576172,  535.970642,21103.562500,    3.945751,  855.503845,  530.149109,       134217728,000,000
008,    716096,   11189,  548.760315,   30.000000,21951.998047,  546.241333,21090.591797,    3.747983,  859.000732,  540.718933,          262144,000,000
008,    722944,   11296,  553.190979,   30.000000,21947.218750,  550.765930,21048.392578,    4.067820,  896.478455,  544.785034,        16777216,000,000
008,    720832,   11263,  554.654541,   30.000000,21945.003906,  552.124329,21029.705078,    4.249768,  912.940979,  546.013855,       134217728,000,000
