tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,array_size(B),client_id,run
000,     25781,   25781,    0.238967,   30.000000,21847.490234,  652.224609,21155.296875,    2.272020,  690.089294,  647.982422,               0,000,000
001,     25782,   25782,    0.242981,   30.000000,21830.964844,  669.042664,21089.007812,    2.403157,  739.733032,  664.460693,               0,000,000
002,     25782,   25782,    0.239894,   30.000000,21834.839844,  665.045654,21125.414062,    2.656515,  706.906311,  660.284729,               0,000,000
003,     25782,   25782,    0.238796,   30.000000,21774.720703,  725.003845,21011.285156,    3.172127,  760.949829,  719.042480,               0,000,000
004,     25781,   25781,    0.241998,   30.000000,21847.679688,  651.854797,21144.982422,    2.623758,  699.696472,  647.021545,               0,000,000
005,     25781,   25781,    0.240613,   30.000000,21845.750000,  654.059143,21151.759766,    2.110502,  691.957825,  649.982788,               0,000,000
006,     25781,   25781,    0.265656,   30.000000,21823.515625,  676.193115,21102.910156,    2.390496,  718.377869,  671.672791,               0,000,000
007,     25781,   25781,    0.243875,   30.000000,21825.843750,  673.894897,21099.380859,    2.987877,  724.151978,  668.754089,               0,000,000
008,     25772,   25772,    0.237566,   30.000000,21794.677734,  704.844177,21065.906250,    3.005981,  725.680237,  698.672302,               0,000,000
009,     25772,   25772,    0.237998,   30.000000,21806.953125,  692.427612,21086.132812,    1.548044,  719.220886,  689.428101,               0,000,000
010,     25772,   25772,    0.238429,   30.000000,21813.201172,  686.497864,21097.384766,    1.453856,  714.269287,  683.448975,               0,000,000
011,     25772,   25772,    0.238345,   30.000000,21811.693359,  687.817688,21092.722656,    1.417791,  717.312744,  684.850586,               0,000,000
012,     25772,   25772,    0.244165,   30.000000,21808.253906,  691.379272,21093.380859,    1.477381,  713.245544,  688.418030,               0,000,000
013,     25773,   25773,    0.238120,   30.000000,21785.242188,  714.565125,21045.332031,    1.619462,  738.275818,  711.434387,               0,000,000
014,     25772,   25772,    0.238403,   30.000000,21809.044922,  690.532776,21090.642578,    1.506055,  716.820374,  687.545776,               0,000,000
015,     25773,   25773,    0.237954,   30.000000,21811.718750,  687.994812,21094.742188,    1.443818,  715.246094,  684.963684,               0,000,000
000,     25527,   25527,    0.240138,   30.000000,21846.955078,  652.636414,21147.619141,    2.271936,  697.314697,  648.477173,               0,000,001
001,     25528,   25528,    0.242067,   30.000000,21840.101562,  659.855103,21120.462891,    2.351519,  717.356873,  655.319641,               0,000,001
002,     25528,   25528,    0.237592,   30.000000,21846.316406,  653.615540,21148.542969,    2.697231,  695.108337,  648.759949,               0,000,001
003,     25528,   25528,    0.237578,   30.000000,21765.591797,  734.141907,21000.904297,    3.411308,  762.219910,  727.815613,               0,000,001
004,     25528,   25528,    0.238249,   30.000000,21856.324219,  643.387268,21165.173828,    2.506643,  688.143982,  638.715149,               0,000,001
005,     25528,   25528,    0.239180,   30.000000,21844.226562,  655.768005,21136.644531,    2.262656,  705.334778,  651.332214,               0,000,001
006,     25528,   25528,    0.239464,   30.000000,21817.978516,  681.939148,21096.015625,    2.330518,  719.793091,  677.579773,               0,000,001
007,     25528,   25528,    0.239782,   30.000000,21821.156250,  678.974182,21085.322266,    2.540044,  733.604309,  674.275574,               0,000,001
008,     25536,   25536,    0.235595,   30.000000,21794.783203,  704.904419,21062.849609,    2.866945,  728.879761,  699.009216,               0,000,001
009,     25536,   25536,    0.235553,   30.000000,21806.630859,  692.829041,21081.906250,    1.517427,  723.131653,  689.866455,               0,000,001
010,     25536,   25536,    0.236464,   30.000000,21813.167969,  686.707275,21098.072266,    1.434656,  713.493042,  683.764893,               0,000,001
011,     25536,   25536,    0.235845,   30.000000,21809.060547,  690.474976,21086.701172,    1.434473,  720.668945,  687.463684,               0,000,001
012,     25536,   25536,    0.236265,   30.000000,21808.335938,  691.451111,21091.923828,    1.452658,  714.836426,  688.532715,               0,000,001
013,     25535,   25535,    0.235762,   30.000000,21782.568359,  716.869690,21041.626953,    1.640983,  739.383850,  713.704407,               0,000,001
014,     25536,   25536,    0.236765,   30.000000,21807.513672,  692.214783,21087.671875,    1.460965,  718.308350,  689.271423,               0,000,001
015,     25536,   25536,    0.236486,   30.000000,21811.603516,  688.298889,21095.167969,    1.404992,  714.713684,  685.311890,               0,000,001
