tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,array_size(B),client_id,run
000,    360832,    5638,  289.838898,   30.000000,22212.138672,  288.601868,21764.550781,    1.902964,  446.188873,  285.629150,          262144,000,000
000,    365376,    5709,  287.705261,   30.000000,22212.859375,  286.243988,21764.191406,    1.686659,  447.122559,  283.216827,        16777216,000,000
000,    360192,    5628,  293.022827,   30.000000,22208.105469,  291.660278,21752.279297,    2.011542,  454.037964,  288.478790,       134217728,000,000
001,    360896,    5639,  286.596191,   30.000000,22215.529297,  285.382202,21773.316406,    1.223117,  441.151825,  283.080566,          262144,000,000
001,    365376,    5709,  272.884369,   30.000000,22227.173828,  271.743530,21784.960938,    1.151180,  441.207092,  269.594513,        16777216,000,000
001,    360256,    5629,  271.527466,   30.000000,22229.941406,  270.419769,21803.474609,    1.111410,  425.511688,  268.322906,       134217728,000,000
002,    360896,    5639,  273.365967,   30.000000,22228.777344,  272.151917,21792.785156,    1.249281,  435.001068,  269.825043,          262144,000,000
002,    365312,    5708,  271.656189,   30.000000,22228.166016,  270.536560,21807.964844,    1.328002,  419.149231,  268.129730,        16777216,000,000
002,    360256,    5629,  266.565033,   30.000000,22235.070312,  265.458160,21798.945312,    1.175102,  435.146667,  263.292633,       134217728,000,000
003,    360832,    5638,  305.923950,   30.000000,22194.982422,  304.736206,21736.074219,    1.379366,  457.782532,  302.312042,          262144,000,000
003,    365312,    5708,  303.214569,   30.000000,22196.673828,  302.077850,21743.730469,    1.323423,  451.901123,  299.730927,        16777216,000,000
003,    360256,    5629,  301.782898,   30.000000,22200.035156,  300.671478,21747.533203,    1.267771,  451.426910,  298.360962,       134217728,000,000
004,    360832,    5638,  265.207794,   30.000000,22235.978516,  264.059845,21814.566406,    1.311219,  420.417877,  261.669006,          262144,000,000
004,    365376,    5709,  265.762848,   30.000000,22234.330078,  264.561768,21815.177734,    1.376379,  418.055969,  262.014526,        16777216,000,000
004,    360256,    5629,  267.536072,   30.000000,22234.324219,  266.316650,21809.146484,    1.326331,  424.161774,  263.865509,       134217728,000,000
005,    360832,    5638,  265.851013,   30.000000,22235.244141,  264.689514,21804.408203,    1.159539,  429.802734,  262.512390,          262144,000,000
005,    365376,    5709,  268.282990,   30.000000,22231.992188,  267.096680,21808.220703,    1.228886,  422.682770,  264.739227,        16777216,000,000
005,    360256,    5629,  270.785004,   30.000000,22230.835938,  269.635529,21805.914062,    1.198371,  423.726868,  267.391693,       134217728,000,000
006,    360832,    5638,  278.168518,   30.000000,22223.722656,  277.022003,21791.109375,    1.320098,  431.483521,  274.588654,          262144,000,000
006,    365376,    5709,  271.581757,   30.000000,22228.796875,  270.361328,21807.382812,    1.332667,  420.342438,  267.929596,        16777216,000,000
006,    360256,    5629,  272.649994,   30.000000,22229.255859,  271.477997,21792.748047,    1.580046,  435.443756,  268.838196,       134217728,000,000
007,    360832,    5638,  271.945557,   30.000000,22229.222656,  270.779388,21802.775391,    1.313488,  425.368042,  268.403259,          262144,000,000
007,    365376,    5709,  274.227966,   30.000000,22226.166016,  273.052307,21796.314453,    1.312321,  428.648438,  270.562073,        16777216,000,000
007,    360192,    5628,  278.676819,   30.000000,22222.308594,  277.552032,21784.603516,    1.373049,  436.474091,  274.991455,       134217728,000,000
008,    360832,    5638,  294.510803,   30.000000,22206.988281,  293.165863,21746.132812,    1.857186,  459.568085,  290.175262,          262144,000,000
008,    365376,    5709,  286.663788,   30.000000,22214.046875,  285.305786,21777.595703,    1.581924,  435.117249,  282.649414,        16777216,000,000
008,    360192,    5628,  286.683380,   30.000000,22214.580078,  285.357208,21778.605469,    1.577452,  434.541229,  282.690308,       134217728,000,000
009,    360832,    5638,  273.431641,   30.000000,22227.775391,  272.036865,21797.306641,    1.386949,  429.336975,  269.599823,          262144,000,000
009,    365376,    5709,  263.031342,   30.000000,22237.476562,  261.905029,21821.158203,    1.255004,  415.276031,  259.598785,        16777216,000,000
009,    360192,    5628,  264.415771,   30.000000,22236.417969,  263.221130,21813.443359,    1.243250,  421.828094,  260.958252,       134217728,000,000
