tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,array_size(B),client_id,run
000,      4226,    4226,    0.046101,   30.000000,22377.832031,  123.359489,22245.484375,    0.474915,  131.933075,  122.450409,               0,000,000
001,     24446,   24446,    0.267923,   30.000000,21804.326172,  695.961182,21086.414062,    1.576950,  716.038696,  692.527466,               0,000,000
002,       933,     933,    0.010133,   30.000000,22471.794922,   28.931166,22440.046875,    0.108400,   31.633408,   28.702990,               0,000,000
003,     22797,   22797,    0.257759,   30.000000,21848.421875,  651.532104,21168.904297,    1.614304,  677.613831,  648.018127,               0,000,000
004,     15982,   15982,    0.174769,   30.000000,22029.888672,  470.907318,21534.472656,    1.540536,  493.825226,  467.812073,               0,000,000
005,      2343,    2343,    0.039936,   30.000000,22432.132812,   68.879250,22358.835938,    0.221734,   73.040535,   68.396088,               0,000,000
006,      3226,    3226,    0.054294,   30.000000,22403.402344,   97.429352,22299.025391,    0.344326,  104.068962,   96.701263,               0,000,000
007,     62700,   62700,    0.695662,   30.000000,20686.357422, 1812.374390,18804.937500,    3.819312, 1876.786743, 1803.973267,               0,000,000
008,      6476,    6476,    0.070673,   30.000000,22313.712891,  187.528198,22114.738281,    0.592263,  198.389420,  186.359421,               0,000,000
009,     10812,   10812,    0.117909,   30.000000,22186.085938,  314.429108,21855.994141,    0.920856,  329.063293,  312.506531,               0,000,000
010,       933,     933,    0.010162,   30.000000,22473.460938,   27.200356,22443.132812,    0.106043,   30.227711,   26.988100,               0,000,000
011,     73922,   73922,    0.810109,   30.000000,20451.191406, 2047.591553,18347.480469,    4.182092, 2098.411377, 2038.116943,               0,000,000
012,     17053,   17053,    0.186708,   30.000000,21998.500000,  502.275146,21470.007812,    1.629627,  526.873413,  499.011841,               0,000,000
013,      2223,    2223,    0.024368,   30.000000,22435.566406,   65.536552,22365.867188,    0.220647,   69.448532,   65.081909,               0,000,000
014,      3322,    3322,    0.036516,   30.000000,22399.906250,  101.002930,22292.177734,    0.422661,  107.326958,  100.234947,               0,000,000
015,     21951,   21951,    0.240537,   30.000000,21847.250000,  652.591858,21154.714844,    1.998843,  689.940186,  648.585388,               0,000,000
016,        12,      12,    0.000132,   30.000000,22501.955078,    0.420205,22501.517578,    0.002466,    0.434389,    0.415796,               0,000,000
017,        11,      11,    0.000127,   30.000000,22501.921875,    0.375730,22501.476562,    0.002656,    0.442356,    0.371350,               0,000,000
018,     33411,   33411,    0.366025,   30.000000,21459.472656, 1041.371094,20382.349609,    1.942523, 1074.710571, 1036.951538,               0,000,000
019,     18536,   18536,    0.202921,   30.000000,21919.322266,  581.701416,21314.033203,    1.195422,  603.824890,  578.982849,               0,000,000
020,      3496,    3496,    0.038244,   30.000000,22390.451172,  111.372757,22272.074219,    0.318986,  118.077507,  110.731323,               0,000,000
021,      2985,    2985,    0.032726,   30.000000,22406.070312,   95.864388,22304.125000,    0.315850,  101.681709,   95.260422,               0,000,000
022,        17,      17,    0.000187,   30.000000,22501.916016,    0.528617,22501.287109,    0.004967,    0.625678,    0.521903,               0,000,000
023,        14,      14,    0.000151,   30.000000,22502.072266,    0.435725,22501.605469,    0.002179,    0.463367,    0.432173,               0,000,000
024,     10507,   10507,    0.115050,   30.000000,22166.996094,  334.794281,21813.105469,    0.772726,  353.056366,  333.135162,               0,000,000
025,     11336,   11336,    0.123993,   30.000000,22141.431641,  360.102570,21762.332031,    0.862126,  378.237610,  358.260162,               0,000,000
026,        54,      54,    0.000592,   30.000000,22500.863281,    1.705409,22499.056641,    0.003525,    1.803077,    1.697623,               0,000,000
027,        17,      17,    0.000191,   30.000000,22502.064453,    0.577643,22501.447266,    0.002295,    0.616029,    0.573588,               0,000,000
028,     13673,   13673,    0.148946,   30.000000,22073.328125,  428.047333,21627.031250,    0.845022,  445.236053,  426.152039,               0,000,000
029,      6232,    6232,    0.067865,   30.000000,22306.140625,  195.878006,22099.861328,    0.498504,  205.735962,  194.861877,               0,000,000
030,        22,      22,    0.000232,   30.000000,22500.960938,    0.687451,22500.207031,    0.002688,    0.752785,    0.682419,               0,000,000
031,        22,      22,    0.000225,   30.000000,22500.892578,    0.675425,22500.113281,    0.002746,    0.777275,    0.670058,               0,000,000
000,      3788,    3788,    0.056446,   30.000000,22389.306641,  112.406708,22269.992188,    0.386474,  118.957390,  111.645340,               0,000,001
001,     28603,   28603,    0.329445,   30.000000,21661.962891,  839.152161,20783.152344,    2.514640,  876.423828,  834.175415,               0,000,001
002,      8189,    8189,    0.089457,   30.000000,22248.617188,  252.702942,21972.142578,    0.973871,  275.530701,  250.712158,               0,000,001
003,     23271,   23271,    0.253448,   30.000000,21831.011719,  668.511597,21137.214844,    1.661492,  691.882385,  664.932434,               0,000,001
004,     48758,   48758,    0.538530,   30.000000,21077.267578, 1423.244751,19582.177734,    4.655683, 1490.211182, 1413.916748,               0,000,001
005,     24719,   24719,    0.273749,   30.000000,21773.917969,  726.439514,20999.080078,    2.281604,  772.710510,  721.663757,               0,000,001
006,     10538,   10538,    0.114830,   30.000000,22188.265625,  312.724274,21854.697266,    1.044292,  332.719757,  310.614929,               0,000,001
007,     34258,   34258,    0.372157,   30.000000,21525.349609,  975.215210,20517.294922,    2.079201, 1005.462402,  970.644409,               0,000,001
008,      5029,    5029,    0.054980,   30.000000,22354.082031,  147.579391,22198.072266,    0.454087,  155.601456,  146.671494,               0,000,001
009,     17922,   17922,    0.195644,   30.000000,21969.244141,  531.942139,21402.126953,    1.910145,  565.341980,  528.168213,               0,000,001
010,      8231,    8231,    0.090019,   30.000000,22259.972656,  241.362625,21992.500000,    0.920377,  266.546875,  239.498642,               0,000,001
011,     68665,   68665,    0.750307,   30.000000,20559.500000, 1938.867676,18568.396484,    4.028282, 1986.165771, 1929.902344,               0,000,001
012,     51265,   51265,    0.600173,   30.000000,21009.599609, 1490.957397,19440.767578,    4.788041, 1564.222290, 1481.310181,               0,000,001
013,     21281,   21281,    0.252024,   30.000000,21866.142578,  634.413574,21186.044922,    2.224532,  677.382812,  629.970825,               0,000,001
014,      9415,    9415,    0.103178,   30.000000,22218.544922,  282.536407,21916.064453,    1.005947,  301.334595,  280.565063,               0,000,001
015,     11874,   11874,    0.129535,   30.000000,22156.564453,  344.647797,21795.830078,    1.005795,  359.597595,  342.577454,               0,000,001
016,        84,      84,    0.000937,   30.000000,22497.490234,    2.708152,22494.523438,    0.012758,    2.953569,    2.683411,               0,000,001
017,        82,      82,    0.000898,   30.000000,22497.615234,    2.643021,22494.654297,    0.012711,    2.949855,    2.618330,               0,000,001
018,        69,      69,    0.000758,   30.000000,22498.806641,    2.215370,22496.402344,    0.008224,    2.396714,    2.200313,               0,000,001
019,        62,      62,    0.000679,   30.000000,22498.968750,    1.993131,22496.744141,    0.006914,    2.217830,    1.979649,               0,000,001
020,        65,      65,    0.000723,   30.000000,22499.103516,    2.043234,22496.804688,    0.008334,    2.290690,    2.028247,               0,000,001
021,        64,      64,    0.000725,   30.000000,22499.042969,    2.043651,22496.833984,    0.007583,    2.200813,    2.029614,               0,000,001
022,        46,      46,    0.000516,   30.000000,22498.941406,    1.444592,22497.382812,    0.005358,    1.553166,    1.434571,               0,000,001
023,        56,      56,    0.000607,   30.000000,22498.570312,    1.755417,22496.591797,    0.006556,    1.971740,    1.743703,               0,000,001
024,        88,      88,    0.000981,   30.000000,22498.083984,    2.748147,22495.066406,    0.009967,    3.007966,    2.729033,               0,000,001
025,        97,      97,    0.001078,   30.000000,22497.871094,    3.024125,22494.535156,    0.011950,    3.322992,    3.002153,               0,000,001
