tid,wait_acq(ms),wait_rel(ms),client_id,run
000,2.706789732,2.982688189,000,000
000,2.690696239,3.061938763,000,000
000,2.699811459,3.143542528,000,000
001,2.688004971,2.989975214,000,000
001,2.667405844,3.070739031,000,000
001,2.731063128,3.076719284,000,000
002,2.717662096,2.998857260,000,000
002,2.697900057,3.040676355,000,000
002,2.678596973,3.082470894,000,000
003,2.727643013,3.019330263,000,000
003,2.691895247,3.100121260,000,000
003,2.686586142,3.094378233,000,000
004,2.715514660,3.008506775,000,000
004,2.697196007,3.035655022,000,000
004,2.679178953,3.070624590,000,000
005,2.683602095,3.007897615,000,000
005,2.668013334,3.050715923,000,000
005,2.710377216,3.086939096,000,000
006,2.677962303,3.025483131,000,000
006,2.701856136,3.058886290,000,000
006,2.683341503,3.090287924,000,000
007,2.723747730,3.010072470,000,000
007,2.684107542,3.028095007,000,000
007,2.687839746,3.070954800,000,000
008,2.702626228,3.026573420,000,000
008,2.693734646,3.081273794,000,000
008,2.665258169,3.093614101,000,000
009,2.732471943,2.987317562,000,000
009,2.693220854,3.041984081,000,000
009,2.687212467,3.110158205,000,000
010,2.697826624,3.070221663,000,000
010,2.692688465,3.086098194,000,000
010,2.667354345,3.133725882,000,000
011,2.757390976,2.981814384,000,000
011,2.691313028,3.036388159,000,000
011,2.684790850,3.087784767,000,000
012,2.689468145,3.025187731,000,000
012,2.664440632,3.018450975,000,000
012,2.664154768,3.085140944,000,000
013,2.689791679,3.021067381,000,000
013,2.680711985,3.045464993,000,000
013,2.673692703,3.079556227,000,000
014,2.744886637,3.016056538,000,000
014,2.662636042,3.059370995,000,000
014,2.697936535,3.083084106,000,000
015,2.696729898,2.996569633,000,000
015,2.707696915,3.061492443,000,000
015,2.676135063,3.088312387,000,000
000,2.728630304,3.155959606,000,001
000,2.718640327,3.114171505,000,001
000,2.481277466,2.831180573,000,001
001,2.753051281,3.149266005,000,001
001,2.715808153,3.105405092,000,001
001,2.547255039,2.842799902,000,001
002,2.730279446,3.203366041,000,001
002,2.783070087,3.161712170,000,001
002,2.542650938,3.005287409,000,001
003,2.722908735,3.163098812,000,001
003,2.717201233,3.140743017,000,001
003,2.523910284,2.996353149,000,001
004,2.732768536,3.167820930,000,001
004,2.701115608,3.114883184,000,001
004,2.536674261,2.862306595,000,001
005,2.734129429,3.176913977,000,001
005,2.702105522,3.139646292,000,001
005,2.514302731,2.837054968,000,001
006,2.799740553,3.146624088,000,001
006,2.695286274,3.126347780,000,001
006,2.510537863,2.858315706,000,001
007,2.722938776,3.160890102,000,001
007,2.702561140,3.126333714,000,001
007,2.629549742,2.881426811,000,001
008,2.738265038,3.179786205,000,001
008,2.709009409,3.165476322,000,001
008,2.485721350,2.825378418,000,001
009,2.769188404,3.156353951,000,001
009,2.675281763,3.145471811,000,001
009,2.487268209,2.861399889,000,001
010,2.731082916,3.167803049,000,001
010,2.778577566,3.130890846,000,001
010,2.471968174,2.844719172,000,001
011,2.724706888,3.148627520,000,001
011,2.702841520,3.128812551,000,001
011,2.489042759,2.843557596,000,001
012,2.726348400,3.136730671,000,001
012,2.712011337,3.141559601,000,001
012,2.567952156,2.823536158,000,001
013,2.738308191,3.152964354,000,001
013,2.694285870,3.122093439,000,001
013,2.488442898,2.827403545,000,001
014,2.736277819,3.141152382,000,001
014,2.679440737,3.116698980,000,001
014,2.476665020,2.831563234,000,001
015,2.722687483,3.152640820,000,001
015,2.699094296,3.119369984,000,001
015,2.471338034,2.829914093,000,001
000,2.501679420,2.846484423,000,002
000,2.494109154,2.866104364,000,002
000,2.642353058,3.096226931,000,002
001,2.491773844,2.830076218,000,002
001,2.493706942,2.899073362,000,002
001,2.536816835,2.961532593,000,002
002,2.556470633,2.868718147,000,002
002,2.493064642,2.906082153,000,002
002,2.697037458,3.071932554,000,002
003,2.566851616,2.842323780,000,002
003,2.505316019,2.854155064,000,002
003,2.569898367,2.964777231,000,002
004,2.530529022,2.920730591,000,002
004,2.490346909,2.870682240,000,002
004,2.547858715,2.974970579,000,002
005,2.561180592,2.876278162,000,002
005,2.874989986,2.876676559,000,002
005,2.538258791,2.985890627,000,002
006,2.592112541,2.876758099,000,002
006,2.500461578,2.878834724,000,002
006,2.536733389,2.975824594,000,002
007,2.640615940,2.891985893,000,002
007,2.531478643,2.923527241,000,002
007,2.632050037,2.994538069,000,002
008,2.487030983,2.834612846,000,002
008,2.786243439,2.832475424,000,002
008,2.532769680,2.973653555,000,002
009,2.516011953,2.846956015,000,002
009,2.502704144,2.878695965,000,002
009,2.569045305,2.997584105,000,002
010,2.456743956,2.826043129,000,002
010,2.498197556,2.851353645,000,002
010,2.660687923,2.967619658,000,002
011,2.497666836,2.816599607,000,002
011,2.487149000,2.866897583,000,002
011,2.573925018,2.967960835,000,002
012,2.520870924,2.849379301,000,002
012,2.478622437,2.837699890,000,002
012,2.540493727,2.985094786,000,002
013,2.481584072,2.833588123,000,002
013,2.488962173,2.840135574,000,002
013,2.519146919,2.967190266,000,002
014,2.493736982,2.823404074,000,002
014,2.480934381,2.838713408,000,002
014,2.604413509,2.990460873,000,002
015,2.550113440,2.812876940,000,002
015,2.482960224,2.841938496,000,002
015,2.532426596,2.975153446,000,002
