tid,wait_acq(ms),wait_rel(ms),client_id,run
000,  2.946828,  5.951287,000,000
001,  2.892346,  6.003104,000,000
002,  2.959047,  6.055993,000,000
003,  2.926902,  6.059779,000,000
004,  3.024401,  6.033662,000,000
005,  3.032157,  6.057306,000,000
006,  2.963000,  6.039449,000,000
007,  2.916240,  6.033370,000,000
008,  0.625447,  1.198299,000,000
009,  0.594771,  1.194340,000,000
010,  0.575777,  1.194221,000,000
011,  0.615931,  1.195382,000,000
012,  0.685467,  1.195250,000,000
013,  0.574717,  1.199486,000,000
014,  0.689672,  1.197365,000,000
015,  0.553994,  1.197552,000,000
000,  3.602151,  6.405733,000,001
001,  3.534069,  6.431499,000,001
002,  3.558374,  6.474426,000,001
003,  3.597181,  6.409665,000,001
004,  3.574840,  6.462313,000,001
005,  3.578916,  6.447784,000,001
006,  3.676432,  6.397673,000,001
007,  3.630441,  6.483995,000,001
008,  0.069809,  0.120136,000,001
009,  0.069978,  0.121723,000,001
010,  0.091445,  0.122548,000,001
011,  0.069222,  0.120728,000,001
012,  0.089004,  0.122518,000,001
013,  0.069486,  0.122624,000,001
014,  0.071968,  0.119495,000,001
015,  0.069596,  0.131356,000,001
