tid,wait_acq(ms),wait_rel(ms),client_id,run
000,2.507510662,2.567400932,000,000
000,2.180689573,2.420670986,000,000
000,2.081351280,2.394248486,000,000
001,3.225754738,2.592244625,000,000
001,2.064237118,2.491370678,000,000
001,2.070954323,2.396156311,000,000
002,2.571803331,2.535358191,000,000
002,2.070515633,2.470077276,000,000
002,2.046361923,2.399406672,000,000
003,2.713807583,2.598179102,000,000
003,2.090415955,2.447621346,000,000
003,1.998913169,2.411803961,000,000
004,2.548491478,2.554924726,000,000
004,2.100174427,2.565737724,000,000
004,1.987911582,2.396610975,000,000
005,2.486838818,2.637009382,000,000
005,2.238516569,2.463743448,000,000
005,1.976959705,2.440001249,000,000
006,2.526374102,2.672325850,000,000
006,2.038723230,2.517291546,000,000
006,2.027122498,2.466757536,000,000
007,2.455697775,2.570858479,000,000
007,2.047952890,2.625309467,000,000
007,2.041273117,2.414336205,000,000
008,3.114587784,2.508876801,000,000
008,2.321327925,2.417226553,000,000
008,1.999158740,2.401751280,000,000
009,2.591368198,2.486604452,000,000
009,2.494368792,2.405126333,000,000
009,2.074784994,2.402000666,000,000
010,3.018709660,2.513667107,000,000
010,2.541037560,2.417278051,000,000
010,1.991273403,2.391974926,000,000
011,2.868488073,2.508039474,000,000
011,2.548657417,2.405485392,000,000
011,2.028746367,2.399227619,000,000
012,2.782329798,2.489286900,000,000
012,2.657409430,2.427250385,000,000
012,1.997172236,2.397637606,000,000
013,2.533011675,2.498173237,000,000
013,2.463381529,2.414754391,000,000
013,1.956877470,2.383975267,000,000
014,2.608408213,2.476305008,000,000
014,2.506769180,2.404692173,000,000
014,2.084159136,2.395511150,000,000
015,2.772336483,2.505025387,000,000
015,2.374410868,2.422732592,000,000
015,2.003508806,2.396044731,000,000
000,1.984409094,2.393099070,000,001
000,2.128093958,2.562790394,000,001
000,2.220580339,2.583906651,000,001
001,1.990285277,2.406080723,000,001
001,2.124885082,2.571796894,000,001
001,2.484748125,2.596170902,000,001
002,1.985370994,2.410281658,000,001
002,2.113741875,2.578668833,000,001
002,2.242517710,2.600703716,000,001
003,1.985403776,2.398397923,000,001
003,2.113443851,2.590651035,000,001
003,2.215433359,2.603457212,000,001
004,1.983220339,2.395148516,000,001
004,2.123706579,2.574387074,000,001
004,2.306935310,2.615217209,000,001
005,1.981867552,2.440460682,000,001
005,2.126816273,2.591347456,000,001
005,2.237729073,2.608812094,000,001
006,1.984948158,2.433678865,000,001
006,2.112482786,2.567572594,000,001
006,2.276767492,2.595522165,000,001
007,1.983134985,2.394645929,000,001
007,2.115076780,2.575669765,000,001
007,2.338297606,2.599993944,000,001
008,2.002884388,2.389628410,000,001
008,2.118078709,2.578625679,000,001
008,2.215821505,2.584291935,000,001
009,2.030779600,2.391765118,000,001
009,2.127938509,2.576787233,000,001
009,2.248156786,2.583084345,000,001
010,1.985388756,2.393998146,000,001
010,2.124693632,2.582097292,000,001
010,2.231680393,2.584298372,000,001
011,1.986145258,2.390445948,000,001
011,2.114891291,2.576776028,000,001
011,2.466017723,2.593445539,000,001
012,1.982634425,2.392382860,000,001
012,2.117986917,2.582424402,000,001
012,2.227968693,2.588692427,000,001
013,1.981728792,2.399903536,000,001
013,2.117543459,2.563943386,000,001
013,2.225603342,2.580278397,000,001
014,1.985594988,2.387783527,000,001
014,2.120983124,2.573901653,000,001
014,2.245917082,2.657212496,000,001
015,1.989344120,2.393001556,000,001
015,2.118771553,2.560778379,000,001
015,2.205436945,2.577075958,000,001
000,2.125386477,2.550585985,000,002
000,2.179750681,2.673713446,000,002
000,2.105641842,2.458043337,000,002
001,2.106217384,2.626201868,000,002
001,2.185328484,2.671594620,000,002
001,2.126350403,2.466207266,000,002
002,2.104099751,2.548353672,000,002
002,2.215661287,2.674853325,000,002
002,2.131180286,2.466425657,000,002
003,2.104065895,2.547520399,000,002
003,2.194814920,2.664696455,000,002
003,2.106804371,2.479634047,000,002
004,2.109853983,2.553998470,000,002
004,2.199734926,2.692801952,000,002
004,2.123370886,2.463154793,000,002
005,2.109733105,2.562517405,000,002
005,2.186301470,2.666317463,000,002
005,2.124297142,2.498323202,000,002
006,2.119011641,2.607949734,000,002
006,2.177474022,2.672742605,000,002
006,2.109645844,2.459071875,000,002
007,2.103352547,2.550530672,000,002
007,2.201414347,2.661661863,000,002
007,2.113477468,2.441192865,000,002
008,2.106659174,2.545588017,000,002
008,2.187367439,2.670338392,000,002
008,2.131913424,2.460602760,000,002
009,2.106491327,2.551418543,000,002
009,2.200635910,2.685594320,000,002
009,2.131920099,2.451117277,000,002
010,2.099526644,2.540282726,000,002
010,2.182605982,2.674936771,000,002
010,2.134430647,2.469864368,000,002
011,2.117724419,2.546101809,000,002
011,2.208993673,2.669591188,000,002
011,2.156846285,2.445719957,000,002
012,2.117834091,2.539321899,000,002
012,2.229211807,2.678013802,000,002
012,2.140405416,2.455975294,000,002
013,2.104988337,2.551029444,000,002
013,2.195185423,2.670256853,000,002
013,2.117265940,2.457370281,000,002
014,2.140241146,2.541578531,000,002
014,2.211787462,2.675956964,000,002
014,2.152248859,2.474023104,000,002
015,2.108887434,2.546022177,000,002
015,2.220979691,2.672613859,000,002
015,2.151333809,2.455848694,000,002
