tid,total_duration(s),min_slock_hold,med,max,min_swait_acq,med,max,min_swait_rel,med,max,min_slwait_acq,med,max,min_slwait_rel,med,max,min_sgwait_acq,med,max,min_sgwait_rel,med,max,min_sdata_read,med,max,min_sdata_write,med,max,min_sglock_tries,med,max,array_size(B),client_id,nlocks
000,20.0, 0.168410003, 0.168835834, 0.172804996, 1.199144959, 1.563274145, 8.173560143, 0.000426667, 0.000456667, 0.000503333, 1.198979974, 1.563161612, 8.173355103, 0.000191667, 0.000230833, 0.000251667, 0.528411686, 3.238151550,12.853813171, 0.000000000, 0.000000000, 0.000000000, 0.237643331, 0.238412499, 0.239196673, 0.000000000, 0.000000000, 0.000000000,66.000000000,464.000000000,1843.000000000,         1048576,000,000001
001,20.0, 0.167768329, 0.168378338, 0.175009996, 1.199020028, 1.442694187, 7.926021576, 0.000488333, 0.123588331, 0.283648342, 1.198858380, 1.442557454, 7.925846577, 0.000145000, 0.000196667, 0.000283333, 0.000000000, 0.000000000, 0.000000000, 0.006666667, 0.007340834, 0.025981667, 0.000000000, 0.000000000, 0.000000000, 0.239309996, 0.240019172, 0.257258326, 0.000000000, 0.000000000, 0.000000000,         1048576,000,000001
002,20.0, 0.167585000, 0.167813331, 0.168691665, 1.199398279, 1.566318393, 8.174991608, 0.000421667, 0.000444167, 0.000455000, 1.199241638, 1.566161633, 8.174801826, 0.000208333, 0.000223333, 0.000235000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,         1048576,000,000001
003,20.0, 0.167601660, 0.167903334, 0.168456674, 1.199339986, 1.566155791, 8.174238205, 0.000438333, 0.000456667, 0.000468333, 1.199166656, 1.566005826, 8.174036980, 0.000216667, 0.000230833, 0.000241667, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,         1048576,000,000001
004,20.0, 0.167686671, 0.168025836, 0.169334993, 1.199613333, 1.566299200, 8.175020218, 0.000423333, 0.000446667, 0.000456667, 1.199453354, 1.566162467, 8.174833298, 0.000206667, 0.000227500, 0.000235000, 0.374035001, 2.811224222, 3.239688396, 0.000000000, 0.000000000, 0.000000000, 0.237826660, 0.238185003, 0.238511667, 0.000000000, 0.000000000, 0.000000000,43.000000000,422.000000000,491.000000000,         1048576,000,000001
005,20.0, 0.168383330, 0.180843338, 0.189740002, 1.182456613, 1.550366640, 8.165135384, 0.000375000, 0.000469167, 0.000550000, 1.182323337, 1.306025863, 1.473216653, 0.000168333, 0.000225833, 0.000331667, 0.205905005, 1.620381713, 6.495621681, 0.000000000, 0.000000000, 0.000000000, 0.237979993, 0.238487497, 0.291268319, 0.000000000, 0.000000000, 0.000000000, 9.000000000,238.000000000,951.000000000,         1048576,000,000001
006,20.0, 0.167093337, 0.167757496, 0.168341666, 1.200464964, 1.566322446, 8.174566269, 0.000436667, 0.000464167, 0.000478333, 1.200261712, 1.566162467, 8.174376488, 0.000218333, 0.000236667, 0.000253333, 0.000000000, 0.000000000, 0.863686681, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.240666673, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,96.000000000,         1048576,000,000001
007,20.0, 0.167060003, 0.167940840, 0.168685004, 1.199658275, 1.566364169, 8.174369812, 0.000436667, 0.000456667, 0.000698333, 1.199473381, 1.566206694, 8.174171448, 0.000225000, 0.000240000, 0.000486667, 0.000000000, 0.000000000, 0.000000000, 0.006313333, 0.007014167, 0.007556667, 0.000000000, 0.000000000, 0.000000000, 0.238998339, 0.239237502, 0.240443334, 0.000000000, 0.000000000, 0.000000000,         1048576,000,000001
008,20.0, 0.167500004, 0.167916670, 0.202063337, 1.187705040, 1.600290775,45.054340363, 0.000441667, 0.000474167, 0.000596667, 1.187573314, 1.340657473,45.054157257, 0.000200000, 0.000256667, 0.000376667, 0.194389999, 3.192507505, 6.421708107, 0.000000000, 0.000000000, 0.000000000, 0.239848331, 0.240256667, 0.325558335, 0.000000000, 0.000000000, 0.000000000, 7.000000000,379.000000000,751.000000000,         1048576,000,000001
009,20.0, 0.167600006, 0.168219998, 0.168651670, 1.184096694, 1.618705869,45.052219391, 0.000453333, 0.000489167, 0.000551667, 1.183986664, 1.618584991,45.052028656, 0.000241667, 0.000271667, 0.000316667, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,         1048576,000,000001
010,20.0, 0.167823330, 0.170812503, 0.178526670, 1.176460028, 1.468377471,45.053585052, 0.000421667, 0.000469167, 0.623073339, 1.176328301, 1.468231678,45.053394318, 0.000151667, 0.000224167, 0.000250000, 0.000000000, 0.000000000, 0.000000000, 0.008618333, 0.008990834, 0.029185001, 0.000000000, 0.000000000, 0.000000000, 0.240195006, 0.240786672, 0.611801684, 0.000000000, 0.000000000, 0.000000000,         1048576,000,000001
011,20.0, 0.166973338, 0.167724162, 0.168111667, 1.185983300, 1.618827462,45.056438446, 0.000463333, 0.000493333, 0.000516667, 1.185868382, 1.618669152,45.056205750, 0.000243333, 0.000254167, 0.000293333, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,         1048576,000,000001
012,20.0, 0.167384997, 0.172886670, 0.190573335, 1.180218339, 1.618304968,45.043113708, 0.000405000, 0.000505000, 0.000736667, 1.180103302, 1.319035053,45.042900085, 0.000218333, 0.000260000, 0.000488333, 0.364888340, 3.404951572, 6.421293259, 0.000000000, 0.000000000, 0.000000000, 0.239208341, 0.239992499, 0.240606666, 0.000000000, 0.000000000, 0.000000000,35.000000000,399.000000000,754.000000000,         1048576,000,000001
013,20.0, 0.166685000, 0.167670831, 0.168358326, 1.183571696, 1.618895054,45.052879333, 0.000461667, 0.000483333, 0.000511667, 1.183453321, 1.618764997,45.052684784, 0.000233333, 0.000265000, 0.000290000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,         1048576,000,000001
014,20.0, 0.167006671, 0.167535827, 0.173766673, 1.185443282, 1.619216681,44.807991028, 0.000413333, 0.000487500, 0.250319988, 1.185308337, 1.619050026,44.807826996, 0.000136667, 0.000240000, 0.000393333, 0.000000000, 0.000000000, 0.000000000, 0.008103333, 0.008602500, 0.009281667, 0.000000000, 0.000000000, 0.000000000, 0.239821672, 0.240511671, 0.241548330, 0.000000000, 0.000000000, 0.000000000,         1048576,000,000001
015,20.0, 0.166816667, 0.167870834, 0.168838337, 1.187260032, 1.618070006,45.055633545, 0.000415000, 0.000453333, 0.000491667, 1.187144995, 1.617903352,45.055419922, 0.000191667, 0.000228333, 0.000260000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,         1048576,000,000001
000,20.0, 0.166393340, 0.168081671, 0.170100003, 1.176931620, 2.096948385,21.636081696, 0.000428333, 0.000464167, 0.000538333, 1.176813364, 2.096834898,21.635883331, 0.000221667, 0.000246667, 0.000306667, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,         1048576,001,000001
