tid,total_duration(s),min_slock_hold,med,max,min_swait_acq,med,max,min_swait_rel,med,max,min_slwait_acq,med,max,min_slwait_rel,med,max,min_sgwait_acq,med,max,min_sgwait_rel,med,max,min_sdata_read,med,max,min_sdata_write,med,max,min_sglock_tries,med,max,array_size(B),client_id,nlocks
000,20.0, 0.193498746, 0.196264163, 0.202610418, 0.000162083, 0.000166250,21.448905945, 0.002166250, 0.002324167, 0.252328336, 0.000088333, 0.000088333, 0.000094583, 0.001938750, 0.002082083, 0.002360000, 0.000000000, 3.298112869,24.806390762, 0.000000000, 0.004534584, 0.011516667, 0.000000000, 0.119706251, 0.240077913, 0.000000000, 0.120444164, 0.244376659, 0.000000000,407.000000000,3042.000000000,         1048576,000,000001
001,20.0, 0.193564162, 0.193739995, 0.194019169, 0.000166667, 0.000171250, 0.000172500, 0.002082083, 0.002244167, 0.252143323, 0.000088333, 0.000088750, 0.000092917, 0.001633750, 0.002020000, 0.002202083, 0.000000000, 2.249855757,17.719165802, 0.000000000, 0.008766667, 0.014286667, 0.000000000, 0.119665831, 0.239676669, 0.000000000, 0.241032079, 0.258610010, 0.000000000,276.000000000,2128.000000000,         1048576,000,000001
002,20.0, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,         1048576,000,000001
003,20.0, 0.169471666, 0.169685006, 0.189076662, 0.000143333, 0.000149167, 0.000155000, 0.001900000, 0.002124167, 0.259254992, 0.000075000, 0.000078333, 0.000081667, 0.001695000, 0.001913333, 0.002623333, 0.000000000, 1.751450777,17.730579376, 0.000000000, 0.004590000, 0.009588334, 0.000000000, 0.119005002, 0.238625005, 0.000000000, 0.119609170, 0.246911660, 0.000000000,282.000000000,2790.000000000,         1048576,000,000001
004,20.0, 0.185929999, 0.186528340, 0.200179994, 0.000153333, 0.000160000, 7.445541859, 0.002070000, 0.002207500, 0.252095014, 0.000083333, 0.000086667, 0.000097083, 0.001840000, 0.001978333, 0.002088333, 0.000000000, 1.852058291,24.795137405, 0.000000000, 0.004409167, 0.011066667, 0.000000000, 0.119610831, 0.239940837, 0.000000000, 0.120030001, 0.244663328, 0.000000000,226.000000000,2975.000000000,         1048576,000,000001
005,20.0, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,         1048576,000,000001
006,20.0, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,         1048576,000,000001
007,20.0, 0.186224997, 0.196157917, 0.196408749, 0.000165000, 0.000172500,26.839853287, 0.002109583, 0.002336667, 0.251606673, 0.000083333, 0.000088333, 0.000088333, 0.001686667, 0.002089167, 0.002277917, 0.000000000, 1.754758358,26.599906921, 0.000000000, 0.004250000, 0.011503333, 0.000000000, 0.119534999, 0.239873335, 0.000000000, 0.119990833, 0.244703338, 0.000000000,206.000000000,3249.000000000,         1048576,000,000001
008,20.0, 0.195896670, 0.196149170, 0.204865411, 0.000162083, 0.000164167, 3.796638012, 0.002019167, 0.002429167, 0.256602079, 0.000088333, 0.000090417, 0.000090833, 0.001789583, 0.002105000, 0.006991667, 0.000000000, 1.777572513,32.002864838, 0.000000000, 0.005267083, 0.017751666, 0.000000000, 0.120569170, 0.242070004, 0.000000000, 0.121472500, 0.250340015, 0.000000000,170.000000000,3243.000000000,         1048576,000,000001
009,20.0, 0.175408334, 0.185269162, 0.198316246, 0.000150000, 0.000156667, 7.320163250, 0.001885000, 0.002265000, 0.253206670, 0.000078333, 0.000080000, 0.000088750, 0.001671667, 0.001977917, 0.002454583, 0.000000000, 1.675908327,10.276173592, 0.000000000, 0.004615834, 0.014963333, 0.000000000, 0.120229170, 0.245603338, 0.000000000, 0.120897502, 0.243349582, 0.000000000,166.000000000,1061.000000000,         1048576,000,000001
