tid,loop_in_cs,lock_acquires,lock_hold(ms)
RUN 0
000,   1477861, 1477861,  250.694107
001,   1478959, 1478959,  250.667786
002,   1477971, 1477971,  255.250076
003,   1479040, 1479040,  264.033264
004,   1478594, 1478594,  248.947952
005,   1478467, 1478467,  255.938187
006,   1478309, 1478309,  263.492554
007,   1477771, 1477771,  262.735687
008,   1478279, 1478279,  247.347763
009,   1477956, 1477956,  257.821320
010,   1478132, 1478132,  260.028961
011,   1478688, 1478688,  262.123352
012,   1478108, 1478108,  262.182800
013,   1478470, 1478470,  254.409866
014,   1478411, 1478411,  257.916077
015,   1477869, 1477869,  267.279053
016,   1478136, 1478136,  259.397186
017,   1479178, 1479178,  254.570221
018,   1478771, 1478771,  267.137177
019,   1478831, 1478831,  275.091827
020,   1477971, 1477971,  258.462555
021,   1477981, 1477981,  265.238525
022,   1478842, 1478842,  268.355713
023,   1478243, 1478243,  273.338837
024,   1478276, 1478276,  268.213654
025,   1478404, 1478404,  266.675537
026,   1478553, 1478553,  277.495728
027,   1478583, 1478583,  278.369873
028,   1477645, 1477645,  262.979980
-------------------------------------------------------------------------------------------------------

RUN 1
000,   1481333, 1481333,  247.845871
001,   1481042, 1481042,  252.351196
002,   1481564, 1481564,  257.429962
003,   1480913, 1480913,  259.373138
004,   1482073, 1482073,  250.515121
005,   1481397, 1481397,  260.785095
006,   1481227, 1481227,  265.254974
007,   1480647, 1480647,  268.222656
008,   1481521, 1481521,  248.401367
009,   1481229, 1481229,  259.012360
010,   1482364, 1482364,  262.859650
011,   1480968, 1480968,  262.058014
012,   1481991, 1481991,  263.786102
013,   1482092, 1482092,  251.347061
014,   1481736, 1481736,  252.877380
015,   1480758, 1480758,  268.778046
016,   1481608, 1481608,  251.635391
017,   1481531, 1481531,  256.840668
018,   1481484, 1481484,  268.857971
019,   1480939, 1480939,  273.500000
020,   1481469, 1481469,  258.712952
021,   1481449, 1481449,  265.970642
022,   1481496, 1481496,  268.468781
023,   1481254, 1481254,  273.921631
024,   1481408, 1481408,  267.327515
025,   1481030, 1481030,  266.646149
026,   1481647, 1481647,  277.261108
027,   1481023, 1481023,  282.763855
028,   1481280, 1481280,  274.877136
-------------------------------------------------------------------------------------------------------

RUN 2
000,   1479268, 1479268,  246.824661
001,   1477970, 1477970,  251.904129
002,   1478047, 1478047,  256.702240
003,   1478312, 1478312,  252.163223
004,   1479019, 1479019,  250.503708
005,   1478581, 1478581,  259.176239
006,   1478466, 1478466,  263.950653
007,   1478518, 1478518,  267.971771
008,   1478440, 1478440,  248.364563
009,   1478267, 1478267,  260.749481
010,   1478471, 1478471,  257.894104
011,   1478815, 1478815,  261.472534
012,   1479482, 1479482,  263.365845
013,   1477872, 1477872,  258.410828
014,   1478312, 1478312,  260.570526
015,   1478225, 1478225,  268.060486
016,   1478773, 1478773,  257.199585
017,   1478482, 1478482,  250.682663
018,   1478197, 1478197,  267.002197
019,   1477954, 1477954,  263.611511
020,   1478493, 1478493,  256.458923
021,   1477551, 1477551,  272.411530
022,   1478493, 1478493,  268.830963
023,   1478525, 1478525,  273.677765
024,   1479154, 1479154,  266.501526
025,   1478169, 1478169,  267.463501
026,   1479507, 1479507,  266.744354
027,   1478495, 1478495,  283.035583
028,   1478320, 1478320,  272.063477
-------------------------------------------------------------------------------------------------------

RUN 3
000,   1509910, 1509910,  227.891708
001,   1509300, 1509300,  283.390564
002,   1509671, 1509671,  240.820221
003,   1509549, 1509549,  239.020645
004,   1509435, 1509435,  282.545471
005,   1509287, 1509287,  268.170776
006,   1509227, 1509227,  293.582703
007,   1509639, 1509639,  229.456985
008,   1509866, 1509866,  277.953918
009,   1510219, 1510219,  281.386810
010,   1510220, 1510220,  235.189148
011,   1509862, 1509862,  302.234894
012,   1509817, 1509817,  248.382080
013,   1510588, 1510588,  268.259247
014,   1509910, 1509910,  275.390411
015,   1510192, 1510192,  272.733215
016,   1509335, 1509335,  241.450531
017,   1510040, 1510040,  284.170441
018,   1509254, 1509254,  267.084900
019,   1509119, 1509119,  279.789673
020,   1510173, 1510173,  243.101273
021,   1510358, 1510358,  244.507599
022,   1509532, 1509532,  278.568634
023,   1509631, 1509631,  277.311951
024,   1509859, 1509859,  289.910980
025,   1509115, 1509115,  254.901657
026,   1509863, 1509863,  255.831894
027,   1509340, 1509340,  274.355988
028,   1509687, 1509687,  288.682526
-------------------------------------------------------------------------------------------------------

RUN 4
000,   1611061, 1611061,  267.618713
001,   1611060, 1611060,  257.425598
002,   1611061, 1611061,  220.961884
003,   1611059, 1611059,  279.105835
004,   1611060, 1611060,  268.211426
005,   1611061, 1611061,  222.061981
006,   1611061, 1611061,  257.258453
007,   1611066, 1611066,  237.294113
008,   1611061, 1611061,  245.607300
009,   1611060, 1611060,  246.516800
010,   1611058, 1611058,  236.446503
011,   1611107, 1611107,  232.638535
012,   1611061, 1611061,  316.111969
013,   1611061, 1611061,  298.579742
014,   1611059, 1611059,  303.594604
015,   1611061, 1611061,  316.078613
016,   1611061, 1611061,  283.758209
017,   1611061, 1611061,  251.442749
018,   1611060, 1611060,  221.274521
019,   1610429, 1610429,  255.956100
020,   1611061, 1611061,  191.349823
021,   1611061, 1611061,  296.323029
022,   1611059, 1611059,  260.744843
023,   1611060, 1611060,  275.874146
024,   1611059, 1611059,  287.965607
025,   1611052, 1611052,  300.767365
026,   1611060, 1611060,  357.565460
027,   1610429, 1610429,  336.477631
028,   1611059, 1611059,  276.284210
-------------------------------------------------------------------------------------------------------

