tid,loop_in_cs,lock_acquires,lock_hold(ms)
RUN 0
000,   1795822, 1795822,  195.381943
001,   1930279, 1930279,  213.198700
002,   1795471, 1795471,  197.766647
003,   1930460, 1930460,  214.563782
004,   1775842, 1775842,  195.528000
005,   1948236, 1948236,  215.090210
006,   1802630, 1802630,  196.911240
007,   1964772, 1964772,  214.936386
008,   1790396, 1790396,  196.798447
009,   1921250, 1921250,  219.415649
010,   1787339, 1787339,  212.560852
011,   1928139, 1928139,  243.745117
012,   1798062, 1798062,  229.790237
013,   1912677, 1912677,  255.278351
014,   1772805, 1772805,  235.032745
015,   1932805, 1932805,  249.162048
-------------------------------------------------------------------------------------------------------

RUN 1
000,   1791121, 1791121,  195.066101
001,   1949015, 1949015,  214.125793
002,   1784132, 1784132,  196.679855
003,   1979283, 1979283,  216.112869
004,   1785457, 1785457,  195.475555
005,   1989190, 1989190,  217.611191
006,   1775052, 1775052,  195.035080
007,   1952747, 1952747,  213.974548
008,   1782033, 1782033,  194.540436
009,   1959183, 1959183,  220.138885
010,   1762945, 1762945,  211.108200
011,   1964175, 1964175,  244.795258
012,   1792304, 1792304,  228.283951
013,   1945874, 1945874,  255.156006
014,   1767569, 1767569,  233.129837
015,   1941845, 1941845,  249.892502
-------------------------------------------------------------------------------------------------------

RUN 2
000,   1775502, 1775502,  194.549210
001,   1983580, 1983580,  216.703781
002,   1785510, 1785510,  196.994583
003,   1950270, 1950270,  215.361526
004,   1765769, 1765769,  194.160645
005,   1948175, 1948175,  214.517532
006,   1786077, 1786077,  196.094971
007,   1938270, 1938270,  213.811127
008,   1782107, 1782107,  193.884781
009,   1972180, 1972180,  220.959747
010,   1756429, 1756429,  210.644485
011,   1965968, 1965968,  246.066315
012,   1771615, 1771615,  227.350372
013,   1927708, 1927708,  255.913864
014,   1768383, 1768383,  233.045334
015,   1955868, 1955868,  249.147018
-------------------------------------------------------------------------------------------------------

RUN 3
000,   1857595, 1857595,  210.489624
001,   1834964, 1834964,  200.879608
002,   1857159, 1857159,  210.406052
003,   1857840, 1857840,  201.796066
004,   1854552, 1854552,  210.372696
005,   1852736, 1852736,  202.142136
006,   1836893, 1836893,  210.336700
007,   1859963, 1859963,  201.928635
008,   1877582, 1877582,  211.863983
009,   1816780, 1816780,  204.269073
010,   1880729, 1880729,  233.635895
011,   1853365, 1853365,  227.315201
012,   1878965, 1878965,  253.897354
013,   1837866, 1837866,  236.383072
014,   1860691, 1860691,  255.642029
015,   1857298, 1857298,  232.708664
-------------------------------------------------------------------------------------------------------

RUN 4
000,   1879460, 1879460,  211.652161
001,   1867596, 1867596,  203.775436
002,   1878802, 1878802,  212.879059
003,   1864640, 1864640,  203.261749
004,   1871020, 1871020,  210.569809
005,   1850145, 1850145,  203.454697
006,   1862814, 1862814,  211.807404
007,   1838476, 1838476,  200.003677
008,   1847718, 1847718,  210.327606
009,   1867786, 1867786,  207.795120
010,   1851112, 1851112,  231.794479
011,   1843963, 1843963,  227.533752
012,   1855936, 1855936,  251.837494
013,   1824991, 1824991,  235.098663
014,   1819504, 1819504,  252.989365
015,   1882568, 1882568,  232.785568
-------------------------------------------------------------------------------------------------------

