tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),array_size(B)
RUN 0
000,        16,       1,    0.060707,    0.001530,    1.456193,    0.060460,             256
000,        32,       1,    0.054417,    0.001057,    0.178037,    0.054127,             512
000,        64,       1,    0.054623,    0.001046,    0.740577,    0.054090,            1024
000,       128,       1,    0.052720,    0.001066,    0.128407,    0.051707,            2048
000,       256,       1,    0.059700,    0.001146,    0.401843,    0.057727,            4096
000,       512,       1,    0.054957,    0.001121,    0.448073,    0.051067,            8192
000,      1024,       1,    0.059000,    0.001262,    0.287467,    0.051267,           16384
000,      2048,       1,    0.069546,    0.001299,    0.360721,    0.055317,           32768
000,      4096,       1,    0.079694,    0.001522,    0.353857,    0.051288,           65536
000,      8192,       1,    0.113726,    0.001963,    0.516323,    0.056917,          131072
000,     16384,       1,    0.171594,    0.003008,    0.068117,    0.057894,          262144
000,     32768,       1,    0.287920,    0.004879,    0.986620,    0.060831,          524288
000,     65536,       1,    0.531048,    0.008871,    2.231963,    0.054154,         1048576
000,    131072,       1,    0.973783,    0.016374,    7.038106,    0.056949,         2097152
000,    262144,       1,    2.036460,    0.032651,    0.077224,    0.069243,         4194304
000,    524288,       1,    3.818190,    0.061714,   14.953100,    0.055215,         8388608
000,   1048576,       1,    5.632684,    0.120076,    0.070362,    0.062750,        16777216
001,        16,       1,    0.061993,    0.001531,    0.591437,    0.061760,             256
001,        32,       1,    0.053927,    0.001068,    0.125120,    0.053643,             512
001,        64,       1,    0.053517,    0.001057,    0.250540,    0.052993,            1024
001,       128,       1,    0.059247,    0.001070,    0.572283,    0.058243,            2048
001,       256,       1,    0.054137,    0.001150,    0.126100,    0.052170,            4096
001,       512,       1,    0.054980,    0.001125,    0.262500,    0.051100,            8192
001,      1024,       1,    0.076160,    0.001263,    0.136483,    0.068430,           16384
001,      2048,       1,    0.080643,    0.001294,    0.811637,    0.066425,           32768
001,      4096,       1,    0.079580,    0.001525,    0.544023,    0.051157,           65536
001,      8192,       1,    0.107492,    0.001956,    0.989028,    0.050692,          131072
001,     16384,       1,    0.181943,    0.003006,    1.151057,    0.058927,          262144
001,     32768,       1,    0.280637,    0.004878,    2.151860,    0.053566,          524288
001,     65536,       1,    0.542865,    0.008868,    1.139209,    0.063492,         1048576
001,    131072,       1,    1.023335,    0.016377,    2.972410,    0.053257,         2097152
001,    262144,       1,    2.039683,    0.032652,   10.147309,    0.062307,         4194304
001,    524288,       1,    3.679668,    0.061720,    7.248303,    0.071155,         8388608
001,   1048576,       1,    7.035067,    0.120074,    5.718283,    0.053605,        16777216
002,        16,       1,    0.076015,    0.001536,    0.413771,    0.075634,             256
002,        32,       1,    0.050703,    0.001058,    0.298551,    0.050446,             512
002,        64,       1,    0.051917,    0.001047,    0.683432,    0.051429,            1024
002,       128,       1,    0.061405,    0.001067,    0.385420,    0.060488,            2048
002,       256,       1,    0.052634,    0.001153,    0.260465,    0.050831,            4096
002,       512,       1,    0.057037,    0.001123,    0.395200,    0.053446,            8192
002,      1024,       1,    0.057923,    0.001248,    0.345020,    0.050803,           16384
002,      2048,       1,    0.063860,    0.001295,    0.646343,    0.049637,           32768
002,      4096,       1,    0.077943,    0.001525,    0.634777,    0.049526,           65536
002,      8192,       1,    0.106074,    0.001963,    0.880185,    0.049277,          131072
002,     16384,       1,    0.166312,    0.003008,    0.791462,    0.052829,          262144
002,     32768,       1,    0.281180,    0.004879,    1.863708,    0.054088,          524288
002,     65536,       1,    0.516872,    0.008868,    2.774288,    0.062663,         1048576
002,    131072,       1,    1.043456,    0.016372,    8.019610,    0.055717,         2097152
002,    262144,       1,    2.026883,    0.032640,    8.100430,    0.059000,         4194304
002,    524288,       1,    4.013947,    0.061719,   30.098154,    0.078207,         8388608
002,   1048576,       1,    7.954468,    0.120059,   12.768911,    0.064010,        16777216
003,        16,       1,    0.052262,    0.001539,    0.934365,    0.052115,             256
003,        32,       1,    0.047203,    0.001072,    0.936508,    0.047050,             512
003,        64,       1,    0.043475,    0.001056,    0.927183,    0.043197,            1024
003,       128,       1,    0.044122,    0.001071,    0.884285,    0.043592,            2048
003,       256,       1,    0.046250,    0.001157,    1.023922,    0.045223,            4096
003,       512,       1,    0.049510,    0.001124,    0.834687,    0.046593,            8192
003,      1024,       1,    0.056957,    0.001253,    1.022228,    0.051160,           16384
003,      2048,       1,    0.055877,    0.001296,    0.896502,    0.044325,           32768
003,      4096,       1,    0.068865,    0.001528,    1.352110,    0.045775,           65536
003,      8192,       1,    0.092205,    0.001963,    1.720460,    0.046057,          131072
003,     16384,       1,    0.176814,    0.003010,    2.268905,    0.053847,          262144
003,     32768,       1,    0.302147,    0.004873,    4.557847,    0.056120,          524288
003,     65536,       1,    0.545145,    0.008865,    7.724864,    0.055495,         1048576
003,    131072,       1,    1.004777,    0.016367,   11.174987,    0.055483,         2097152
003,    262144,       1,    2.039057,    0.032639,   26.463905,    0.064187,         4194304
003,    524288,       1,    4.016770,    0.061723,   53.708057,    0.072980,         8388608
