tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),array_size(B)
RUN 0
000,     42005,   42005,    0.901953,   30.000000,27780.693359, 2216.495361,               0
001,     84322,   84322,    1.761670,   30.000000,26155.425781, 3839.676270,               0
002,     56533,   56533,    1.191494,   30.000000,27401.541016, 2595.155029,               0
003,     36949,   36949,    0.841963,   30.000000,28261.486328, 1736.421387,               0
004,     74835,   74835,    1.600999,   30.000000,26660.857422, 3333.988281,               0
005,    162265,  162265,    3.276258,   30.000000,22650.130859, 7340.573730,               0
006,     53921,   53921,    1.131749,   30.000000,27533.890625, 2462.717041,               0
007,     94123,   94123,    1.969464,   30.000000,25430.535156, 4564.525391,               0
-------------------------------------------------------------------------------------------------------

RUN 1
000,     78504,   78504,    1.616877,   30.000000,26011.289062, 3983.377930,               0
001,     85213,   85213,    1.778415,   30.000000,26090.345703, 3904.812256,               0
002,     81566,   81566,    1.730865,   30.000000,26352.466797, 3642.647949,               0
003,     63807,   63807,    1.420801,   30.000000,27083.656250, 2912.626465,               0
004,     80878,   80878,    1.740575,   30.000000,26446.082031, 3548.774170,               0
005,    107334,  107334,    2.176978,   30.000000,25218.269531, 4775.542480,               0
006,     60214,   60214,    1.261299,   30.000000,27250.904297, 2745.064209,               0
007,     49400,   49400,    1.099039,   30.000000,27554.048828, 2443.492432,               0
-------------------------------------------------------------------------------------------------------

RUN 2
000,     67014,   67014,    1.390867,   30.000000,26561.863281, 3433.523682,               0
001,    115238,  115238,    2.355733,   30.000000,24781.441406, 5212.087891,               0
002,     89453,   89453,    1.889744,   30.000000,26037.480469, 3957.207031,               0
003,     54008,   54008,    1.220454,   30.000000,27499.951172, 2496.637695,               0
004,     91975,   91975,    1.962841,   30.000000,25901.390625, 4092.619141,               0
005,     90718,   90718,    1.862053,   30.000000,25927.050781, 4067.814941,               0
006,     52781,   52781,    1.094640,   30.000000,27552.117188, 2444.285645,               0
007,     49635,   49635,    1.104468,   30.000000,27606.404297, 2391.058838,               0
-------------------------------------------------------------------------------------------------------

RUN 3
000,     79684,   79684,    1.655540,   30.000000,25923.009766, 4071.925293,               0
001,     80471,   80471,    1.693629,   30.000000,26359.501953, 3635.827148,               0
002,     91654,   91654,    1.927225,   30.000000,25841.050781, 4152.973145,               0
003,     46246,   46246,    1.053030,   30.000000,27837.019531, 2160.183350,               0
004,     84499,   84499,    1.820729,   30.000000,26301.427734, 3692.740234,               0
005,    120445,  120445,    2.432337,   30.000000,24588.548828, 5404.788086,               0
006,     51069,   51069,    1.073649,   30.000000,27651.359375, 2345.506592,               0
007,     52704,   52704,    1.163798,   30.000000,27424.947266, 2572.385010,               0
-------------------------------------------------------------------------------------------------------

RUN 4
000,     72364,   72364,    1.489537,   30.000000,26331.679688, 3663.372314,               0
001,    117118,  117118,    2.395736,   30.000000,24662.230469, 5331.432617,               0
002,     77187,   77187,    1.636068,   30.000000,26537.798828, 3457.586914,               0
003,     44474,   44474,    1.014031,   30.000000,27899.732422, 2097.607422,               0
004,     93868,   93868,    2.020135,   30.000000,25795.347656, 4198.077637,               0
005,     90547,   90547,    1.849582,   30.000000,25923.759766, 4071.088623,               0
006,     53177,   53177,    1.098770,   30.000000,27548.449219, 2447.764160,               0
007,     60053,   60053,    1.313177,   30.000000,27094.068359, 2902.871826,               0
-------------------------------------------------------------------------------------------------------

