tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),array_size(B)
RUN 0
000,     77995,   77995,    1.863451,   30.000000,26271.289062, 3723.020752,               0
001,     59638,   59638,    1.467955,   30.000000,27045.687500, 2949.611084,               0
002,     59462,   59462,    1.377022,   30.000000,26938.826172, 3056.014404,               0
003,     66185,   66185,    1.638774,   30.000000,26996.611328, 2999.247314,               0
004,     59856,   59856,    1.235706,   30.000000,27105.781250, 2890.298340,               0
005,     66396,   66396,    1.535556,   30.000000,26825.886719, 3169.100586,               0
006,     60974,   60974,    1.506547,   30.000000,27000.947266, 2994.793701,               0
007,     72760,   72760,    1.666925,   30.000000,26433.257812, 3561.336914,               0
008,      5289,    5289,    0.137825,   30.000000,29703.458984,  296.726440,               0
009,      5115,    5115,    0.133333,   30.000000,29718.722656,  281.690521,               0
010,      6113,    6113,    0.159242,   30.000000,29676.458984,  323.336884,               0
011,      4999,    4999,    0.129555,   30.000000,29728.474609,  271.809265,               0
012,      5645,    5645,    0.147257,   30.000000,29696.662109,  303.280121,               0
013,      5645,    5645,    0.146743,   30.000000,29695.972656,  304.068542,               0
014,      5610,    5610,    0.156922,   30.000000,29694.843750,  305.233002,               0
015,      5788,    5788,    0.174185,   30.000000,29685.869141,  314.410339,               0
-------------------------------------------------------------------------------------------------------

RUN 1
000,     82019,   82019,    1.949234,   30.000000,26075.908203, 3918.471680,               0
001,     62060,   62060,    1.526934,   30.000000,26905.787109, 3089.535400,               0
002,     60889,   60889,    1.401029,   30.000000,26864.427734, 3130.790039,               0
003,     70538,   70538,    1.745790,   30.000000,26816.335938, 3179.052246,               0
004,     61744,   61744,    1.289978,   30.000000,27028.591797, 2967.655273,               0
005,     68978,   68978,    1.586175,   30.000000,26700.777344, 3294.208740,               0
006,     63412,   63412,    1.567788,   30.000000,26892.378906, 3103.499023,               0
007,     76455,   76455,    1.751067,   30.000000,26253.685547, 3741.025635,               0
008,      2852,    2852,    0.076257,   30.000000,29834.861328,  165.569885,               0
009,      2536,    2536,    0.067796,   30.000000,29857.082031,  143.286087,               0
010,      3241,    3241,    0.086287,   30.000000,29826.630859,  173.628922,               0
011,      2472,    2472,    0.066169,   30.000000,29863.541016,  136.543808,               0
012,      2969,    2969,    0.079390,   30.000000,29839.208984,  161.340561,               0
013,      3002,    3002,    0.080245,   30.000000,29839.623047,  160.541977,               0
014,      2681,    2681,    0.071930,   30.000000,29854.775391,  145.723999,               0
015,      2996,    2996,    0.080214,   30.000000,29834.404297,  165.790359,               0
-------------------------------------------------------------------------------------------------------

RUN 2
000,     82402,   82402,    1.958085,   30.000000,26080.160156, 3914.468750,               0
001,     62678,   62678,    1.542542,   30.000000,26875.628906, 3119.376465,               0
002,     61332,   61332,    1.423449,   30.000000,26846.355469, 3148.699951,               0
003,     70985,   70985,    1.763559,   30.000000,26765.806641, 3229.401611,               0
004,     61503,   61503,    1.300239,   30.000000,27023.447266, 2973.028809,               0
