tid,lock_impl_time(ms)
RUN 0
001, 26176.012
002, 26609.514
003, 26555.469
005, 26431.490
004, 26640.682
006, 26889.816
007, 26691.551
008, 26565.332
009, 25782.859
010, 26486.350
011, 26424.891
013, 26504.033
012, 26184.670
014, 26402.535
015, 25959.129
016, 26470.568
-----------------------------------------------------------------------------------------------

RUN 1
001, 26077.197
002, 26549.471
003, 26384.379
005, 26311.854
004, 26548.609
006, 26514.115
007, 26577.588
008, 26653.123
009, 25949.486
010, 26527.957
011, 26467.598
013, 26250.609
012, 26157.996
014, 26362.801
015, 26417.383
016, 26459.846
-----------------------------------------------------------------------------------------------

RUN 2
001, 26038.975
002, 26532.939
003, 26481.045
005, 26308.027
004, 26543.150
006, 26577.326
007, 26507.408
008, 26718.730
009, 26122.273
010, 26560.621
011, 26241.990
013, 26330.959
012, 26150.107
014, 26333.369
015, 25951.219
016, 26542.154
-----------------------------------------------------------------------------------------------

RUN 3
001, 25939.068
002, 26466.484
003, 26535.436
005, 26517.494
004, 26575.357
006, 26682.988
007, 26463.648
008, 26465.943
009, 25913.330
010, 26634.260
011, 26466.549
013, 26324.342
012, 26037.754
014, 26332.436
015, 26400.619
016, 26355.078
-----------------------------------------------------------------------------------------------

RUN 4
001, 26080.609
002, 26543.277
003, 26023.986
005, 26082.793
004, 26631.896
006, 26384.471
007, 26463.709
008, 26568.018
009, 25939.219
010, 26705.576
011, 26506.242
013, 26279.711
012, 26375.209
014, 26357.086
015, 26199.652
016, 26622.428
-----------------------------------------------------------------------------------------------

