tid,lock_impl_time(ms)
RUN 0
002, 22251.414
001, 22440.188
003, 21850.221
004, 22954.008
006, 22673.189
005, 24286.506
007, 22497.215
008, 23774.633
-----------------------------------------------------------------------------------------------

RUN 1
002, 22322.375
001, 22706.355
003, 22294.852
004, 22951.645
006, 21992.158
005, 23973.762
007, 22607.699
008, 23528.301
-----------------------------------------------------------------------------------------------

RUN 2
002, 22292.686
001, 22749.893
003, 22283.691
004, 23055.949
006, 21540.939
005, 24001.891
007, 22495.367
008, 23945.898
-----------------------------------------------------------------------------------------------

RUN 3
002, 22342.908
001, 22598.904
003, 22077.891
004, 23125.486
006, 21605.791
005, 24007.508
007, 22515.264
008, 23917.877
-----------------------------------------------------------------------------------------------

RUN 4
002, 22242.660
001, 22780.965
003, 22118.055
004, 23134.887
006, 21464.352
005, 24067.033
007, 22574.029
008, 23884.693
-----------------------------------------------------------------------------------------------

