tid,lock_impl_time(ms)
RUN 0
001,  0.543087
001,  1.254043
001,  1.019468
001,  1.042200
001,  0.995488
001,  0.978598
001,  1.028247
001,  1.002782
001,  0.966885
001,  0.992087
002,  0.003122
002,  1.393438
002,  0.998182
002,  1.042030
002,  1.003457
002,  0.992003
002,  0.979662
002,  1.028662
002,  1.023538
002,  0.957572
003,  0.441105
003,  1.285080
003,  1.024953
003,  1.048295
003,  1.000448
003,  0.988548
003,  1.022517
003,  0.993415
003,  0.991585
003,  0.994470
004,  0.275297
004,  1.329105
004,  1.018312
004,  1.049158
004,  0.991412
004,  0.978960
004,  0.979547
004,  1.012700
004,  1.015483
004,  0.962352
005,  1.333563
005,  1.024132
005,  1.024188
005,  1.038505
005,  0.985235
005,  0.967120
005,  1.008555
005,  1.020682
005,  0.986892
005,  0.964883
007,  1.127233
007,  1.044327
007,  0.988878
007,  0.992665
007,  0.952225
007,  0.943522
007,  0.986907
007,  1.004408
007,  0.939637
007,  0.976768
006,  0.959212
006,  1.123812
006,  1.021242
006,  1.031320
006,  0.994722
006,  0.976560
006,  1.040070
006,  1.022073
006,  0.956817
006,  1.009968
008,  0.357663
008,  1.312390
008,  1.011852
008,  1.043077
008,  0.995267
008,  0.979548
008,  0.997033
008,  0.979118
008,  1.012723
008,  0.961137
009,  0.182768
009,  1.340352
009,  1.015335
009,  1.029813
009,  0.989480
009,  0.978427
009,  0.955158
009,  1.021862
009,  1.005853
009,  0.956602
010,  1.415847
010,  0.993203
010,  1.030603
010,  0.999095
010,  0.989025
010,  0.974062
010,  1.025798
010,  1.010435
010,  0.953767
010,  0.970612
011,  0.089373
011,  1.369612
011,  0.998325
011,  1.031637
011,  0.989570
011,  0.976410
011,  0.971252
011,  1.023245
011,  1.019663
011,  0.951038
012,  0.739220
012,  1.165307
012,  1.020280
012,  1.019212
012,  0.978540
012,  0.963470
012,  1.013807
012,  1.005783
012,  0.939077
012,  0.980820
013,  0.861262
013,  1.133320
013,  1.008885
013,  1.030715
013,  0.980523
013,  0.966332
013,  1.028908
013,  1.011950
013,  0.939557
013,  0.993632
014,  0.641943
014,  1.220103
014,  1.030502
014,  1.018477
014,  0.982863
014,  0.970857
014,  1.017690
014,  1.014600
014,  0.956273
014,  0.987567
015,  1.051220
015,  1.096647
015,  0.994260
015,  1.006343
015,  0.969830
015,  0.950052
015,  1.009063
015,  1.017177
015,  0.936340
015,  0.977583
016,  1.225373
016,  1.037913
016,  1.000867
016,  1.007623
016,  0.966322
016,  0.947965
016,  0.994298
016,  1.005517
016,  0.945433
016,  0.964705
-----------------------------------------------------------------------------------------------

RUN 1
001,  0.588947
001,  1.030058
001,  0.929497
001,  0.986128
001,  0.983068
001,  0.991612
001,  0.916715
001,  1.023522
001,  1.031818
001,  0.913012
002,  0.378582
002,  1.066062
002,  0.944268
002,  0.998285
002,  0.986257
002,  0.980143
002,  0.929972
002,  1.029627
002,  1.072772
002,  0.941623
003,  0.735510
003,  1.012430
003,  0.916653
003,  0.973957
003,  0.977222
003,  0.980507
003,  0.923665
003,  1.030570
003,  1.011798
003,  0.919002
004,  0.450950
004,  1.053977
004,  0.937362
004,  0.989952
004,  0.980700
004,  0.971713
004,  0.927598
004,  1.016115
004,  1.051718
004,  0.935025
005,  1.075668
005,  0.968592
005,  0.982117
005,  0.959480
005,  0.988708
005,  0.957038
005,  0.986390
005,  1.056582
005,  0.962498
005,  0.911525
007,  1.021530
007,  0.956267
007,  0.944913
007,  0.943543
007,  0.972113
007,  0.938462
007,  0.962003
007,  1.024015
007,  0.960255
007,  0.912012
006,  1.140873
006,  0.951833
006,  0.970428
006,  0.949028
006,  0.979408
006,  0.944803
006,  0.980437
006,  1.065580
006,  0.938692
006,  0.912343
008,  0.658913
008,  1.018190
008,  0.913065
008,  0.984940
008,  0.966208
008,  0.970865
008,  0.908963
008,  1.027643
008,  1.009408
008,  0.911417
009,  0.806898
009,  0.992328
009,  0.925032
009,  0.959442
009,  0.969462
009,  0.963002
009,  0.936178
009,  1.011962
009,  0.988820
009,  0.896255
010,  0.146317
010,  1.088495
010,  0.956087
010,  0.987705
010,  0.953800
010,  0.983080
010,  0.919812
010,  1.003593
010,  1.060412
010,  0.936413
011,  0.222983
011,  1.061858
011,  0.943482
011,  0.985177
011,  0.964713
011,  0.976898
011,  0.918995
011,  1.014992
011,  1.047778
011,  0.916068
012,  0.519337
012,  1.036100
012,  0.902702
012,  0.990370
012,  0.970903
012,  0.953917
012,  0.914913
012,  1.022192
012,  1.026200
012,  0.901445
013,  0.305057
013,  1.033585
013,  0.933970
013,  0.981640
013,  0.966893
013,  0.958620
013,  0.914597
013,  1.011605
013,  1.054152
013,  0.902097
014,  0.868883
014,  0.974537
014,  0.944918
014,  0.969153
014,  0.966257
014,  0.957198
014,  0.963582
014,  1.016175
014,  0.999853
014,  0.889795
015,  0.003100
015,  1.090442
015,  0.940732
015,  0.969083
015,  0.939373
015,  0.967097
015,  0.921232
015,  0.980832
015,  1.057248
015,  0.928495
016,  0.955967
016,  0.965437
016,  0.950157
016,  0.957278
016,  0.969997
016,  0.938430
016,  0.964963
016,  1.020192
016,  0.977717
016,  0.908840
-----------------------------------------------------------------------------------------------

