tid,wait_acq(ms),wait_rel(ms)
RUN 0
001,  0.000492,  0.000245
001,  0.000107,  0.000087
001,  0.000077,  0.000093
001,  0.000082,  0.000087
001,  0.000072,  0.000067
001,  0.000073,  0.000068
001,  0.000070,  0.000065
001,  0.000077,  0.000063
001,  0.000077,  0.000063
001,  0.000072,  0.000065
-----------------------------------------------------------------------------------------------

RUN 1
001,  0.000160,  0.000093
001,  0.000073,  0.000063
001,  0.000077,  0.000063
001,  0.000070,  0.000065
001,  0.000082,  0.000068
001,  0.000077,  0.000063
001,  0.000073,  0.000062
001,  0.000100,  0.000070
001,  0.000078,  0.000065
001,  0.000078,  0.000065
-----------------------------------------------------------------------------------------------

