tid,wait_acq(ms),wait_rel(ms)
RUN 0
002,  0.511602,  0.001843
002,  0.000208,  0.001310
002,  0.000163,  0.001278
002,  0.000157,  0.001235
002,  0.000162,  0.001212
002,  0.000163,  0.001247
002,  0.000160,  0.001248
002,  0.000195,  0.001312
002,  0.000292,  0.001250
002,  0.129083,  0.001248
001,  0.089340,  0.001700
001,  0.000268,  0.001392
001,  0.000208,  0.001303
001,  0.069218,  0.000882
001,  0.000190,  0.001313
001,  0.000212,  0.001325
001,  0.000197,  0.001218
001,  0.000210,  0.001303
001,  0.069117,  0.000860
001,  0.000207,  0.001253
003,  0.000578,  0.001898
003,  0.069598,  0.000782
003,  0.061218,  0.000728
003,  0.000233,  0.001332
003,  0.054038,  0.000738
003,  0.054250,  0.000753
003,  0.057165,  0.000738
003,  0.058300,  0.000743
003,  0.000347,  0.001315
003,  0.069852,  0.000742
005,  0.430930,  0.001687
005,  0.136095,  0.001327
005,  0.179568,  0.001350
005,  0.177903,  0.001217
005,  0.174812,  0.001265
005,  0.177683,  0.001265
005,  0.171580,  0.001248
005,  0.172222,  0.001227
005,  0.178537,  0.001288
005,  0.253978,  0.000950
004,  0.342260,  0.001810
004,  0.072848,  0.001305
004,  0.067063,  0.001240
004,  0.063937,  0.001283
004,  0.063203,  0.001275
004,  0.065908,  0.001217
004,  0.066105,  0.001175
004,  0.068018,  0.001207
004,  0.063242,  0.001220
004,  0.000325,  0.001283
006,  0.601627,  0.001087
006,  0.264302,  0.001440
006,  0.238812,  0.001287
006,  0.231400,  0.001173
006,  0.233180,  0.001248
006,  0.237990,  0.001167
006,  0.228667,  0.001167
006,  0.227883,  0.001198
006,  0.234447,  0.001220
006,  0.063260,  0.001402
007,  0.264087,  0.001787
007,  0.329650,  0.000805
007,  0.296147,  0.000770
007,  0.286955,  0.000735
007,  0.282445,  0.000977
007,  0.293552,  0.000750
007,  0.284398,  0.000742
007,  0.282697,  0.000747
007,  0.288352,  0.000743
007,  0.105962,  0.001587
008,  0.179620,  0.001642
008,  0.202800,  0.001388
008,  0.123115,  0.001278
008,  0.124628,  0.001285
008,  0.118348,  0.001447
008,  0.122088,  0.001223
008,  0.120125,  0.001255
008,  0.121233,  0.001202
008,  0.123385,  0.001215
008,  0.191822,  0.001320
-----------------------------------------------------------------------------------------------

RUN 1
002,  0.199998,  0.001267
002,  0.000213,  0.001245
002,  0.000165,  0.001252
002,  0.000150,  0.001222
002,  0.060292,  0.001208
002,  0.000153,  0.001240
002,  0.000163,  0.001198
002,  0.059373,  0.001213
002,  0.000305,  0.001218
002,  0.000300,  0.001233
001,  0.067987,  0.001330
001,  0.317498,  0.001375
001,  0.312022,  0.001278
001,  0.308292,  0.001322
001,  0.282168,  0.001250
001,  0.319697,  0.001292
001,  0.313198,  0.001288
001,  0.278228,  0.001293
001,  0.320732,  0.001245
001,  0.365348,  0.001275
003,  0.131068,  0.001498
003,  0.087228,  0.001265
003,  0.143068,  0.001217
003,  0.082228,  0.001273
003,  0.172630,  0.001213
003,  0.260052,  0.001310
003,  0.204985,  0.001207
003,  0.170062,  0.001180
003,  0.265708,  0.001172
003,  0.300595,  0.001148
005,  0.395720,  0.001498
005,  0.152595,  0.001328
005,  0.210537,  0.001288
005,  0.206268,  0.001267
005,  0.238423,  0.001342
005,  0.148603,  0.001307
005,  0.085673,  0.001288
005,  0.234067,  0.001363
005,  0.142522,  0.001220
005,  0.223470,  0.001325
004,  0.000310,  0.001480
004,  0.207897,  0.001197
004,  0.084223,  0.001220
004,  0.145815,  0.001158
004,  0.000208,  0.001403
004,  0.205463,  0.001170
004,  0.142777,  0.001160
004,  0.000217,  0.004490
004,  0.206187,  0.001227
004,  0.099305,  0.001198
006,  0.331233,  0.001613
006,  0.269977,  0.001350
006,  0.268498,  0.001238
006,  0.264975,  0.001243
006,  0.118585,  0.001352
006,  0.084110,  0.001217
006,  0.271832,  0.001260
006,  0.115313,  0.001275
006,  0.083418,  0.001235
006,  0.160713,  0.001212
007,  0.264775,  0.001523
007,  0.428130,  0.000737
007,  0.361660,  0.001208
007,  0.355907,  0.001137
007,  0.329472,  0.001128
007,  0.365925,  0.001157
007,  0.415650,  0.000783
007,  0.325813,  0.001167
007,  0.369353,  0.001127
007,  0.424227,  0.001112
008,  0.462153,  0.001012
008,  0.369675,  0.001415
008,  0.424977,  0.000818
008,  0.419382,  0.000780
008,  0.389723,  0.000848
008,  0.421518,  0.000785
008,  0.361675,  0.001345
008,  0.389453,  0.000797
008,  0.429978,  0.000792
008,  0.484017,  0.000768
-----------------------------------------------------------------------------------------------

