tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),array_size(B)
RUN 0
000,        16,       1,    0.071863,    0.001584,    0.172700,    0.071623,             256
000,        32,       1,    0.079363,    0.001179,    0.345803,    0.079057,             512
000,        64,       1,    0.076610,    0.001097,    0.816327,    0.076077,            1024
000,       128,       1,    0.064700,    0.001050,    0.589430,    0.063687,            2048
000,       256,       1,    0.089117,    0.001134,    0.827717,    0.087140,            4096
000,       512,       1,    0.068983,    0.001149,    0.713407,    0.065090,            8192
000,      1024,       1,    0.075047,    0.001253,    0.620990,    0.067317,           16384
000,      2048,       1,    0.069913,    0.001211,    1.034778,    0.056692,           32768
000,      4096,       1,    0.097215,    0.001551,    1.164518,    0.070837,           65536
000,      8192,       1,    0.122533,    0.002066,    1.695537,    0.069817,          131072
000,     16384,       1,    0.168453,    0.002978,    0.796313,    0.063060,          262144
000,     32768,       1,    0.323177,    0.005012,    4.069750,    0.077160,          524288
000,     65536,       1,    0.485755,    0.008839,    6.100822,    0.064135,         1048576
000,    131072,       1,    0.978758,    0.016659,    4.289530,    0.066133,         2097152
000,    262144,       1,    1.778480,    0.031200,    9.661978,    0.071062,         4194304
000,    524288,       1,    3.509993,    0.061574,    7.512040,    0.068043,         8388608
000,   1048576,       1,    6.822998,    0.121758,    0.075793,    0.063380,        16777216
001,        16,       1,    0.069627,    0.001583,    0.521700,    0.069320,             256
001,        32,       1,    0.064467,    0.001177,    0.558440,    0.064183,             512
001,        64,       1,    0.055394,    0.001082,    1.014058,    0.054897,            1024
001,       128,       1,    0.053000,    0.001050,    0.984523,    0.052065,            2048
001,       256,       1,    0.058097,    0.001123,    1.052377,    0.056283,            4096
001,       512,       1,    0.057474,    0.001152,    1.011163,    0.053886,            8192
001,      1024,       1,    0.067152,    0.001254,    1.008411,    0.060020,           16384
001,      2048,       1,    0.063446,    0.001209,    0.962651,    0.049220,           32768
001,      4096,       1,    0.081940,    0.001548,    1.454268,    0.053529,           65536
001,      8192,       1,    0.109545,    0.002066,    1.822363,    0.052782,          131072
001,     16384,       1,    0.163163,    0.002976,    1.323049,    0.049623,          262144
