tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),array_size(B)
RUN 0
000,        16,       1,    0.156677,    0.001645,    0.363270,    0.156453,             256
000,        32,       1,    0.065360,    0.001077,    0.512353,    0.065077,             512
000,        64,       1,    0.057150,    0.001102,    0.709597,    0.056623,            1024
000,       128,       1,    0.078950,    0.001033,    0.477713,    0.077943,            2048
000,       256,       1,    0.060203,    0.001048,    0.607083,    0.058237,            4096
000,       512,       1,    0.066803,    0.001088,    0.184797,    0.062917,            8192
000,      1024,       1,    0.065777,    0.001268,    0.884110,    0.058050,           16384
000,      2048,       1,    0.074240,    0.001221,    0.484655,    0.061030,           32768
000,      4096,       1,    0.077800,    0.001480,    0.435207,    0.051413,           65536
000,      8192,       1,    0.120897,    0.001961,    1.483174,    0.059397,          131072
000,     16384,       1,    0.175280,    0.002900,    1.955817,    0.069862,          262144
000,     32768,       1,    0.302667,    0.004912,    0.367218,    0.070126,          524288
000,     65536,       1,    0.561803,    0.008730,    5.401434,    0.079800,         1048576
000,    131072,       1,    0.988188,    0.016416,   12.348765,    0.059094,         2097152
000,    262144,       1,    2.045540,    0.031770,   29.711683,    0.077527,         4194304
000,    524288,       1,    4.009360,    0.061803,   15.026156,    0.064127,         8388608
000,   1048576,       1,    6.425460,    0.120629,    0.092563,    0.057140,        16777216
001,        16,       1,    0.062577,    0.001644,    1.314297,    0.062347,             256
001,        32,       1,    0.049507,    0.001079,    0.646610,    0.049217,             512
001,        64,       1,    0.082667,    0.001113,    0.068373,    0.082157,            1024
001,       128,       1,    0.052340,    0.001020,    0.955963,    0.051333,            2048
001,       256,       1,    0.051120,    0.001035,    0.971710,    0.049153,            4096
001,       512,       1,    0.059310,    0.001077,    1.005900,    0.055423,            8192
001,      1024,       1,    0.061830,    0.001270,    1.133443,    0.054100,           16384
001,      2048,       1,    0.062043,    0.001217,    1.143540,    0.047812,           32768
001,      4096,       1,    0.079788,    0.001468,    1.377442,    0.051366,           65536
001,      8192,       1,    0.112903,    0.001959,    1.607165,    0.051387,          131072
001,     16384,       1,    0.159074,    0.002892,    1.273234,    0.045492,          262144
001,     32768,       1,    0.284214,    0.004916,    4.338926,    0.057251,          524288
001,     65536,       1,    0.535293,    0.008745,    4.290890,    0.050935,         1048576
001,    131072,       1,    1.032007,    0.016407,   15.363267,    0.054450,         2097152
001,    262144,       1,    1.899657,    0.031778,    7.871243,    0.053123,         4194304
001,    524288,       1,    3.758977,    0.061805,    3.620543,    0.068988,         8388608
001,   1048576,       1,    7.964450,    0.120626,  112.649536,    0.069903,        16777216
002,        16,       1,    0.062693,    0.001524,    0.826443,    0.062297,             256
002,        32,       1,    0.057677,    0.001080,    0.709753,    0.057390,             512
002,        64,       1,    0.054670,    0.001114,    0.660543,    0.054140,            1024
002,       128,       1,    0.051267,    0.001033,    0.561107,    0.050260,            2048
002,       256,       1,    0.050303,    0.001045,    0.369270,    0.048337,            4096
002,       512,       1,    0.059987,    0.001083,    0.811260,    0.056097,            8192
002,      1024,       1,    0.059262,    0.001275,    0.532550,    0.051532,           16384
002,      2048,       1,    0.058977,    0.001218,    0.208974,    0.044746,           32768
002,      4096,       1,    0.073969,    0.001472,    0.849420,    0.045545,           65536
002,      8192,       1,    0.103840,    0.001964,    0.513015,    0.047040,          131072
002,     16384,       1,    0.161046,    0.002891,    1.435703,    0.047486,          262144
002,     32768,       1,    0.303693,    0.004909,    2.800614,    0.050385,          524288
002,     65536,       1,    0.532552,    0.008731,    6.485963,    0.057053,         1048576
002,    131072,       1,    1.036990,    0.016416,   10.255263,    0.053027,         2097152
002,    262144,       1,    2.029657,    0.031788,   19.469526,    0.052343,         4194304
002,    524288,       1,    3.984711,    0.061817,   45.785015,    0.079710,         8388608
002,   1048576,       1,    6.373030,    0.120630,   67.519989,    0.066605,        16777216
003,        16,       1,    0.077506,    0.001643,    0.210297,    0.077275,             256
003,        32,       1,    0.064757,    0.001073,    0.434145,    0.064411,             512
003,        64,       1,    0.058213,    0.001114,    0.294401,    0.057788,            1024
003,       128,       1,    0.050542,    0.001036,    0.620963,    0.049737,            2048
003,       256,       1,    0.056690,    0.001047,    0.539660,    0.055110,            4096
003,       512,       1,    0.048772,    0.001087,    0.060792,    0.045667,            8192
003,      1024,       1,    0.061453,    0.001281,    0.660818,    0.055268,           16384
003,      2048,       1,    0.064093,    0.001216,    0.271340,    0.051757,           32768
003,      4096,       1,    0.076155,    0.001472,    0.681485,    0.051525,           65536
003,      8192,       1,    0.098815,    0.001967,    0.745323,    0.049610,          131072
003,     16384,       1,    0.146573,    0.002892,    0.601345,    0.048168,          262144
003,     32768,       1,    0.245888,    0.004914,    1.007805,    0.049105,          524288
003,     65536,       1,    0.451000,    0.008738,    2.771365,    0.057585,         1048576
003,    131072,       1,    0.937064,    0.016420,    3.146093,    0.050700,         2097152
003,    262144,       1,    1.635865,    0.031776,    9.781265,    0.061618,         4194304
003,    524288,       1,    3.228420,    0.061812,   26.454525,    0.069278,         8388608
003,   1048576,       1,    6.451793,    0.120628,   61.063465,    0.082902,        16777216
004,        16,       1,    0.059380,    0.001641,    0.130252,    0.059213,             256
004,        32,       1,    0.050612,    0.001070,    0.371252,    0.050455,             512
004,        64,       1,    0.044280,    0.001104,    0.540307,    0.044000,            1024
004,       128,       1,    0.045578,    0.001023,    0.290943,    0.045048,            2048
004,       256,       1,    0.043593,    0.001039,    0.788608,    0.042562,            4096
004,       512,       1,    0.045068,    0.001081,    0.397822,    0.043035,            8192
004,      1024,       1,    0.059915,    0.001287,    0.222528,    0.053280,           16384
004,      2048,       1,    0.059648,    0.001218,    0.991020,    0.046425,           32768
004,      4096,       1,    0.074638,    0.001477,    0.158458,    0.048260,           65536
004,      8192,       1,    0.113203,    0.001969,    1.736009,    0.051703,          131072
004,     16384,       1,    0.168058,    0.002892,    2.140718,    0.054572,          262144
004,     32768,       1,    0.281006,    0.004914,    3.115434,    0.054031,          524288
004,     65536,       1,    0.504934,    0.008747,    0.063220,    0.051068,         1048576
004,    131072,       1,    1.020180,    0.016413,   11.308620,    0.061540,         2097152
004,    262144,       1,    2.027053,    0.031779,   21.526354,    0.059143,         4194304
004,    524288,       1,    3.393393,    0.061804,   23.039316,    0.064203,         8388608
004,   1048576,       1,    7.961120,    0.120630,   81.870560,    0.073013,        16777216
005,        16,       1,    0.052267,    0.001640,    0.517800,    0.052050,             256
005,        32,       1,    0.044240,    0.001070,    0.573713,    0.043953,             512
005,        64,       1,    0.051647,    0.001114,    0.779240,    0.051123,            1024
005,       128,       1,    0.046570,    0.001032,    0.341500,    0.045567,            2048
005,       256,       1,    0.047137,    0.001046,    0.187067,    0.045173,            4096
005,       512,       1,    0.048687,    0.001080,    0.499357,    0.044793,            8192
005,      1024,       1,    0.066257,    0.001288,    0.454917,    0.058523,           16384
005,      2048,       1,    0.059018,    0.001227,    0.084343,    0.045803,           32768
005,      4096,       1,    0.074348,    0.001472,    0.506220,    0.047968,           65536
005,      8192,       1,    0.102620,    0.001966,    0.849690,    0.049880,          131072
005,     16384,       1,    0.154003,    0.002891,    0.926080,    0.048590,          262144
005,     32768,       1,    0.298667,    0.004914,    1.916058,    0.052817,          524288
005,     65536,       1,    0.550763,    0.008738,    2.224092,    0.053080,         1048576
005,    131072,       1,    1.038623,    0.016424,    7.100010,    0.055083,         2097152
005,    262144,       1,    1.916738,    0.031785,    4.040470,    0.061338,         4194304
