tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),array_size(B),lat_lock_hold(ms),lat_wait_acq(ms),lat_wait_rel(ms)
RUN 0
000,   4194304,       3,   22.966204,   20.000000,19977.660156,    0.198783,         8388608,    0.000000,    0.000000,    0.000000
000,         0,       1,    0.078363,   20.000000,20001.146484,    0.078020,        16777216,    0.000000,    0.000000,    0.000000
000,         0,       1,    0.075507,   20.000000,20001.570312,    0.075177,       134217728,    0.000000,    0.000000,    0.000000
001,  74546076,      36,  391.988068,   20.000000,19607.998047,    2.118567,         8388608,    0.000000,    0.000000,    0.000000
001,1849481049,     882, 9945.039062,   20.000000,10054.862305,   51.808540,        16777216,    0.000000,    0.000000,    0.000000
001,1415026608,     675,10838.915039,   20.000000, 9160.870117,   58.739120,       134217728,    0.000000,    0.000000,    0.000000
002, 746586112,     357, 3858.573242,   20.000000,16141.714844,   18.645510,         8388608,    0.000000,    0.000000,    0.000000
002,   4194304,       3,   22.594021,   20.000000,19977.792969,    0.226821,        16777216,    0.000000,    0.000000,    0.000000
002,         0,       1,    0.071290,   20.000000,20001.458984,    0.070940,       134217728,    0.000000,    0.000000,    0.000000
003,   2097152,       2,   11.267143,   20.000000,19989.701172,    0.127003,         8388608,    0.000000,    0.000000,    0.000000
003,         0,       1,    0.090293,   20.000000,20001.230469,    0.089953,        16777216,    0.000000,    0.000000,    0.000000
003,   4194304,       3,   35.420296,   20.000000,19964.966797,    0.310997,       134217728,    0.000000,    0.000000,    0.000000
004,         0,       1,    0.084837,   20.000000,20001.314453,    0.084477,         8388608,    0.000000,    0.000000,    0.000000
004,         0,       1,    0.082953,   20.000000,20000.898438,    0.082617,        16777216,    0.000000,    0.000000,    0.000000
004,         0,       1,    0.079363,   20.000000,20000.882812,    0.078567,       134217728,    0.000000,    0.000000,    0.000000
005,         0,       1,    0.076267,   20.000000,20001.726562,    0.075727,         8388608,    0.000000,    0.000000,    0.000000
005,         0,       1,    0.070313,   20.000000,20001.355469,    0.070017,        16777216,    0.000000,    0.000000,    0.000000
005,   2097152,       2,   17.960968,   20.000000,19982.742188,    0.197933,       134217728,    0.000000,    0.000000,    0.000000
006,   2097152,       2,   10.762755,   20.000000,19990.361328,    0.148455,         8388608,    0.000000,    0.000000,    0.000000
006,   2097152,       2,   10.791616,   20.000000,19989.970703,    0.157273,        16777216,    0.000000,    0.000000,    0.000000
006,         0,       1,    0.078723,   20.000000,20001.683594,    0.078403,       134217728,    0.000000,    0.000000,    0.000000
007,         0,       1,    0.075870,   20.000000,20001.451172,    0.075357,         8388608,    0.000000,    0.000000,    0.000000
007,   4194304,       3,   18.948124,   20.000000,19981.322266,    0.221093,        16777216,    0.000000,    0.000000,    0.000000
007,   2097152,       2,   19.150618,   20.000000,19981.697266,    0.211680,       134217728,    0.000000,    0.000000,    0.000000
008,   4194304,       3,   22.451984,   20.000000,19978.279297,    0.211313,         8388608,    0.000000,    0.000000,    0.000000
008,         0,       1,    0.086530,   20.000000,20001.451172,    0.086253,        16777216,    0.000000,    0.000000,    0.000000
008,   2097152,       2,   10.852140,   20.000000,19989.761719,    0.183738,       134217728,    0.000000,    0.000000,    0.000000
009,   2097152,       2,   12.039290,   20.000000,19988.822266,    0.153035,         8388608,    0.000000,    0.000000,    0.000000
009,   2097152,       2,   12.024212,   20.000000,19988.511719,    0.167680,        16777216,    0.000000,    0.000000,    0.000000
009,   4194304,       3,   23.856030,   20.000000,19976.414062,    0.296040,       134217728,    0.000000,    0.000000,    0.000000
010, 222298112,     107, 1132.588745,   20.000000,18867.650391,    6.990368,         8388608,    0.000000,    0.000000,    0.000000
010,         0,       1,    0.078147,   20.000000,20001.560547,    0.077790,        16777216,    0.000000,    0.000000,    0.000000
010,         0,       1,    0.083527,   20.000000,20001.195312,    0.083193,       134217728,    0.000000,    0.000000,    0.000000
011, 627048448,     300, 3254.674805,   20.000000,16745.740234,   17.812710,         8388608,    0.000000,    0.000000,    0.000000
011,   2097152,       2,   12.191708,   20.000000,19988.699219,    0.148474,        16777216,    0.000000,    0.000000,    0.000000
011,         0,       1,    0.071850,   20.000000,20001.097656,    0.071533,       134217728,    0.000000,    0.000000,    0.000000
012, 970981376,     464, 4915.349121,   20.000000,15084.646484,   26.960806,         8388608,    0.000000,    0.000000,    0.000000
012,         0,       1,    0.077347,   20.000000,20001.681641,    0.077023,        16777216,    0.000000,    0.000000,    0.000000
012,         0,       1,    0.089673,   20.000000,20001.318359,    0.089350,       134217728,    0.000000,    0.000000,    0.000000
013,         0,       1,    0.096520,   20.000000,20001.570312,    0.096117,         8388608,    0.000000,    0.000000,    0.000000
013,         0,       1,    0.082397,   20.000000,20001.033203,    0.082047,        16777216,    0.000000,    0.000000,    0.000000
013,         0,       1,    0.080720,   20.000000,20000.996094,    0.080380,       134217728,    0.000000,    0.000000,    0.000000
014,1239416832,     592, 6343.523926,   20.000000,13656.522461,   35.187511,         8388608,    0.000000,    0.000000,    0.000000
014,1847590912,     882, 9948.306641,   20.000000,10051.655273,   53.691410,        16777216,    0.000000,    0.000000,    0.000000
014,1413480448,     675, 9025.394531,   20.000000,10974.526367,   53.020958,       134217728,    0.000000,    0.000000,    0.000000
015,   2097152,       2,   11.916928,   20.000000,19989.333984,    0.135707,         8388608,    0.000000,    0.000000,    0.000000
015,   2097152,       2,   12.013668,   20.000000,19988.638672,    0.149562,        16777216,    0.000000,    0.000000,    0.000000
015,   2097152,       2,   13.798512,   20.000000,19986.701172,    0.177998,       134217728,    0.000000,    0.000000,    0.000000
-------------------------------------------------------------------------------------------------------

RUN 1
000,         0,       1,    0.075673,   20.000000,20001.250000,    0.075287,         8388608,    0.000000,    0.000000,    0.000000
000,   2097152,       2,   10.790743,   20.000000,19989.984375,    0.171198,        16777216,    0.000000,    0.000000,    0.000000
