tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),array_size(B)
RUN 0
000,         1,       1,    0.021753,   15.000000,30002.873047,    0.021333,        67108864
000,         1,       1,    0.028480,   15.000000,30001.097656,    0.007553,       134217728
000,         1,       1,    0.008840,   15.000000,30001.603516,    0.008160,      1073741824
001,         1,       1,    0.001807,   15.000000,30003.070312,    0.001387,        67108864
001,         1,       1,    0.010500,   15.000000,30001.244141,    0.009920,       134217728
001,         1,       1,    0.007473,   15.000000,30001.476562,    0.007087,      1073741824
002,  67108865,       2,  418.732056,   15.000000,29582.769531,    0.018387,        67108864
002,         1,       1,    0.008587,   15.000000,30001.367188,    0.007927,       134217728
002,         1,       1,    0.015720,   15.000000,30000.814453,    0.008433,      1073741824
003,1677721601,      26,10386.795898,   15.000000,19613.267578,    0.264603,        67108864
003, 134217729,       2,  833.037964,   15.000000,29167.779297,    0.018343,       134217728
003,         1,       1,    0.017300,   15.000000,30000.181641,    0.009253,      1073741824
004, 134217729,       3,  837.169739,   15.000000,29163.570312,    0.029993,        67108864
004,         1,       1,    0.009187,   15.000000,30000.953125,    0.008787,       134217728
004,         1,       1,    0.007607,   15.000000,30001.724609,    0.006993,      1073741824
005,         1,       1,    0.007647,   15.000000,30002.791016,    0.007260,        67108864
005,         1,       1,    0.008160,   15.000000,30001.048828,    0.007787,       134217728
005,         1,       1,    0.009407,   15.000000,30000.398438,    0.008613,      1073741824
006,  67108865,       2,  418.012817,   15.000000,29583.578125,    0.022933,        67108864
006,         1,       1,    0.006017,   15.000000,30001.207031,    0.005660,       134217728
006,         1,       1,    0.008873,   15.000000,30001.792969,    0.008473,      1073741824
007,  67108865,       2,  420.629028,   15.000000,29580.800781,    0.021197,        67108864
007, 268435457,       3, 1665.971436,   15.000000,28334.380859,    0.032523,       134217728
007,         1,       1,    0.008240,   15.000000,30001.970703,    0.007880,      1073741824
008, 201326593,       4, 1254.343994,   15.000000,28745.953125,    0.044537,        67108864
008, 939524097,       8, 5991.307617,   15.000000,24008.714844,    0.096628,       134217728
008,         1,       1,    0.007927,   15.000000,30002.039062,    0.007507,      1073741824
009,  67108865,       2,  418.483551,   15.000000,29582.837891,    0.020280,        67108864
009,         1,       1,    0.008053,   15.000000,30001.417969,    0.007673,       134217728
009,         1,       1,    0.010593,   15.000000,30001.353516,    0.010033,      1073741824
010, 134217729,       3,  832.903015,   15.000000,29167.755859,    0.068367,        67108864
010,         1,       1,    0.007807,   15.000000,30001.472656,    0.007480,       134217728
010,         1,       1,    0.009313,   15.000000,30001.203125,    0.008800,      1073741824
011, 134217729,       3,  827.936707,   15.000000,29172.613281,    0.027430,        67108864
011,         1,       1,    0.001587,   15.000000,30001.521484,    0.001233,       134217728
011,         1,       1,    0.009207,   15.000000,30000.513672,    0.008753,      1073741824
012,         1,       1,    0.008793,   15.000000,30002.988281,    0.008260,        67108864
012, 134217729,       2,  829.652161,   15.000000,29170.710938,    0.020507,       134217728
012,         1,       1,    0.001513,   15.000000,30002.103516,    0.001133,      1073741824
013,         1,       1,    0.010580,   15.000000,30002.708984,    0.010007,        67108864
013, 402653185,       4, 2499.090820,   15.000000,27500.941406,    0.047603,       134217728
013,1073741825,       2, 6613.935059,   15.000000,23387.050781,    0.042600,      1073741824
014,         1,       1,    0.009867,   15.000000,30001.955078,    0.009180,        67108864
014, 919725896,       7, 5729.096680,   15.000000,24270.845703,    0.092400,       134217728
014,1073741825,       2, 6605.296875,   15.000000,23395.816406,    0.072220,      1073741824
015,         1,       1,    0.008893,   15.000000,30002.582031,    0.008433,        67108864
015,         1,       1,    0.007827,   15.000000,30001.166016,    0.007380,       134217728
015,         1,       1,    0.009147,   15.000000,30001.548828,    0.008533,      1073741824
016,         1,       1,    0.009820,   15.000000,30002.394531,    0.009293,        67108864
016,         1,       1,    0.009480,   15.000000,30000.859375,    0.009073,       134217728
016,         1,       1,    0.010640,   15.000000,30000.750000,    0.010007,      1073741824
017,  67108865,       2,  418.597717,   15.000000,29582.505859,    0.021523,        67108864
017, 134217729,       2,  830.138489,   15.000000,29170.480469,    0.024213,       134217728
017,1073741825,       2, 6676.226562,   15.000000,23324.841797,    0.022573,      1073741824
018, 201326593,       4, 1253.858887,   15.000000,28746.322266,    0.049187,        67108864
018, 402653185,       4, 2481.350098,   15.000000,27518.769531,    0.051117,       134217728
018,1073741825,       2, 6700.463867,   15.000000,23300.548828,    0.018520,      1073741824
019,         1,       1,    0.008987,   15.000000,30002.490234,    0.008460,        67108864
019, 268435457,       3, 1663.031616,   15.000000,28337.113281,    0.041180,       134217728
019, 553824237,       1, 3403.965088,   15.000000,26596.171875,    0.013497,      1073741824
020,1660027511,      25,10427.638672,   15.000000,19572.363281,    0.335990,        67108864
020,         1,       1,    0.013967,   15.000000,30000.628906,    0.013560,       134217728
020,         1,       1,    0.009187,   15.000000,30000.824219,    0.008753,      1073741824
021,         1,       1,    0.006637,   15.000000,30002.640625,    0.006237,        67108864
021, 268435457,       3, 1661.334839,   15.000000,28338.871094,    0.036650,       134217728
021,         1,       1,    0.009500,   15.000000,30000.599609,    0.008967,      1073741824
022, 134217729,       3,  827.733032,   15.000000,29172.699219,    0.063420,        67108864
