tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),array_size(B)
RUN 0
000, 335544321,       6, 1992.011475,   15.000000,28012.707031,    0.020057,        67108864
000, 402653185,       4, 2394.966553,   15.000000,27605.019531,    0.012737,       134217728
000,         1,       1,    0.000680,   15.000000,29999.970703,    0.000370,      1073741824
001, 335544321,       6, 1990.702759,   15.000000,28014.019531,    0.019400,        67108864
001, 268435457,       3, 1594.292725,   15.000000,28405.660156,    0.009107,       134217728
001,         1,       1,    0.001780,   15.000000,29999.939453,    0.000877,      1073741824
002, 335544321,       6, 1990.350464,   15.000000,28014.367188,    0.020000,        67108864
002, 268435457,       3, 1595.157227,   15.000000,28404.800781,    0.020540,       134217728
002,1073741825,       2, 7074.528809,   15.000000,22925.482422,    0.004167,      1073741824
003, 335544321,       6, 1990.476318,   15.000000,28014.236328,    0.020233,        67108864
003, 268435457,       3, 1688.390625,   15.000000,28311.546875,    0.007873,       134217728
003,         1,       1,    0.001237,   15.000000,29999.947266,    0.000763,      1073741824
004, 335544321,       6, 2006.680786,   15.000000,27998.033203,    0.026980,        67108864
004, 268435457,       3, 1594.222168,   15.000000,28405.740234,    0.008483,       134217728
004,         1,       1,    0.000667,   15.000000,29999.980469,    0.000370,      1073741824
005, 268435457,       5, 1622.141113,   15.000000,28382.515625,    0.016987,        67108864
005, 390843654,       3, 2405.937988,   15.000000,27593.984375,    0.010580,       134217728
005,1073741825,       2, 6391.230469,   15.000000,23608.785156,    0.004367,      1073741824
006, 335544321,       6, 1991.800537,   15.000000,28012.914062,    0.027327,        67108864
006, 268435457,       3, 1593.933350,   15.000000,28406.011719,    0.008807,       134217728
006, 629901556,       1, 3743.471680,   15.000000,26256.453125,    0.004880,      1073741824
007, 268435457,       5, 1592.059814,   15.000000,28412.599609,    0.016820,        67108864
007, 268435457,       3, 1593.772949,   15.000000,28406.183594,    0.008380,       134217728
007,         1,       1,    0.000820,   15.000000,29999.953125,    0.000390,      1073741824
008, 335544321,       6, 2058.881592,   15.000000,27945.832031,    0.034897,        67108864
008, 402653185,       4, 2447.790527,   15.000000,27552.193359,    0.010487,       134217728
008,         1,       1,    0.001120,   15.000000,29999.964844,    0.000743,      1073741824
009, 335544321,       6, 1992.655518,   15.000000,28012.062500,    0.020170,        67108864
009, 402653185,       4, 2440.678711,   15.000000,27559.298828,    0.025037,       134217728
009,         1,       1,    0.000663,   15.000000,29999.978516,    0.000437,      1073741824
010, 268435457,       5, 1595.174072,   15.000000,28409.484375,    0.019280,        67108864
010, 268435457,       3, 1598.681641,   15.000000,28401.275391,    0.017990,       134217728
