tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),array_size(B)
RUN 0
000, 318767105,      39, 1884.332397,   15.000000,28118.171875,    0.037777,         8388608
000, 603979777,      10, 3633.574463,   15.000000,26366.330078,    0.033753,        67108864
000, 268435457,       3, 1597.788818,   15.000000,28402.175781,    0.007457,       134217728
001, 318767105,      39, 1884.146729,   15.000000,28118.363281,    0.034327,         8388608
001, 671088641,      11, 4048.554199,   15.000000,25951.371094,    0.053243,        67108864
001, 134217729,       2,  797.433167,   15.000000,29202.494141,    0.003693,       134217728
002, 318767105,      39, 1883.669922,   15.000000,28118.835938,    0.036877,         8388608
002, 651963709,      10, 3870.942383,   15.000000,26128.943359,    0.035103,        67108864
002, 268435457,       3, 1621.590454,   15.000000,28378.367188,    0.018160,       134217728
003, 318767105,      39, 1884.370972,   15.000000,28118.136719,    0.044013,         8388608
003, 603979777,      10, 3587.664307,   15.000000,26412.220703,    0.032083,        67108864
003, 268435457,       3, 1915.366211,   15.000000,28084.601562,    0.006700,       134217728
004, 318767105,      39, 1889.203369,   15.000000,28113.302734,    0.054997,         8388608
004, 603979777,      10, 3587.404053,   15.000000,26412.494141,    0.032017,        67108864
004, 268435457,       3, 1596.726196,   15.000000,28403.242188,    0.008813,       134217728
005, 318767105,      39, 1883.880981,   15.000000,28118.628906,    0.034597,         8388608
005, 603979777,      10, 3589.385498,   15.000000,26410.515625,    0.052673,        67108864
005, 134217729,       2,  797.761475,   15.000000,29202.158203,    0.003643,       134217728
006, 318767105,      39, 1891.251587,   15.000000,28111.250000,    0.037453,         8388608
006, 603979777,      10, 3581.224609,   15.000000,26418.671875,    0.031343,        67108864
006, 268435457,       3, 1594.143921,   15.000000,28405.826172,    0.008857,       134217728
007, 318767105,      39, 1881.284424,   15.000000,28121.216797,    0.034523,         8388608
007, 671088641,      11, 4100.967773,   15.000000,25898.957031,    0.051703,        67108864
007, 134217729,       2,  798.587463,   15.000000,29201.322266,    0.003860,       134217728
008, 318767105,      39, 1917.682129,   15.000000,28084.830078,    0.061417,         8388608
008,         1,       1,    0.000760,   15.000000,29999.951172,    0.000483,        67108864
008, 402653185,       4, 2391.220215,   15.000000,27608.666016,    0.012490,       134217728
009, 310378497,      38, 1839.360840,   15.000000,28163.093750,    0.035170,         8388608
009,         1,       1,    0.000807,   15.000000,29999.966797,    0.000387,        67108864
009, 402653185,       4, 2390.769775,   15.000000,27609.121094,    0.011873,       134217728
010, 318767105,      39, 1892.139893,   15.000000,28110.378906,    0.035380,         8388608
010,         1,       1,    0.001027,   15.000000,29999.951172,    0.000677,        67108864
010, 402653185,       4, 2393.081543,   15.000000,27606.808594,    0.012300,       134217728
011, 310378497,      38, 1835.607910,   15.000000,28166.847656,    0.034390,         8388608
011,         1,       1,    0.000690,   15.000000,29999.964844,    0.000387,        67108864
011, 402653185,       4, 2393.117676,   15.000000,27606.769531,    0.027823,       134217728
012, 310378497,      38, 1838.206299,   15.000000,28164.250000,    0.041907,         8388608
012,         1,       1,    0.000663,   15.000000,29999.951172,    0.000357,        67108864
012, 402653185,       4, 2391.803955,   15.000000,27608.085938,    0.011307,       134217728
013, 316052370,      38, 1878.874878,   15.000000,28123.580078,    0.053350,         8388608
013,         1,       1,    0.000640,   15.000000,29999.943359,    0.000350,        67108864
013, 402653185,       4, 2397.047607,   15.000000,27602.841797,    0.012163,       134217728
014, 310378497,      38, 1833.658081,   15.000000,28168.794922,    0.036370,         8388608
014,         1,       1,    0.000710,   15.000000,29999.964844,    0.000390,        67108864
014, 426093405,       4, 2530.626465,   15.000000,27469.263672,    0.014103,       134217728
015, 318767105,      39, 1884.062988,   15.000000,28118.458984,    0.033653,         8388608
015,         1,       1,    0.000667,   15.000000,29999.957031,    0.000357,        67108864
015, 402653185,       4, 2392.741455,   15.000000,27607.148438,    0.012840,       134217728
-------------------------------------------------------------------------------------------------------

RUN 1
000, 310378497,      38, 1832.146606,   15.000000,28167.736328,    0.032567,         8388608
000, 201326593,       4, 1195.802612,   15.000000,28804.099609,    0.012433,        67108864
000, 536870913,       5, 3192.038086,   15.000000,26807.851562,    0.015417,       134217728
001, 310378497,      38, 1834.705322,   15.000000,28165.179688,    0.029903,         8388608
001, 254394305,       4, 1527.773193,   15.000000,28472.121094,    0.022987,        67108864
001, 671088641,       6, 3990.153809,   15.000000,26009.775391,    0.017393,       134217728
002, 310378497,      38, 1834.142334,   15.000000,28165.744141,    0.033103,         8388608
002, 268435457,       5, 1594.289062,   15.000000,28405.671875,    0.013927,        67108864
002, 536870913,       5, 3190.955811,   15.000000,26808.937500,    0.014557,       134217728
003, 310378497,      38, 1849.821045,   15.000000,28150.060547,    0.038433,         8388608
003, 201326593,       4, 1194.219849,   15.000000,28805.720703,    0.010967,        67108864
003, 671088641,       6, 3989.480957,   15.000000,26010.447266,    0.017533,       134217728
004, 310378497,      38, 1835.071411,   15.000000,28164.818359,    0.035427,         8388608
004, 201326593,       4, 1194.536011,   15.000000,28805.406250,    0.011107,        67108864
004, 671088641,       6, 3990.190430,   15.000000,26009.738281,    0.035457,       134217728
005, 310378497,      38, 1834.833862,   15.000000,28165.050781,    0.032043,         8388608
005, 201326593,       4, 1194.880859,   15.000000,28805.062500,    0.011393,        67108864
005, 617909779,       5, 3675.317871,   15.000000,26324.556641,    0.016867,       134217728
006, 310378497,      38, 1836.872559,   15.000000,28163.013672,    0.033400,         8388608
006, 201326593,       4, 1194.638550,   15.000000,28805.304688,    0.010953,        67108864
006, 671088641,       6, 3984.893555,   15.000000,26015.033203,    0.020317,       134217728
007, 310378497,      38, 1831.771484,   15.000000,28168.111328,    0.032000,         8388608
007, 201326593,       4, 1192.455566,   15.000000,28807.486328,    0.010697,        67108864
007, 671088641,       6, 3986.781006,   15.000000,26013.138672,    0.018647,       134217728
008, 325730019,      39, 1925.614502,   15.000000,28074.259766,    0.035300,         8388608
008, 402653185,       7, 2391.104248,   15.000000,27608.876953,    0.023503,        67108864
008,         1,       1,    0.000657,   15.000000,29999.929688,    0.000383,       134217728
009, 318767105,      39, 1883.984619,   15.000000,28115.890625,    0.034003,         8388608
009, 402653185,       7, 2391.970459,   15.000000,27608.003906,    0.021747,        67108864
009,         1,       1,    0.000907,   15.000000,29999.929688,    0.000477,       134217728
010, 327155713,      40, 1934.252563,   15.000000,28065.634766,    0.034790,         8388608
010, 402653185,       7, 2391.196777,   15.000000,27608.781250,    0.021830,        67108864
010,         1,       1,    0.000617,   15.000000,29999.925781,    0.000383,       134217728
011, 327155713,      40, 1931.416748,   15.000000,28068.470703,    0.033787,         8388608
011, 402653185,       7, 2393.003662,   15.000000,27606.968750,    0.026163,        67108864
011,         1,       1,    0.000873,   15.000000,29999.929688,    0.000440,       134217728
012, 327155713,      40, 1933.740601,   15.000000,28066.146484,    0.035623,         8388608
012, 402653185,       7, 2547.119629,   15.000000,27452.865234,    0.036510,        67108864
012,         1,       1,    0.000783,   15.000000,29999.925781,    0.000503,       134217728
013, 318767105,      39, 1884.439209,   15.000000,28115.435547,    0.034357,         8388608
013, 402653185,       7, 2392.850830,   15.000000,27607.115234,    0.021790,        67108864
013,         1,       1,    0.000710,   15.000000,29999.925781,    0.000343,       134217728
014, 327155713,      40, 1932.299927,   15.000000,28067.585938,    0.041400,         8388608
014, 469762049,       8, 2813.335205,   15.000000,27186.671875,    0.025883,        67108864
014,         1,       1,    0.001030,   15.000000,29999.929688,    0.000520,       134217728
015, 318767105,      39, 1884.362915,   15.000000,28115.509766,    0.030910,         8388608
015, 402653185,       7, 2390.535156,   15.000000,27609.449219,    0.021320,        67108864
015,         1,       1,    0.000677,   15.000000,29999.925781,    0.000370,       134217728
-------------------------------------------------------------------------------------------------------

RUN 2
000, 335544321,      41, 1982.402100,   15.000000,28017.470703,    0.035617,         8388608
000, 603979777,      10, 3588.648193,   15.000000,26411.259766,    0.031313,        67108864
000, 268435457,       3, 1596.953979,   15.000000,28403.005859,    0.008633,       134217728
001, 327155713,      40, 1934.847168,   15.000000,28064.994141,    0.031610,         8388608
001, 603979777,      10, 3587.363037,   15.000000,26412.554688,    0.028973,        67108864
001, 402653185,       4, 2393.203369,   15.000000,27606.769531,    0.009857,       134217728
002, 334997501,      40, 1981.262451,   15.000000,28018.582031,    0.035347,         8388608
002, 671088641,      11, 3987.135986,   15.000000,26012.794922,    0.034980,        67108864
002, 268435457,       3, 1593.585083,   15.000000,28406.371094,    0.007477,       134217728
003, 327155713,      40, 1933.782593,   15.000000,28066.060547,    0.031250,         8388608
003, 603979777,      10, 3588.845703,   15.000000,26411.070312,    0.031623,        67108864
003, 402653185,       4, 2395.271729,   15.000000,27604.699219,    0.011983,       134217728
004, 335544321,      41, 1983.647583,   15.000000,28016.238281,    0.037843,         8388608
004, 671088641,      11, 3987.233643,   15.000000,26012.695312,    0.039247,        67108864
004, 268435457,       3, 1596.256714,   15.000000,28403.699219,    0.006963,       134217728
005, 327155713,      40, 1934.302246,   15.000000,28065.539062,    0.032913,         8388608
005, 603979777,      10, 3589.483398,   15.000000,26410.431641,    0.030150,        67108864
005, 268435457,       3, 1595.362183,   15.000000,28404.597656,    0.006673,       134217728
006, 327155713,      40, 1933.232422,   15.000000,28066.603516,    0.036310,         8388608
006, 671088641,      11, 3984.276367,   15.000000,26015.652344,    0.037930,        67108864
006, 268435457,       3, 1595.832153,   15.000000,28404.126953,    0.008400,       134217728
007, 335544321,      41, 1985.270874,   15.000000,28014.617188,    0.033867,         8388608
007, 621098873,      10, 3686.824951,   15.000000,26313.095703,    0.036110,        67108864
007, 268435457,       3, 1594.862671,   15.000000,28405.097656,    0.007110,       134217728
008, 301989889,      37, 1788.894897,   15.000000,28210.974609,    0.033537,         8388608
008,         1,       1,    0.000830,   15.000000,29999.933594,    0.000543,        67108864
008, 268435457,       3, 1598.355591,   15.000000,28401.558594,    0.007417,       134217728
009, 301989889,      37, 1785.458130,   15.000000,28214.408203,    0.031883,         8388608
009,         1,       1,    0.000963,   15.000000,29999.929688,    0.000543,        67108864
009, 402653185,       4, 2393.577393,   15.000000,27606.357422,    0.010877,       134217728
010, 310378497,      38, 1832.769043,   15.000000,28167.115234,    0.033367,         8388608
010,         1,       1,    0.000807,   15.000000,29999.929688,    0.000513,        67108864
010, 402653185,       4, 2395.604980,   15.000000,27604.333984,    0.011693,       134217728
011, 301989889,      37, 1785.239868,   15.000000,28214.615234,    0.031493,         8388608
011,         1,       1,    0.000940,   15.000000,29999.929688,    0.000530,        67108864
011, 268435457,       3, 1596.705444,   15.000000,28403.199219,    0.008580,       134217728
012, 301989889,      37, 1784.884399,   15.000000,28214.976562,    0.033177,         8388608
012,         1,       1,    0.000797,   15.000000,29999.925781,    0.000457,        67108864
012, 339488705,       3, 2065.082764,   15.000000,27934.789062,    0.024197,       134217728
013, 301989889,      37, 1785.055420,   15.000000,28214.798828,    0.031887,         8388608
013,         1,       1,    0.000697,   15.000000,29999.929688,    0.000370,        67108864
013, 402653185,       4, 2396.619141,   15.000000,27603.324219,    0.010770,       134217728
014, 301989889,      37, 1785.124634,   15.000000,28214.744141,    0.042290,         8388608
014,         1,       1,    0.000763,   15.000000,29999.929688,    0.000563,        67108864
014, 268435457,       3, 1596.122192,   15.000000,28403.781250,    0.007757,       134217728
015, 301989889,      37, 1783.331177,   15.000000,28216.537109,    0.028223,         8388608
015,         1,       1,    0.000987,   15.000000,29999.929688,    0.000643,        67108864
015, 268435457,       3, 1596.500000,   15.000000,28403.416016,    0.007580,       134217728
-------------------------------------------------------------------------------------------------------

