tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),array_size(B),lat_lock_hold(ms),lat_wait_acq(ms),lat_wait_rel(ms)
RUN 0
000,  42057344,  657146, 1703.797974,   20.000000,38259.707031, 1322.871094,          262144,    0.000000,    0.000000,    0.000000
000,  48652416,  760194, 1899.871094,   20.000000,38058.496094, 1470.445068,        16777216,    0.000000,    0.000000,    0.000000
000,  56245120,  878830, 2117.620850,   20.000000,37836.335938, 1647.316162,       134217728,    0.000000,    0.000000,    0.000000
001,  52593856,  821779, 1951.722900,   20.000000,38005.550781, 1512.568115,          262144,    0.000000,    0.000000,    0.000000
001,  57033280,  891145, 2104.703125,   20.000000,37848.937500, 1630.169067,        16777216,    0.000000,    0.000000,    0.000000
001,  50701760,  792215, 1995.374268,   20.000000,37961.550781, 1553.652954,       134217728,    0.000000,    0.000000,    0.000000
002,  47697024,  745266, 1838.047363,   20.000000,38122.562500, 1430.816528,          262144,    0.000000,    0.000000,    0.000000
002,  56052416,  875819, 2115.606201,   20.000000,37838.046875, 1639.228271,        16777216,    0.000000,    0.000000,    0.000000
002,  53382976,  834109, 2083.157959,   20.000000,37871.910156, 1619.326172,       134217728,    0.000000,    0.000000,    0.000000
003,  49942848,  780357, 1943.303833,   20.000000,38015.218750, 1512.371094,          262144,    0.000000,    0.000000,    0.000000
003,  54489728,  851402, 2039.470947,   20.000000,37915.984375, 1579.753174,        16777216,    0.000000,    0.000000,    0.000000
003,  61043392,  953803, 2317.219482,   20.000000,37632.363281, 1799.076538,       134217728,    0.000000,    0.000000,    0.000000
004,  54318848,  848732, 2064.337402,   20.000000,37891.207031, 1606.501465,          262144,    0.000000,    0.000000,    0.000000
004,  71415168, 1115862, 2612.413818,   20.000000,37330.167969, 2021.204468,        16777216,    0.000000,    0.000000,    0.000000
004,  62639360,  978740, 2379.921387,   20.000000,37568.316406, 1845.160278,       134217728,    0.000000,    0.000000,    0.000000
005,  44009088,  687642, 1702.891235,   20.000000,38260.687500, 1322.782593,          262144,    0.000000,    0.000000,    0.000000
005,  54009792,  843903, 2080.004150,   20.000000,37874.695312, 1615.147217,        16777216,    0.000000,    0.000000,    0.000000
005,  51000064,  796876, 2030.102661,   20.000000,37925.812500, 1576.527832,       134217728,    0.000000,    0.000000,    0.000000
006,  51306880,  801670, 1932.072266,   20.000000,38026.425781, 1501.591431,          262144,    0.000000,    0.000000,    0.000000
006,  62927360,  983240, 2315.938721,   20.000000,37633.539062, 1794.460327,        16777216,    0.000000,    0.000000,    0.000000
006,  73409344, 1147021, 2687.423096,   20.000000,37253.910156, 2083.307129,       134217728,    0.000000,    0.000000,    0.000000
007,  53388352,  834193, 2058.251465,   20.000000,37897.781250, 1602.574341,          262144,    0.000000,    0.000000,    0.000000
007,  49994048,  781157, 1881.167969,   20.000000,38077.523438, 1459.841309,        16777216,    0.000000,    0.000000,    0.000000
007,  45977024,  718391, 1822.399170,   20.000000,38138.203125, 1413.712280,       134217728,    0.000000,    0.000000,    0.000000
008,  40901632,  639088, 1663.876221,   20.000000,38300.320312, 1294.948486,          262144,    0.000000,    0.000000,    0.000000
008,  42639168,  666237, 1730.582397,   20.000000,38231.410156, 1340.488037,        16777216,    0.000000,    0.000000,    0.000000
008,  49686656,  776354, 2019.175415,   20.000000,37937.097656, 1571.892700,       134217728,    0.000000,    0.000000,    0.000000
009,  45072768,  704262, 1761.748657,   20.000000,38200.128906, 1369.377441,          262144,    0.000000,    0.000000,    0.000000
009,  63217920,  987780, 2311.289551,   20.000000,37637.476562, 1786.549927,        16777216,    0.000000,    0.000000,    0.000000
009,  48307520,  754805, 1916.918457,   20.000000,38041.398438, 1490.902954,       134217728,    0.000000,    0.000000,    0.000000
010,  47690880,  745170, 1812.699951,   20.000000,38148.007812, 1409.065552,          262144,    0.000000,    0.000000,    0.000000
010,  62864384,  982256, 2284.149658,   20.000000,37666.179688, 1769.313354,        16777216,    0.000000,    0.000000,    0.000000
010,  61513216,  961144, 2225.900635,   20.000000,37725.589844, 1725.126099,       134217728,    0.000000,    0.000000,    0.000000
011,  54250560,  847665, 1980.345825,   20.000000,37976.898438, 1537.745972,          262144,    0.000000,    0.000000,    0.000000
011,  57459264,  897801, 2148.269287,   20.000000,37804.347656, 1663.764282,        16777216,    0.000000,    0.000000,    0.000000
011,  51684160,  807565, 2041.312622,   20.000000,37914.171875, 1584.985718,       134217728,    0.000000,    0.000000,    0.000000
012,  47157760,  736840, 1858.396118,   20.000000,38101.421875, 1445.781494,          262144,    0.000000,    0.000000,    0.000000
012,  70697216, 1104644, 2531.058350,   20.000000,37413.894531, 1958.190552,        16777216,    0.000000,    0.000000,    0.000000
012,  48167488,  752617, 1882.856934,   20.000000,38076.894531, 1465.641968,       134217728,    0.000000,    0.000000,    0.000000
013,  45741056,  714704, 1764.424683,   20.000000,38197.488281, 1371.240112,          262144,    0.000000,    0.000000,    0.000000
013,  50834368,  794287, 1986.396606,   20.000000,37970.226562, 1540.926025,        16777216,    0.000000,    0.000000,    0.000000
013,  48103424,  751616, 1878.178833,   20.000000,38081.289062, 1460.842407,       134217728,    0.000000,    0.000000,    0.000000
014,  50747840,  792935, 1985.365356,   20.000000,37971.027344, 1541.814331,          262144,    0.000000,    0.000000,    0.000000
014,  57562368,  899412, 2153.000977,   20.000000,37799.660156, 1667.857056,        16777216,    0.000000,    0.000000,    0.000000
014,  61599552,  962493, 2295.561035,   20.000000,37654.859375, 1782.898804,       134217728,    0.000000,    0.000000,    0.000000
015,  54458688,  850917, 2069.420654,   20.000000,37885.824219, 1609.424561,          262144,    0.000000,    0.000000,    0.000000
015,  53914816,  842419, 2052.993652,   20.000000,37902.675781, 1592.872437,        16777216,    0.000000,    0.000000,    0.000000
015,  52649216,  822644, 2027.816528,   20.000000,37927.687500, 1567.769409,       134217728,    0.000000,    0.000000,    0.000000
016,  77358208, 1208722, 2744.193604,   20.000000,37195.210938, 2121.202637,          262144,    0.000000,    0.000000,    0.000000
016,  69398144, 1084346, 2502.500732,   20.000000,37443.195312, 1943.603394,        16777216,    0.000000,    0.000000,    0.000000
016,  55398272,  865598, 2103.506348,   20.000000,37850.835938, 1635.449585,       134217728,    0.000000,    0.000000,    0.000000
017,  73519808, 1148747, 2601.913330,   20.000000,37341.390625, 2017.347656,          262144,    0.000000,    0.000000,    0.000000
017,  61673664,  963651, 2252.178223,   20.000000,37699.125000, 1752.080688,        16777216,    0.000000,    0.000000,    0.000000
017,  49597056,  774954, 1932.413818,   20.000000,38025.867188, 1506.074829,       134217728,    0.000000,    0.000000,    0.000000
018,  56087104,  876361, 2127.051514,   20.000000,37826.714844, 1648.431641,          262144,    0.000000,    0.000000,    0.000000
018,  57297344,  895271, 2118.170166,   20.000000,37835.636719, 1645.999268,        16777216,    0.000000,    0.000000,    0.000000
018,  62297472,  973398, 2343.339844,   20.000000,37605.160156, 1815.474731,       134217728,    0.000000,    0.000000,    0.000000
019,  57097088,  892142, 2153.718750,   20.000000,37799.453125, 1669.496338,          262144,    0.000000,    0.000000,    0.000000
019,  54495296,  851489, 2036.489624,   20.000000,37919.285156, 1580.804077,        16777216,    0.000000,    0.000000,    0.000000
019,  59225856,  925404, 2160.060791,   20.000000,37793.210938, 1677.916626,       134217728,    0.000000,    0.000000,    0.000000
020,  67659072, 1057173, 2485.227051,   20.000000,37461.000000, 1926.721924,          262144,    0.000000,    0.000000,    0.000000
020,  53730496,  839539, 2009.243530,   20.000000,37947.144531, 1557.481812,        16777216,    0.000000,    0.000000,    0.000000
020,  58611328,  915802, 2136.954346,   20.000000,37816.742188, 1660.433594,       134217728,    0.000000,    0.000000,    0.000000
021,  69961856, 1093154, 2526.938477,   20.000000,37418.285156, 1962.258179,          262144,    0.000000,    0.000000,    0.000000
021,  57238016,  894344, 2076.573486,   20.000000,37877.652344, 1607.184204,        16777216,    0.000000,    0.000000,    0.000000
021,  59259520,  925930, 2211.732910,   20.000000,37739.984375, 1717.264648,       134217728,    0.000000,    0.000000,    0.000000
022,  52548800,  821075, 1934.206543,   20.000000,38024.000000, 1499.223755,          262144,    0.000000,    0.000000,    0.000000
022,  63633088,  994267, 2299.474365,   20.000000,37650.511719, 1780.572632,        16777216,    0.000000,    0.000000,    0.000000
022,  64034624, 1000541, 2370.703369,   20.000000,37576.871094, 1833.411621,       134217728,    0.000000,    0.000000,    0.000000
023,  61731456,  964554, 2329.924805,   20.000000,37618.968750, 1802.203247,          262144,    0.000000,    0.000000,    0.000000
023,  57248768,  894512, 2047.276978,   20.000000,37908.136719, 1583.499390,        16777216,    0.000000,    0.000000,    0.000000
023,  53642688,  838167, 1972.424072,   20.000000,37984.484375, 1529.085571,       134217728,    0.000000,    0.000000,    0.000000
024,  63893568,  998337, 2367.469238,   20.000000,37580.410156, 1831.849976,          262144,    0.000000,    0.000000,    0.000000
024,  51024640,  797260, 1917.994507,   20.000000,38040.218750, 1483.833862,        16777216,    0.000000,    0.000000,    0.000000
024,  55142400,  861600, 2112.013428,   20.000000,37842.039062, 1640.406616,       134217728,    0.000000,    0.000000,    0.000000
025,  57484032,  898188, 2166.420166,   20.000000,37786.230469, 1677.611572,          262144,    0.000000,    0.000000,    0.000000
025,  55044928,  860077, 1991.973511,   20.000000,37963.914062, 1539.734497,        16777216,    0.000000,    0.000000,    0.000000
025,  54440832,  850638, 2022.743286,   20.000000,37933.332031, 1571.313843,       134217728,    0.000000,    0.000000,    0.000000
026,  51155072,  799298, 1996.110718,   20.000000,37960.402344, 1546.531372,          262144,    0.000000,    0.000000,    0.000000
026,  56149504,  877336, 2082.734619,   20.000000,37871.527344, 1614.669678,        16777216,    0.000000,    0.000000,    0.000000
026,  46403136,  725049, 1847.911011,   20.000000,38111.796875, 1431.572754,       134217728,    0.000000,    0.000000,    0.000000
027,  46510208,  726722, 1849.296875,   20.000000,38110.792969, 1434.158447,          262144,    0.000000,    0.000000,    0.000000
027,  59670016,  932344, 2179.346924,   20.000000,37773.359375, 1692.482178,        16777216,    0.000000,    0.000000,    0.000000
027,  44172288,  690192, 1747.778076,   20.000000,38214.062500, 1358.180420,       134217728,    0.000000,    0.000000,    0.000000
028,  66548800, 1039825, 2418.883789,   20.000000,37528.035156, 1873.596191,          262144,    0.000000,    0.000000,    0.000000
028,  57325504,  895711, 2063.274902,   20.000000,37891.671875, 1596.756836,        16777216,    0.000000,    0.000000,    0.000000
028,  62612864,  978326, 2367.107666,   20.000000,37581.972656, 1840.298462,       134217728,    0.000000,    0.000000,    0.000000
029,  64152000, 1002375, 2345.072510,   20.000000,37604.250000, 1817.765137,          262144,    0.000000,    0.000000,    0.000000
029,  51944768,  811637, 1908.512817,   20.000000,38050.261719, 1479.154419,        16777216,    0.000000,    0.000000,    0.000000
029,  59107136,  923549, 2205.462646,   20.000000,37746.757812, 1716.108398,       134217728,    0.000000,    0.000000,    0.000000
030,  74666048, 1166657, 2685.145264,   20.000000,37256.464844, 2086.113037,          262144,    0.000000,    0.000000,    0.000000
030,  54592832,  853013, 2008.515015,   20.000000,37947.972656, 1557.193115,        16777216,    0.000000,    0.000000,    0.000000
030,  55299392,  864053, 2108.261475,   20.000000,37845.464844, 1634.735596,       134217728,    0.000000,    0.000000,    0.000000
031,  68435392, 1069303, 2541.012451,   20.000000,37404.144531, 1976.794922,          262144,    0.000000,    0.000000,    0.000000
031,  53630464,  837976, 2022.947876,   20.000000,37932.675781, 1565.985229,        16777216,    0.000000,    0.000000,    0.000000
031,  52551872,  821123, 1989.320068,   20.000000,37967.414062, 1545.073608,       134217728,    0.000000,    0.000000,    0.000000
-------------------------------------------------------------------------------------------------------

RUN 1
000,  47897152,  748393, 1860.461914,   20.000000,38098.976562, 1443.731567,          262144,    0.000000,    0.000000,    0.000000
000,  43724224,  683191, 1730.702026,   20.000000,38231.605469, 1340.441650,        16777216,    0.000000,    0.000000,    0.000000
000,  42397824,  662466, 1754.212891,   20.000000,38208.144531, 1364.324219,       134217728,    0.000000,    0.000000,    0.000000
001,  53100160,  829690, 2027.862793,   20.000000,37928.640625, 1576.251831,          262144,    0.000000,    0.000000,    0.000000
001,  62196352,  971818, 2265.935303,   20.000000,37684.246094, 1755.434082,        16777216,    0.000000,    0.000000,    0.000000
001,  41657152,  650893, 1668.268188,   20.000000,38295.390625, 1296.722168,       134217728,    0.000000,    0.000000,    0.000000
002,  75276672, 1176198, 2702.642822,   20.000000,37238.628906, 2099.583008,          262144,    0.000000,    0.000000,    0.000000
002,  54684096,  854439, 2087.221436,   20.000000,37867.585938, 1622.785400,        16777216,    0.000000,    0.000000,    0.000000
002,  49910208,  779847, 1965.615356,   20.000000,37991.914062, 1529.636230,       134217728,    0.000000,    0.000000,    0.000000
003,  56652736,  885199, 2231.196045,   20.000000,37720.328125, 1734.624268,          262144,    0.000000,    0.000000,    0.000000
003,  64469824, 1007341, 2414.863037,   20.000000,37531.902344, 1866.975098,        16777216,    0.000000,    0.000000,    0.000000
003,  63627520,  994180, 2408.364258,   20.000000,37539.746094, 1870.784180,       134217728,    0.000000,    0.000000,    0.000000
004,  66533888, 1039592, 2415.950928,   20.000000,37531.128906, 1874.928223,          262144,    0.000000,    0.000000,    0.000000
004,  57905408,  904772, 2200.782471,   20.000000,37751.230469, 1708.030518,        16777216,    0.000000,    0.000000,    0.000000
004,  61526144,  961346, 2381.785889,   20.000000,37567.074219, 1855.001343,       134217728,    0.000000,    0.000000,    0.000000
005,  59440192,  928753, 2226.290039,   20.000000,37725.523438, 1727.368896,          262144,    0.000000,    0.000000,    0.000000
005,  62929024,  983266, 2336.078125,   20.000000,37613.042969, 1812.328125,        16777216,    0.000000,    0.000000,    0.000000
005,  53042752,  828793, 2002.044556,   20.000000,37954.660156, 1552.978149,       134217728,    0.000000,    0.000000,    0.000000
006,  60168128,  940127, 2256.973877,   20.000000,37693.363281, 1749.031982,          262144,    0.000000,    0.000000,    0.000000
006,  71298432, 1114038, 2545.063965,   20.000000,37399.164062, 1968.200317,        16777216,    0.000000,    0.000000,    0.000000
006,  49433280,  772395, 1962.997803,   20.000000,37994.453125, 1524.972778,       134217728,    0.000000,    0.000000,    0.000000
007,  48196352,  753068, 1878.110962,   20.000000,38081.042969, 1457.552368,          262144,    0.000000,    0.000000,    0.000000
007,  56097536,  876524, 2110.137207,   20.000000,37843.941406, 1639.752808,        16777216,    0.000000,    0.000000,    0.000000
007,  47082112,  735658, 1883.811157,   20.000000,38075.191406, 1463.745972,       134217728,    0.000000,    0.000000,    0.000000
008,  44471680,  694870, 1764.875122,   20.000000,38196.246094, 1367.198730,          262144,    0.000000,    0.000000,    0.000000
008,  43128576,  673884, 1695.197144,   20.000000,38268.085938, 1312.484131,        16777216,    0.000000,    0.000000,    0.000000
008,  47595520,  743680, 1928.332397,   20.000000,38029.832031, 1498.803589,       134217728,    0.000000,    0.000000,    0.000000
009,  54482560,  851290, 2104.952637,   20.000000,37849.386719, 1633.104370,          262144,    0.000000,    0.000000,    0.000000
009,  62974016,  983969, 2308.973877,   20.000000,37640.554688, 1790.973633,        16777216,    0.000000,    0.000000,    0.000000
009,  45884544,  716946, 1803.290894,   20.000000,38157.804688, 1398.373413,       134217728,    0.000000,    0.000000,    0.000000
010,  70562624, 1102541, 2569.079102,   20.000000,37374.933594, 1994.921021,          262144,    0.000000,    0.000000,    0.000000
010,  55420736,  865949, 2076.965088,   20.000000,37877.382812, 1608.702271,        16777216,    0.000000,    0.000000,    0.000000
