tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_ac(ms),wait_rel(ms),array_size(B)
RUN 0
000,   6283579, 6283579,  201.640976,      30.000,58658.125000,  933.919128,               0
001,   6283651, 6283651,  201.695908,      30.000,58793.152344,  798.984741,               0
002,   6283658, 6283658,  201.922806,      30.000,58810.824219,  781.360596,               0
003,   6283660, 6283660,  201.144119,      30.000,58790.187500,  803.596375,               0
004,   6283659, 6283659,  201.660217,      30.000,58759.667969,  832.689636,               0
005,   6283659, 6283659,  201.294373,      30.000,58958.097656,  635.908569,               0
006,   6283656, 6283656,  201.395889,      30.000,58956.292969,  637.656067,               0
007,   6283659, 6283659,  202.001938,      30.000,58960.410156,  632.732239,               0
008,   6283624, 6283624,  201.885071,      30.000,58944.710938,  646.984497,               0
009,   6283658, 6283658,  201.334702,      30.000,58953.121094,  639.271362,               0
010,   6283663, 6283663,  201.297760,      30.000,58949.234375,  643.495911,               0
011,   6283635, 6283635,  201.677200,      30.000,58954.914062,  637.088989,               0
012,   6283651, 6283651,  201.907883,      30.000,58942.519531,  648.973999,               0
013,   6283648, 6283648,  201.694901,      30.000,58967.121094,  625.143799,               0
014,   6283659, 6283659,  202.049927,      30.000,58950.750000,  640.524292,               0
015,   6283655, 6283655,  201.738144,      30.000,58964.765625,  627.039490,               0
-------------------------------------------------------------------------------------------------------

RUN 1
000,   6242320, 6242320,  199.655319,      30.000,58669.136719,  921.804810,               0
001,   6242337, 6242337,  200.277222,      30.000,58780.855469,  809.101074,               0
002,   6242341, 6242341,  200.403198,      30.000,58797.929688,  792.156250,               0
003,   6242343, 6242343,  200.236160,      30.000,58769.433594,  821.405579,               0
004,   6242345, 6242345,  200.603683,      30.000,58762.609375,  827.300476,               0
005,   6242340, 6242340,  200.975555,      30.000,58960.875000,  629.704102,               0
006,   6242336, 6242336,  200.565659,      30.000,58950.000000,  640.941040,               0
007,   6242350, 6242350,  199.847305,      30.000,58965.968750,  626.296814,               0
008,   6242334, 6242334,  200.342697,      30.000,58934.019531,  655.941589,               0
009,   6242343, 6242343,  199.964569,      30.000,58960.042969,  629.986084,               0
010,   6242341, 6242341,  200.649887,      30.000,58949.589844,  640.056458,               0
011,   6242315, 6242315,  199.759171,      30.000,58957.593750,  632.939453,               0
012,   6242339, 6242339,  200.780121,      30.000,58950.191406,  638.645691,               0
013,   6242337, 6242337,  200.360458,      30.000,58969.457031,  620.540283,               0
014,   6242344, 6242344,  200.560913,      30.000,58957.531250,  631.618347,               0
015,   6242269, 6242269,  200.644363,      30.000,58964.105469,  625.188477,               0
-------------------------------------------------------------------------------------------------------

RUN 2
000,   6255868, 6255868,  200.556000,      30.000,58655.640625,  933.639771,               0
001,   6255891, 6255891,  200.382599,      30.000,58789.828125,  799.693115,               0
002,   6255885, 6255885,  201.237091,      30.000,58801.382812,  787.363708,               0
003,   6255880, 6255880,  200.358398,      30.000,58779.375000,  810.834412,               0
004,   6255886, 6255886,  200.601562,      30.000,58756.339844,  833.087219,               0
005,   6255888, 6255888,  200.304153,      30.000,58964.691406,  626.360229,               0
006,   6255887, 6255887,  200.806061,      30.000,58948.500000,  641.603699,               0
007,   6255891, 6255891,  200.621780,      30.000,58957.851562,  632.680176,               0
008,   6255910, 6255910,  201.153732,      30.000,58936.074219,  652.453552,               0
009,   6255884, 6255884,  200.476212,      30.000,58948.035156,  641.098267,               0
010,   6255891, 6255891,  200.913818,      30.000,58954.199219,  634.325256,               0
011,   6255883, 6255883,  200.994980,      30.000,58950.320312,  638.108643,               0
012,   6255866, 6255866,  201.119141,      30.000,58946.128906,  642.293701,               0
013,   6255869, 6255869,  200.516693,      30.000,58965.539062,  623.863953,               0
014,   6255885, 6255885,  200.979202,      30.000,58954.101562,  634.158508,               0
015,   6255887, 6255887,  201.571335,      30.000,58962.054688,  625.867737,               0
-------------------------------------------------------------------------------------------------------

RUN 3
000,   6325281, 6325281,  202.878448,      30.000,58628.875000,  955.684570,               0
001,   6325293, 6325293,  202.835434,      30.000,58767.085938,  817.658997,               0
002,   6325294, 6325294,  202.699951,      30.000,58793.894531,  791.370911,               0
003,   6325286, 6325286,  202.683762,      30.000,58760.695312,  824.909912,               0
004,   6325293, 6325293,  203.770935,      30.000,58740.593750,  843.237732,               0
005,   6325296, 6325296,  202.770142,      30.000,58947.476562,  638.805908,               0
006,   6325293, 6325293,  202.423767,      30.000,58953.285156,  633.397766,               0
007,   6325293, 6325293,  203.442703,      30.000,58945.203125,  640.314636,               0
008,   6325298, 6325298,  203.434341,      30.000,58928.707031,  655.085144,               0
009,   6325271, 6325271,  202.319717,      30.000,58943.031250,  642.335938,               0
010,   6325280, 6325280,  203.199448,      30.000,58932.894531,  651.279602,               0
011,   6325293, 6325293,  202.124420,      30.000,58942.703125,  642.924194,               0
012,   6325284, 6325284,  203.168167,      30.000,58938.402344,  645.377075,               0
013,   6325262, 6325262,  202.618225,      30.000,58956.781250,  628.287659,               0
014,   6325302, 6325302,  202.662827,      30.000,58941.882812,  643.114319,               0
015,   6325289, 6325289,  203.240097,      30.000,58952.164062,  631.564270,               0
-------------------------------------------------------------------------------------------------------

RUN 4
000,   6264344, 6264344,  200.780289,      30.000,58643.312500,  945.316895,               0
001,   6264358, 6264358,  201.327393,      30.000,58787.949219,  799.979431,               0
002,   6264354, 6264354,  201.296265,      30.000,58822.042969,  766.532410,               0
003,   6264357, 6264357,  200.978607,      30.000,58764.398438,  824.836182,               0
004,   6264364, 6264364,  201.480133,      30.000,58750.695312,  837.518677,               0
005,   6264357, 6264357,  201.309387,      30.000,58956.089844,  633.386536,               0
006,   6264355, 6264355,  200.997833,      30.000,58954.882812,  635.071289,               0
007,   6264361, 6264361,  201.017990,      30.000,58963.074219,  626.811951,               0
008,   6264353, 6264353,  201.004272,      30.000,58942.109375,  646.458374,               0
009,   6264356, 6264356,  201.058746,      30.000,58946.511719,  641.613953,               0
010,   6264353, 6264353,  201.639633,      30.000,58945.734375,  641.787170,               0
011,   6264344, 6264344,  200.092239,      30.000,58958.371094,  631.210327,               0
012,   6264357, 6264357,  201.187042,      30.000,58949.097656,  638.987549,               0
013,   6264322, 6264322,  201.163193,      30.000,58963.531250,  624.700989,               0
014,   6264360, 6264360,  200.921631,      30.000,58949.578125,  638.897095,               0
015,   6264360, 6264360,  201.291840,      30.000,58962.289062,  625.632812,               0
-------------------------------------------------------------------------------------------------------

