tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),array_size(B)
RUN 0
000, 332195114,   10138, 2647.758545,   20.000000,37393.093750,    2.519030,          262144
000, 104595457,     400,  839.192932,   20.000000,39160.652344,    0.140577,         2097152
000,         1,       1,    0.004803,   20.000000,39999.933594,    0.000313,        16777216
000,  16777217,       3,  134.595413,   20.000000,39865.230469,    0.007650,        67108864
001,  96927745,    2959,  774.082642,   20.000000,39267.085938,    0.760820,          262144
001,  81526785,     312,  650.690613,   20.000000,39349.113281,    0.096643,         2097152
001,         1,       1,    0.000553,   20.000000,39999.863281,    0.000313,        16777216
001, 301989889,      37, 2418.139160,   20.000000,37581.769531,    0.117010,        67108864
002,  91619329,    2797,  730.363281,   20.000000,39310.777344,    0.867017,          262144
002,         1,       1,    0.000670,   20.000000,39999.828125,    0.000490,         2097152
002,         1,       1,    0.000533,   20.000000,39999.929688,    0.000323,        16777216
002,  25165825,       4,  201.434372,   20.000000,39798.488281,    0.010573,        67108864
003, 396886017,   12113, 3162.308105,   20.000000,36878.109375,    3.341300,          262144
003,         1,       1,    0.000503,   20.000000,39999.859375,    0.000297,         2097152
003,2249035710,    1073,17991.425781,   20.000000,22008.294922,    1.249060,        16777216
003,  41943041,       6,  334.953613,   20.000000,39664.980469,    0.018170,        67108864
004, 366903297,   11198, 2925.921631,   20.000000,37114.714844,    3.367600,          262144
004, 762173958,    2908, 6099.035156,   20.000000,33900.582031,    0.970377,         2097152
004,         1,       1,    0.000860,   20.000000,39999.933594,    0.000447,        16777216
004,         1,       1,    0.000553,   20.000000,39999.917969,    0.000310,        67108864
005,         1,       1,    0.001150,   20.000000,40041.281250,    0.000740,          262144
005,         1,       1,    0.000890,   20.000000,39999.832031,    0.000517,         2097152
005,         1,       1,    0.000880,   20.000000,39999.929688,    0.000490,        16777216
005,1560281089,     187,12552.375977,   20.000000,27447.462891,    0.629100,        67108864
006, 883359745,   26959, 7037.039551,   20.000000,33002.511719,    8.135520,          262144
006,         1,       1,    0.000493,   20.000000,39999.851562,    0.000323,         2097152
006,         1,       1,    0.005533,   20.000000,39999.839844,    0.000923,        16777216
006,  35826358,       5,  286.873322,   20.000000,39712.960938,    0.016310,        67108864
007, 533430273,   16280, 4252.413086,   20.000000,35787.929688,    3.768240,          262144
007,1575485441,    6011,12592.481445,   20.000000,27406.990234,    1.934060,         2097152
007,         1,       1,    0.000610,   20.000000,39999.921875,    0.000310,        16777216
007,  50331649,       7,  403.145447,   20.000000,39596.773438,    0.020227,        67108864
008, 309428225,    9444, 2465.899658,   20.000000,37574.937500,    2.389230,          262144
008, 122159105,     467,  977.514465,   20.000000,39022.324219,    0.158550,         2097152
008,         1,       1,    0.000943,   20.000000,39999.929688,    0.000520,        16777216
008,  25165825,       4,  202.125763,   20.000000,39797.789062,    0.010613,        67108864
009,  41582593,    1270,  331.885040,   20.000000,39709.394531,    0.316977,          262144
009,  45350913,     174,  364.951416,   20.000000,39634.859375,    0.055490,         2097152
009,         1,       1,    0.001403,   20.000000,39999.863281,    0.000533,        16777216
009, 318767105,      39, 2554.062012,   20.000000,37445.839844,    0.123693,        67108864
010, 100335617,    3063,  799.292969,   20.000000,39241.902344,    0.945250,          262144
010,         1,       1,    0.001390,   20.000000,39999.816406,    0.001107,         2097152
010,         1,       1,    0.000810,   20.000000,39999.894531,    0.000467,        16777216
010,  16777217,       3,  134.477020,   20.000000,39865.421875,    0.007670,        67108864
011, 392790017,   11988, 3130.997803,   20.000000,36909.761719,    3.379247,          262144
011,         1,       1,    0.009360,   20.000000,39999.816406,    0.001063,         2097152
011,2745171969,    1310,22006.818359,   20.000000,17992.896484,    1.554353,        16777216
011,  33554433,       5,  268.425934,   20.000000,39731.511719,    0.013857,        67108864
012, 348487681,   10636, 2782.051758,   20.000000,37258.804688,    3.275197,          262144
012, 821559297,    3135, 6594.746094,   20.000000,33404.859375,    1.045520,         2097152
012,         1,       1,    0.000793,   20.000000,39999.933594,    0.000337,        16777216
012,         1,       1,    0.001037,   20.000000,39999.914062,    0.000510,        67108864
013,         1,       1,    0.000793,   20.000000,40041.269531,    0.000353,          262144
013,         1,       1,    0.000580,   20.000000,39999.832031,    0.000450,         2097152
013,         1,       1,    0.000557,   20.000000,39999.933594,    0.000333,        16777216
013,1543503873,     185,12509.167969,   20.000000,27490.697266,    0.610880,        67108864
014,  56918017,    1738,  458.237335,   20.000000,39582.578125,    0.557337,          262144
014,         1,       1,    0.000977,   20.000000,39999.847656,    0.000630,         2097152
014,         1,       1,    0.000647,   20.000000,39999.843750,    0.000333,        16777216
014,  16777217,       3,  134.287918,   20.000000,39865.546875,    0.007727,        67108864
015, 578715649,   17662, 4617.375000,   20.000000,35422.613281,    4.114170,          262144
015,1479540737,    5645,11874.333984,   20.000000,28125.087891,    1.811090,         2097152
015,         1,       1,    0.055647,   20.000000,39999.863281,    0.000840,        16777216
015,  50331649,       7,  403.868561,   20.000000,39596.050781,    0.021043,        67108864
016,  15204353,     465,  122.150177,   20.000000,39919.132812,    0.155997,          262144
016,         1,       1,    0.000600,   20.000000,39999.804688,    0.000477,         2097152
016,         1,       1,    0.001013,   20.000000,39999.925781,    0.000557,        16777216
016,  33554433,       5,  269.767914,   20.000000,39730.125000,    0.018543,        67108864
017,  16121857,     493,  129.040161,   20.000000,39912.226562,    0.159753,          262144
017,         1,       1,    0.001000,   20.000000,39999.875000,    0.000633,         2097152
017,         1,       1,    0.000453,   20.000000,39999.960938,    0.000320,        16777216
017,  33554433,       5,  269.157745,   20.000000,39730.738281,    0.017883,        67108864
018,  13828097,     423,  110.973976,   20.000000,39930.285156,    0.145167,          262144
018,         1,       1,    0.001143,   20.000000,39999.867188,    0.000680,         2097152
018,         1,       1,    0.000587,   20.000000,39999.949219,    0.000430,        16777216
018,  58720257,       8,  470.678040,   20.000000,39529.222656,    0.035347,        67108864
019,   9895937,     303,   79.749199,   20.000000,39961.507812,    0.093963,          262144
019,         1,       1,    0.000583,   20.000000,39999.875000,    0.000357,         2097152
019,         1,       1,    0.000837,   20.000000,39999.945312,    0.000453,        16777216
019,  67108865,       9,  538.102417,   20.000000,39461.800781,    0.037453,        67108864
