tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run
000,  12233728,  191152,   48.790283,   10.000000, 8731.333008, 1214.707642, 7492.264160,   18.596931, 1227.290771, 1184.289551,    8.091253,    4.661725,    191152,       100663296,000,000
001,  12233792,  191153,   48.743805,   10.000000, 8715.401367, 1224.058228, 7473.554688,   17.992939, 1229.991089, 1194.030151,    7.897958,    4.675268,    191153,       100663296,000,000
002,  12233792,  191153,   48.467106,   10.000000, 8717.135742, 1222.052002, 7446.432617,   18.366434, 1259.030640, 1192.044678,    7.732425,    4.670060,    191153,       100663296,000,000
003,  12233792,  191153,   47.823975,   10.000000, 8806.428711, 1133.596436, 7645.431641,   22.115545, 1148.249756, 1099.473389,    8.970516,    4.472590,    191153,       100663296,000,000
004,        64,       1,    0.004498,   10.000000,10002.075195,    0.031813,10002.030273,    0.000537,    0.040315,    0.026378,    0.009477,    0.000062,         1,       100663296,000,000
005,        64,       1,    0.004197,   10.000000,10002.235352,    0.026408,10002.191406,    0.000482,    0.039920,    0.021533,    0.005078,    0.000053,         1,       100663296,000,000
006,        64,       1,    0.004477,   10.000000,10001.992188,    0.027508,10001.939453,    0.000743,    0.048030,    0.022330,    0.009532,    0.000050,         1,       100663296,000,000
007,        64,       1,    0.004438,   10.000000,10002.156250,    0.028552,10002.118164,    0.000417,    0.033927,    0.023590,    0.009105,    0.000047,         1,       100663296,000,000
000,  12249152,  191393,   48.516144,   10.000000, 8731.770508, 1215.172852, 7495.289062,   18.420137, 1225.098267, 1185.391968,    7.522281,    4.671042,    191393,       100663296,000,001
001,  12249024,  191391,   48.286900,   10.000000, 8717.983398, 1222.391846, 7438.027832,   18.861452, 1268.533081, 1191.866821,    7.564722,    4.673367,    191391,       100663296,000,001
002,  12249152,  191393,   48.528873,   10.000000, 8718.617188, 1221.088257, 7482.537598,   18.018221, 1224.706909, 1191.707886,    7.481623,    4.676169,    191393,       100663296,000,001
003,  12249152,  191393,   47.545898,   10.000000, 8801.252930, 1139.701538, 7637.961426,   22.581926, 1150.387573, 1105.234863,    8.662851,    4.482167,    191393,       100663296,000,001
004,        64,       1,    0.001728,   10.000000,10001.111328,    0.015307,10001.084961,    0.001520,    0.023910,    0.013615,    0.002805,    0.000037,         1,       100663296,000,001
005,        64,       1,    0.001470,   10.000000,10001.227539,    0.012072,10001.206055,    0.000683,    0.020902,    0.011262,    0.001653,    0.000032,         1,       100663296,000,001
006,        64,       1,    0.001480,   10.000000,10001.190430,    0.012177,10001.166992,    0.000370,    0.020833,    0.011647,    0.001560,    0.000038,         1,       100663296,000,001
007,        64,       1,    0.001472,   10.000000,10001.152344,    0.011950,10001.130859,    0.000647,    0.019988,    0.011203,    0.002770,    0.000043,         1,       100663296,000,001
000,  12244416,  191319,   48.391739,   10.000000, 8726.473633, 1220.596680, 7460.968262,   18.088264, 1254.138550, 1191.147583,    7.727036,    4.670084,    191319,       100663296,000,002
001,  12244288,  191317,   48.504932,   10.000000, 8720.289062, 1219.957397, 7484.926270,   18.396746, 1223.922607, 1189.821533,    7.419724,    4.675105,    191317,       100663296,000,002
002,  12244416,  191319,   48.466061,   10.000000, 8722.935547, 1216.778931, 7480.699707,   18.043118, 1230.830933, 1187.373535,    7.464920,    4.684727,    191319,       100663296,000,002
003,  12244416,  191319,   47.531395,   10.000000, 8800.741211, 1140.183838, 7629.899902,   23.203033, 1157.907471, 1105.116699,    8.749510,    4.470171,    191319,       100663296,000,002
004,        64,       1,    0.001442,   10.000000,10005.808594,    0.011657,10005.785156,    0.000292,    0.022052,    0.011217,    0.001628,    0.000040,         1,       100663296,000,002
005,        64,       1,    0.001478,   10.000000,10005.764648,    0.015750,10005.739258,    0.000408,    0.024927,    0.015202,    0.002983,    0.000027,         1,       100663296,000,002
006,        64,       1,    0.001377,   10.000000,10005.847656,    0.009947,10005.822266,    0.000442,    0.023840,    0.009378,    0.001537,    0.000042,         1,       100663296,000,002
007,        64,       1,    0.001688,   10.000000,10005.722656,    0.011920,10005.699219,    0.000455,    0.022013,    0.011177,    0.002725,    0.000040,         1,       100663296,000,002
