tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run
000,   2720064,   42501,   12.850596,   10.000000, 9718.424805,  267.705109, 9435.762695,    3.702912,  280.204224,  261.542419,    1.744545,    0.992345,     42501,       100663296,000,000
001,   2720000,   42500,   10.483802,   10.000000, 9717.243164,  269.452271, 9436.470703,    4.253987,  278.128845,  262.727905,    1.697022,    0.994323,     42500,       100663296,000,000
002,   2720064,   42501,   11.502488,   10.000000, 9716.878906,  268.959503, 9434.385742,    5.238747,  280.020020,  261.175812,    1.688092,    0.992912,     42501,       100663296,000,000
003,   2720000,   42500,   10.590663,   10.000000, 9734.074219,  252.673035, 9469.916016,    4.456303,  261.589020,  245.604507,    2.188902,    0.998448,     42500,       100663296,000,000
004,   2720000,   42500,   10.520358,   10.000000, 9718.430664,  268.575775, 9437.116211,    5.815033,  278.815521,  260.260529,    1.759192,    0.993178,     42500,       100663296,000,000
005,   2720000,   42500,   13.149265,   10.000000, 9717.575195,  266.725372, 9434.386719,    3.449715,  280.722900,  260.845917,    1.824927,    1.008622,     42500,       100663296,000,000
006,   2720064,   42501,   10.823178,   10.000000, 9718.768555,  269.326782, 9435.127930,    5.426113,  281.180145,  261.430786,    1.678085,    0.993273,     42501,       100663296,000,000
007,   2720064,   42501,   11.851568,   10.000000, 9719.883789,  265.686035, 9437.257812,    5.136488,  280.194702,  258.131927,    5.347503,    0.993097,     42501,       100663296,000,000
008,   2720064,   42501,   10.702375,   10.000000, 9657.181641,  326.792053, 9317.713867,    6.281583,  336.583984,  317.569214,    2.110720,    0.993750,     42501,       100663296,000,000
009,   2720064,   42501,   13.034781,   10.000000, 9658.028320,  326.008331, 9315.046875,    6.980031,  340.192352,  316.142120,    2.405333,    1.051973,     42501,       100663296,000,000
010,   2719808,   42497,   12.990282,   10.000000, 9662.091797,  321.056122, 9321.856445,    3.946238,  337.472046,  314.291626,    2.009752,    0.995152,     42497,       100663296,000,000
011,   2720000,   42500,   11.090265,   10.000000, 9661.592773,  324.025909, 9324.141602,    5.636766,  334.615997,  315.528625,    2.153827,    0.994448,     42500,       100663296,000,000
012,   2720000,   42500,   13.072989,   10.000000, 9663.158203,  320.478973, 9325.250977,    3.912932,  335.135895,  313.774078,    2.041177,    0.995793,     42500,       100663296,000,000
013,   2720000,   42500,   10.824282,   10.000000, 9663.955078,  322.243591, 9328.072266,    5.729870,  333.113190,  313.740479,    2.040717,    1.003225,     42500,       100663296,000,000
014,   2720000,   42500,   10.778757,   10.000000, 9664.426758,  323.024475, 9325.916992,    4.499828,  335.754272,  315.762482,    2.056142,    1.078050,     42500,       100663296,000,000
015,   2720000,   42500,   10.747113,   10.000000, 9663.937500,  322.226318, 9327.483398,    4.408940,  333.684143,  315.044464,    1.971143,    0.999962,     42500,       100663296,000,000
000,   2721856,   42529,   10.489318,   10.000000, 9720.414062,  268.092621, 9440.469727,    5.223580,  277.508209,  260.424225,    1.754277,    0.993580,     42529,       100663296,000,001
001,   2721856,   42529,   10.555562,   10.000000, 9714.865234,  272.103973, 9432.983398,    5.761378,  279.450531,  263.884369,    1.710813,    0.994345,     42529,       100663296,000,001
002,   2721856,   42529,   10.526207,   10.000000, 9718.857422,  268.133972, 9438.944336,    5.545675,  277.465973,  260.062073,    1.648022,    0.993715,     42529,       100663296,000,001
003,   2721856,   42529,   12.948493,   10.000000, 9731.634766,  252.931763, 9462.589844,    4.636768,  266.482758,  245.691437,    2.167877,    0.997742,     42529,       100663296,000,001
004,   2721856,   42529,   12.790767,   10.000000, 9716.393555,  268.544678, 9435.197266,    4.475665,  278.692841,  261.571014,    1.763872,    0.993582,     42529,       100663296,000,001
005,   2721856,   42529,   13.006700,   10.000000, 9718.244141,  266.420227, 9434.499023,    3.620273,  281.312469,  260.380524,    1.827060,    1.003950,     42529,       100663296,000,001
006,   2721792,   42528,   12.841770,   10.000000, 9716.973633,  269.059357, 9428.839844,    3.804832,  285.675201,  262.777222,    1.684452,    0.994058,     42528,       100663296,000,001
007,   2721856,   42529,   10.553288,   10.000000, 9721.051758,  265.984894, 9441.802734,    5.859423,  276.827301,  257.709076,    5.178890,    0.993767,     42529,       100663296,000,001
008,   2721856,   42529,   12.832227,   10.000000, 9655.889648,  326.783936, 9313.082031,    6.439737,  340.267883,  317.792206,    1.748918,    0.996738,     42529,       100663296,000,001
009,   2721856,   42529,   10.550725,   10.000000, 9662.839844,  324.319305, 9323.514648,    4.926617,  336.846619,  316.840668,    2.082105,    1.054883,     42529,       100663296,000,001
010,   2721856,   42529,   10.558191,   10.000000, 9661.934570,  325.107666, 9324.840820,    6.125948,  334.638855,  316.534912,    1.687152,    0.994187,     42529,       100663296,000,001
011,   2721856,   42529,   12.828422,   10.000000, 9663.353516,  321.611694, 9325.791992,    6.464890,  335.051117,  312.632172,    1.790420,    0.993453,     42529,       100663296,000,001
012,   2721856,   42529,   12.854827,   10.000000, 9663.529297,  321.119385, 9328.176758,    6.700043,  332.915985,  311.955444,    1.755950,    0.994965,     42529,       100663296,000,001
013,   2721920,   42530,   10.659193,   10.000000, 9664.554688,  322.764099, 9329.318359,    5.769842,  332.783905,  314.548859,    1.656510,    1.004842,     42530,       100663296,000,001
014,   2721856,   42529,   12.906921,   10.000000, 9667.515625,  318.607086, 9330.809570,    4.013985,  334.270721,  312.134338,    1.730370,    1.067113,     42529,       100663296,000,001
015,   2721856,   42529,   10.579904,   10.000000, 9665.307617,  321.743896, 9329.963867,    4.650883,  332.896729,  314.642029,    1.641813,    0.998190,     42529,       100663296,000,001
000,   2717248,   42457,   10.493722,   10.000000, 9720.748047,  267.818878, 9441.260742,    5.071673,  277.027130,  260.292389,    1.704173,    0.992020,     42457,       100663296,000,002
001,   2717184,   42456,   12.821187,   10.000000, 9712.345703,  272.346802, 9428.637695,    6.154920,  281.285675,  263.726959,    1.700815,    0.996128,     42456,       100663296,000,002
002,   2717248,   42457,   10.514622,   10.000000, 9717.345703,  269.716156, 9436.229492,    5.568767,  278.662476,  261.575378,    1.657972,    0.991648,     42457,       100663296,000,002
003,   2717184,   42456,   10.567429,   10.000000, 9733.755859,  253.070114, 9468.499023,    5.836932,  262.674896,  244.609619,    2.202072,    0.991222,     42456,       100663296,000,002
004,   2717248,   42457,   10.506353,   10.000000, 9720.739258,  266.526367, 9441.157227,    4.386539,  277.059265,  259.640808,    1.768198,    0.992430,     42457,       100663296,000,002
005,   2717184,   42456,   13.096728,   10.000000, 9718.079102,  266.386627, 9434.992188,    3.590603,  280.648102,  260.365601,    1.827503,    1.006315,     42456,       100663296,000,002
006,   2717184,   42456,   12.796985,   10.000000, 9717.607422,  268.565979, 9430.937500,    3.617437,  284.203094,  262.459198,    1.686657,    0.992282,     42456,       100663296,000,002
007,   2717184,   42456,   10.519660,   10.000000, 9719.254883,  267.692200, 9438.129883,    6.007617,  278.681305,  259.264221,    5.174295,    0.992060,     42456,       100663296,000,002
008,   2717184,   42456,   12.996563,   10.000000, 9655.665039,  326.609222, 9313.734375,    7.246373,  339.348602,  316.714813,    1.790835,    0.993800,     42456,       100663296,000,002
009,   2717248,   42457,   10.513245,   10.000000, 9661.954102,  325.345367, 9323.225586,    5.641857,  335.928253,  317.121582,    2.076557,    1.050308,     42457,       100663296,000,002
010,   2717184,   42456,   10.613940,   10.000000, 9663.461914,  323.248077, 9324.288086,    4.849932,  336.674255,  315.863617,    1.741008,    0.993752,     42456,       100663296,000,002
011,   2717248,   42457,   10.558474,   10.000000, 9665.125977,  322.072144, 9331.574219,    5.826063,  331.013519,  313.705933,    1.847300,    0.992145,     42457,       100663296,000,002
012,   2717184,   42456,   10.694273,   10.000000, 9664.689453,  321.978485, 9330.093750,    4.997060,  332.124512,  314.492981,    1.772188,    0.992622,     42456,       100663296,000,002
013,   2717248,   42457,   10.670493,   10.000000, 9665.581055,  321.458405, 9330.222656,    4.840593,  332.877716,  314.131317,    1.693623,    1.000395,     42457,       100663296,000,002
014,   2717248,   42457,   13.004525,   10.000000, 9664.557617,  321.505951, 9322.843750,    4.219860,  339.218628,  314.789551,    1.772503,    1.078940,     42457,       100663296,000,002
015,   2717248,   42457,   13.004443,   10.000000, 9666.113281,  318.593842, 9330.512695,    3.882955,  333.120544,  312.230804,    1.701980,    0.993647,     42457,       100663296,000,002
